
# The Grey NATO – 240 – New Watch Roundup (Doxa, Bremont, Zodiac, and Aquastar)
Published on Fri, 26 May 2023 09:00:00 -0400



## Synopsis
The episode discusses several new watch releases, including the Doxa Sub 300T Clive Cussler edition, new Aquastar and Zodiac models, and limited edition pieces from Bremont. They also touch on a few other interesting new watches from brands like Mido and Citizen. Additionally, one of the hosts shares a story about the winner of a grueling solo sailing race, and the other recommends a hat brand for people with larger heads.

The Clive Cussler Doxa receives a mixed review - while the details like the case finish and dial are appreciated, the overall design is quite busy and niche. The new slimmed down Aquastar skin diver is lauded as a well-executed classic design. The hosts seem impressed by Zodiac's new Seacrown chronograph. Bremont's limited Vulcan edition is praised for its attractive military styling.

## Links
- [episode page](https://thegreynato.substack.com/p/240-spring2023newwatches)
- [episode MP3](https://www.buzzsprout.com/2049759/12906996-the-grey-nato-240-new-watch-roundup-doxa-bremont-zodiac-and-aquastar.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Graynado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 240, and it's proudly brought to you by you, the ever-growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and interested in supporting the show and you don't already, please visit thegraynado.com for more details. James, how's it going?  Speaking of driving and diving, we did a little of each. I think you had a bit of a weekend away as well, right? |
|James Stacey|I did. Yeah, I took the opportunity. The weather was kind of mixed, kind of mixed bag around here. But we went up to the cottage for kind of the first weekend. It was the May long weekend for us. So, you know, by the time this comes out, you'll be on the eve of the American long weekend. Ours was the Monday before. So, yeah, we went up and kicked around at the cottage a little bit, got in the water. It was nice and very cold.  still, but it rained pretty good on Saturday, but it was a nice year and we got to see some family and hang out with a couple of my siblings and, and that sort of thing. So it's always nice to kind of kick off the season that way and get an idea for what we want to, you know, kind of complete this year on the, on the project and, and that kind of stuff. So yeah, there's some balls in the air and some plans and that sort of thing, but it was a good weekend for sure. It just went by way too quickly, even, even with a sort of half holiday on Monday, obviously my main employment's with an American company, so.  Yeah. Yeah. Not, not always. You're not offline on a holiday Monday in Canada. |
|Jason Heaton|Right. Right. And how are the mosquitoes? They're, they're absolutely horrible here. |
|James Stacey|Pretty bad, man. Pretty, pretty bad. You know, a green spring is looking like it's going to be tough. I'm going to be probably going into the TGN slack and asking people who've tried some of like the more military grade sort of solutions. You know, there's these ones that cost, you know, several hundred dollars and can do a certain square footage. Oh, wow. Yeah. That might be an option. I don't really know at this point. Like we've used the thermos cell. I think I've talked about it on past episodes, but it was really bad. Yeah. We came back with, um, you know, 20 bites a piece. Um, and that wasn't, you know, it w it was also one of those scenarios. It's that may thing where it had just rained and it had been kind of a wet spring. So it was all day long. It wasn't like they only came out at dusk. |
|Unknown|Yeah. I found that too. |
|James Stacey|They were just around. |
|Jason Heaton|Yeah.  Yeah, right in the middle of the day. We were out gardening over the weekend. It was, you know, pushing upper seventies, you know, usually in the middle of the day, they're, they kind of give you a break, but man, they're just swarming here. I think, uh, we really got spoiled last year. It was such a dry summer and there were hardly any bugs, but now it's payback time, I guess. |
|James Stacey|Yeah. We'll see. We'll see. Hopefully it's not, um, indicative of the entire season, but you know, Man, I really hope in a decade we don't find out that bug spray is legitimately terrible for you or something like that, because it's kind of the only solution, aside from going inside, which we did the one night. We had a nice fire going and then people were just kind of like, I'm getting bit through my jeans, I'm getting bit through the whole thing, so let's get inside.  Yeah. That is what it is. But, uh, how, how was the diving? You drove out to Milwaukee. How, how long, I mean, maybe an obvious question for somebody from your area, but how long of a drive is that? |
|Jason Heaton|So the Defender is still in the shop for those electrical issues. So I did not take that, which made the trip a little quicker because I took our Volvo and was able to maintain normal interstate speeds and got there in five and a half hours with a couple of kind of leg stretcher breaks along the way. So it's really not, it's, it's a fairly boring drive, but, uh, it's, it's quick. I've done it, you know, many, many years. And I'm very familiar. Just set the cruise control. I listened to a book and before I knew it, I was there. So it was, uh, it was good. I stayed with my buddy, Chris. He's, uh, still living in the town that we grew up in and went to high school in. It's always fun to, to get back there. And, and then let's see, I got there on, on Tuesday, you know, right after we recorded. And then, and then we got up early on, on Wednesday and went, went diving. We got a friend down there who has a, a small, but, but nice boat.  um, which serves as kind of a nice little platform for, for diving. And he took us out from the Marina in the morning and we had to, well, I shouldn't say the morning cause we had to wait for the wind to die down. The waves were kind of choppy and wasn't really pleasant or safe to get out there in a small boat. And so we waited until a little afternoon and then headed out and it was, it was, you know, borderline kind of rough conditions, but we, we got in the water and, and, and did the dive. And unfortunately the, The buoy that was placed on the wreck this early in the season wasn't at the right end of the wreck for what we wanted to do, but we still had a nice time. And well, I should say I had a nice time. Chris's a dry suit leaked fairly badly and he's still not sure where, cause it's a new suit. Oh goodness. So he got, he got kind of borderline hypothermia. I mean, by the end of the dive, he was in some trouble there. So we, we got out and, and, and headed back. And by that time the weather had calmed down, but.  You know, it's, it's always an adventure. I mean, Great Lakes diving is, is just, it's not, uh, it's never predictable and it's, uh, but the upside is you don't really see anybody else out there. So it's, uh, it was good in many respects and just good to get down there and hang out with a friend. It was fun. |
