
# The Grey NATO – 241 – Our Favorite Small Watches
Published on Thu, 01 Jun 2023 06:00:00 -0400



## Synopsis
Jason and [SPEAKER_00] discuss smaller watches, specifically 38mm and under, in this episode. They go through several watch recommendations in that size range from various brands like Tudor, Seiko, Oris, Rolex, and more. Jason shares his experience wearing the CWC Melor 72 and [SPEAKER_00] talks about the Seiko Dolce SACM 150 as options for smaller watches. They also mention some vintage and micro-brand options, as well as express a desire for brands like Omega, IWC, and Bremont to offer more sub-40mm models. Overall, the episode provides an insightful look into the world of smaller, more proportional watches that often get overlooked.

## Links
- [episode page](https://thegreynato.substack.com/p/241-smallwatchesrgood)
- [episode MP3](https://www.buzzsprout.com/2049759/12956620-the-grey-nato-241-our-favorite-small-watches.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|[SPEAKER_00]| Hello and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 241 and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support and if you're listening and interested in supporting the show, please visit thegraynado.com for more details. Hey Jason, how's it going? |
|Jason Heaton|It's going pretty well. We're coming off the holiday weekend here and it was nice weather for a change and Got outside quite a bit with some biking and gardening and a little bit of kayaking and that sort of thing. So, um, yeah, pretty feeling pretty chill today. |
|[SPEAKER_00]|How about you? Yeah, not too bad. We had a bit of a busy weekend here, drove down to Pennsylvania for a wedding. So we went down a very, very early Friday. You know, it's about a, we did a little under nine hours, uh, came back Sunday afternoon and then had Monday, you know, it's not a holiday here in Canada. So kids back in school, that sort of thing where we had the Monday off. So just kind of kicked around.  The house got a few little errands done, um, you know, still sorting out some stuff for the eventual move later this summer. And otherwise just kind of staring down the barrel of another cottage weekend right now, at least as we're recording this Tuesday morning, weather's looking real hot, real sunny. So it should be good. |
|Jason Heaton|Yeah. Same here. Hot week. It's crazy that we're at the end of May. May seems like it was a really long month, not a bad month, but just, uh, Just a good long month. I mean, it's just kind of feel like it's been May for a while. Exactly. Yeah. I mean, we were in Scotland back, I think we got home on the 4th. So it just seems like ages ago. |
|[SPEAKER_00]|Yeah. By the time people are listening to this, it'll be June. Yeah. And last week's episode turned out pretty good. You know, holding it a day for the Aqua star, uh, was a good time. But, uh, other than that, my time has been largely tied up with, uh, either doing not that much yesterday on the holiday or driving back and forth from, uh, from Pennsylvania. Luckily the Jeep made it without really breaking a sweat and, uh, What did you get up to with, uh, with some of your free time this weekend? |
|Jason Heaton|Yeah. I mean, it's, you know, the growing season is so short here that, uh, we've just been really going at the garden in earnest and did, uh, the weeds grow faster than anything else. So we were weeding quite a bit. I went and, um, there's a big, big heaping pile of free mulch, uh, not far from here. So I, I filled up the back of the Land Rover with, uh, with free mulch and came home and spread that around. And, uh, Uh, you know, the, the defender is still in the shop having those electrical issues sorted out. So I've been driving the, the little one, the series, the short wheel base, and I needed a way to carry, uh, a kayak down to the lake near our house. So I just had some scrap lumber in the, in the garage and went to the hardware store and got a couple of, um, odds and ends and built a, uh, built like this bracket or rack that kind of just sits in the, in the bed. Cause the tops off now, of course. And.  So then I can rest the, the front of the kayak on the, on the windscreen, top of the windscreen. And then the back, I just strapped to this, uh, this sort of wooden rack that I built. And I'm pretty, pretty proud of how it turned out. I think it's, uh, it's going to serve, serve us well this summer, just getting to and from the lake with, with a couple of boats. |
|[SPEAKER_00]|So. That's great. Glad to hear it. It looks hilarious in the photos. I love it. Yeah. It looks like it's more boat than car at a certain point. |
|Jason Heaton|Yeah. And, and I sit tall.  I, the top of my head's actually above the windscreen in this, not, not my eyes, but the top of my head. And so when I had the kayak on top, when I was on the maiden voyage, so to speak, my, my head was like inside the cockpit of the kayak. So it was kind of a weird, a weird way to drive. Maybe not all that safe, but it's a, it's a very short drive. So worked out well. |
|[SPEAKER_00]| keeps the hair out of the wind, I guess. Or maybe in some different type of wind, some special vortex. That's always something I have to learn every year where you can take those panels off the Jeep, the front ones. And you do it because you feel like, oh, this will be great. And we're like having a convertible. And even with a hat on, the ears burn in a couple of minutes, those first couple of really genuinely sunny days.  Yeah. I'm sure I will, I will forget what I just put on tape here and burn my ears on the way up to the cottage this weekend. So we'll see. Yeah. Look, we've got a fun show ahead doing, doing a chit chat to kind of a, to balance out last summer. We did a whole episode about, was it last summer? |
|Jason Heaton|Yeah, it was June 2nd. I looked it up last year. |
