
# The Grey NATO – 243 – Traveling With Your Watches (Packing, Picks, Theft & More)
Published on Thu, 15 Jun 2023 06:00:00 -0400



## Synopsis
The hosts discuss their approach to traveling with watches, balancing the desire to wear prized timepieces with concerns about theft, border issues, and situational awareness. They share tips on which watches are suitable for different travel destinations based on perceived risk, how to transport multiple watches securely, and considerations like carrying documentation or receipts. The conversation covers personal experiences, anecdotes, and insights from other sources on responsible watch collecting while on the road.

The episode provides a practical guide for enthusiasts looking to enjoy their watches across various travel scenarios while exercising appropriate caution and preparedness to mitigate risks. The hosts aim to help listeners make informed decisions about which watches to wear, carry, and how to pack them based on factors like location, perceived danger, and personal comfort level.

## Links
- [episode page](https://thegreynato.substack.com/p/243-traveling-with-watches)
- [episode MP3](https://www.buzzsprout.com/2049759/13033258-the-grey-nato-243-traveling-with-your-watches-packing-picks-theft-more.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Unknown| Hello and welcome to another episode of the Graynado. A loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 243 and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support and if you're listening and interested in supporting the show, please visit thegraynado.com for more details. Hey Jason, how we doing? |
|Unknown|I'm doing pretty well, yeah.  For an introvert, I've got a very social, social calendar these days. Uh, actually today. You're a busy guy this week. Yeah. And well today as we're recording is Ghoshani's birthday. So everybody out there can say happy birthday to Ghoshani. Huge happy birthday. Yeah. Well, I guess by the time this episode goes up, she'll be a couple of days into it. But anyway, yeah. So we've got some folks visiting from Australia, actually Sydney. And, uh, and then later this week, uh, another friend comes in, um, and, and his, her brother is visiting the U S from Sri Lanka. So, We're going to take them up north. We've rented a cabin along the north shore of Lake Superior for early next week. So it's a lot of stuff happening. A lot of fun. Very cool. Yeah. Speaking of busy schedule, we've got to, I mean, we're firming up wind up plans. |
|Unknown|Yeah. So we're going to be at wind up in Chicago. That's July 15th and 16th. It's a weekend.  We'll be camped out for some office hours at the Citizen booth. We'll let you know the times as those become available, but that'll be Saturday afternoon, so the 15th. Then we're recording a live podcast early on Sunday morning, the 16th, with the guys from Worn and Wound. But kind of the big news, the one we're really excited about, is we're throwing a TGN meetup with Citizen on Saturday, the 15th, after wind-up closes for the day at Great Central Brewing. It's not that far from Venue West. I believe you could pretty easily walk or take a short car.  We'll have more information to follow, but we're going to have a hangout there and some goodies and some fun stuff that's going on at that sort of event. |
|Unknown|So yeah, we've got a Slack channel devoted to wind up Chicago now. Um, so all the folks that are in the Slack community, um, are actively making their travel plans and asking questions about what, what to bring in terms of watches and what the show is like. And, um, yeah, should be, uh,|
|Unknown| Should be a good time. Yeah, very much looking forward to it. Just a month away at this point. So firming up to the final travel plans and that kind of thing. But it's going to be great to be back in Chicago and hang out with y'all. One note is we were planning to take next week off again because both Jason and I are traveling and have a pretty packed schedule. But we came across a special recording kind of in our archives that we never ran for reasons we'll explain later. But that will feature in a special episode next week. So stay tuned for Episode 244.  It's a deep one, and I think it'll be good. Yeah, I think so, too. |
|Unknown|Yeah. What else? What else have you been up to? |
|Unknown|Yeah, not much, man. Just working and went up to the cottage. And, you know, it was Le Mans weekend and they launched a new Rolex. Oh, yeah. It was just kind of busy, you know, keeping up with that kind of stuff. |
|Unknown|I saw that story break on Hodinkee and knowing Rolex, I'm guessing you had no advance notice and had to write it on the fly at the cottage. |
|Unknown|Some of my kind of plugs in the industry told me something will come at Le Mans.  Oh yeah. But the word on the street was that it was going to happen kind of in the evening. So if you were following Lamont in EDT, in my time zone, it started at 10 a.m. and ended at 10 a.m. And I think they were talking about when they said evening, I did the dumb thing and assumed they meant evening in my time zone, which why would they? Like really stupid on my part. And at about noon, I got a couple messages and it had dropped on Instagram. And I said, oh, I guess they meant like Obviously, the race started at, you know, 4 p.m. So by 6 was evening in France. So quickly jumped on the computer and, you know, good use of the new Wi-Fi at the cottage and got a story up. What do you think of the watch before we get... I mean, we don't have this on the notes, but it's probably something worth chit-chatting about. Yeah. 100th anniversary of Le Mans, sort of special Daytona, with a reverse Paul Newman-inspired dial. So it's a reverse Panda. It has kind of the funky text on the sub-dials, but it's white on black, It's got a little red 100 on the ceramic bezel insert. And then it has a, for those of you who are big Daytona nerds, you'll know that the 41 31, the most recent movement is a 12 hour maximum measure, which is kind of inappropriate for a 24 hour race. So now we have the 41 32, which has a 24 hour totalizer at nine o'clock, which I think is kind of maybe the coolest part about the whole thing. It's such a Rolex thing to do, to go like, Oh wait, we can't put out a 12 hour watch for a 24 hour race. Let's Let's modify our brand new movement with a special little modification so that we can get 24 hours. |
|Unknown|I think it's a really, really cool watch. In fact, I've been largely agnostic when it comes to Daytonas. I just don't... I'm like, eh, yeah, high quality. It's cool if I get to see one in person, it's fun to play with and whatever, but never really wanted to see one on my own wrist. And this was the first one that made me... Or the first modern one, at least, that made me sit up and kind of like look closely at it. It's a, it's a beauty. I like, I like all the little elements. I think they, you know, to my eye, they could have gone a little further. Like I think I saw on Instagram, somebody had said, Oh, if they'd only made the, the, the minute track on the dial, like in red, you know, on white, kind of like the Paul Newman or, um, I, I feel like the numerals on the sub dials, like could have been a little more exotic, like the Paul Newman's they did more with like the markings, but look, that's all splitting hairs. I think it's a, I think it's a beauty. |
|Unknown| Yeah, I think they did a nice job, and I think what stood out for me, obviously, this is not a watch that I figure you or I will ever own. It's kind of cool that they went with white gold as well. I think it says, it speaks to the whole kind of like hundred thing, but between the white gold, the dial, the hundred on the bezel, I could take it or leave it, whichever. I agree that my guess is there's like a Photoshop or a render somewhere of one that's even more Paul Newman-y, we'll call it, and maybe they just went, it's too much. Yeah.  you know, like their comfort zone for calling back to their past is like using some red text on a dial, right, right, right. Or, or making something like the 1908, like a full on sort of traditional model, um, with, with it being the brand new Daytona, the most modern one they've got. I think that this is kind of the most you could expect from them. And, and truth be told, like I'm not a Daytona guy. I love the vintage ones. Um, but I've, I've never been, you know, I'm, I'm kind of hit or miss on chronographs in general. Yeah. I'm, I'm the only weirdo out there that doesn't, you know, love and pine for a speedy. Yeah. I think they're beautiful. I love seeing them on other people. They might, they might arguably be the Eames chair of, of watches, right? Yeah. The Speedmaster. Yeah. But I, for whatever reason, I've never been like, I absolutely have to have one aside from maybe that Japan Ellie, right. With the gray dial. But with this one, I, I really liked the, the sort of tweaks they've made for the 2023 Daytonas, the brand new references. And I think this is a really cool way of like shouting out to Lamar and, and the brands like history and then I think the thing that people don't realize is obviously not only is it a Paul Newman inspired dial, but like Paul Newman has a impressive foray at Le Mans in that he won first in class, second overall in 77, 79, something like that. It's a cool watch to have as a Le Mans call out because there's not like one or two sort of overlapping elements. There's all sorts of stuff stacked on top of each other, especially if you're really deep into your Daytona stuff. I think there's even more context there than would hit someone who's, I'm a little bit more of a dilettante when it comes to the, you know, the encyclopedic knowledge of Daytonas. |
|Unknown|Yeah. And as someone mentioned, I think it was in the comments on, on your Hodinkee story about this watch. They said, you know, that they were kind of glad that Rolex didn't go, I think that their term was, you know, they didn't go all Omega, you know, like Omega when they do a reissue, it's like you could scarcely tell, new watch from an old one. I mean, they've recreated the Speedmaster, they've recreated some dive watches and whatever. So to your point, I do think that Rolex has a comfort zone and they do like to kind of say, look, we're still making modern watches, but we'll give a nod with this or that on the watch. And they did a really nice job with it. |
|Unknown|Yeah. Yeah. So I'll include my story in there in the off chance that you missed the new Daytona. I'm also hoping to be able to see one in the next little while.  So I'm hoping to be able to do a hands-on at some point. So, so yeah, other than that, I'm traveling starting Sunday and I'll be back before the next episode airs. So we have this sort of two episode run and, and, you know, with the travel on the horizon for both of us, and then, uh, even just some, some recent stories that have kind of come out on the internet, we thought it'd be fun to do a whole topic about travel and traveling with your watches, which believe it or not, I, I, when you first suggested it, Jason, I thought, I thought we'd already done something like this. And obviously it's something that comes up a lot on the show.  But I went back and we haven't done like a specific episode on like how we travel with our watches and what some of the tips are. We did a Q&A recording just recently. So those of you who are on the supporter side would know from that episode because it's live that like we're getting more questions about like our comfort zone of traveling with certain watches due to crime and theft and that sort of thing. And I had a friend who was robbed in the last week in New York of his watch and phone and camera. So it is kind of like a going concern. So I definitely want to get to that.  And that's going to form kind of the main topic today. But before we jump in, you want to get to some wrist check? Sure. |
|Unknown|Yeah. I've pulled out my old Speedmaster. I haven't worn it. You were just talking about the Speedmaster. |
|Unknown|It's a 145012? 022? |
|Unknown|012 from 68. I think April of 68 was the exact date. And yeah, I don't know how long it'll stay on my wrist. I never considered this a real summery watch because of the Uh, but I don't know, kind of enjoying wearing it. And I put it on the, you know, last week we talked about the Artem, uh, the new kind of softer, more pliable sailcloth straps with, with this kind of tailless fold over deployant. And I've got it on the green one, the kind of the khaki green, I think he calls it. And, uh, it looks pretty darn good and it's, it's fun to wear. So that's what I'm wearing today. Very cool. What about you? It looks like you've got something about the polar opposite of that. |
|Unknown| Couldn't be more different. Yeah, for whatever reason, I've switched back to the Apple Watch Ultra. It's just a great tool for productivity, but I really don't wear it like a watch, if that makes any sense. I actually wear it on my right wrist. And that's not just because I would be wearing something else on my left. I didn't even put anything on the left. I just, for whatever reason, I've gotten used to having it on my right wrist. I like the fact that, you know, I've got Danny when we were recording this. So Danny's my colleague at Hodinkee, Danny Milton, and he and I are essentially, you know, keeping the site scheduled and the rest of it, which is, you know, not a small task. He's currently in Tokyo for a Patek event. So I have the ability to see what time it is for him there. And also another, I have it set up for three time zones currently because we have several watches that, you know, that are kind of popping up based on Geneva's time zone. So yeah, it's, it's super handy for that. It means that I don't miss things because I typically keep my phone on silent. I don't like it beeping. Admittedly, I'm probably, it's a square peg round hole in terms of getting me to be more productive.  but it does kind of get the trick done if you smash the peg hard enough, I guess. Yeah. It's a nice tool for a workday, but it's definitely not the kind of thing I necessarily want to wear to the cottage or something like that, you know? |
|Unknown|Well, and it would make a pretty darn good travel watch too, I suppose. I see a lot of them on airplanes and whatever, and that sort of leads to our main topic today, traveling with watches. I think, you know, what kind of inspired this topic was we do get a lot of questions in the Q&As about our comfort levels when we're traveling. And personally, my comfort level has evolved. It's changed. |
|Unknown|I don't know about you, but... It's funny because I don't know if you saw this and this is what inspired it or it's just on the horizon because of our travel, but our good buddy Mike Stockton wrote a really nice story for Fratello just this week, I think, when we were recording this two days ago. Oh, yeah. About how to travel with your watches like a pro. And I don't think... You and I know how to travel with watches for sure. I would probably still defer to Mike.  Yeah, the guy travels a ton. He understands, you know, he's also been burned quite famously coming into Switzerland during Basel world and having to pay for his taxes on a bunch of his personal watches. Yeah, and I think this is a must read in my mind for that for what we're doing today. If you want to pause it right now and read two things, it would be Mike story, which is on Fratello and it's in the show notes.  And it would be at least part one of Watches of Espionage's look at watch crime, specifically London, LA, that sort of thing. Because I think these are the two things. Mike does a lovely job of explaining how his relationship with traveling with watches has evolved even since like 2019. So if you want to get into sort of the required reading for the rest of this episode, these would be the two. Because I align really strongly with Michael in that my relationship with traveling with watches has changed a ton. Yeah.  Man, when I first started going to Baselworld and I didn't understand any of it, there was definitely times I took every watch I owned. I took 12 watches or whatever it was to Baselworld. I could wear a different one every day, I could have a different one in my pocket. Every time I cross paths with a friend or wanted to show one to Ariel or David at a blog to watch, you have all of them. And now, man, it's polar opposite. Even for this trip this weekend, I'm thinking like, yeah, maybe it's the Apple Watch.  but I love the idea of kind of like Michael does and like Jason, I know you've done for a couple of years, the watch you plan to wear plus another kind of more simple option or more under the radar option. But let's start right at the top. In my mind, when you're looking down the calendar at a trip, how carefully do you plan your watches or do you just kind of pick one and that's your watch for the trip? We talked about this a bit for Scotland. |
|Unknown|Yeah. I mean, you know, crazy, you know, that's the most recent kind of bigger trip in my memory and I, you know, I, it, I almost felt foolish because, uh, the, the amount of agonizing I did over which watch or watches I knew I wanted to take more than one. Um, but yeah, it largely depends on not only where I'm going, but what type of trip it is. And, and we can get into this on a much deeper level as we go through this, but you know, if, if it's a very urban trip, maybe to a new city.  Uh, it's a different mindset than it is Scotland, which was a road trip through largely rural areas. I knew I wasn't going to be interacting with a lot of people other than at the beginning of the trip when we had that, that meetup, in which case I wanted, that's, that was really the reason I wanted to bring a couple of watches along. Totally. To answer your question, I, I do spend a fair amount of time leading up to a trip, probably an equal amount, if not more than, than what I do when I'm planning, you know, the shoes I'm going to bring or, or, you know, how many pairs of pants or something like that. And, uh, yeah.  I mean, I think I've got kind of my method of transporting and wearing, you know, kind of dialed in, but when it comes to like, which watches. Yeah. A lot of it's driven by activity and kind of the venue or, you know, the geography of the trip. |
|Unknown|Yeah. I think you, you kind of have to, yeah. If you consider where you're going and then if there's any like governmental concerns. Yeah. Border concerns. Right. Which seems to be less of an issue for Americans. |
|Unknown|I've never, I've never weighed that consideration.  I've read about Mike's horror story. You've talked about the Canadian border restrictions. |
|Unknown|The system which they no longer want to do. Because I used to be able to take my watches to the Canadian Border Security Agency and register them. Not even register them, they would verify that the serial numbers were real.  And I could have a piece of paper that I carry. Yeah. And it was the first time where I was going to be traveling with, I think I had three watches cause I was going to trip. I was going on the trip for one of them and then needed one for something else I was producing during the trip. |
|Unknown|Yeah. |
