
# The Grey NATO – 245 – New Watches! Summer Blue Omegas, Carbon Tudors, and More
Published on Thu, 06 Jul 2023 06:00:00 -0400



## Synopsis
The episode begins with a discussion about the hosts' recent busy schedules and travel, leading to a skipped episode last week. They talk about upcoming events like Chicago Windup and a TGN meetup with Citizen. The main topic covers new watch releases from Omega, celebrating the 75th anniversary of the Seamaster line with several blue-dialed models including a revived Ploprof. They also discuss Tudor's surprise release of carbon composite Pelagos FXD models in collaboration with Alinghi Red Bull Racing, featuring a unique blue colorway. Finally, they briefly cover the new third-generation Ocean King from Monta.

## Links
- [episode page](https://thegreynato.substack.com/p/245-newwatchessummer2023)
- [episode MP3](https://www.buzzsprout.com/2049759/13166894-the-grey-nato-245-new-watches-summer-blue-omegas-carbon-tudors-and-more.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome to another episode of The Grey Nato, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 245, and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support, and if you're listening and interested in supporting the show, please visit TheGreyNato.com for more details. James, well, we're back after a sort of an impromptu skipped episode last week. Um, how are you doing? |
|Jason Heaton|Yeah, I'm, I'm, I'm okay. Things are busy. I'm in the middle of a move and uh, and some travel came up and then travel came up for you and we thought, we thought we kind of had like a narrow, you know, two hour window or something where we could put it together and it just didn't work out. So a huge thank you to everybody who uh, on the slack, like we, we put out a message and said, sorry, we're, we're not going to make two 45 for uh, the end of June. So now it got pushed to, You know, I think it is what it is. Sometimes it doesn't always work out. But a big thank you to everybody for the understanding for the skipped episode last week. It's not something we take lightly. I actually, you know, pretty pretty bummed to have to skip an episode just because the schedule kind of fell apart. But it does happen every now and then. I mean, on that topic, but with more of a plan just so people have it and so that there's no surprise, we're going to be taking a summer break for the weeks of August 10th and 17th. So no new episodes.  during that time. I think that's roughly the same time we did last year, a couple of weeks in August, just to kind of get our head on straight and do some summer stuff. And I know both Jason and I are also planning some travel around that window of time, so that should be good. What else we got here? Oh, speaking of summer fun, we'll be at Chicago Windup July 15th and 16th. We'll be camped out for office hours at the Citizen booth on Saturday afternoon from 2 until 4 p.m., but we'll be at the show. But if you want to come chat Citizen and such, then Please feel free two to four on Saturday afternoon. We'll also be recording a live podcast early on Sunday with guys from WarnWound. That's going to be super fun. I think that's a good kind of two day programming. We always look forward to chatting with those guys and putting out kind of a team episode or a two, two team episode, which should be good. And then kind of the main event for us is we're going to be throwing a TGN meetup with Citizen.  Saturday evening, that's the evening of the 15th after wind-up closes. So that's 6.30 to 8.30 at Great Central Brewing. It's not too far from where wind-up is held. Walkable, short Uber, etc. Come have a beer or two and hang out. We've got a little bit of programming and some fun in the works. Stay tuned, but we should be, you know, less than 10 days away at this point. So we'd love to see at Great Central Brewing. Yeah, yeah. Jason, no RSVPs needed. |
|James| No RSVPs needed. Um, we've got the space. It's, it's going to be a very informal thing at, uh, at great central. And it's, it's literally like two blocks away from venue West where windup is. So. Should be a, should be a good location. We got a few recommendations on that place and, um, we're all set up. We're going to be, um, offering some, some free beer to, uh, to people who show up, uh, you know, early until we run out of tickets, I guess. And then, um, citizen. Yeah, I suppose so. Um, they're putting up a, uh, a bit of a special giveaway. So, uh, I'm not going to.  divulge exactly what it is, but let's just say, uh, you might have a chance of walking out with a, with a citizen watch of your own that evening. If you, uh, if you come to great central, yeah, not too bad. |
|Jason Heaton|It should be cool. Yeah. I'm really looking forward to it. It's, it's kind of snuck up, eh? |
|James|Oh, totally. I mean, it's, uh, we'll be leaving in 10 days. Um, and, uh, and then that Saturday morning, there's a bit of a, kind of a pre event before wind up called wind up in the lake. Um, there's a group of, of divers that we're going to go out in Lake Michigan and dive the so-called mystery wreck. This is through a kind of a friend of the show and a long time kind of dive buddy I've known through social media, Chris Scott, who lives in the Chicago area. He's a dive instructor and he and his local crew discovered a yet unnamed shipwreck off the coast of Chicago. They're in Lake Michigan that, uh, that, uh, Ben Ruess is underwriting a bit of a dive charter to go out, um, and dive that wreck and I'll be joining them for that. So that should be fun. And hopefully if all goes well, make it to the show, um, in time for kind of the opening that, that day on Saturday. So action packed weekend. |
|Jason Heaton|Absolutely. Yeah. It's going to be a good one. It's a, it's a busy, busy time. Uh, by the time the next episode comes out. So the episode that we'll record and send just before we leave for Chicago, I will have moved to a new place. So much of my life is in boxes currently.  and anything that isn't will need to be shortly. So I have a laptop, a charger and my microphone in a room that's somewhat more echoey with no carpet. |
|James|I really dislike moving and we've lived here for close to 20 years, so I'm not envious of your situation here this week. |
|Jason Heaton| Yeah, this one had to happen. It's going to be more space. I'm actually pretty excited because it means for the first time since Vancouver, I'll have an office. Oh, nice. Like an actual office with its own space and where I can set up a more permanent recording solution. Right now, I'm just kind of sitting on the couch in one of the rooms of my current home. Yeah, I'm looking forward to that. You know, I'd put it out to the crew, like I'm probably going to go and do kind of a clean slate design for the whole production, the mini studio, the desk, the rest of it.  If that's something that might be of interest, I guess, let me know on Slack and we can see if there's a cool way to kind of cover it. It's only like tangentially in the TGN space. I'm a bit of a nerd when it comes to desk setups and monitors and IO and that kind of stuff, but I'm not sure that it would necessarily ring true for everybody. |
|James|Was it you? I remember a final note or something from several years ago about like a website or a social media account with a guy who posts photos of desk setups. Was that you that did that?  Turn me on to that. I remember seeing something like that. |
|Jason Heaton|I'm not sure. I mean, I probably brought up, uh, like Reddit battle stations. Maybe that's one option. And those are pretty good. There's also, um, actually just blanking on the guy's name. Uh, there's a YouTube channel where the guy he's, he produces a bunch of different content. Uh, but he, most of the content for his channel is about his like work set. That's what it was. Yes. Uh, so that was probably the one that I sent you and his videos are great. I, it's stupid that I'm blanking on what it is. I'm clearly under or over caffeinated, but I'll, I'll include that video. Cause I might, I'm thinking about going that direction rather than the multiple monitor. He uses one single large television that can kind of be divided up into several like soft spaces for work. So I haven't, I haven't fully decided yet, but I I'm excited to use a little bit more of the gear I own rather than have it be a little bit more transient as it has been for the last couple of years, since we had that audio problem where my desk used to be.  Yeah, here at the house. So yeah, that's good. Um, I mean, other than that, I'm looking forward to moving and just kind of having this part of it over with. I want to get back to the part of summer where I just go to the cottage. Yeah, really. That'll be good. Before that. I mean, it's, it's funny when you skip one episode, you realize like how much sometimes a busy, like you were busy enough to have to skip an episode, but it also meant there's a bunch of stuff we didn't talk about. |
|James|We were both traveling. You were down, uh, down in Rhode Island, right? |
|Jason Heaton| Yeah, I went to Rhode Island. I had never been to Newport before. I've been to Providence once in the past, like on a drive between Boston and New York. Yeah. I went to Newport for a photo shoot that involved the Intrepid, which is the America's Cup ship that won in 67 and 70. Yeah. Such a cool experience. I mean, it's just shooting photos on a boat. It's for a watch. You'll see this all comes out fairly soon. The boat was just really cool. The captain was this fascinating guy that's been you know, captaining this boat for 20 years and still races it. It's owned by some, you know, rich guy that just loves, I guess, sailing or, or having the boat still exist. And it was, yeah, it was just really, really cool, fun day. Learned a lot. I don't know anything about sailing, like zero. Uh, so I was just trying not to get knocked off the boat while holding my cameras. Uh, we were able to find some wind and get going and we had a really nice time. That was, uh, that was one day. So it was, you know, like shot all day and then had dinner, got in a car and drove back to New York. Uh, the next day was a shoot in New York that I cannot talk about without losing my job, but that will come out sometime in the future. And it's a very, very big thing for, for Hodinke in the, in the team. Um, so I would assume sometime later this summer, very early fall, uh, for something like that, but stay tuned. It was, it was pretty fun. And then I left. So that was literally all day that, um, Tuesday.  Wednesday morning came home and worked a couple of days. Friday, drove to Philly for a wedding and came back Sunday afternoon. So that was a, you could see where, where the week kind of made it tough to put an episode together. |
|James|Well, and it makes me think I was having a conversation with Kashani, uh, last night or the night before about how fast summer goes and why winter doesn't go equally fast. And I think it's because summer ends up being full of just due to the the friendly weather and that sort of thing. Like you tend to do more road trips. You have more, we had a lot of out of town guests for like six weeks straight, uh, just up until this week. And, um, you know, we've done a couple of road trips and just travel and things. I think that's the kind of stuff you pack into the summer and you're going from one thing to the next, to the next, like every two weeks. And then the time in between is just almost like you're just biding time until the next event. And then before you know it, it's September. And I think in the winter, know, we just kind of hunker down and don't do as much of that. But, uh, yeah, it's, it's already flying by. I mean, here we are, we're recording this on, on July 4th. I mean, where did June go? |
|Jason Heaton|Geez. Yeah. And I mean, we had, we had to take a holiday to record an episode. It's, it's, it is, it's, I don't want summer to be not busy. Um, but I definitely had hopes this year that like work would be less of an issue during the summer.  Yeah. Like I could dial back a bit and it's just the, it's just the opposite. And I don't mean TGN. I absolutely adore TGN. I was very bummed to have to tell y'all that we were skipping an episode. I mean, just like the day to day with Hodinkee. Um, it's just, there's just so much to do and it feels like, it feels like, like I'm out of phase with the new cycle. Like I want to step back and Omega launches 11 new watches or, or I want to, I want to go sit at the beach at my cottage and Rolex decides to launch a Daytona during Lamar. |
|Unknown|Yeah. |
|Jason Heaton| Yeah, right. It's great. I'm enjoying all of it. And I will, I'm very excited to be done moving, but it is, it is busy and I know I'm going to blink and it's going to be, I'll be ending my vacation in August and realize that it's, you know, then it's back to school and so forth. So yeah, you would just want to make the most out of it. And I think if you attack summer by making the most out of it, it goes by really quickly because you're busy all the time. Good busy, but busy, right? Yeah. Yeah. |
|James| Yeah. And on the flip side of that, I mean, we've had a lot of hot, really sunny days, which is, you know, haven't minded it. The mornings, the evenings are cool. And then the middle of the day, we just sort of stay in the shade and lay low. But, um, you know, I was also thinking how every once in a while, it's nice to have a rainy day. It almost like is an excuse to stay inside and do some quieter activities. And lo and behold, uh, today I was, uh, the reason we're, I jumped on our recording right at the last minute here. I was, I was out for a bike ride this morning. I was, I always try to get out before it gets too hot and As I was coming home, I was about a mile and a half from home and you could just see this wall of weather coming, like this massive storm blowing in and the wind started picking up really strong. And I felt like, do you know that scene in, um, secret life of Walter Mitty where he's in Iceland and the volcano is encroaching behind him and he's like pedaling like crazy down the road on his borrowed bike. And that's how I felt kind of looking over my shoulder as this wall of weather descended on me. And I just made it home and got drenched. But, uh, Yeah, it's nice to nice to have a good summer storm. So that's what what's blowing through right now. |
|Jason Heaton|Yeah, no, I think I saw an Instagram. I haven't been using Instagram all that much. But I think I saw in there that the defenders back up and did the lights are working that sort of thing. |
|James|Oh, just in the nick of time because I you know, we're kind of we're kind of short a vehicle and I wanted to drive that one to Chicago for windup. So Ghoshani would have kind of our reliable Volvo here for for what she needs while I'm gone. And yeah, the you know, the shop I had it there for a couple of couple of months actually, it was just after we got back from Scotland that the brake lights and the indicator lights at the back stopped working. And I was kind of at wit's end. So I went and left it at the shop where I bought it and that they were going to get around to it. But finally, you know, the guy's like, you know, you might as well just come over here and fiddle with it and we can lend advice where we can, but we're not, we're not going to get around to it. Cause they're, they're not a repair shop. They, they, they fix up and sell, you know, $80,000 defenders. They're not in the business of like fiddling, uh, fiddling with some guy's old, uh, old, corroded lights. So I ordered a set of, of LEDs for the markers and the, um, and the brake lights and tail lights. And, you know, after a lot of frustration, the, the advice that the guy there gave me, he said, just unplug everything at the back and start from scratch and use a multimeter and test every wire for power. And then he had this great cheat sheet that was just the, the color codes for all the wires and what they go to. And then I just plugged stuff in one by one.  And got it all working, got it all back together. |
|Jason Heaton|So it was a bit of a triumph. Did you end up finding like an obvious problem or? |
|James|You know, I mean, I think just cleaning up all those connectors and I put all new bullet connectors and kind of the hubs for those and new ground wires and all that kind of stuff. And now it's all buttoned up pretty well. So yeah, knock on wood, it's all solved and running well. So happy to have it back.  And, uh, with, uh, with any luck, that's what, uh, that's what will be parked outside of venue, venue West again, like last year. |
|Jason Heaton|Um, uh, looking forward to, yeah, that's going to be a fun weekend. |
