
# The Grey NATO – 246 – Slack "Crew & A" #3
Published on Thu, 13 Jul 2023 06:00:00 -0400



## Synopsis
Jason and James discuss plans for the upcoming Windup Watch Fair in Chicago, including doing a live podcast recording with the team from Worn & Wound, having office hours at the Citizen booth, and hosting a TGN meetup at Great Central Brewing. They reminisce about past Windup experiences and look forward to connecting with listeners in person.

They go through a series of questions submitted by listeners in the TGN Slack community, covering topics like unconventional uses for watch bezels, ideal guest interview subjects, packing strategies for travel, experiences that the podcast has inspired in listeners, and scenarios around forgetting to pack a watch. The questions spark entertaining discussions blending humor, personal anecdotes, and insights into their philosophy on watches, travel, and community-building.

## Links
- [episode page](https://thegreynato.substack.com/p/246slackqa3)
- [episode MP3](https://www.buzzsprout.com/2049759/13213400-the-grey-nato-246-slack-crew-a-3.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 246, and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and interested in supporting the show yourself, please visit thegraynado.com for more details. Hey, Jason, how are we doing? So it's almost wind up. |
|James Stacey| It is almost wind up. I feel like we've been talking about this for months now. I'm ready to kind of, uh, you know, light the candle and get on with the show here. I think, uh, um, and I hate to be the one to, to, to, to say this, but, um, you know, when this episode goes up or, or this weekend, we are, we're halfway through summer, which is a really sad, sad state of affairs. I mean, I was thinking about that this morning. I got up and it's kind of, you know, we've had a hot summer, but I haven't minded it. I mean, compared to our everlasting winter.  Yeah. I mean, just around here, I'm just, I'm just basking in it. Just kind of doing the usual summer stuff. I went kayaking over the weekend and I try to get out for walks and gardening and whatnot. So, um, Chicago feels like, uh, feels like it's become a summer tradition for us. |
|Jason Heaton|Totally. So that's going to be July 15th and 16th. We'll be camped out for office hours at the citizen booth on Saturday afternoon from two till four. Otherwise we're just gonna be kicking around the show. So if you see a couple of tall guys, it might be us.  Uh, we might, we should be recognizable very, uh, with, with what we're wearing on our head. That should be kind of fun. Uh, we're also going to do a record. |
|James Stacey|That could be misinterpreted. I don't know. People are, people's imaginations are going to go wild. Yeah. |
|Unknown|Oh yeah. |
|Jason Heaton|Like moose antlers or something. Exactly. Those ones that hold the beers with the straws. We're just going to have hats. If you see a couple of guys, tall guys in orange hats, it's probably us. Um, we're kind of showing off a new, a new thing at the show.  More details on that soon. We're also going to be recording a live podcast at 2 p.m. with the folks from WarnerWound. But the big news is we're throwing a TGN meetup with Citizen Saturday evening. That's the 15th as after windup closes for the day, 630 to 830 at Great Central Brewing. Come hang out with us and Citizen. Grab a beer. We're working on a little a few different options for bites. Haven't sorted out all that yet, but it'll be good. We're going to have a great time.  You don't have to RSVP. You can show up, hang out, have a beer, say hi, and carry on with your evening, of course. And so we're really pumped for that. And, uh, yeah, by the time this episode goes live, I'll, uh, I'll be, you know, packing a backpack and making sure, uh, camera batteries charged. |
|James Stacey|Yeah. I mean, I feel like it's going to come and go very quickly. I think, you know, we've got a pretty packed schedule. I'm, I'm doing some diving on Saturday morning with a small group and then, and then off to the show. And then, um, it's going to be fun to, to kind of be camped out at the citizen booth. You know, last year we had our own, booth at the show, which, which was great. We got to meet a lot of people, but, um, our attentions were pulled in multiple directions. And I don't feel like we got time to say hi to as many people as I would have liked to. So hopefully that gives us kind of a grounding and a place to kind of camp out for people to come and say hello. And then we'll also have time to go visit some of our other chums over at, at some of the other brands. So should be, uh, should be great. And then, yeah, we're recording on, on Sunday at two o'clock with, uh, with the guys from worn and wound, which is, uh, they're always fun to hang around with. |
|Jason Heaton| Totally. Yeah. I'm looking forward to all of that. It's going to be a good time. What else is new? How, how, how has your last week been? |
|James Stacey|Yeah. Not as busy as yours. As you said, you've been moving. I've been just, you know, doing stuff around here. Um, you know, tinkering around in the garden and I took the roof rack off the defender for the, the road trip, hoping to, to gain a few miles per gallon. Sure. I mean, you know, you mentioned our mysterious, uh, headwear at, at windup. Well, uh, we kind of got the final piece delivered here for our upcoming summer merchandise bundle.  which we'll be announcing probably a week or two after we get back from windup and ready to, to ship those out. I think people are going to be really, really excited to see what we've got. I'm excited for this, this particular bundle. |
