
# The Grey NATO - 248 – Slack "Crew & A" #4 (The Finale)
Published on Thu, 27 Jul 2023 06:00:00 -0400



## Synopsis
The hosts Jason and James discuss a variety of topics in this podcast episode. They talk about Jason's recent trip to a cottage where he enjoyed snorkeling and swimming in the lake. James mentions a meet-up he attended where he bought a new watch. They also discuss the new TGN summer bundle available in their shop, which includes a baseball cap, kerchiefs, lapel pins, and stickers. Jason shares his thoughts on the Longines Spirit Zulu watch he's been wearing, and James talks about the new watches he's acquired recently, including a Zodiac C Kron, a vintage TAG Heuer Super Professional, and an Accutron Space View. They then answer questions from their Slack community, covering topics such as architecture, stoicism, and the influences that shaped their personal development.

## Links
- [episode page](https://thegreynato.substack.com/p/248-crewanda4)
- [episode MP3](https://www.buzzsprout.com/2049759/13297121-the-grey-nato-248-slack-crew-a-4-the-finale.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome to another episode of The Graynado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 248 and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and interested in supporting the show, please visit thegraynado.com for more details. James, how's it going? |
|Jason Heaton| Hey, Jason, not too bad. Staying cool down here in my basement. How about you? |
|James|Yeah, I pre-cooled the room that I record in. I had the AC cranked up and now I shut it off for noise purposes. But yeah, it feels like summer is never ending at this point. It's hot here as it sounds like it is there too. |
|Jason Heaton|Yeah, I'm loving it. We just got back from six days at the cottage. So, you know, lots of dock jumping and snorkeling and all that kind of stuff. So I had a real blast.  over the last few days, came back to sort a few things out in the city, do a recording, that sort of stuff, and then we'll probably head right back up to the cottage and enjoy what looks to be a plenty warm weekend in a day or two. |
|James|Nice to be near a body of water for that. |
|Jason Heaton|Oh, absolutely. Yeah, the lake was nice and warm. Apple Watch said it was 24 Celsius, so it's definitely a warm lake. Wow. But we did several hours of snorkeling. I've got We were basically just taking like a golf ball and hucking it into the lake and then going to find it. Oh, nice. So we did that for a really long time and I got both of my daughters finning all the way down to the bottom to pick it up. It's about six or seven feet. Yeah. So yeah, it was a pretty good successful run. My youngest definitely needs a mask that actually fits her. So we'll probably... I have to take my regs in to get them serviced tomorrow and pick up some other gear for some diving that's coming up. So I think she's going to get a mask and I think I'm going to I think I'm going to drop the split fins. I think we're going to go with a new set of fins as well. We'll see. Nice. Crystal's teasing me enough about the split fins. Yeah, right. How have you been? |
|James|Yeah, you know, just moving slow, staying in the shade during the hot part of the day. Last week we had we had this get together, you know, Blake I didn't do a full head count, but I would say 20 people at least. And it's good to see Blake again shortly after wind up and we had some beers and people brought watches and I bought a watch, which I'll talk about in a bit here. But, uh, Ooh, yeah, it was a good time. Yeah. It was a good time. It was a good time. It was a good time. It was a good time. It was a good time. It was a good time. It was a good time. It was a good time. It was a good time. It was a good time. It was a good time. It was a good time. It was a good time.  Good turnout. Good, good fun. Felt, it felt like a proper sort of summer brewery get together with some, with some friends. Uh, not long after windup. |
|Unknown|Yeah. |
|Jason Heaton|And I guess you got back and a couple of days later decided to make your life quite busy. You're a FedEx man again. |
