
# The Grey NATO – 249 – Kristin Harila On Her Record-Breaking Push To Climb All 8000m Peaks In Just Three Months
Published on Thu, 03 Aug 2023 06:00:00 -0400



## Synopsis
The episode features an interview with Kristen Harila, a Norwegian athlete who recently set a record for climbing all 14 of the 8,000-meter peaks in just over 3 months. Kristen discusses the immense physical and logistical challenges involved in this feat, such as pushing through exhaustion, food poisoning, and unfavorable weather conditions. She shares insights into her preparation, gear choices (including her beloved Bremont watches), and the importance of her support team. Kristen also reflects on her journey from cross-country skiing to mountaineering and her future plans for a slightly more "normal" life, at least for a while.

## Links
- [episode page](https://thegreynato.substack.com/p/249kristinharila)
- [episode MP3](https://www.buzzsprout.com/2049759/13333278-the-grey-nato-249-kristin-harila-on-her-record-breaking-push-to-climb-all-8000m-peaks-in-just-three-months.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello, and welcome to another episode of The Gray Nato. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 249, and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support, and if you're listening and interested in supporting the show, please visit thegraynato.com for more details. Hey, Jason, not bad. That was one try. I am at optimal caffeination, I believe. |
|James| It's a fine balance, isn't it? Totally. Yeah. I'm excited for the show too. I mean, what, I can't believe we were able to finally pull this off. You know, this, obviously the, if you've, if you've seen the title for, for episode two 49, you know what you're in store for. And, uh, it's, it was just a thrill for us. And, and it's been literally like a year and a half in the making, right? Because we, we talked about doing this last year when, when Kristen was, uh, made her first attempt on the, on the 14 peaks, but I'm jumping ahead. |
|Jason Heaton|How are you doing? I'm doing really well. Yeah. I mean, kind of running on the high of just having talked with Kristen, like we just got off the line with her. Yeah. And then you and I were just catching up about some like dive logistics for a vacation coming up. So I've got to kind of like a lot of good things on my mind right now. Yeah. The chat was super fun. We'll get to it in just a few minutes. That'll be most of the episode today. Uh, but yeah, things, things have been really good on my end. Uh, I'm, I'm home for, I think then at least the next few days before going back up to the cottage.  kind of endlessly rearranging my office and trying to decide about little bits of kit. I ordered some speakers. So if I like them, I'll, we'll talk about those in a, in a future, like some desktop monitors, uh, which I hope mean I could edit the show occasionally without headphones. Oh, wow. Nice. That's kind of all I was up to, you know, the, over the last, uh, two weeks or so I was at the cottage for almost all of it, which was really nice. And we did a ton of snorkeling, like I talked about on the last episode.  And yeah, other than that, just getting some some kit together for vacation. We're taking a break. This will be the last episode for two weeks. We come back August 24th. And during that time, I'm going to swing down to Mexico with my wife for, I would say, mostly a vacation, but also some diving. She's going to finish her certification and we'll get some dives in as well. So you and I were just having kind of a prolonged, on my side, hand-wringing conversation about whether or not I bother to bring all my own gear.  Uh, for the dives in Mexico, or if I just go with like a mask and a computer. So I'm still up in the air. I haven't decided. |
|James|Well, I'm, I'm sure you, you'll probably be thinking about it right before the last minute. And there are plenty of opinions, you know, on the, on the Slack group and otherwise. And I, as I said, before we started recording, they're always pros and cons to, uh, to bring your own gear, um, depending on whether it's diving or anything else. Um, there's advantages to traveling light, but also the familiarity of your own stuff. So totally where you land on that. |
|Jason Heaton| Yeah, I'm trying to decide if it's like is the vacation part of it the most ideal because at that point I could literally go with like a fanny pack. Yeah, and and a roller with our clothes in it. It's just and then not not worry about it or is the diving more the priority and in my mind it probably isn't. Yeah, I have another opportunity at least one more opportunity to dive in September and for that scenario, which you'll hear a lot about on the show coming up.  Um, I will definitely want my own gear. It'll be fun to have it and use it for that. So I haven't quite decided yet, but the regs are all tuned up. I had the BC in the lake this weekend, uh, just making sure it held air, I guess. Um, and, uh, it seemed to do just fine. Minimal bubbles from the Ziegel. Otherwise, yeah. Contemplating fins that, you know, I'm back in the dive space. So you're just immediately talking about gear. Yeah. Yeah, totally.  Yeah. I forgot how nice it was for those years when I was diving a lot in Vancouver where like once I had my kit, I was done. Right. You went to the, went to the storage unit, got it out and went going. |
|James|Yeah. I'm, I'm kind of in the same boat, although I'm not debating whether or not to bring my gear. I've got a trip coming up. Actually it's the, it's the week we have an episode going live. I'll be, I'll be gone as well. I'm, uh, I'm going down to Ecuador for, for a week of diving with, um, the Manta trust. So this is a nonprofit organization that's, made up of, of researchers from all over the world who's, who study manta rays. And, um, they're underwritten largely by Carl F. Bucherer, the watch company. Um, and the place that we're going is, is an island off of the, uh, Pacific coast of Ecuador called, uh, Ila de la Plata, which, um, boasts the largest concentration of mantas every year in August and September, as well as the largest specimens. You know, they're like 30 feet across and Um, and it also happens to be humpback whale migration season right in the same area. So it's, um, I'm really excited. This has been in the works for, for several months and, and Booker has, uh, uh, sort of contracted me to, to do some, some content creation for them, uh, for their social media and blogs and things. Uh, and I'm just excited to kind of be on the ground with this research group where we'll be diving a couple of times every day with, uh, with mantas, uh, in the Pacific. So, um, Definitely bringing my own gear for that as well as an underwater camera rig and, and whatever. So it's a totally pretty excited for that. That's a, that's from the 19th through, I guess, whatever it is, the 26th. So, um, well, we'll, we'll, we'll certainly have to pre-record an episode to run, uh, the week that I'm gone, but, uh, yeah, we'll, we'll both be underwater, um, somewhat South of where we are now. Uh, I'll, I'll actually be in the Southern hemisphere, which is always a kind of a novel. Yeah, that's cool. Yeah. Yeah.  Uh, where I'm told it's winter, uh, the guy who's organizing the trip said, you know, bring a fleece spring, you know, bring a cap. It gets a little chilly, uh, in the nights and on the dive boat on the, on the ride back. So, uh, yeah, that'll be fun. |
|Jason Heaton|That's going to be great. I can't wait to hear more about that. And it links up with something that we might start doing, or we're hoping we'll start doing with the, uh, sub stack. So, uh, if those of you who are on sort of the paid side of the line, uh, look forward to, uh, some, something we have planned for probably, I guess, September. Yeah.  Uh, would be kind of the first kickoff for that, but yeah. |
|James|And in the meantime, it's been, it's been, um, packing and shipping bundles. Uh, you know, we, we announced, we announced last week on episode two 48 that we've launched our summer bundle for 2023. Sorry. It's a little late in the summer, but, uh, it's pretty evergreen gear. Um, we've got the orange baseball cap. We've got a new kerchief set from Ken Toneman with kind of a climbing theme, uh, this time around, uh, a pin and a couple of stickers, one of which is fully loomed and glows in the dark. So.  Um, it's, it's a fun kid at the response has been amazing. We actually don't have that many bundles left. We're, we're well below, uh, I would say a hundred if not below 80 at this point. Um, and they're, they're going fast. And so, uh, you know, if you, if you've been debating whether or not to order, um, don't, don't wait too long cause they probably will be gone. That said, uh, if you have ordered, um, recently, you probably noticed you might've gotten an email with, you know, label created, uh, somehow in the, in the title.  uh, from FedEx, um, we're waiting on a restock of the pins. That's kind of the missing piece to, to the bundle. We had a couple of hundred to start with and those orders did go out and people have received them and it's been fun to see caps on people's heads. But, um, those of you that ordered, Oh, I would say even since, uh, late last week, um, you'll, you'll be waiting a bit longer until we get the pins in and then we'll just quickly pack those up and ship them out. But, uh, yeah, it's been fun. |
|Jason Heaton| Yeah, let me put it right on the record. A huge thank you to Jason for, uh, and Ghoshani for handling a lot, uh, all of the shipping and logistics they're in for the bundle. But, uh, I'm thrilled to have it, uh, uh, in hand. I've been wearing the hat a ton, uh, and, uh, it'll certainly come down to Mexico with me, get some, some good sunshine down there. |
