
# The Grey Nato Ep 25  - Dream Watches 2017
Published on Tue, 10 Jan 2017 09:07:59 -0500



## Synopsis
The podcast hosts Jason Heaton and James Stacy discuss their dream watches for 2017, sharing the specific models and features they hope various brands will release this year. They express their desire for a more basic and affordable Blancpain Fifty Fathoms dive watch, a Tudor Pelagos GMT, a Jaeger-LeCoultre pilot's watch inspired by the Mark 11, a Lange & Sohne sports watch, and a revival of Seiko's vintage World Timer model. They also touch upon New Year's resolutions, minimalism, new gear acquisitions, and recommendations for a movie, documentary series, and fitness equipment.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-25-dream-watches-2017)
- [episode MP3](https://www.buzzsprout.com/2049759/11311096-the-grey-nato-ep-25-dream-watches-2017.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacy| Hello. Hey man, how's it going? Good. Good. Happy New Year. Yeah. Happy New Year to you. You feeling fresh? |
|Jason Heaton|I do. I feel, I feel really good. Um, what do you say? Should we do a show? |
|James Stacy|Yeah, let's do it for sure. |
|Jason Heaton|Welcome back to the Graynado with Jason Heaton and James Stacy, a loose discussion of travel, adventure, diving, gear, and most certainly watches. Thank you so much for listening. |
|James Stacy| So this is episode 25 of the Graynado. We're into our second year. We changed up the schedule a little bit to synchronize with SIHH, which starts kind of in the next little while, depending on when you're listening to this in a week. And yeah, so we took an extra week off. Jason, was that time off good for you? You feeling good? I know you're battling with a bit of sickness, which I was too. It's just that time of year, right? |
|Jason Heaton|Yeah, I'm feeling good now. I'm fine of kind of a day or two past the worst of it and I've since passed along the sickness to my wife, but, um, I, you know, I was sick pretty much from Christmas through New Year's, but, uh, you know, it was a good excuse to kind of just lie around and, and, uh, sit by the fire and relax, which is something I really kind of was craving anyway. |
|James Stacy|So, yeah, you got to charge the batteries. You've been in a lot of trips too. So I ended up, uh, I ended up, you know, flying home back East towards, uh, the Hamilton area of Ontario, Canada. |
|Unknown|Yeah. |
|James Stacy| and visiting family and friends, and it was awesome. It was a really fun time to see everyone, but it was really wore me out. Yeah, I can imagine. So I'm just kind of catching up a little bit on that, and then I'll just get my batteries kind of charged up in time for SIHH, which is good. Yeah. So, you know, it's New Year's, so I think the, you know, anything you're feeling as far as resolutions, are you a resolution guy? I don't know. |
|Jason Heaton|I used to be. I'm not so much into resolutions anymore, although it's always a good excuse this time of year to kind of check, check in on what worked and what, what you want to do differently. And I'm for sure, I think in our last episode, I was telling you how I was just kind of ready for some downtime and you joked that, you know, we'd start to see a lot of fireplace pictures on my Instagram feed, which I'm sure you already have. But, uh, sure. That's kind of what I want to do. I mean, if I have any resolutions, it's to just kind of do stuff a little closer to home, maybe travel a little bit less. I mean, I love to travel, but you know, there's plenty to do if not within a driving radius of home, uh, in, in Minnesota where I am, you know, even in the U S or Canada, I mean, just get out. I'd love to get into the mountains a little more, you know, do some more great lakes diving, maybe some backpacking, some road trips, that sort of stuff. Um, I'm sure dive trips will come up and, and some adventures. We'll do a TGN summit at some point again this year, but, uh, you bet. I just, I don't know. I, I, I like home. I like, I like to kind of do, um, you know, little adventures that you can get away on the weekend and do stuff. So We'll see how that goes. |
|James Stacy|How about you? Yeah, I mean, I think I'm in a fairly similar position, actually. I'm just looking at the notes and we're saying roughly the same thing. You know, 2016 was a pretty great year. We launched TGN. Freelance stuff went really well for me. So I'd like to kind of maintain that pace if I could, but kind of learn how to better manage that workflow. |
|Unknown|Yeah. |
|James Stacy|To be less admin time, more just actual working and then more just actually enjoying the spaces between having to work.  Right. Definitely. And then, yeah, all I wrote down is more peaks. Yeah. Yeah. If I can get to the top of more mountains or even just on the side of more mountains, that'll be a great year. I'm slowly amassing like a good weekend camping kit. Oh, yeah. Largely in part with your help, Jason. And I just got a new sleeping bag, which I'm really excited about. Nice. And I think once that kit is done, it'll just be kind of planning a week or two in advance. I'm going to go out and do this or that.  And just trying to do as much of that as I can. And pretty locally, I think, because there's just so much nearby that I haven't really experienced. And I always dream of hiking in the Alps or coming with you to a trip to Bonaire. And I think I let some of that boil over the pot in my brain. And I don't necessarily pay attention to the fact that there's tons of great stuff to do like an hour from where I live. |
|Jason Heaton|Oh, yeah. You're so lucky. And I realized that when I came out and visited you.  And, you know, at some point, you know, you'd hate to look back in 10 or 15 years if you're not living there and think, man, you know, I had that right on my back door, you know? So, um, I, you know, for me, 2016 was almost unwittingly, it became a really heavy kind of diving year for me, which, you know, I certainly love diving and, um, but I'd like to balance it a little bit more. I'd love to, uh, to get in a little more mountain shape. I think there was a year when I did some more, um, mountain climbing, like the Mount Rainier year.  And I just, I felt so good, you know, it just feels good to be in the mountains and, and you get that fitness back and of course it's beautiful and, and you can have some really cool adventures. So I'd like to kind of do more of a, if not a 50 50 split of kind of hiking and mountain adventures and diving, um, you know, at least do a couple more trips this year. |
