
# The Grey NATO – 250 – Film Club Vol. 10
Published on Thu, 24 Aug 2023 06:00:00 -0400



## Synopsis
The podcast discusses the 250th episode of The Graynado, a show about travel, diving, driving gear, and watches. For this special Film Club Volume 10 episode, Jason and his co-host share their top 5 movie picks from different genres and time periods, including Ronin (1998), The Talented Mr. Ripley (1999), Snatch (2000), To Catch a Thief (1955), The Silence of the Lambs (1991), The Departed (2006), Charade (1963), Play Misty for Me (1971), The Killing Fields (1984), and Annihilation (2018). They provide detailed synopses, discuss the films' merits, and share personal connections to some of the movies.

## Links
- [episode page](https://thegreynato.substack.com/p/filmclub10)
- [episode MP3](https://www.buzzsprout.com/2049759/13457876-the-grey-nato-250-film-club-vol-10.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of the Graynado, a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 250 and it's proudly brought to you by, well, not so recently formed TGN supporter crew. And we thank you all so much for your continued support all these episodes. And if you'd like to support the show and aren't already, please visit thegraynado.com for more details. Gosh, uh, 250, we're a quarter of the way to, a thousand episodes. When will we get there? My goodness. |
|Co-host|I don't, I don't know if we'll make it to a thousand. Let's be clear. But I also had no idea that we'd make it to two 50. Yeah. Uh, this is a, this feels like kind of a, like a bigger number. This feels a bit like a hundred, like two 50, you know, yeah, we are one quarter of the way to something like a thousand. I'm trying to think if I listened to any podcasts that have four digits, I don't think so. Oh, I have, I have a couple that I've been listening to like for a very long time. Like my brother, my brother in me is a very longstanding, like, comedy podcast from three brothers. Um, and I feel like they're in the seven hundreds. Ooh, wow. Granted, I guess we were somewhat slowed down by the fact that for, for those of you who, who didn't jump in on TGN really early, we used to be every other week and were for quite a long time until the pandemic. So for the first, what, four and a half years of the show. Yeah, that's true. Uh, we only did every other week. So, uh, sometimes I'll see a podcast that I know started years after us and they're numbers are higher. And I always go like, we really, really kind of slowed the start there with the every other week. But yeah, 250 is amazing. Yeah. Um, I'm super happy with where the show is and where the community is and the rest of it. So I really couldn't be, couldn't have imagined that this is where we would be even after 250 episodes, you know, that's gotta be pushing up on 325 hours, maybe more.  probably more of the show, all things concerned, which is pretty fun. And then, yeah, it's also kind of cool because this is not only episode 250, but it's also Film Club volume 10. So it's, I think it's our longest standing sub franchise. If we're going to give it such a silly name, but it's a good one to run because we're recording this kind of during the first week of the summer break.  And this will cover us for Jason's summer break. I got the timing wrong on the two weeks that I picked to have off. It covers my vacation, but not Jason's. I had it shifted by one week. So this way, this episode will come out the first week back from our vacation, but it'll be kind of not that heavy in terms of like watch news. If some insane watch news happens after August 8th, my apologies, we'll get to it in episode 251. |
|Jason Heaton| Yeah. I mean, that's, it seems like, uh, what this, this episode won't run for another three weeks. So yeah, our, our chit chat sections a bit, a bit of a moot point. I mean, by the time we, you know, if we did a weather report here, it'd be more summery and chances are the next time we record, it's going to be a hate to say it, you know, it's going to be like Labor Day week or something end of summer, but we won't, we won't talk about that. Yeah. |
|Co-host|Yeah. I can't, I can't think about it. I was, I was out with some friends recently and I just said, you know, we're, we're closer to snow than we are the start of good.  Yeah. You know, it's, it's too much. It's kind of, yeah. Uh, the summer, summer's blown by, which I suppose is how you, how you want it to go. When people are listening to this episode, you will be in Ecuador to speaking of, uh, you know, kind of warmer climates. But I guess what is the sort of scenario there? I think he said last week that it's a bit on the chilly side this time of year. |
|Jason Heaton|Yeah. That's what, uh, that's what the guys from the Manta trust told me. They said, you know, pack a fleece and a light jacket. Um, cause it's, It's winter in the southern hemisphere. So that that's where I'll be barely in the southern hemisphere. But, uh, yeah, we'll see. I mean, I looked at the weather and it doesn't look, it's not exactly winter as we know it here. So I'm, I'm, I mean, I don't want to get overconfident, but I don't think I'll be, I don't think I'll be that cold. Um, but we'll see. So, yeah, I mean, I'll be, I'll be there when you're listening to this episode. If you're listening to it on the first day, it comes out. Um, you can certainly hit up my, Instagram, if you want any kind of photos or kind of little short reports from, from the field, from where I am. Um, but otherwise we'll, uh, we can certainly talk about, about that trip and your trip to Mexico, uh, in episode two 51, which will be at the end of August. |
|Co-host|Very nice. Yeah, absolutely. Looking forward to that. And the other thing that we will have towards the end of August is more pins for the summer bundle. So if you have your order in for the summer bundle, currently we've paused ordering.  so that we don't end up with more orders than we have stock. The numbers are quite low, so we may turn that back on to finish out the run once you're back from Ecuador, Jason. But right now, we're kind of in a holding pattern, waiting for a few pins. They should arrive like in the next 10 days from when we're recording this. So for everybody who is waiting, one, we appreciate your patience, of course. And two, you should have more movement on your package come towards the end of August, early September. |
|Jason Heaton|Yeah, I should be able to clean, clear out the, uh, the basement, uh, once and for all. Um, yeah, when I'm back, I, I, I spent yesterday kind of prepping, I loaded a bunch of FedEx pouches with the printed labels and kind of staged everything so that, that when I come back, uh, and, and those pins are in hand, it'll be pretty quick to, to get the packages put together and then run off to FedEx and get everybody there, their bundles. So, yeah, thanks everybody for the orders. And, uh, as always, if, if you have a question about your order or if you've received an order and something's amiss, Uh, do just write to us at the gray, NATO, uh, at gmail.com. Or, um, if you're on our Slack community, you can shoot me a DM there as well. |
|Co-host|So for sure. Well, nice. You want to jump into some risk check before we jump further into some films? |
|Jason Heaton|Yeah, definitely. I've been kind of wearing this, uh, Tag Heuer super professional quite a bit lately. I've sort of been swapping that around with that Zodiac C crown that I've got on loan from, from Zodiac.  I kind of can't, can't take this a super professional off. It's for, for a thousand meter water resistant watch. It's surprisingly comfortable. You know, a lot of times these deep diving watches are, are kind of heavy chunks, but this one, um, they managed to kind of keep it fairly slim and light and it wears really nicely on the bracelet. So yeah, that's what I've got on, but you know, who's to say what, by the time this episode goes live, I'll have on my wrist might be a, might be a Carl Bucherer because that's who's underwriting this Manta trust trip.  Sure. If I get a loaner on that trip or who knows. I mean, I haven't decided which watch I'm actually going to wear from here to there. So all will be told in episode 251. How about you? |
