
# The Grey NATO – 251 – The Latest Watches From Oris, Doxa, Longines, And More
Published on Thu, 31 Aug 2023 06:00:00 -0400



## Synopsis
The podcast episode begins with the hosts discussing their recent summer travels and mentioning some new watches they have acquired. They then delve into analyzing and sharing thoughts on several newly released watches, including the Oris Aquis Pro 4000, the Doxa Sub 300 Beta, the Synchron Poseidon Black Edition, the IWC Pilot's Watch Automatic 41 Black Aces, and the new Longines Hydro Conquest GMT models. The hosts also briefly touch upon the new Brew Metric Automatic watch. Towards the end, they share final notes, with one host recommending a video showcasing the diving adventures of the late Stan Waterman, and the other host discussing a travel sling bag he recently purchased from the brand Alpaca.

## Links
- [episode page](https://thegreynato.substack.com/p/251newwatchalert)
- [episode MP3](https://www.buzzsprout.com/2049759/13499922-the-grey-nato-251-the-latest-watches-from-oris-doxa-longines-and-more.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello, and welcome to another episode of The Great NATO. It's a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 251. And it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show, please visit TheGreatNATO.com for more details. Hey, Jason, how you feeling? Sharp and ready to roll after a bit of a summer break and some travel? |
|James| I don't know about sharp, but yeah, ready to roll. I mean, it's been weeks and weeks. Yeah. Welcome back. |
|Jason Heaton|Yeah. Thank you. Yeah. Same to you. Yeah. We actually thought we might cross paths in Miami. I think we maybe missed each other by about an hour as you were leaving and I was coming back from Mexico. |
|James|Yeah. We both back from points South and lots to talk about. I mean, we've got some new watches. Of course, this is the start of, what is it, Geneva Watch Week. |
|Jason Heaton|When we're recording this, yeah, on the Tuesday.  So we're recording this on the 29th. Geneva Watch Day starts today. So most of the watches are largely have been announced and have come out, and then that'll push on towards the 30th. Maybe they don't really do Labor Day in Europe. I'm not sure, but it was kind of a nice quiet season there for August. I think the timing worked out pretty well for both of our trips. Yeah. Yeah. How have you been otherwise? You've been back for a couple of days. How much of that was spent packing|
|James| Yeah, our summer bundles are now end of summer bundles just in the nick of time here. Um, so I got back late Friday night and, um, our, our restock of the pins to complete the bundles had arrived while I was gone. And so I just, uh, kind of jumped right in on Saturday and packed up a few hundred, um, of the outstanding bundle orders and took those over I guess yesterday, so Monday morning to FedEx. And I'm guessing by the time people are listening to this, uh, hopefully most people have received those that FedEx is usually pretty, pretty fast about delivering at least, um, at least domestic stuff. Yeah. Had a little bit of a wrinkle. I, you know, this has become a comedy of errors and clearly I'm on a better podcaster than I am a fulfillment manager. But, um, we did run 42, Uh, short of the loom stickers. So, um, you placed a quick order and, um, I've addressed envelopes to those people who, um, are getting bundles without one of the stickers and we'll ship those out, uh, probably next week when those, when those come. So not much of a delay. And I, I, I didn't want to withhold the caps and kerchiefs and things, uh, any, any further than we needed to. So, um, fear not, everything will be in hand, uh, for everybody, uh, very soon. So.  Appreciate the patience and hope you're, you're loving the bundle. |
|Jason Heaton|Absolutely. Yeah. I think, I think that that all makes sense. And yeah, what are you, what are you going to do? Like, like we said before, we're not great businessmen. Clearly we didn't forecast exactly how this would work out. Yeah. I'm still a little surprised by how well the, the traction of the hat, like I really liked the hat and the sticker and that kind of stuff. But definitely I think we got even more sort of, um, uptake, it was a little quicker than I expected. So yeah, it's, it's, uh, it's something we'll, you know, we'll, we'll pay these lessons forward for the next bundle and make sure that we're fully stocked, uh, before we kind of pop off next time. But I hope everybody loves it when they get them. And, uh, and obviously as Jason mentioned and has mentioned in the past, if you have any trouble with your order or anything like that, please feel free to drop us an email. Uh, that's been working pretty well so far. You know, we've certainly had a few people write in saying, Hey, is the order actually coming? Is it gone? It just says, or, you know, label printed and then nothing. And you're like, oh, label printed, then vacation. So, uh, you know, it's hand fulfilled if, uh, if that makes it a little bit more of an experience. Right. |
|James|This is like artisanal shipping here. Yeah. So, so we're, we're both back from trips and we've got a few new watches to chat about. Um, we probably should just dive right in, but I guess before we do that, what are you wearing today? What did you wear diving? That's maybe that's the, maybe it's the same answer. |
|Jason Heaton| Yeah, it actually is the same answer. I took the Pelagos 39. I wanted to get it diving properly and put some memories into it and that sort of thing. Yeah. So that's what I wore to Mexico. We did eight dives with it. It was great. Really, no complaints whatsoever. Took it down on the rubber strap and it kind of just worked out really well. It was like even hotter than I expected down there. We'll get into more of this in a bit, but yeah, that's what I wore was the Pelagos 39. Since I came back, I kind of jumped back into the Apple Watch a little bit just because it's been It's one of those very busy weeks with the Geneva Watch Days. So the Apple Watch is a great kind of productivity tool. But I took the Pelagos 39 and I took the Garmin Descent Mark II for a dive computer and just a fantastic pair of, you know, kind of tool-ish options from two different parts of the kind of brains, the mind share of watch enthusiasm. |
