
# The Grey NATO – 252 – Blancpain & Swatch Make A Dive Watch (?!), Getting Certified In Cozumel, And Manta Missed Connections In Ecuador
Published on Thu, 07 Sep 2023 05:00:00 -0400



## Synopsis
The episode covers James and Jason's recent diving trips - James to Cozumel, Mexico for a vacation, where he also helped certify his wife as a diver, and Jason to Ecuador with a conservation group studying manta rays, though they unfortunately did not see any mantas on that trip. They discuss the details of their diving experiences, the gear they used, and share observations from their respective trips.

## Links
- [episode page](https://thegreynato.substack.com/p/252-blancpain-swatch-dive-report)
- [episode MP3](https://www.buzzsprout.com/2049759/13543042-the-grey-nato-252-blancpain-swatch-make-a-dive-watch-getting-certified-in-cozumel-and-manta-missed-connections-in-ecuador.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason| Hello and welcome to another episode of The Grey Nato, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 252, and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support, and if you'd like to support the show, please visit thegreynato.com for more details. James, has fall arrived where you are yet? It sure has here. |
|James| We're still getting weather warnings today. Yesterday was like in the 33-34s, which I guess is 101, 198, somewhere in there. I can never remember if it's double it and add 33 or 34, but I've got to be close. It's in the very high 90s, maybe even a little bit higher than that. And I think it's supposed to be the same today. I think it's supposed to break here in probably by the time this episode comes out, but by that time I'll be in New York city for like a day. Oh, and I think it's even hotter in New York right now. I literally tried to pick a hotel so that I wouldn't have to take the subway and I guess it's the fashion week is next week. Yeah. So the hotels are three times the price that I'm used to, maybe four times. Oh boy. Uh, so I'm not sadly, uh, sadly I'm, I'm on my way to midtown trying to get downtown. Um, and, uh, and so I'll, I'll have the fun of showing up to, meetings at the hooding key office, just dripping in sweat, tank top and running shorts on the, on the subway. |
|Jason|That'll have to be the move, right? |
|James|I don't know if I could show up to a hooding key meeting in shorts. |
|Jason|Oh man. Well, I think you must be, I think our weather is always like this 24 hour lag. Cause we had the scorching weather yesterday and then it's a, it's pushed, pushed East clearly and it's overcast and very cool today. Like, like unseasonably cool. So, I have to say I'm welcoming the cool weather for a number of reasons, but it also kind of bodes the arrival of something we don't want to mention just yet. But, you know, I'm trying hard this year to enjoy fall without worrying about what comes next, you know? Sure. Because I do like fall, but I just I don't want it to just be this, you know, this bearer of bad news or, you know, something. |
|James|So, yeah, no, I absolutely agree. It's still very much summer here. I think I can probably stretch summer towards the end of September. Yeah. Um, we'll see certainly, but we've got some travel to, you know, hopefully also warm places coming up in the next, I actually get to see you twice in the coming few weeks, which is going to be really fun. And you'll hear more about those trips in the, in the future. But yeah, I agree. I I'm, I'm, I would say, I don't know if looking, I'm not looking forward to fall in the manner with, in which it replaces summer, but I don't mind fall at all. I love fall. Yeah. So we, we had an incredible nice kind of weekend at the cottage, uh, for labor day. We're recording this a couple of days after labor day.  And interestingly, we never get this treat. But interestingly, there is an embargo lifting just hours before this episode goes up. So we get to talk about something pretty special. It's in the title. Yeah. And it's a brand new swatch collaboration. It's no longer with Omega and the Speedmaster. It is like people have been rumoring a Blancpain Fifty Fathoms Scuba in the System 51 family.  This is a wild watch. Now, I kind of understand how people felt when the Speedmaster came out. The Moon Swatch. Yeah, yeah. I kind of like got a secondhand smoke on that. But with this, I feel like this is like they've made something that I kind of feel very compelled to try and get one. I think they're cool. Yeah, yeah. But this news is still quite fresh. I think the embargo lifted like six hours before this episode or 12 hours before this episode. So we never get this tree Uh, Jason on, on gut from the couple of images, that sort of thing. What, what do you think? |
|Jason|Like love disinterested? I like it. I was excited when I heard the news and I enjoyed watching all of the speculations about what people thought it was going to look like. And some people got kind of close. I mean, I guess the, you know, the 50 fathoms has a, has a certain formula that that's very distinctive. So, you know, it would have been hard to be, be far off with this one, but, uh, you know, this, this feels like the right sort of mix of Blancpain and swatch. I don't think, um, You know, a lot of sort of the more pedantic watch enthusiasts sort of poo poo. This is something that will denigrate the Blancpain brand. You know, look, a lot of people would love to have a 50 fathoms on their wrist, just like they would a Speedmaster, but can't can't necessarily afford their pricing. And it's such kind of a classic dive watch model that it feels like a good fit. And, you know, Blancpain is not, it's not Omega. So the brand, recognition from kind of more of the the swatch crowd versus the Blancpain crowd will be interesting to kind of observe and see see where people come down on it. |
|James|Yeah, I don't think like I'm saying this before the watch is officially announced. Obviously, we recorded this just before the embargo, but I don't think that this is going to have the cultural effect of moonswatch. I think it will be able to hold a mirror to moonswatch, but this is in almost every measure a more esoteric insidery watch, which I think makes it more... Again, I'm so biased because I like but don't love speedies. And if I was thinking of any luxury watch to buy right now, and there was a catalog 40 millimeter-ish 50 Fathoms, it would be so high on my list.  But like your Houdinki LE, Fifty Fathoms, Bathyscaph, I absolutely adore. Yeah. And then to see these ones and look, we've got I'll probably talk too long already without giving you the specs in the event that you are brand new to this idea. You haven't checked the news. You downloaded the podcast. You were offline last night and you're driving to work and you're first hearing about the Blokpond X-Watch Scuba 50. This is a forty two point three millimeter bioceramic Dive watch from Blancpain and Swatch comes in five versions. It's 14.4 millimeters thick. It's 48 millimeters lug to lug and the lugs are drilled. All five versions come on NATO's and come with an EVA like zipper travel case. The colors are loosely blue blue. So the case is blue, the dials blue, a green green with a black bezel, a yellow kind of gradient gray with a black bezel, a it's hard to say white or gray.  with a gray dial and an orangey red bezel, and then one that's kind of all white and grays. Each one takes a direct inspiration from a specific ocean. So I believe the blue-blue is the Atlantic, and it goes on from there. These are 50 fathom water resistance, so 91 meters. Very clever. And they all use the... Yeah, exactly. I like that. And they all use the system 51. So if you had trouble with the quartz in the moon swatch, This is an automatic movement. They're selling these for $400. I'm actually not sure the price will matter because unless you like lineups, I just don't know how hard these will be to get. I would love to be wrong. I would love to think that in the next year, I can pick up one of the blue ones. I do really like it. I like the idea of the blue one. I still regret not, I mean, not that the Neptune I don't think was available when I bought my Moon swatch, but I do want to be careful to buy a case that can take a NATO, like a gray NATO. I'm not going to wear the striped NATO that it comes with.  Yeah. The natos are made out of recycled fishing nets. And sorry, all of the color combinations are also, they're inspired by an ocean, but apparently they're directly linked to a specific, a nudibranch from a specific ocean. Oh, okay. If you want to get that specific. So that's where you see some pretty wild colors. And the other thing that I think people who haven't seen any of the images, if this again is brand new to you, they are not repeating any of the colors used in moonswatch.  These are five brand new colorways to this to the bio ceramic sort of whole thing. Otherwise, it looks a lot like a 50 fathoms. Three of them have the sort of modern dial, very similar to what's available on a 50 fathoms now. And two of them have a sort of retro inspired dial with that sub marker for water ingress, and a vintage logo and that sort of thing. |
|Jason|Do we know if this has a screw in crown? I can't tell from the images, but Do you know for a fact? |
