
# The Grey NATO – 253 – Breaking The Ice
Published on Thu, 14 Sep 2023 06:00:00 -0400



## Synopsis
Jason and Blake discuss a variety of random topics in a casual conversational style, including answering hypothetical questions about life choices, sharing personal anecdotes and preferences, and reflecting on professional experiences. The intent is to have a fun, unstructured conversation that allows the audience to get to know them better beyond just their usualwatch and travel discussions.

## Links
- [episode page](https://thegreynato.substack.com/p/253randomquestions1)
- [episode MP3](https://www.buzzsprout.com/2049759/13580512-the-grey-nato-253-breaking-the-ice.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Blake| Hello, and welcome to another episode of the Great NATO, a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 253. And it's proudly brought to you by the always growing and always exciting TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show, maybe get your hands on a NATO, maybe even get into the slack, please visit thegreatnado.com for more details. Hey, Jason, how you doing? Happy Tuesday. |
|Jason| Happy Tuesday. Yeah. I'm, uh, I'm excited to see you in, uh, what, uh, two days. |
|Blake|Well, actually no tomorrow evening, I think we'll be probably, uh, about, yeah, maybe 30 hours from now, something like that. |
|Jason|Right. Yeah. Trip coming up. Yeah. Actually the next two weeks we'll be. |
|Blake|Yeah. I'll see you twice. It's going to be great. We've got, uh, we have a trip, so we're both on a trip tomorrow in Florida, uh, with Tudor. I think that we're allowed to say that much. I don't actually know anything more. I only just found out the hotel last night. Yeah.  And then the kind of about a week, a little later than a week later, I'll catch you again in Cannes, France for a Blancpain event. Yeah. So some sort of sporty watches coming up, some stuff I'm pretty excited about. It was weird timing for this episode, which we'll get into when we get to the kind of, I don't know, quote unquote, random sort of main topic. But how have you been in the last little while since we recorded last? |
|Jason| Uh, pretty good. Yeah. I mean, just to just sort of got my head down. I've got, you know, the, the trips coming up and then another trip in October and uh, I'm trying to, um, in the final stages of the manuscript for Sweetwater, my, my novel and uh, working with our buddy Paul Andrews and Chris soul on some typesetting and proofreading. Thanks to both of those guys. They're fantastic. They're such pros. Um, and it's, yeah, it's improving right now and I'm aiming for a release in the second half of October if, if all goes well and I'm just, You know, I'm trying to kind of squeeze in that stuff with, with getting ready for these trips, uh, that involve some diving and photography and that sort of stuff. And then, uh, and I'm kind of at the last stages of, of buttoning up some of the work I did in Ecuador for Carl F. Bucherer. So it's kind of like, I've got my fingers in a lot of different things these days, but it's, uh, I was telling you the other day, it's like, you know, I can't complain. It's all fun stuff. It's just, it's all kind of come at once. |
|Blake|Yeah. I mean, that's how it is. It's, you know, it rains, it pours, right? |
|Jason|Right.  What about you? You mentioned before the show, you might have something in your ceiling at home. |
|Blake|Oh yeah. We woke up today with some noise. I think some sort of an animal has gotten into like the soffit or the, maybe the attic. I'm not, I'm not super sure. |
|Jason|The colder weather's coming. They're looking for a place. |
