
# The Grey NATO – 254 – Experiencing The New Tudor Pelagos FXD In Its Natural Habitat
Published on Thu, 21 Sep 2023 06:00:00 -0400



## Synopsis
The hosts discuss their recent experience attending a press trip organized by Tudor watch company to launch their new Pelagos FXD dive watch. They talk about the unique nature of the trip which included visiting the Man in the Sea Museum, meeting former Navy divers, and going diving on a wreck off the Florida coast. They highlight the watch itself and the overall casual, outdoorsy vibe of the event that aligned well with the rugged character of the watch. The hosts also touch on their upcoming trip to France for an event with Blancpain to celebrate a dive watch anniversary.

## Links
- [episode page](https://thegreynato.substack.com/p/254divingthenewtudorfxd)
- [episode MP3](https://www.buzzsprout.com/2049759/13630013-the-grey-nato-254-experiencing-the-new-tudor-pelagos-fxd-in-its-natural-habitat.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 254, and it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show, please visit thegraynado.com for more details.  My name is James Stacy. I'm of course joined as ever with my dive buddy and podcast friend, Jason Heaton. How are we doing? |
|Jason Heaton|Good. Yeah. It's a particularly fun episode here. We just saw each other a few days ago and we're going to be seeing each other in a few more days. So yeah, really cool. |
|James Stacey|Yeah. I guess you're, you're in the air before this one goes live. Um, and I come out a little bit later for this thing in, uh, in France with Blancpain, but yeah, it's been kind of two back to back. Um, at least I'm assuming.  you know, dive watch related trips. Yeah. I still don't have the official word on, uh, on what Blancpain is launching, but I'm sure, you know, given, given the anniversary and the rest of it, that's a safe bet. And then beyond that, yeah, we, we had a great time, a great couple of days in the Gulf coast of Florida with tutor and several other folks, uh, which we'll get to as sort of the main topic of, um, of the show. How was, um, we, we had some struggle getting home. |
|Jason Heaton|Yeah. A little drama, drama sitting on the plane. Yeah. We had a little bit of drama. Yeah. We almost, uh, it was almost like a charter flight. It was, it was so many of us from the trip, uh, sitting there near each other. And all of a sudden they came on and said, uh, there were some air traffic delays and, uh, some of you aren't going to make your connections and everybody was quickly on their phones. And you did the full sprint across a couple of, uh, a couple of concrete courses and we both made our flights. |
|James Stacey| Yeah, it was crazy because we're sitting in the plane and they go, well, there's this issue. And every 20, every two or three minutes, they're giving us a different guess on when it would work out. And like they were wildly different numbers. Yeah. Yeah. Maybe we'll sit for an hour. Maybe we'll sit for 12 minutes. Maybe we'll push back so we can get in line to only sit for 18 minutes. So maybe you still make your flight the rest of it.  I think I had like an hour and five minutes in Atlanta to make my connection. Yeah. Which, but the, the thing that happened that I think cost us the most time and I've in all my flying, this is new to me. So I thought I'd tell the story, but, um, they told people they could get off, like to get, I guess, to get food or maybe to full on like leave, but there's a deboarding procedure where you scan, I assume they put their computer in deboarding mode. And as you go by, you scan your boarding pass and that registers you as no longer on the flight. Yeah. Well, I guess two guys got off the flight in a huff, then got in an argument with the folks at the counter and wouldn't identify themselves. They wouldn't scan, they wouldn't do what they were told. And they just attempted to leave the airport. And so it became like an air traffic control and a police matter. And then they had everybody like returned to their seats. They looked at the two empty seats. They called for these people's names first and last name. I could have sat there looking these guys up on Instagram.  And then said, all right, well now we know who we need. And they like left and closed the door on the plane and we like got underway. But man, we got to, um, we got to Atlanta at a B gate and I think I had to get to a D gate or the other way around. Yeah. And the train for the Atlanta airport was down or on like supplemental service. Like it wasn't running as fast as it, or as normally as it should. So if you know, like you basically, come down out of a concourse, one of the numbered concourses down into a long tunnel that connects all of them. And you can walk that tunnel or you can take the train along the side of the tunnel. And the train is infinitely faster unless you just have to go one concourse. But the issue was, it was kind of like twofold. I needed to, I think I had 14 minutes to get from, like when I said goodbye to you and everybody else we were near on the plane, I just started running.  I don't think I've run that hard in years because I really did want to get home. I didn't want to deal with having to get in line with Delta and sort out the next flight. And so far the app hadn't rebooked me. So I thought like, Hey, the app believes I'm going to make it, I'm going to go for it. And I got down the escalator. And of course, because the trains are slow, the hallway, the tunnel is full. Yeah. It's like, I'm running hard enough to like my vans are squeaking on the floor when I'm like deacon around people and try not to like you know, crash into somebody with my roller bag and the rest of it, but I just made it. Wow. Um, I just made it to the end. And it was so obvious that I had been running that the woman I sat down next to this really nice woman from Atlanta, who's going to a wedding in Toronto this weekend. Uh, she gave me her water. She's like, ah, you're what's going on. I was like, I just ran to Concord. She's like, all right, you can have my water. It's got to look ridiculous when you're like comfortably sitting in your, in your seat. |
|Jason Heaton|Yeah. |
|James Stacey| Some six foot three knucklehead covered in sweat, like looking kind of angry and disheveled, like shows up and sits next to you. She was very nice. |
|Jason Heaton|Yeah. My transit wasn't quite as dramatic, although I did walk very fast and I got, I went from one plane right onto the next. And then my concern wasn't a huge concern was that my, my checked bag with all my kind of soggy dive gear and some other stuff in it, dirty laundry, I guess, wouldn't make it back. But I figured just going home, they'll deliver it a day later.  Um, but man, to my surprise, Delta, you know, hats off. They, they got that bag on the, on the plane with me, which, which was shocking because I think it was like a 20 minute turnaround. |
|James Stacey|So. Cause you, you texted me like I made it and I was like, I'm in my seat. |
|Jason Heaton|I couldn't believe you were in your seat already. That was crazy. |
|James Stacey|Yeah. I don't think I could have moved any faster, like without hurting somebody or yourself. Like if the wrong, if the wrong, you know, older folk with a Walker, like stepped into my lane at the wrong moment. We were going to have a multiple car pile up in, you know, in the concourse between C and D. Yeah. |
|Jason Heaton|I saw you disappear into the distance as I was hustling to my gate. That was crazy. |
|James Stacey|Yeah. So that was, that was a bit of drama. And then I got home late that evening and, um, and then, uh, family's ill. They've got, uh, there's kind of a cough going through the fam. So it's been kind of a busy week doing work and kids and doctor's appointments and that kind of stuff. So always a treat to sit down and take a little break and chit chat with you. And we've, we've got kind of a fun one coming up. What else has kind of been been on your radar since we recorded the icebreaker episode, which weirdly kind of worked out. People seem to enjoy it. |
|Jason Heaton|Yeah. And I did too. I I'd like to do some more of that kind of a sort of off the wall episode. That was, that was a good time. And, and, and people did seem to dig that. But since I got home, Uh, you know, I mean, it's been kind of back to back to back trips. I had Ecuador and then Florida. And then, uh, I leave, we're recording this on a Tuesday, leave tomorrow for France. And I'm going a little earlier than you. I've I'm moderating a panel discussion about Blancpain's ocean commitment program on, on Friday evening at the hotel where we're all staying at. So I guess the, the folks that are coming in earlier, we'll be attending that. I'm not sure who that is, if it's more of the European.  journalist crowd or whatever. But, uh, I'm doing that Friday night, so I've got to be there Thursday to kind of button up some details about that. And then I guess I'm doing a little diving again on Friday morning in the Mediterranean. So my, my, my gear is barely dry and it's already packed again. And then, and then we've got the big main event, which is on Saturday evening, which looks pretty, pretty wild. I mean, you know, the tutor trip was a blast and we'll get into that, but it was, It was so fun for a number of reasons. This trip will be fun. It'll be interesting, but I believe it's going to be on a very different kind of level of luxury, you know, south of France and they're talking Michelin star chefs and dinner on an Island and that sort of stuff. But we'll, we'll get to all that, uh, I guess next week and next week's episode. Um, but other than that, I, you know, if you remember back in July at wind up, I did that morning dive, um, courtesy of Ben Ruse, uh, and worn and wound and, A lot, a lot of the same characters that were on our dive boat in Florida were also on that boat. And I wrote up a story for Worn and Wound about the new Benrus and it's finally launching. It will have launched actually by the time this episode goes up and we'll throw a link in the show notes to my review of that. But I, I just really like what Worn and Wound did with the photos and then they put together a really nicely done video of, of our day of diving, which, which is really cool. So we'll share that with, with folks, but man, July seems like ages ago. I mean, doesn't it? |
|James Stacey| It really does, man. Like, I mean, yeah, I moved in July and it feels like I've been here for a while at this point. And then like with, it's crazy how the, like maybe it's just me, maybe you feel the same way because we spend enough time together digitally. But like, I still feel like I haven't found the pace I had before the pandemic.  Yeah. Like having two or three trips in a month feels untenable to manage the rest of the work. And I know that like my workload changed several times over the pandemic and I do different stuff now than I did before. It was significantly different. Yeah. But like back in the day, it wasn't that much of a stretch to spend 10 days on the road. Right. And it really isn't to be honest. But yeah, I just feel like I haven't, I haven't like figured everything out yet. Like normally I would already have my bag kind of packed. I still haven't unpacked from Tudor, which means my rag is sitting with my clothes in my bag. |
|Unknown| Oh, wow. Yeah. |
|James Stacey|So all those that's going to take some time. Luckily, I'd like I'm only in I get in Saturday morning. Yeah. To this thing. And I go back Saturday, Sunday morning. So I only need like one and a half outfits. Yeah. I'm considering only taking a camera bag. It depends on how much recording gear we end up needing. Yeah. Right. But at this point, I am on the edge of like putting a camera on top of a spare pair of jeans and a T-shirt.  and showing up to France like that. Yeah. And thankfully, uh, this is, you know, you never really know, especially with a brand like Blancpain, a big event, it's not black tie. So I don't have to do the tux thing. It's like, I think it's actually like casual chic, which is, uh, which is kind of a plus, right. Um, kind of a little bit easier to, to manage this time of year. Um, but yeah, I think, I think it'll be an interesting trip. I agree. |
|Jason Heaton| Yeah. I think the word chic is being overused these days. In fact, I'm still never quite sure. |
|James Stacey|It doesn't mean that much. Like you can't say casual. Like you obviously don't want people showing up in track suits necessarily. Right. Yeah. But yeah, like I, I don't, I don't really know what the, what casual chic would have been called 10 years ago. Probably maybe casual chic, maybe 20 years ago. I don't know. Yeah. Yeah. But yeah, I assume we're like, you know, that's a blazer. |
|Jason Heaton|Right. Right. Yeah. But they did say bring comfortable shoes. That was the, that's been, they always say that and I never do. |
|Unknown|Yeah. |
|James Stacey| Right. I will probably wear the loafers that look the best and hurt the most. Yeah. |
|Jason Heaton|All right. Well, I'll be seeing you Saturday, Saturday afternoon at the, at the hotel. That'll be, that'll be fun to catch up again. And hopefully we'll get to do a little bit of recording there, but stand by for that. We're still working out some details. So. |
|James Stacey|Yeah, that may happen or it may not, but I also think the person that we might be able to chat with would be fine to do on zoom as well. If they end up busy, they're a very busy person. Yeah.  But Hey, if we bring the gear and, and even if they're not available, maybe we can, we can get an episode in while we're in the same room anyways. Yeah. |
|Jason Heaton|Yeah. Let's try for it. |
|James Stacey|All right. How about a little bit of risk check? |
|Jason Heaton|Yeah, sure. I mean, I'll go first. Mine's a, mine's a bit of a no brainer. I'm, I'm, you know, uh, dressing the part, so to speak for this week, I've got, uh, I've switched out my tutor from last week. I've got my, uh, 50 fathoms on the big boy, the, the titanium, um, uh, diver, uh, that I got back in, in February before the Polynesia trip, and I think that's going to be my go-to for the trip. I've been debating that or the bathyscaphe, but that's been glued to Ghoshani's wrist lately, and she can be with me in spirit here. |
|James Stacey|Yeah, I have no idea what to wear. I don't have something appropriate. I don't have a 50 fathoms scuba. I certainly don't have a 50 fathoms in general. |
|Jason Heaton|Yeah, yeah.  Hopefully we'll see some of this, the 50 fathom scubas at some airport swatch boutiques or maybe in France or maybe at the event or something. I'm sure a few people will be wearing them. I would guess. |
|James Stacey|I don't know. Do you just wear like the Aqualand? Like something that the, you know, like I used to always have a G-Shock that I wore to press trips when I didn't have the host brand thing. Scurfa. Hmm.  Yeah, I could do the Scurffa, I could do the CWC, could just wear the Pelagos. Like, what do they care? |
|Jason Heaton|Yeah, right. |
|James Stacey|They probably don't care at all. Yeah. And if it, you know, knowing I don't have a 50 fathoms and then sometimes you go on these trips and you get there and they make you sign some paperwork and you just, they hand you a watch for 24 hours. Right, right. Which I don't think is the vibe with this one. It doesn't seem like that. Probably too many people coming on this trip as well to do something like that. But yeah, I've got, I've got, I've got some options here. |
|Jason Heaton| How about the Mido? I haven't seen the Mido in person. That'd be a cool travel. Kind of, it feels sort of South of France. Yeah. Yeah. |
|James Stacey|And it's Swatch family. Yeah. Yeah. So maybe, maybe the Mido on like a slightly fancier strap. |
|Unknown|Yeah. |
|James Stacey|Uh, something like a, maybe a bit of a leather. I don't know what I've gotten 21, but I can certainly find out. Could put it on the post style canvas as well. Right. |
|Unknown|Yeah. |
|James Stacey|But yeah, currently on my wrist, uh, while we're recording, this is actually the new Bolivar Oceanographer GMT. Uh, so these launched last week.  These aren't a super big secret. They had leaked some time ago. They were on the TGN Slack, but I'd signed the NDA and I respect embargoes. So I didn't kind of lean in and do that one, but I have all three actually on my desk. So there's a steel Pepsi with a 24-hour bezel. There's a steel root beer with like IP plated gold with a 24-hour bezel. And then there's the one I like the most, which is the Lume Dial, which has an IP coated like gun metal, polished gun metal case.  Yeah. And then the bezel and the dial are fully luminous. |
|Jason Heaton|Yeah. These are, these are pretty cool. This was an interesting, uh, sort of iteration of, of the oceanographer, which is a watch that I've, I've liked quite a bit over the years. And I just did, I didn't see this one coming. I'd caught wind of it. Um, like a lot of people, but, uh, yeah, the loom dial one is it's, it's quite different. That's a neat watch. And I like what they did with those very three-dimensional, uh, hour markers to kind of incorporate them in with the 24 hour scale. |
|James Stacey|Yeah. It's a, it's a good job. Um, Very readable, uses the Miyota 9075, so it's a Flyer GMT. Looking at $1,300, I think it's actually $1,295 for the white dial, $1,350 for the ones on the bracelets. Currently, it's an exclusive to the Hodinkee shop, which I'm actually just learning as I scroll down into our intro. I should probably have known that in advance. Yeah, and it's the three versions. I like the lume dial one the most because it has a dive bezel.  But obviously if you're buying this to be kind of a travel watch that you could also wear in the pool or diving, if you wanted that sort of thing, all three are going to do the job. They all have 666 feet of water resistance, you know, a little nod to the devil diver, very much. I think in the range of, of like, if you were keen on a Doxa and you wanted one with a, with a GMT, this is pretty compelling. And it also puts the flyer GMT from a brand that people know into a great price point.  Right? Like Mito does it, but it's not like the, the, the Mito Oceanstar GMT, the Houdinki LE that we were just referencing. And, and yeah, it might be, might be the right pick to take on this, on this trip. They do it. And that's more like just under $1,400 with three straps and, and with an ETA, you know, movement, this uses the Miota. It's a little bit less expensive. I just think more great competition in the GMT space. Yeah. Especially when it comes to a flyer. So I like it quite a bit. I'm wearing it on the rubber that it came with, because I want to give it a fair shake. I really can't warm up to most rubber straps that have, you know, the fitted kind of stiff element next to the case. I've complained about it on Doxxas and many other brands. So I've been wearing this. It's quite comfortable. It is a nice strap. I don't love the aesthetic of the strap. I think this is just a watch that needs a NATO. But yeah, it's been good. I've been enjoying it and I'm working on a story for that as we speak.  Very cool. |
|Jason Heaton|Well, uh, I guess with all that out of the way, we can, we can really dive into, um, so to speak with, uh, with Tudor. I mean, just kind of a rehash of our trip. |
|James Stacey|Yeah. The launch of, uh, a new FXD that a lot of people seems like the, the chorus line is that it's not new. Hmm. Um, I, it's such a weird thing to pick that, especially with a brand like Tudor, like they release a watch and then they release a different color later. Yeah. Yeah. Like I remember getting really hyped about the Navy blue, BB 58, which was like mechanically touch points, all of that identical to the standard one. But with this, it is a slight rethinking of the format that was offered by the MN at the end of 2021, where we now have a conventional dive bezel and it's all black. Granted, those aren't big changes over the standard one, but it is an FXD in black, essentially with a normal unidirectional elapsed time bezel. |
|Jason Heaton| Yeah, I, I think, um, I, I understand people's perspectives when they say, Oh, it's just, it's just black. And, you know, I think that's, that's a bit of a flippant comment that, that I don't exactly agree with. Um, but I will say that I think, I think Tudor has a really smart playbook that they go by, um, with, with a lot of their watches, especially in the black Bay and, and now in the Pelagos family with, you know, they have these options where, you know, we know that they have, We know that they've made an FXD chronograph for the Red Bull racing team that we talked about not long ago. Um, you know, you can see that maybe in the future coming to kind of the standard Pelagos FXD, you know, they can go blue, they can go black, they can go black case, which, which was my guess. I thought this was going to have a black case. I thought it had this sort of, you know, Navy special ops sort of, um, uh, vibe going on. I thought they'd go with a black case, but.  To be honest, when I first saw this watch, when they unveiled it, and I was expecting a black case, I looked at it, I looked at it again, and it really has a different look than the blue. The blue, I will admit, I know everybody loves the blue, the blue always felt a little too bright, maybe a little toy-like, maybe a little, I don't want to say plasticky, but for some reason the black just has a seriousness to it that really resonated with me. And, you know, I've made no secret to you and anybody that was listening down in Florida that I want one of these so badly. I mean, this is, this is, this is, uh, this is my favorite Pelagos by far. And I've had, I had the first generation I've tried and dived, you know, other, other versions. Uh, this one sings to me. This one's really cool. And part of it is, I mean, I just loved wearing it. I loved how comfortable it was. I love that strap. |
|James Stacey|Yeah. The new, the new strap. So the, obviously the blue one came with a blue Velcro and, uh, sorry, let's be fair hook and loop. I actually don't know if it's Velcro and then the, uh, like a long rubber single piece style strap and the new black version, which people are calling the USN, which I don't think is... Makes a lot of sense to me necessarily, because there isn't... Unlike with the MN, where it was kind of specifically designed, this seems more referential in many ways. Yeah. I'm not saying it's not... There aren't folks in the Navy that could have this watch or a version of this watch, but more... This is... In my mind, they probably should have called it the Pelagos FXD Black or something like that, just to make it a little bit clearer. True.  We now have several watches that are called the Pelagos FXD. And I almost wondered, do you think that some of the feedback would have been different if they had gone blue, black, and then the Red Bull ones? I think it was kind of smart to go blue, the wilder Red Bull ones, carbon case, new color scheme that we don't see on Tudor otherwise, this kind of purpley blue and red. And then do the kind of core, this is our modern sort of mil sub.  you had the special bezel complication use for the Commando Hubert. That's not here. This is a very conventional, like in many ways, if you want to say, and I've said this in the past, I've said it in my, in my write-up for this new watch, but if the Pelgos 39 is essentially there like modern 9401, the Tudor sub of today, then this is in many ways kind of the next step beyond that. Aesthetically, the two next to each other looks so similar. Yeah. Yeah.  And I love the 39. I prefer the 39 still to the FXD, but the FXD is a cooler thing with the fixed lugs, the fully graduated bezel, great loom. I was just very impressed by it. It wears just like the blue one. It's a long watch, toe to tip, but it's not unwearable. I don't think that it's too big necessarily. And I think as long as you're happy with the strap and that sort of thing with the fixed lugs, obviously, I think it's definitely a compelling thing. I would still lean towards just how nice the 39 feels on my wrist. It's just the right size. It feels like an everyday watch. But I can't fault you or really anybody else for, again, kind of like appreciating the same thing that I liked about the 39. It's so conventional. Like this is the FXD kind of at its most conventional. Normal bezel, black dial, very matte.  feels very much like, like in, in many ways, aside from maybe the red Pelagos text, which feels very 39. Yeah. This does feel like a, uh, a direct evolution of the original two liner that you had. |
|Jason Heaton|The thing that people, and right, rightfully so, uh, the, the reservation, some people have, and I get this it's, you know, well, you don't get the great bracelet option or, or rubber strap. And I, I get it. Um, you know, the, the Pelagos bracelet is arguably the best in the business. Um, but there's just something about a fixed lug or fixed strap bar, whatever you want to call it, um, diving watch that really sings to me. And I think it's, it's just that purposefulness and just sort of the quirkiness of it. You know, it's, it's like you can only, you can really only dress down this watch, you know, and, and I can see just, just wearing it on a, on a comfy, that strap was very comfortable, the hook and loop that came with it as well as any other NATO would be great. And it's just, I just feel like if I had this watch, it would be, and you know, here, here we go. You know, it's the comment I make about every single watch. It's like that I like, it's like, I would wear this all the time, but I think I would, I think this is kind of like, you know, I'll go for long stretches with the CWC on. And I think it's because it's, it's so, you know, once you, you put like a nylon strap on it, um, it, it almost, uh, it dresses it down to the point where you don't feel like you're wearing a luxury piece and you almost feel compelled to just kind of do everything in it. And with, with less worry, And that's how I kind of feel about this one. |
