
# The Grey NATO – 255 – From France With Love (And The Blancpain Fifty Fathoms Act 3)
Published on Thu, 28 Sep 2023 06:00:00 -0400



## Synopsis
The episode discusses Jason and James' recent trip to Cannes, France for the launch of Blancpain's new 50 Fathoms limited edition watch celebrating the model's 70th anniversary. They share their thoughts on the watch itself, a 41.3mm bronze gold diver limited to 555 pieces and priced at $32,000 USD. While expensive, they feel it is appropriately special for an anniversary limited edition, though they acknowledge many had hoped for a more affordable regular production steel model. Jason also recounts his experience diving with a vintage 1950s Blancpain on the trip and the brand's commitment to ocean conservation initiatives.

James details his lengthy travel delays getting to the event, missing the initial festivities but making it in time for the main watch unveiling. They reminisce about recognizing their hotel from the film Ronin and the overall lavish setting for the launch on a historic island off Cannes. The pair discuss potential strap options for the new watch and touch on feedback hoping Blancpain will eventually release a modern but classically-sized standard steel 50 Fathoms diver model.

## Links
- [episode page](https://thegreynato.substack.com/p/255blancpainact3)
- [episode MP3](https://www.buzzsprout.com/2049759/13674024-the-grey-nato-255-from-france-with-love-and-the-blancpain-fifty-fathoms-act-3.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Graynado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 255 and it's proudly brought to you by our ever-growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show and aren't already, please visit thegraynado.com for more details. James, here we are again. We just parted ways, it seems like a few hours ago.  Yeah, it does. It does. |
|James|It was, uh, it was a longer than that. It was, uh, you know, it was an interesting trip. Uh, you know, we talked about it a little bit on the previous episode that you and I were heading to Cannes, France for the act three announcement of the, uh, the new, um, 50 fathoms from Blancpain. Yeah. And yeah, it was, uh, the, the event worked out nicely, got to see the watch and the rest of it. And we'll certainly chit chat a bunch about that, but there was, it was a complete boondoggle, uh, getting there and to a certain extent, getting home for me. So, Sometimes that's how it goes. You know, you travel enough, you're going to eventually get some, get some run of bad luck. But I feel, uh, I feel like I might be a little bit cursed. I think I'm three, three trips in a row with pretty major kind of setbacks or complications. Yeah. So hopefully, um, I, I, of course we'll be flying in about a week's time and we'll see if that, uh, if the curse continues, but, uh, how have you been since you got back from France? |
|Jason Heaton|I mean, good. I, you know, I had a very different experience than you and we'll, we'll get into that in a bit, but this is, this was my kind of third, third trip in a row, like over the past month. And I'm, I'm, I'm feeling kind of a little bit fried, you know, I mean, they've, they've all been good, good experiences and good trips, but, um, it's, it's just been a bit much, especially, um, you know, as we've talked about in the past, I feel like I'm still coming out of, you know, post COVID sort of isolation times and, and to kind of jump in the deep end this year with, with just what's turned out to be a lot of travel, at least for me. Um, has been, uh, has been a bit trying, although not, not altogether bad experiences, certainly, but it's, it is good to be home. And, and here we are at the end of September, which, which just seems absolutely crazy to me. Yeah. I agree on that part. Yeah. Just trying to get a few things done. I cleaned the chimney yesterday. I've got, you know, it looks like some, uh, end of season yard work to do and just stuff to do before the snow flies. So got to kind of make hay while the sun is shining, so to speak. |
|James|Yeah, absolutely. Yeah. Don't really want to think about the snow thing just yet.  staring, you know, we obviously record these on Tuesdays. So we're a few days away from the end of this week, but after working, you know, the past couple of weekends straight through, um, I, uh, definitely looking forward to a weekend, but we're looking forward to what looks like at least right now, the weather's going to be ideal for just a nice fall weekend at the cottage. We always, we kind of change modes when, when the fall comes in, you spend less time down at the beach and we've enjoyed the last couple of years, like kind of going for drives in the area, stopping, taking pictures, Obviously with the leaves changing, there's, there's some pretty lovely scenery and there's a couple of like really nice sort of relaxed restaurants, breweries, that sort of thing in the area. Um, shout out Bashkong brewery, uh, which is, uh, you know, about an hour from my cottage, but it's a really beautiful drive and there's spots to stop along the way if you want to take, you know, pictures of marshes and trees and birds and that sort of thing. So, uh, looking forward to that kind of thing. But yeah, I, I got back from, uh, France, a Sunday evening caught up on F one. It was the Japan, Grand Prix, which is great. And then I haven't really done much else. It's Tuesday, so it's been a day. I tried to have a slow day yesterday. It didn't quite work out. Did a little bit of organizing in the garage, that sort of stuff. It does feel like that time of year where you go like, I got to get a few things done before it's too cold to bother doing them. Fall is a beautiful time, certainly in our part of the world, but not one that lasts all that long. |
|Jason Heaton| Yeah. I mean, I'm, I am feeling a bit of that, uh, for some reason I don't get a, a necessarily a spring cleaning vibe, but I tend to get that in the fall. I don't know if it's because suddenly it's like you're spending more time inside and you realizing how cluttered life has become. And, um, part of that was, uh, um, I just felt the need to kind of, uh, sell off a bunch of watches that I wasn't wearing. And so, uh, actually this morning, I don't, I'm not sure it was exactly jet lag. Cause I don't think we were in France all that long, but, uh, I was up pretty early today and I just, I kind of sorted through and I found six watches to sell and I put them up on the Slack sales channel and I realized I, I'm maybe abusing my position here by, uh, by promoting it on the show. Um, but Hey, I'll, I'll take that. And I've already sold three as of this morning. So it feels really good to, that is great. It's really good to kind of part ways with a few pieces and they're going to good homes and I know that people will enjoy them and, and that's all good. So, and uh, You know, some people have been speculating that I've got a bit of an incoming piece coming that might seem fairly predictable given what we talked about last week. And I'm not going to give anything away. I'll talk about it next week. But yes, there is a new watch coming in and it's probably not a huge secret what it is. |
|James|But yeah. Yeah. We talked about this a little bit on the trip about possibly doing a little bit of a fall sell off. I'm kind of in the same mode, especially now that I've done, you know, essentially two tax cycles in the world in which you have to claim whatever goes through your PayPal. And for the, you know, above board accountants in the audience, I know that you were always supposed to claim that. Yeah. Yeah. So I think I might do the same sometime this fall or winter. I have several here that I'm simply not wearing that I think folks would like.  But yeah, we'll see. I could see it coming along, but six isn't bad. That makes a dent, I guess. |
|Jason Heaton|It sure does. Yeah. And it's, it, it is a much more pleasant selling experience doing it through our, our Slack community than anywhere else. And I really would have hesitated to, to, to take this on if I was, you know, going back to the forums or something, it's just not, not very pleasant to kind of deal with the back and forth. And so, yeah, this has been easy so far. And, uh, you know, we'll see if, if the three others remain by the time this episode goes up, but, uh, I'm patient, it's fine. |
|James|And who knows, you may be able to find three more in the future. Always worth at least keeping an eye on the sales forum. I like to check it at the end of the day just in case something pops up, who knows. I'm definitely not in a buying mode, but I've bought watches from this perspective before. Speaking of watches, what have you got on wrist this week? |
|Jason Heaton|Yeah, I mean, I guess after wearing my Fifty Fathoms for the better part of a week, since I think we even recorded last week, and then going to France with with the brand. Um, I kind of have a little palate cleanser on today. I've got a very small watch on today. This is the 36 millimeter, uh, Benruss ultra deep. Um, you know, we talked about that last week. My, my review had gone up on worn and wound and the, and the watch finally launched or was released for sale. Um, and, and when I came home, I guess last night, I, Um, decided to pop it on. I've got it on and it's, you know, it takes a little 18 millimeter NATO. It weighs nothing. Um, just, it's, it's a, it's a lovely little piece on my wrist and I'm, I'm just enjoying, enjoying wearing it. So yeah, that's what I've got on. |
