
# The Grey NATO – 257 – Hamilton
Published on Thu, 12 Oct 2023 06:00:00 -0400



## Synopsis
The podcast hosts discuss Hamilton watches, a popular Swiss brand known for its affordable and well-made timepieces. They cover various Hamilton models across different categories like field watches, dress watches, dive watches, and vintage pieces. They explore the brand's rich history, extensive archives, and its ability to cater to enthusiasts and mainstream consumers alike with a wide range of offerings at reasonable prices. The discussion also touches on potential watch designs Hamilton could introduce, such as a dive watch or a travel watch with additional functionalities.

## Links
- [episode page](https://thegreynato.substack.com/p/257hamilton)
- [episode MP3](https://www.buzzsprout.com/2049759/13761947-the-grey-nato-257-hamilton.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Unknown| Hello and welcome to another episode of the Graynado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 257 and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show and aren't already, please visit thegraynado.com for more details.  James, we're recording this on 1010, a big day for you on the Hodinkee side of things. How are you holding up? |
|James|Oh, chicken with its head cut off, I suppose, is probably the right visual for everybody involved. Yeah, no, we're just doing a lot right now, and I've got three hours until I head to the airport for Laika. I've got to deal with a furnace service call between now and then. I think this is my only travel, at least until mid-November or something like that, so. Yeah, yeah. How have you been for the last week? You had a little trip down to NYC? |
|Unknown| Yeah, that felt like a sort of a blink of an eye sort of trip. I was, it was just an overnight. I think I was there from midday on Wednesday until evening on Thursday. So it was, uh, not sure it was the most necessary trip for me to take, uh, you know, work wise and nothing really came out of it other than sort of networking and catching up with the folks from Carl F Bucherer who are a delightful group. And, uh, But I got to also catch up with some old industry friends. I got to see Mark Bernardo for the first time in man, years. A few other people, um, that, that I just hadn't seen in a while. So it was, uh, it was good in that respect. And then, and then I had a, almost a full day of just walking around Southern Manhattan on what turned out to be probably one of the last late summer days that, that they're probably going to get. And certainly that we, we will get here. Um, but I'm happy to be home and happy to be done traveling. It's been, been a pretty intense couple of months kind of going all over the place. And it feels good to be rooted here for a while. So totally. Yeah. Yeah. Yeah. |
|James|Yeah. I got down to the city. Um, probably last each other less than 24 hours, significantly less than 24 hours after you left. Um, I got in first flight on, on Friday, um, working on, you know, we launched this, new podcast called Ben Clymer Presents. So I'm helping produce various elements of that. It's a lot of moving pieces, but the audio side and the part that goes on Houdini and all that falls to me. So we're working on that and additional episodes of that as you're listening to this, we're prepping one that'll come out the day before this episode, I guess, as confusing as that could be. But yeah, so just went down to the city to oversee episode two and some other business. And then on the weekend, Hodinke did like a little VIP event sort of thing with Fruity Porsche and his sort of FAT group and Porsche design. |
|Affirmative utterance|Yeah. |
|James|So there's maybe like 15-ish cars. Weather wasn't great on Saturday, but we went out and had a pretty fun drive sort of in the area north of the city and some lunch and got to hang out a little bit and see a race car, that was kind of shipped in from Rensport the weekend before out in California. So that was pretty fun. And then went and did some, you know, Thanksgiving dinner with my family, which was awesome. Absolute highlight of the last little while was, you know, seeing all those folks and that kind of thing. And then, like I said, in about three hours, I head to the airport to fly overnight to Frankfurt. So I got my neck pillow and just kind of hoping that the seat kind of works out and I'm comfortable enough to get some sleep before I land tomorrow morning.  Then it's a fairly busy schedule for like two days with Leica. And then I fly home Friday morning. Yeah. Yeah. So back for back for this weekend. But I think I gave most of these details in the, in the previous episode, so we don't have to go too crazy on it, but yeah, that's the, that's the schedule. It's a, it's, it's one of the busiest weeks of the year. Wow. |
|Unknown|Wow. I don't know about you, but sometimes when things are hectic at home, once you get on that flight and everything kind of shuts down, you put everything in airplane mode, so to speak, including your brain, there's a certain sense of relief almost like you can exhale and be like, all right, well, I'm committed to this and I really don't have any other option other than just to be on the road and do my thing and live out of my suitcase. |
|James|Yeah. I mean, in my case, the only thing that I can do on the flight that isn't working is maybe try and sleep. Yeah. Like I said, just kind of a busy season. But sadly, this one will be kind of packed. Any free time will be emails and phone calls and that kind of thing. |
|Unknown| Well, let's jump into our main topic. I mean, let's move things along here. But before we do, what are you wearing? Do you have a watch on your wrist that you'll be heading to the airport with? |
|James|I do, yeah. Actually, when I was in New York, I grabbed one of the new Unimatic Modelo carbon GMTs that Hodinkee made, the LEs. Oh, yeah. Super cool. Yeah, exactly. I've been kind of, you know, carbon curious for some time. And this one kind of sits at a new price point. It's kind of a high price point for Unimatic, but a low price point for a fully carbon watch. Yeah. And so I figured I'd give it a test run and I was going to do some traveling. So GMT makes some sense. So I'll take that with me to Germany and I'm looking forward to it. It's been good. I wore it this weekend and it's just like super comfortable, crazy legible because it's just it's white on black.  And, you know, the bezel is pretty nice. And I really like the carbon case. I just threw it on a great NATO and have really been enjoying it. So, yeah, that's the Modelo Uno U1S-Carbon GMT Limited Edition for Hodinkee. I had to write that down. |
|Unknown|I caught it on your wrist. I was kind of squinting when I was watching the teaser for the Ben Clymer Presents that you did with Ben. And I'm assuming that was the watch you were wearing. It didn't look familiar. It didn't look like something from your existing collection. So that's cool. And is this the watch that I believe Was it Zen was wearing it when we were in Florida with Tudor? |
