
# The Grey NATO – 258 – Book Club 3
Published on Thu, 19 Oct 2023 06:00:00 -0400



## Synopsis
This podcast episode features a discussion between James and Jason, the co-hosts. They start by catching up on recent activities like Jason's Land Rover repair project and James' trip to Germany for a Leica event. They talk about the new Leica ZM11 watch that was announced. Then they move into the main topic which is a book club segment where each host recommends three books they've read recently. James recommends "Heat 2" by Michael Mann, "Rogues" by Patrick Radden Keefe, and "Jurassic Park" by Michael Crichton. Jason recommends "The Apollo Murders" by Chris Hadfield, "In Cold Blood" by Truman Capote, and "The Twilight World" by Werner Herzog. They discuss the books and what they enjoyed about them. For the final notes, Jason talks about wildlife photographer Laurent Ballesta winning an award, and James recommends a rowing workout video series.

## Links
- [episode page](https://thegreynato.substack.com/p/258bookclub3)
- [episode MP3](https://www.buzzsprout.com/2049759/13805134-the-grey-nato-258-book-club-3.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and will certainly watches this episode 258. And it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show, please visit thegraynado.com for more details. For those of you who might be listening relatively new to the show. My name is James Stacy. I'm joined by as always, with my co host Jason Heaton.  Jason, how are we doing? |
|Jason Heaton|I'm doing pretty well. Gosh, it seems strange to do an introduction, but we're probably overdue. We probably should do that more often for new listeners. |
|James Stacey|I think we might need to write it into the blurb at the top. I think we used to do that. We used to give our names. But then you look and a few percent growth each month are people that at least Buzzspout believes has never listened to the podcast before and they might be like, Man, these guys like to some extent sound identical and say similar things. |
|Jason Heaton|Who's who. Yeah. |
|James Stacey|So, uh, yeah. Uh, the, uh, the lesser of the two voices is me, James and the, uh, the salty tones of, uh, of the Minnesotan kid, uh, Jason there on the other end of the line. But, uh, yeah, I'm, I'm in a bit of a weird mood. I'm pretty sleepy. Uh, it's, it's not that weird of a time for us to record. It's a little earlier than normal, but a day late because I was busy yesterday. |
|Unknown|Yeah. |
|James Stacey| And, uh, and yeah, I feel a little bit, um, a little bit, not, not all the way awake yet. Maybe the coffee hasn't hit or. |
|Jason Heaton|Yeah, I feel the same way. I'm not sure. Yeah. Yeah. Maybe it'll, it'll lend an interesting perspective on the show today. |
|James Stacey|Yeah. It might be a little goofier than normal, but, uh, what, what have you been up to since, uh, we recorded last? |
|Jason Heaton|Well, I was, I was elbows deep in a Land Rover project, uh, over the weekend and kind of bled into Monday. I, um, gosh, it was, uh, a little over a week ago. I think it was that.  driving randomly one day going to get some firewood or something and the windshield wipers stopped halfway up the windscreen. After a lot of YouTube watching and reading and thumbing through the manual, I narrowed down what I figured were a few of the causes and I just kind of started disassembling and testing things and changing parts. I took apart the steering column and put a new switch on and then Took a look at the wiper motor and replaced a little switch on that. And then finally took the entire dashboard off and, and traced all the wiring and, uh, found that there was a loose connection at the back of the fuse panel and a missing relay that I, I added and put everything back together. But it was, it was one of those jobs, like, you know, I, I, as people know from the show, uh, I, and we don't swear very much. In fact, we don't swear at all on the show and I don't do it in general, but man, when I'm That's the one time you might hear some salty language from me is when I'm out putzing with the Land Rover, you know, bloody knuckles and the whole bit. So my apologies to any of the people walking their dogs by while I was, you know, hunkered over, you know, shouting obscenities. But the work is done. It seems to work. |
|James Stacey|That happens to the best of us. Yeah.  Right. Yeah. That can be, uh, that can be, that can be tough. It's smart. It is genuinely smart because you're, you're talking to a guy who's probably going to end up doing the opposite. Um, but it's smart to try and get a few of those things done before it's too cold to turn them on. Yeah. Yeah. Um, or let alone be outside, even in the garage, like you've got a garage. I could probably back, I could get most of the cheap into the garage, but like, I think we're going to have one of those winters that hits pretty hard. Like come January, that seems to be what people are suggesting.  But who really knows, right? Yeah. And you don't want to like delay. It's one thing to be like, I'll do it after summer. Like we're, we're using the vehicle pretty frequently. I don't want to take a day off the road or out of service or whatever. And, and yeah, then you blink and it's like, well, now it's too cold to fix that. So I don't have wiper blades in the winter. |
|Jason Heaton|Yeah. Yeah. I, I was, that was definitely on my mind and then it's, it's kind of a busy week for, for me and, and, uh, and then, yeah, the days are getting shorter. It's getting colder. And, and while, The smaller Land Rover without the roof fits in the garage. This is parked next to it in the driveway. So, you know, I'm thinking to myself like every sunny day is one more march towards cold and snow. And so I was motivated and got that done. But yeah, knock on wood, it works fine and all's well. But yeah, winter's coming. And speaking of busy weeks, this is just a bit of a side note that people might get a kick out of. I've got my high school class reunion this Saturday night, and it's the first one I've been to Decades. So it should be, it should be a fun where Kashani and I are going to drive down to Milwaukee where I grew up and, and attend that and check in with, with old friends I haven't seen in many years, most probably since graduation and try to explain to them exactly what I do with my life now. |
|James Stacey|You just want to have like a little pamphlet. |
|Jason Heaton|Yeah, I think so. Yeah. It's always hard to look.  It's a podcast. Oh, what's it called? The gray NATO. What's a NATO? What's a, you know, it's like, Oh boy. Yeah. Yeah. Yeah, exactly. So, but anyway, that's a, that's my life. Yeah. And what about you? You're back from, you're back from Germany. You, uh, you went to like, I saw the watch, I saw your review. It looks pretty cool. Uh, how was the trip? |
|James Stacey|The trip was great. Yeah. Uh, easy trip in. You always meet like a, a cast and crew of people there. There were only a few folks.  Uh, Juan and Take and, and that, that were there that I recognized from years before in the Leica team is, is largely the same. Uh, so I got to meet some new photographers and folks like that. And then, yeah, I got to see, um, got to see some watches, uh, you know, the, the main thing being that they used this event, which is the annual celebration of photography. I've talked about in the past, I've done Hodinkee podcasts from there in the past. I think this is my third or fourth time going and, uh, they used the event to, you know, last year it was largely the M6 with the, you know, the rehash of the M6, basically a direct recreation, but with modern standards. And then, uh, this year they announced the ZM11. Um, so those of you who maybe don't pay much attention to Leica's watches, which, uh, as a watch enthusiast, I can, to a certain extent, understand not accepting a non-endemic brand into the fold. Leica announced back in, I think 2018, the intention to make the L1 and L2, And then those watches actually came out sort of last year as exceedingly limited, mostly due to production scale. They're making less than a thousand a year of the L1 and L2, which have since been renamed the ZM and ZM... ZM1 and ZM2. Hope everybody's following along so far. It's just two watches. The original two were very low five figure watches, I think, The L1 was right around 10 grand and the L2 is right around 14, it being a GMT. These are highly customized, you know, proprietary movements from a German firm, basically fully German sort of watches, but quite high end, very hard to come by. And I think, surprising to me, Jason, you can weigh in, of course, but as it turns out, quite successful.  Um, you know, only offered in a few stores around the world and 30% of the, of the ZM one and ZM twos were sold to people who've never owned a Leica before, which I find shocking. |
|Jason Heaton|Huh? So they went and do you, do you think those people wouldn't sought them out or do you think they were in the camera store browsing for cameras and saw this, this watch and thought, I genuinely don't, I genuinely don't know. |
|James Stacey|I think, I think that, um, I would say some of that percentage has to come from the two cultures that love engineering possibly more than any else, Germany and Japan.  Maybe there's a pull there, but the watches were successful despite the fact that a lot of the enthusiast culture kind of wrote off the concept. I took a very considered and in-depth look at them, of the ZM2, to be fair, and really enjoyed the watch. And then now they're following up with the ZM11, which is an entire sort of rethinking. Different case, a Swiss movement now instead of a German movement, movement is from chronode. It's a 60-hour, 4 hertz automatic movement with a date. Nice looking movement for sure. The watches are in the range of like $6,800 to $8,200. And you can get them in steel or titanium. I think of it like they hit me a little bit like... The dial design is a little bit Hallios, like a tropic.  It has that just kind of stark clarity, large markers, that sort of thing. Or the, sorry, the Seaforth more than the Tropic. And then, but beyond that, they have a bit of like an Ichapod vibe, but a little bit more brutalist than Scandinavian, if that makes sense, where the Ichapods are all curves. This is a nice sort of mix of hard angles meeting curvature. It's a 41 millimeter watch, regardless of the metal you choose. It comes in three dial arrays. One is a, The concept of the dial is like shutters on a window. So there's a top color and then there's indents or lines kind of in some ways similar to say like a modern Seamaster with the waves. But these are straight lines and they're asymmetrical in terms of their layout. And there's a color under that. So the blue one has black under that. That's pretty subtle. The brown black version, what they call coffee black or coffee brown. I can't remember.  is like a gradient dial that has a brown accent. And then the launch edition is a black dial with red in the shutters, the blinds, whatever you want to call it. Oh yeah. Yeah. It's like actually pretty subtle. You kind of have to turn the watch and it has to catch the little well of the finishing to actually fire. But when it does, it's a cool, especially black red is quite a cool look. Otherwise it's a single crown to operate a very conventional, straightforward sort of watch. I saw lots of, especially on the bracelet, I saw lots of comparisons to like, Apple watch kind of aesthetics to ocean 2000s, like early, earlier IWC stuff, kind of curvy titanium, but too lush at the same time. I think some of those comments were meant as a dig like that, what these designs, but those are both watches in my mind that are quite beautiful. |
|Unknown|Yeah. |
