
# The Grey Nato - Ep 26 - Field Report SIHH 2017
Published on Tue, 24 Jan 2017 08:56:39 -0500



## Synopsis
The hosts, James and Jason, provide a field report from the SIHH 2017 watch show in Geneva. They discuss their favorite watches from the show, including the MB&F HM7 Aquapod, Cartier Drive Extra Flat, JLC Master Control, Panerai 42mm Submersible, and more. They also talk about the gear and bags they used during the show like the Tenba DNA 15 camera bag and Uniqlo's comfort sport jacket. They share their overall impressions of the show, noting that many watches were very expensive and complicated, lacking more affordable and accessible options.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-26-field-report-sihh)
- [episode MP3](https://www.buzzsprout.com/2049759/11311095-the-grey-nato-ep-26-field-report-sihh-2017.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome from Geneva, James checking in. |
|Jason|And Jason. |
|James|And so this is just kind of our field report. We wanted to kind of do the show while we were still fresh and in the same room. So we're in my room at the President Wilson in Geneva, right on the lake. And, you know, it's been kind of a long week, but we did, like I said, I wanted to kind of touch base while we were still in the same place.  Yeah, before we get too jet-lagged. Going home will take some adjusting. I think so, yeah. So how are you feeling? You had a couple days away from the show. I've been at the show basically since I landed. |
|Jason|How's things? Not bad. I think we both feel the same. We're both really ready to get out of here, get home. It's fun. It's great to catch up with folks and see some new watches, but it's tiring. I think you get a little dehydrated. It's hot and dry in the hall.  kind of sweating a little bit all the time, walking around carrying a bag. |
|James|Yeah, how would you characterize the show this year? Did you do any writing from the show or most of it will be kind of in context later on? |
|Jason|Yeah, so I'm going to contribute to a bit of a best-of roundup for Gear Patrol, which is going to publish actually Monday morning. But then beyond that, I've got an article coming up that's going to be about my trip to Neuchâtel, which I just got back from this afternoon. I went to visit Parmigiani there, and we can talk a little more later in the show, but It was a good time. I think, you know, for me, SIHH is more about networking, meeting with people, seeing, you know, you in person and a lot of the other editors that we always are only in touch with over Instagram and meet the brand reps. For sure. You know, seeing the watches, I think you and I both kind of agree. I think, you know, you wrote me earlier today and said, you just, you can't wait to see a $5,000 sports watch. |
|James|Yeah. You know, I, I, I like the show and it's of course, like, I think the highlight is being able to catch up with people like yourself and and some other people from the industry and certainly the guys I work with at a blog to watch. I only see them for these shows. Yeah. But as a show, I think especially when it was in the context of kind of our TGN tastes. Yeah. This show doesn't make much sense. Yeah. The cheapest watches you're going to see here are still even from entry level Swiss luxury brands are still very expensive. You know, we had brands offering 7750 chronographs for seventy five hundred dollars. Right. Right.  It's very much a luxury show for the sake of being a luxury show, which is the right context, of course, for Greubel-Forsyth and Van Cleef and Vacheron and these big top-tier brands. But Basel, you get this nice mix where you might be at Patek One meeting and Zinn the next meeting and Squala in the afternoon. |
|Jason|I used to like SIHH more than Basel. I've been to three Basels and about five SIHHs. I think what I liked initially, I was sort of You know wooed by the sort of the you know the way you're sort of pampered here. |
|James|You know the brands really treat you Well, there's the you know the free sushi and flowing champagne, and there's always lunch You can sit down basically there's tables all throughout the center of the hall And you can sit down and eat pretty much whenever you want as long as there's a seat right and you're in a lovely hotel With Basel yeah, you're not doing a hotel. You're doing an Airbnb. Yeah, and I kind of Yeah, I prefer Basel by almost any stretch, and this is only my second SIHH I've done for Basel. |
