
# The Grey NATO – 260 – Deep Dive: The Thrift Store Navitimer That Found Jason
Published on Thu, 02 Nov 2023 06:00:00 -0400



## Synopsis
The episode starts with a discussion about the Breitling Navitimer watch, which was designed for pilots in the 1950s during the early jet age. The watch features a slide rule bezel that was used by pilots for various calculations related to aviation. The Navitimer was designed to be highly functional and practical rather than focused on water resistance, which was unnecessary for aviation use. The hosts talk about how the watch represents the spirit of excellence and progress in science and technology in that era.

They discuss the background of the specific vintage Navitimer watch that one of the hosts recently acquired. The watch was found by chance at a thrift store for a very low price, even though it came from an Air Force pilot and had features designed for use in aviation. The watch has an interesting story behind how it ended up in the thrift store, reflecting the history and heritage of the era it came from.

## Links
- [episode page](https://thegreynato.substack.com/p/260thriftnavitimer)
- [episode MP3](https://www.buzzsprout.com/2049759/13889214-the-grey-nato-260-deep-dive-the-thrift-store-navitimer-that-found-jason.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Graynado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 260, and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support, and if you'd like to support the show, please visit thegraynado.com for more details. James, 260, we're well on our way to 300 here. |
|Unknown| 260, you were cranking through them. We've got some, actually something we can tease, something special coming from Collective and Oris, which includes a pretty interesting little set of extras just for the TGN community. So those of you on the crew, stay tuned and watch your feeds for something special. There's a little teaser to kick off the show today, but aside from that, how have you been? I think you're in a different climate than mine currently, aren't you? |
|Jason Heaton| Yeah, we've, we've jumped right into winter here. I woke up this morning and actually, I mean, I hate, I can't believe I'm even saying this, but I had to go out and shovel snow. Wow. Yeah. And it's very blustery today. And I'm looking out at the back stairs. The railing has three inches of snow kind of heaped on it. And like the roof is white and the grass is covered and yeah, it's, uh, It's full on. I took, I took the series three without the roof for one kind of final spin yesterday, all bundled up just for the, for the heck of it. And I walked away back in the garage, but man, it's, uh, yeah, here we go. |
|Unknown|Trick or treat. Uh, yeah, exactly. We're recording this, uh, kind of around lunchtime on Halloween, October 31st. Uh, no snow here for me, but it's getting cooler for sure.  So it should be a somewhat lesser shoveling season for me, but I'll miss the workout a little bit. That was probably the only thing I liked, is if you got a big dumping of snow and I could kind of push the start of work until 9, 9.30, something like that, then I could go out and shovel for an hour and get a pretty good workout in. |
|Jason Heaton|Oh, yeah, yeah. That is a good workout. Speaking of workouts, yesterday I jumped on the rowing machine and I pulled up that YouTube playlist that you... Row 20. Yeah, yeah, row 20.  Uh, which is kind of a 20 episode, uh, rowing workout led by they're all about 20 minutes long. Yeah. And, and it was good. I did the first one and it was very simple. It was kind of a, you know, benchmarking, uh, assessment. And, uh, I like the instructor, the background music's a little cheesy, whatever, but like, he's good. He was encouraging without being kind of overbearing. And, uh, yeah, I enjoyed that. So, uh, you know, you, you just had that in, I believe in a final notes or something recently about the use of with your water rower. |
|Unknown|That was fun. Yeah. I think I did like five or six of them back to back and then I, I kind of, I fell off of it and now I've got to get back to it, but I'm traveling as of tomorrow morning. Um, so it's, yeah, I'll pick it up again on Thursday. |
|Jason Heaton|Yeah. Yeah. It's tough. And then, you know, speaking of kind of the, the, the, the bad weather we're having here, I just had a visit this morning from one of our listeners, uh, Luke, who, um, which was a success story if you're not on Slack. And that's one little kind of perk of being there is it's a, it's a really friendly environment to, to buy and sell watches. But anyway, he bought a watch for me and rather than ship it up to Duluth, he said, you know, look, next time I'm down in the twin cities, I'll stop by and, and pick it up. So he, he bought it for me. And it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it's, it He swung by this morning. It's always fun to meet a TGN listener in person. He was kind enough to bring me a lovely bottle of Japanese single malt, Hibiki. Thanks again for that, Luke, and safe travels. If you're listening to this, I think he's off somewhere warmer. |
|Unknown| Luke sounds like an absolute gentleman showing up with a beaky buying a watch. Not bad. I like it. |
|Jason Heaton|Yeah. He, he, he, I'm not going to say he set the, he set the bar or set the standard. So, uh, you know, but no expectations, you know, just saying I do, I do love to meet TGN listeners, even if they're not carrying a bottle of, of Japanese whiskey, but, uh, yeah, it was fun to fun to see him. |
