
# Drafting Our Favorite Watches Of The 1970s – A TGN Special With Collective Horology
Published on Tue, 07 Nov 2023 09:00:00 -0500



## Synopsis
This is a transcript of a podcast episode featuring Jason Heaton, James, and Gabe Riley from Collective Horology. They discuss Collective Horology's latest collaboration with Oris, a limited edition Diver 65 called the Divers 75. Gabe provides background on how he got into watches and the origins of Collective Horology. They then engage in a draft of 9 watches from the 1970s, with each person making 3 picks and explaining their choices. The draft covers a range of iconic and unique 70s watches, highlighting the design trends and technological innovations of that decade. They also mention some additional 70s watches that didn't make the cut. The episode promotes the new Oris collaboration and offers a special bundle for listeners on The Grey NATO Slack.

## Links
- [episode page](http://bit.ly/collectiveoris)
- [episode MP3](https://www.buzzsprout.com/2049759/13883355-drafting-our-favorite-watches-of-the-1970s-a-tgn-special-with-collective-horology.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to a special presentation of The Grey Nado in partnership with Collective Horology. This episode is part of a loosely new concept for TGN that will allow us to collaborate with the people and brands that we like to produce standalone special episodes that we can offer to all our listeners. |
|James|Yeah, that's right. We don't really love ads. So this is our way of doing something that is essentially an ad, but it doesn't turn its back on the entertainment or interrupt a standard episode of the show.  It's an extra episode freely brought to you by a brand that we know and love. And for this outing, we're pleased to have Collective Horology back for a second TGN special. |
|Jason Heaton|Totally. So almost exactly a year ago, Collective Horology sponsored our first ever TGN special for the launch of their collaboration with Arm & Strom. We did a draft of high-end watches with sporty intentions. And for this special, we're back with another super fun draft focusing on watches from the 1970s. Why?  Well, to properly start this episode, we need to introduce our special guest, who's Gabe Riley of Collective Horology. How are we doing, Gabe? I'm great, guys. Thanks for having me. Oh, an absolute treat as always. I mean, that was one of my favorite things last year. It was kind of one of the only drafts we ended up doing because we had a good time and we felt like anything else would kind of be stepping on that. So it's exciting to have another draft on the table. These are always so much fun to kind of research for and get ready for and put your list together and try and predict what I know about you and what I know about Jason, like what you guys might be picking and we'll get into some of the metrics of how that's going to work. But I would love a little bit of a background for someone who say, didn't listen to last year's episode, which you definitely should. It's still really fun to go back and take a peek at that. Even if the watch isn't still available, you know, I'd love a little bit of a background on Gabe, how kind of maybe how you got into watches and how that led to collective. Yeah. |
|Gabe Riley|Great question. How did I get into watches? The short story is when I was about 18 years old, My high school girlfriend's dad showed up in the living room of their apartment with a Ziploc bag filled with watches. And he said to me, every man needs a watch. And he pulled out of this giant Ziploc bag filled with watches, which is a wild mental image, a Cartier Santos tank watch. And I didn't really know anything about watches. I knew like Cartier was a luxury brand maybe, but I didn't even know they made watches. I didn't really even no, or it didn't even really occur to me that like watches were a thing that you would collect or have a giant bag filled with or be into in that way. And it sort of, sort of opened my eyes to that, to that world. And then within, within the world of watches, I found my own collecting lane, which is really pretty similar to the, to the TGN world, which are tool watches. And my best childhood friend is also my business partner in collective Asher.  and I grew up together in, we met in seventh grade in, in New York city and homeroom. And as we grew up in life and we sort of went our separate ways to university or living in different places around the country, watches ended up being the thing that kept it, kept us connected as friends. And so it was really nice to get into the watch hobby and actually have a really close friend to share that with. So I wasn't sort, you know, like the, the outsider in my group of friends or friends are the only person who was in into watches. And over time, we, we ended up working at the same company together for about 10 years, which was Facebook. And within Facebook, we were some of the first people in an internal and like an employees watch group. So this was a group of Facebook employees who were really into watches and we'd, we'd get together. And we ended up creating our first collaborative watch for that group, which was actually, it was just in talking in talking watches with with Ed Sheeran and John Mayer, which was a Tudor Black Bay for Facebook employees. So we made that watch, we made a couple of other watches for this Facebook Employee Watch Club. And we started to realize, hmm, maybe there's something here. And about five years ago, we started collective really on that model, which was building collaborative watches for a community of people. This the collab we're gonna talk about today is our ninth, which is pretty wild. We've been doing it for five years now. And, um, you know, the, the thing that, that collective is most known for are those, are those collaborative watches. And we try to do them across the spectrum. So the last project we chatted with you guys about was for arm and strong. That's a very different watch than the, the, the Oris diver 65 we'll talk about, um, today. And that's because we believe in having like a wide open and curious kind of collecting philosophy rather than focusing on one particular lane or price point or style.  watches. So we do that. And then the other thing Collective does is we're a retailer of independent watch brands. So we have about 10 independent watch brands in our shop now. And those range from everything from Chapek to Formex to Fears to some smaller makers that people may be less familiar with. And the focus there, again, is on having a really wide net of interesting uh, watchmakers who are doing unusual things and don't have a ton of distribution. |
|James|And Gabe, you, um, you've had a presence. Uh, we've met you a couple of times at wind up in Chicago specifically, and you're just coming fresh off wind up New York. Is there a brick and mortar presence to collective it right now? Or do you have plans for that? |
|Gabe Riley|Yeah, we, we started a collective in, um, in Northern California in the, in the Bay area. Um, actually when we were both working at, at Facebook and as, as Asher and I have this like, very fascinating way of ending up in the same place at the same time. Collective is based in Ventura, California, which is probably most famous as being the home of Patagonia. And we have a, we have a space there. So that showroom is open by appointment. So if people want to come and check out watches, we call it the watch yards. It's in this sort of industrial artist space. Our, our next door tenant is a, is a sculptor and there's wooden carpenters and all sorts of interesting creative folks in this space and a brewery right across the street with amazing views of the ocean. So people can come to Ventura and check out watches there. And then we also have a small clubhouse space in Hollywood, in Los Angeles, that's open by appointment. So if people in LA want to see some watches, we can see them by appointment there as well. |
|Jason Heaton| Very cool. That's great. I did not know that you had the ability to kind of invite people into the spot in Ventura, let alone a nearby brewery. That sounds like a nice afternoon. |
|Gabe Riley|Yeah. Being near a brewery was a requirement for Asher. It gets a lot of use. It comes in handy. |
|Jason Heaton|I like it. That's great. Well, look, that gives us a little bit of background on you and on Collective. And obviously, you and Asher are kind of a package pair. Whenever you run into you guys at one of the shows, I think, you know, I'm crossing a parking lot in Geneva, that's where I would typically we catch up or maybe at a sleepy breakfast table at the hotel before we all head to the show. I think that was maybe our last sort of sit down meeting together. It's always a treat to see you guys and you guys have been great supporters and fans of TGN. So we're always thrilled to be able to do these sort of collaborations and for anyone listening, we don't do many of them. One a year is kind of the track run you guys have done.  this will be the second uh with us and it's something that we take really seriously and something we really enjoy and a big part of that is talking about the the new watch the collaboration watch and i think with this one it's a watch that needs um kind of a visual as well so i would really suggest even more so than normal swing by the show notes or swing by collective horology.com to see the watch now if you're listening to this episode the watch is out whether or not it's sold out that depends on how long you took to to kind of get to it but Why don't we jump into sort of the details for this one, which is the Oris divers, quote unquote, 75 caliber, 400 CO4 for collective. |
|Gabe Riley|I think the place to start with this watch is really with Oris. Um, because this, this project kicked off because we wanted to work specifically with Oris. Like you guys, we have a huge soft spot for them. We love the watches. I mean, they make a great honest watch. Yeah. And I think the other thing that's, that's special about Oris is, This is a brand that takes being part of the watch community very seriously. We're just talking about wind up. This is a brand that has been at the center of wind up since the very beginning. They of course have the, or a social club as well. And they just make a point of being present in the watch community and playing an active role that a lot of brands just don't. And they do it and they managed to do it in a way that feels authentic and not ham-fisted. In fact, when I was in New York at Windup, one of the highlights was going to the Aura Social Club event. So the New York chapter had a party and it was at a dive bar and in the best possible way. When you're spending a week in New York going to watch events, It's like going to an Oris event at a dive bar is like the antidote to everything else. Oh yeah. Pallet cleanser. Yeah. Right. It just created a really relaxing environment where people could, could be themselves. And there were folks from all walks of, of collecting there. There were people who run the watchmaking divisions of very high ends, luxury brands to folks who were just starting to explore watches and get curious. So it was, it was a really special thing. So working with Oris, was important. And then the next question is, well, which watch or really what do we want to say with Oris? And the first Oris I ever had was a Diver 65. It was one of the early ones. It's called the Diver 65 Deauville. And it has this beautiful blue-gray dial with these very funky Arabic numerals at the cardinal points. It's not a watch they make anymore.  I loved that this watch was super funky and unusual in terms of the dial design. And the other thing I love about the Diver 65 is the case profile and the profile of the bracelet. The mid case on that watch is very elegant. It wears really well at 40 millimeters. And the bracelet just has this beautiful taper. It's a watch that just kind of like oozes charm. It's a really charming watch, the Diver 65 in general.  We knew we wanted to do a Diver 65 and the next kind of question for us was, well, what do we want to say with it? And we don't have a house style. You know, a lot of brands who do collaborations have a very specific either format or philosophy they follow. And we don't, we try to find with every project we do something to say with that brand.  that enhances what's already there or enhances what we love about that brand that's, that's already there rather than trying to mold it into a particular style or, or, or do, do something we've, we've done before. And so we wanted to do something that was kind of like creating the Uber Oris and really drawing out the things that we love about Oris. And I can talk about what those are, but to do that, we sort of looked at the 1970s and the design language, of kind of 1970s California. And this was a this is a design territory that a lot of people are probably familiar with. Just close your eyes and imagine shades of browns, maroons, oranges, and yellows. It's that kind of that kind of vibe. And it's still alive and well in fashion today. In fact, it's having something of a comeback. But for us being in Southern California, which we talked about, it's sort of a color palette and a mood that never left, you know, it, it started in the 1970s and never, and never went away. So we decided we wanted to sort of pull on that sort of color palette and visual design language. And it worked really well with the diver 75. So as James, you mentioned folks should check out on our website, collective horology.com some images of the watch and you'll see it's a, it's a diver 65 it's in 40 millimeters it's by color. So it uses, or it says by color, bronze and steel bracelet. The bezel assembly itself is bronze as well. This is something that Oris does. That's kind of quintessentially Oris. I don't know anyone else that does bi-color bronze and steel. And certainly what's great about Oris is in the price range they're at, you're not getting something that's PVD'd or painted on or capped. It's full bronze. So it's, it's accessible, but it's also a really authentic kind of bi-color format.  And then the dial itself uses that Arabic dial from the early Diver 65, which I chatted about, but it's done in browns, maroons, and yellow. So it pulls on that, on that color palette. It's no date and it uses the caliber 400. And so these are all ways of kind of saying something and using this, this creative lane of this 1970s California design, but making something that only Oris could make. If you see this watch across a room, There's no doubt that it's a Diver 65, and that was really important to us. |
