
# The Grey NATO – 261 – Blancpain CEO Marc Hayek On Dive Watches, Swatch x Blancpain, Ocean Commitment, And More
Published on Thu, 09 Nov 2023 06:00:00 -0500



## Synopsis
The podcast covers a wide range of topics, including an interview with Mark Hayek, the CEO of Blancpain. Mark discusses his passion for diving, his history with watches, and the Blancpain Ocean Commitment. He talks about his favorite dive locations, the future of dive watches, and the brand's collaboration with Swatch. The hosts also discuss recent personal activities like buying a TV, refinishing a coffee table, and upcoming meetups.

## Links
- [episode page](https://thegreynato.substack.com/p/261marchayekblancpain)
- [episode MP3](https://www.buzzsprout.com/2049759/13929419-the-grey-nato-261-blancpain-ceo-marc-hayek-on-dive-watches-swatch-x-blancpain-ocean-commitment-and-more.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Eric Jennings| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches this episode 261. And it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and would like to support the show, please visit thegraynado.com for more details. |
|Jason Heaton|Hey, Jason, how you doing?  Oh, I'm doing good. Yeah. It's been, uh, it's been a eventful week on my end. Uh, finally, uh, finally pulled the trigger and got, got the book launched. I know I've been teasing it for quite some time, but Sweetwater is wild. Thank you. I think I mentioned in our last show that my, my strategy was a bit of a scramble. I'm clearly more of an author than a kind of a businessman or publisher, but, uh, yeah, all, all's gone well. Good, good feedback so far. And when people getting the books, it's out there on Amazon, uh, as a paperback and Kindle, and then now it's up on Apple books as an ebook. And yeah, for, for people that are interested in buying signed copies from me, as I've done in the past with depth charge, uh, I'm just waiting on my shipment of books, which I've ordered, um, through Amazon's printer. And I think they're going to be coming sometime next week. So we'll certainly mention that, uh, probably on next week's episode for people that want to hold out for that. But, uh, certainly if you're, Impatient like me, like I can be. It's available out there in e-book and paperback via Amazon and Apple Books. So check it out. Yeah. |
|Eric Jennings|There you go. Sweetwater. Yeah. I bought it immediately for the Kindle. Looking forward to reading it this weekend. I've got a little bit of travel ahead, but I should, once I get where I'm going down in PA, I should be able to snuggle into a book. I don't have a whole lot of responsibilities for the weekend. So that sounds pretty fun. And it's kind of fun because there's, it's not even our only like launch of kind of a long gestating thing this week. We're recording this, of course, on sort of a Tuesday around lunchtime. And earlier this morning, our second ever TGN special presentation went live. So yeah, had just an absolute blast recording it. You know, these special presentations are sort of like ads that form an entire episode, but we try and lean really hard into the entertainment side of it. So many of you will remember about a year ago, we did our first ever one of these TGN specials with the folks from collective with Gabe and Asher talking about an Arm & Strom that they'd created. And this year they followed up with something maybe a little bit more in the TGN wheelhouse being kind of a special limited edition Aorus with a 70s specific sort of coloring and theme. And so we took that watch, we talk about it a little bit in the episode, and then we do a draft of our favorite 70s watches. And I had a really good time recording the episode. That's pretty common. I do love doing this.  I always know we've done something that I can be proud of if I have a good time editing the episode. And this one came together really nicely. So if you didn't get a chance to check it out, it is there in the feed. You can swing by thegranado.com or the show notes on Substack for more information. And for those of you who are in the Slack and dug the watch, this is only a couple of days later. So assuming the watch isn't sold out, Uh, there is a special, uh, kind of bundle being offered to those in the Slack. So you can swing by the Slack and get more information for that. Or if you can't find that, drop me a DM in Slack and I'll make sure to connect you, but, uh, pretty straightforward, uh, and, and pretty fun, fun to have that. That's something that's been kind of on the plate for a few months. Not as long, certainly not as long as Sweetwater.  Um, but it's exciting to have that done. And, and we just had a really nice time with, uh, with Gabe, you know, Asher did the draft for the Armstrong and then Gabe came on to do that, the draft with the Oris and the seventies watches. And it was a good one. |
|Jason Heaton|Yeah, they're both, uh, both those guys are, are TGN fans and, and they, I just feel like their personalities are a good fit with, with what we're all about. And, and, uh, you know, now we've, we've heard from both of them in, in two very different, very fun draft episodes. And, and, uh, yeah, Gabe was a champ and he had some, some good picks. He really kind of leaned into kind of our self-imposed requirements for our draft and had some fun choices and you did too. And all of it was very unexpected. I mean, his were, his were some quirky ones. He had some, some deep cuts that, uh, um, that Zenith that he chose. Uh, and if you haven't listened to the episode, apologies for the spoiler, but I won't say any more about it, but that's, that's a big, that's a big market. |
|Eric Jennings|70 Zenith, I think. Yeah. Right. But yeah, it was a fun one. Please check that out. Uh, it's, it's like a, a really specific way in which we can support the show in a manner that really doesn't put a tax on the audience in any way at all. You just end up with another episode, and I think it was a really, really fun one that came together nicely, better than I could have hoped, really. So check that out if you happen to have skipped it or if you had a busy week worth digging in and kind of enjoying that process. I think it was a good one and a thank you to Collective, of course, for continuing to support TGN. So that'll help us do some kind of exciting stuff in the future, which I'm pumped for. |
|Jason Heaton| Yeah. And, um, you know, speaking of doing stuff, we both have some meetups coming up. I'm, I'm doing something on December 3rd from one till 3 PM at a lake monster brewing. One of my favorite places here in the twin cities, that's over in St. Paul that kind of a book signing and launch event. And I'll have more details coming up here. But, um, sooner than that, you're, you're driving down across the border to infiltrate, uh, the U S once more. Um, and, and you're hosting a bit of an event, kind of an informal thing, aren't you? |
|Eric Jennings|I am. Yeah.  Headed down for some family stuff in PA, sort of in the Bucks County area. And some folks on the Slack asked if maybe we'd want to connect. Turns out there was already going to be a bit of a watch hangout going on in the loose sort of area of Philly that weekend. So to be clear, this comes out on November the 9th. I'm talking about November the 11th. So if you might happen to be in the New Hope, Pennsylvania area on the 11th and would like to swing by Triumph Brewing, from two to four, please do. We've got a handful of folks. You can RSVP in the Slack meetups channel. You can see the conversation in the thread to see what kind of the chat's going on. And if you're not in the Slack but might want to swing by and say hi, just drop me an RSVP to thegranadoatgmail.com. I figure if it's more than, you know, we start getting a little bit deeper into double digits, 15 people, you probably want to call ahead.  Uh, so right now we're not quite there, but if that happens to be the case, if you'd like to swing by, I'm not saying I'm buying beer, picking up the tab or anything, but if you want to hang out for a couple hours this weekend, um, I've got some time between some family events and I really enjoy the drive out to a new hope. So hoping for good weather for that and a nice drive and a good hangout. But yeah, that's the, that's the meetup there. There's now a whole channel in Slack for meetups. So that can be for ones that Jason and I are involved in or not. Uh, but just try and keep the.  know, the sort of threaded conversations there so people can actually find it. But yeah, if you're if you're around New Hope PA on Saturday, November the 11th, Triumph Brewing, two to four, would love to see you there and say hi. |
|Jason Heaton|Fun stuff. What about what about back home? Are you? You haven't been there much. |
|Eric Jennings|It seems the past couple of months, but the last couple of days had kind of a mostly free weekend. And I'd been kind of bouncing back and forth I think I've talked about this on the show in the past, but I don't like TVs in living rooms, where you're supposed to spend time with people. Yeah. But I now have a basement, which had a bunch of spare space and the rest of it. So I'd been starting to watch inexpensive televisions, think mid range models from last year, so under $1,000 Canadian. I have kind of a weird perspective on TVs after owning some very high end ones and some very like simple Chinese ones, you know, vizios and stuff like that. The experience is largely identical for me. I don't care from one television to another, uh, as long as it's the right resolution and a decent panel. And for me, that's almost like, like with my, the two computer monitors I'm looking at right now, that's LG or Samsung. I'm, I'm typically pretty happy with. So it turns out, you know, Best Buy was offering like a pre black Friday discount and then you can if it goes on cheaper, you can get it later, all that kind of stuff. But it was a decent enough deal on a TV. So I ended up buying a TV and, uh, it's, it's a nice feeling. It feels very luxurious and kind of deeply leisurely to like watch a screen that doesn't have notifications about work on it. Yeah, that's true. Like I've watched pretty much every movie, every, all these have either been from watching on my laptop, which I don't really mind, but a TV is a nicer experience.  or connecting my laptop or whatever to a projector. We like projectors, they're very handy. And now I've just been looking... I watched the first episode of Invincible Season Two, which I talked about on previous Final Notes. I watched Formula One with the built in smart TV app. Oh yeah. I could switch to different feeds and watch each driver and it was pretty good. I'm really enjoying it and you can just get a ton of TV for not that much money now. Yeah. Man, when I started working... This is take you down memory lane a little bit. But when I first like started working for what was called Future Shop at the time, would later be kind of wrapped into Best Buy or steamrolled by Best Buy. But when I was in university, I worked at Future Shop and I sold computers. And at the time, you know, you had to spend like a lot of money for a decent TV, especially a large, decent TV. And I got this LG, you know, it's a big 4K smart LG 65 inch for just not that much money compared to what I had bought other pieces of gear for. |
