
# The Grey NATO – 262 – Sweetwater (No Spoilers!)
Published on Thu, 16 Nov 2023 06:00:00 -0500



## Synopsis
This episode is a discussion about Jason Heaton's new book "Sweetwater", which is a sequel to his previous novel "Death Charge". Jason gives some background on the writing process for "Sweetwater", including how he approached plotting and character development differently compared to his first book. He reads an excerpt from the fourth chapter to give listeners a taste of the story. The hosts also talk about Jason's recent book launch and signing events, as well as ways for listeners to purchase signed copies of the book.

The episode also touches on some other topics, including an upcoming hangout event Jason is hosting, a watch found underwater in Australia, and Jason's experience with the Oura Ring fitness tracking device.

## Links
- [episode page](https://thegreynato.substack.com/p/sweetwater)
- [episode MP3](https://www.buzzsprout.com/2049759/13979629-the-grey-nato-262-sweetwater-no-spoilers.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches this episode 262. And it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and would like to support the show, please visit thegraynado.com for more details. |
|James Stacey|Hey, Jason, how's it going?  I'm doing pretty well. Yeah, I am Jason Heaton and you are James Stacy. I think we... Oh yeah, intros. We decided we do that every now and then. |
|Jason Heaton|We promise we're professionals as well as those being our names. Yeah, right. Both of those things are true. Yeah, it's gonna be kind of a cool episode. Obviously, we're talking mostly about Sweetwater today, which is your new book, and it's the follow up to Death Charge. You've been done it for the better part of... What did you say on the recent episode? Like a year? |
|Unknown| Yeah. |
|James Stacey|Give or take. This one's, this one's had a bit of a lengthy gestation period for reasons we can get into shortly. But, uh, yeah, it's, uh, it's finally out in the world and, uh, our dining room looks like a fulfillment center once again. And it's, uh, it's been a lot of fun, really good response so far. So, yeah, yeah. We can get into that in a bit, but, uh, you are in the meantime, you're off to Dubai here and within a few hours, right? |
|Jason Heaton| Yeah, I leave in about eight hours or I leave for the airport at about eight hours. It's a really late flight. And then on top of that, I'll be so I'll be gone for a week. So we're going to take the next weekend off or the next Thursday off. So if you're listening, this is 262. The next one would come out essentially on the Thursday of American Thanksgiving. So we're going to skip that one, take ourselves a little break. I will have just been back from Dubai, probably still dealing with jet lag. We'll see how all that kind of stuff goes.  Um, but we're going to take that one off and then come back the next week with another special episode. We're actually like, are almost having too many interesting topics for people to talk about to actually run out of episodes. This, so taking the week off in November is, is a plus like taking it off. You know, it gives us a little bit of a chance to actually enjoy that holiday. It's a holiday for hooding key, which means it's a holiday for me. And then obviously for you, Jason, as an American, but, uh, it, it does kind of stack the counter. We're like, we'll be pushing well into December with, um, with some episodes that we still have on the list to get done this year. So it should be good. |
|James Stacey|Yeah. Old dog, new tricks. We've still got a few good episodes up our sleeves after this many years. Yeah. |
|Jason Heaton|Oh, always. Yeah. If you're used to most years of TGN, there's a couple you can expect by the end of the year, which should be fun. But yeah, other than that, like you said, I'm headed to Dubai Watch Week. I'll be there for a week at some point. We're working in the Slack to put together some sort of a hangout on one of the evenings.  which should be fun. I've never been to Dubai. I don't even know the hotel I'm at and all that kind of stuff. I've been too busy with other things. I actually only just packed this morning. I usually pack the day before, so I'm behind my normal schedule. But speaking of hangouts, I was in Pennsylvania this past weekend. Oh, yeah. And we had an awesome hangout at Triumph Brewing in New Hope. So if you listened to the last episode or if you're on the Slack, you might have seen me and a few other folks saying like, hey, come by this. You know, if you're in the Pennsylvania area, that's a huge, huge state.  if you're in the more like New Hope, Bucks County sort of area outside of Philly, maybe swing by and hang out. And we probably had like 20 ish people show up and it just an absolute blast. Yeah. Some great watches, drank a few great beers and hung out for several hours in the end. And, and, and I just want to say like a big shout out to Jan for kind of helping put everything together and bring some more folks out that they were, they do sort of a local meetup more often. And I was able to kind of co-opt on top of that.  But Sarah and I drove out there. It's like a, you know, a half hour drive from where she grew up. And, um, and we had a really nice time. So I, I did want to say a big thank you, uh, to everyone who showed up and, and brought watches and chit chatted. It was a, it was an absolute treat, a real highlight of the weekend. |
|James Stacey|Oh, that's great. Yeah. I had a couple of friends I told about and they showed up and enjoyed meeting you and the, and the photos looked great on slacks and some really cool, interesting watches that totally, that I either hadn't seen or you don't see very often. So yeah, really, really cool. And you had a bit of a busy weekend as well, right?  I did. Yeah. So I, um, I was up in every couple of years, I go up to Duluth, which is about two hours North of here for kind of a full on nerd fest. Um, it's the gales of November, which is a, it's named after, you know, a lyric from the song by Gordon Lightfoot about the sinking of the Edmund Fitzgerald. And they do it in early November every year to not only commemorate that, um, but also to talk about great lakes shipwrecks and just maritime sort of culture in general. And so they always have a pretty good roster of speakers. Um, this year they had, uh, a guy who was talking about, um, rum running during prohibition across the great lakes from Canada, which was really interesting. And they had somebody talking about kind of the history of tugboats on the great lakes. And I know people are probably shaking their head listening to these topics, but then, um, there was a, a guy who had, uh, found a fairly significant and large ship shipwreck that had been missing since 1953.  uh, in the middle of Lake Superior. He found that just about two months ago. And he gave a really interesting conversation or presentation about that. So it was good. It was all kind of stuff like that. And then they also had some exhibitors, you know, people, uh, from various archeological resources and, and kind of local tourism and diving companies and that sort of thing. And then, uh, they had a silent auction and I went up there actually with Matt Ludvigson, our, our friend from the TGN community and a local shout out Matt, local friend of mine here.  And my old buddy, Chris Winters from Milwaukee drove up. And so we all went up and shared an Airbnb for a night and, and did the show for a couple of nights. We went up to the split rock lighthouse. They do an annual commemorative, uh, lighting up the beacon. It's the only, only day of the year they do that. And, and at the silent auction, I bid on a little, they always have like this kind of nautical ephemera that's for, um, for sale there via silent auction. And I bid on a little lifeboat compass in a wooden box that I was really keen on getting. And I, I placed a couple of bids, but I got out bids. So now I'm probably for the best. I don't need any more of that kind of stuff sitting around on shelves here. But, uh, anyway, it was a, it was a fun, fun weekend overall. And then I was back Saturday night and then Sunday I launched my signed copy sales of, of sweet water for my sub stack community over on swim proof. Uh, and then Monday opened it up for kind of general sales and, and, uh, it's been a tremendous response. So like I said, our dining room is, You know, the table is piled high with books and FedEx boxes. I have to make another run to FedEx this morning when we're done here. So yeah, it's no shortage of interesting stuff to do around here. |
