
# The Grey NATO – 265 – Our Favorite Watches of 2023
Published on Thu, 14 Dec 2023 06:00:00 -0500



## Synopsis
The episode begins with James and Jason reflecting on the year 2023 and announcing that this will be the last episode until January 4th, 2024. They discuss their upcoming holiday break and plans, including Jason's dental appointment and gym routine, and James' woodworking project.

The main segment of the episode focuses on their favorite watches of 2023. They go through an extensive list, discussing notable releases from various brands such as Omega, Blancpain, Tag Heuer, Rolex, Oris, Chopard, Ming, and more. They highlight trends like titanium watches, smaller case sizes, and value-driven GMT options.

In the final notes, James recommends a UV flashlight for watch lume photography, and Jason shares his annual tradition of listening to "The Shepherd" by Frederick Forsythe, read by Al Maitland from the CBC. They express gratitude to their supporters and the TGN community for another successful year.

## Links
- [episode page](https://thegreynato.substack.com/p/265-our-favorite-watches-2023)
- [episode MP3](https://www.buzzsprout.com/2049759/14143577-the-grey-nato-265-our-favorite-watches-of-2023.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches this episode 265. And it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and would like to support the show, please visit thegraynado.com for more details. My name is James Stacy, and I'm joined as ever by my friend and co host Jason Heaton. Hey, Jason, how's it going? |
|Jason Heaton| I'm doing okay. I'm dragging a little bit today, but, uh, you know what, this is, uh, I guess we might as well announce it at the top here. This is going to be our last show of 2023. So we're, we're taking a break here between now and in the end of the year, other than, than I guess, remaining Q and a episode that you're going to produce here shortly. And we're going to record. Uh, but other than that, it's, uh, it's a bit of a break for us, isn't it? |
|James Stacey|Yeah, exactly. So for those of you who have your calendar open, this episode goes live on December 14th.  We're taking the 21st and the 28th off, and we'll come back on January 4th. As Jason alluded to, there will also be a final of our three Q&As to catch up. So, quote unquote, November's Q&A. We'll come out about the 18th of December, so keep an eye on that. I put out October's yesterday on the 11th, so we'll have that, and then we'll come back on the 4th, and then the second week of January, we'll have December's Q&A. We actually have been getting questions in more reliably again. Maybe the cadence of Q and A's equals getting questions in. Duh, James. But that's great. The questions are really fun. Actually, the one that went up yesterday, we had such a good time recording it that I was like smiling and giggling throughout the edit, which is not a normal, necessarily a normal thing for me, unless we have like a really great guest on. I had a really good time with that. So if you haven't, like if you're on the supporter side, but maybe you haven't been keeping up with the Q and A's, Maybe go back and check out these three that we've done kind of back to back. So it's September, October, November to, again, to catch up. They've been good. And we've, we've had a really good time. We had some really fun hypothetical questions about cars and time travel and that kind of stuff come in. So it's, it's always fun to kind of not necessarily always talk about the same thing that we always talk about. Uh, granted, I'm saying that at the top of an episode where we're going to talk about what we always talk about, which is our favorite watches of 2023 should be, uh, should be another fun episode. One we always look forward to and a nice way to kind of round out the year, I figure. |
|Jason Heaton| Yeah. And, you know, going back to the, this most recent Q and a, we've had some spirited discussions on slack around a couple of the subjects around, you know, the, the fun and dumb car question and the, and the musical talent one. So, uh, it's, it's fun to dip in there and see what people's responses are to, to that Q and a, that one really seemed to resonate. And, and, you know, just briefly as we're taking these next couple of weeks off, I'll just remind you that slack never closes. It is a 24, seven.  environment. So if you're missing TGN chatter over the next couple of weeks while we take some time off, and if you're part of that Slack group, dip in and contribute and read up. It's a fun and lively group. Other than all this kind of housekeeping stuff, what have you been up to? I saw you built a kind of a cool end table, which I'm kind of jealous of your skills there. That looks amazing. |
|James Stacey| Oh, it looks better in the photo, to be fair. I shared the photo on the Slack. I have somebody who I can't figure out how much I should say, because they might be listening. I'm making a gift for somebody. That's as much as I'm willing to say on this episode. I have two brothers who are very talented carpenters, and it's a skill set that I do really enjoy. And it's also something where, like, if I'm doing that, I almost can't do anything else, which usually I really like as well. I came across a one board table on Instagram, and I can put the Instagram story in the show notes if you wanna check it out. But you literally buy one eight foot board, and honestly, that's probably like a foot too long. You probably need about seven feet of board to do this. Wow, yeah. But the idea is that it's essentially a little like end table sort of thing that only requires one board in mostly simple cuts. And so I made the first prototype, hopefully the only prototype, we'll see. I'm not I'm learning just how bad I am at a certain few things. Made the first prototype and it came together pretty nicely and I photographed it in the right light, so it looked... It looked pretty good, but it was... There's a couple of bad cuts and I don't... I should have the pieces arrive from Amazon today, but I had an issue where it's... I have an eight inch miter saw, chop saw, but the board is 10 inches, so I can't do a 45... I can't do the 45 cuts using that saw. So I've been using my circular saw, like a DeWalt plug in circular saw. Yeah. And the problem with that is, is to cut a 45 on those saws, you're leaning way over the guard or the cutting plate. Right. And it fouls against the clamps that I use to establish the cutting line. Yeah. So I had to cut the 45s by hand, and of course, they don't come out perfect. One of them came out pretty close. Yeah. But not perfect. Yeah. I have really enjoyed the process and I went and got the ability to do like pocket holes for the screws. So the version that's on Instagram has just like drilled out holes and then they countersink the screws and fill them with wood glue, sand them down, stain them to hide them. Yeah. The way that I was able to... With some trial and error, there's several more holes than there are screws. I was able to hide almost all the screws in pockets. Wow. Which is kind of... Feels kind of cool and looks neat. And I just absolutely... I did that all Sunday afternoon, it was great.  Really, really enjoyed the process. |
|Jason Heaton|That sort of activity is so fun that it's just totally absorbing, isn't it? |
|James Stacey|Yeah. Yeah. It's like working on the car. Like you just, you're constantly just kind of doing little problem solving, especially when you're not even remotely a professional. Right. Right. And so I did the first, this first one out of like knotty pine for 12 bucks or something. And I'll probably do the final, uh, I think out of Oak. I haven't quite decided yet. |
|Jason Heaton|Very cool.  I mean, that's good cheap fun other than unless you have to actually buy a bunch of expensive tools like it's Yeah, it's it's fun to play with wood wood isn't still isn't that expensive depending on what you buy and you know, if it helps you build your skills and it passes the time I mean, you'll look up and like four hours will go by and be like, what have I been doing? Yeah, that's cool. |
|James Stacey|Yeah, I mean, there's technically there's a pretty tight limit on how much I'm supposed to spend on this gift, but the wood is less than that. The several hundred dollars in tools and other things I bought aren't, but I can pay those forward on other projects conceivably. And other than that, I've just kind of been working and doing kind of Christmassy stuff with the fam. What have you been up to for the last week? |
