
# The Grey NATO – 266 – 2024 And More
Published on Thu, 04 Jan 2024 06:00:00 -0500



## Synopsis
Jason and James kick off the new year by discussing their goals, plans, and inspirations for 2024. Jason shares his decision to participate in the Pen y Fan dance challenge in Wales, as well as his ongoing plank challenge with the community. James aims to find a new baseline for his fitness at age 37 and develop practical skills like woodworking. They also touch on topics like diet, dry January, watch goals (selling pieces and focusing on a curated collection), potential TGN plans (more meetups, guests), and general lifestyle adjustments for better work-life balance.

## Links
- [episode page](https://thegreynato.substack.com/p/266-2024)
- [episode MP3](https://www.buzzsprout.com/2049759/14243112-the-grey-nato-266-2024-and-more.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of the Graynado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 266 and it's proudly brought to you by our ever-growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show and aren't already, please visit thegraynado.com for more details.  My name is Jason Heaton, and I am joined as ever by my friend and co-host, James Stacy. This is the first episode of 2024. Happy New Year, James. Happy New Year. How's it going? It's going pretty well. Yeah. I'm kind of, you know, shaking off the holiday fog here. So apologies if the show seems a little rusty, but yeah.  And you're having, you're having some technical issues to start the year as well. |
|James Stacy|Yeah. I mean, let's be clear. I'm still on vacation. Uh, I I'm on vacation for, we're recording this on Tuesday, the second I'm on vacation until next Monday. Um, but I wanted to start the show off, you know, cleanly and nice and early and all that kind of stuff. Didn't want to take any time away that we didn't need to. So we're doing an episode, but I am in the midst of a rage inducing continued problem with my Mac book pro. So if this episode sounds weird, I am on an iPad, my computer, I spilled some water on it. I fess up to that, my mistake. And I knew it would be expensive and it was a problem. It was my, my fault, all that kind of stuff. So I have a backup. I plug it in and it goes, Oh yeah, 42 hours. Oh wow. Yeah. Okay. It's something like one and a half million files that it has to transfer and put in place and the rest of it. I'm like, yep. Okay. All good. Yeah. And hopefully all of that can be done like with enough time for me to edit and put this show up.  I don't know. What was the joke? We made a hundred episodes. Life would be easier if I wasn't this dumb. Yeah. Maybe don't leave your laptop next to a, you know, a 20 ounce glass of water. Um, but I've been doing that for years and it just caught up with me. So. |
|Jason Heaton|Yeah. It always, every time something like this happens or, or, you know, as an old Land Rover defender owner, I, I watch with some, with some level of schadenfreude with the people that own the new defenders.  And I've been reading a lot of these stories about people that like the battery runs dead while they're camping or traveling or something. And they come home and like they lose their power steering or you know, whatever. I'm like, is this truly progress? You know, like to the point, like I'd realized a lot of this stuff is, is convenience. Um, but sometimes the old, old ways are the best. It's like if we, if we did like a live show around a campfire with whoever can make it, that might be what we have to come down to one day. |
|James Stacy|Yeah. I mean, eventually it'll just be strings and cans and that'll be the slack. Yeah. Right. Right.  Yeah. Aside from that, how, how have your, how have you liked your holidays? How was Christmas? How was any, any like standout, really fun gifts given or, or received that sort of thing? |
|Jason Heaton|I guess, you know, the one gift I got this year was a, a left-handed guitar from a certain someone, uh, the other person on this podcast that was, uh, that was my sole gift this year. Uh, we, we kind of, uh, stopped doing gifts a number of years ago with the family. We get together and have a nice dinner with my folks who live nearby and, and, um, kind of just agreed that, you know, none of us really need that much more stuff in our lives. So we, we kind of decided not to do gifts, but the guitar has been fun. I've been noodling on that a little bit, you know, far from being able to play anything yet, but I can make sound with it at least. And it feels more comfortable in my hands. So that's, that's been great. Good. You know, we've had this really strangely mild winter here and we made it all the way through December with like no snow. I mean, I think we've had a total of two or three inches all winter and it's been downright balmy. So I've been, I've been, I've been on my bike, I've been running, um, you know, getting out, uh, it's, it's, it's kind of weird. I mean, I realized this is a real harbinger of, we're not even a harbinger anymore. It's such evidence of global warming, which is a disconcerting of course, but I will admit that having an extra month of almost like autumn weather, I mean, Christmas felt like Thanksgiving year. Um, it's been kind of after last winter, which was kind of a brutal one here. Uh, I've been kind of making the most of it.  you know, by getting out and not having to stress too much about leaking roofs and falling on the ice and that sort of stuff. So in that respect, it was, uh, it's been good. And, um, in terms of indoor activities, uh, we binge watched a slow horses season three, which, you know, I mean, it's, it's gotta be the best thing on TV. It's just such a, such an incredible show on Apple TV. Uh, just, just loved it. I mean, I think we blew through six episodes in, you know, in like two or three days. So yeah, that's great. |
|James Stacy| Yeah, that's awesome. I'm glad. Yeah, definitely. That's on my list for this week is to watch that. Yeah. Quickly on the guitar. I'm like, I'm glad that that worked out. I don't know if in the past, like we've talked about the gifts. Yeah. On our first of the year, like we typically spend each like kind of get each other a flashy sort of gift, like something you wouldn't buy for yourself.  Um, and, and in the past was some pretty amazing stuff. I've got that Campbell of Beaulieu's. Oh yeah. The mini bar, uh, Jerry can mini bar, uh, which I'll put in the show notes. If you don't know what this is, I think, you know, I've for a couple of years, all I did was outfit you and get shiny and snow peak stuff. |
|Unknown|Right. Okay. |
|James Stacy|Yeah. Yeah. Uh, which is pretty fun. And then this year you got me the, um, the Dyneema go rock bullet. Yeah. The 15 liter And I've basically been living with it on, like it's become the equivalent of like a purse for me. My wallet stays in there now. It's so small and it weighs, dude, like it weighs nothing. I believe it. |
|Jason Heaton|Yeah. It's like a parachute. |
|James Stacy|The straps are all of the way. Yeah. And, and it's, it's such a nice size. You can, it can fit my laptop, but not like it's actually small enough that it can't fit in the little sleeve in the back. |
|Unknown|Oh wow. |
|James Stacy|Yeah. The space, I think you'd need like a 14 inch laptop to do that. |
|Unknown|Yeah. |
|James Stacy| But other than that, it's a, it's great. And I've got a little bit of like vacation travel coming up in two weeks. Yeah. And I think that's going to be the go-to to carry around, you know, a camera and a iPad and that kind of stuff. |
|Unknown|Right. |
|James Stacy|Right. Yeah. So super thrilled with that. And I'm glad the guitar worked out. Yeah. As, as far as mine, I have, we have snow here. It hasn't been especially cold, but we have maybe an inch or two on the ground, which the girls are pumped about for sure. Yeah. I mentioned it on a previous episode that I was thinking about getting a treadmill.  Yeah. And, you know, did the cost benefit sort of analysis on a new one looked at the, you know, if you want to spend a huge amount of money, you can go with the Peloton, all that kind of stuff. And then I just figured there's gotta be a floor on a decent treadmill where all that's left in it, essentially, this happens with cars too, at a certain point when they're quite old, but all that's left in it is the next repair. |
|Unknown|Yeah. |
|James Stacy|Yeah. There's gotta be a floor on treadmills where zero is it doesn't work anymore, but like a hundred bucks or 200 bucks.  means everything's fine, but I have no idea how long it'll be fine. Right? Right. So Sarah went ahead and went on Facebook marketplace and found a treadmill for 200 bucks that looked to be in pretty good condition. Um, it does, uh, you know, 10 degrees of, of incline. It can go eight or nine miles an hour or something like that. Plenty for me. And I've been using that, uh, between 30 and 50 minutes a day. I took one or two days, like I took Christmas off.  And I just like absolutely loving it. It's got a little stand for my iPad. Yeah. And you know, if I just want to hit zone two, try and build a little bit of health strength, like heart strength, and then maybe do some sprinting so far, it's been perfect. |
|Jason Heaton|And I've really enjoyed it. And you said that you said that getting at home was a workout in itself. |
|James Stacy|Oh my goodness, dude. That's what I forgot. Yeah. Thank you for, for, for bringing that back up. A bonus, a bonus workout. So turns out this thing is 240 pounds and in every dimension, that you can measure, it wouldn't fit into my home. Yeah. One piece. So we got it into the garage and just started dismantling it. But all of that weight, like 220 pounds of the two 40 is in the deck. Oh, motor. Wow. The S the shock springs, the steel rails, all of it. And so we've struggled to get that thing into the basement. Like, and I mean like genuinely struggle to damage a wall, break an ankle and it was so heavy going down the stairs. |
|Unknown|Yeah. |
|James Stacy| get it into the basement, put it all back together. And it's been great. I'm very, very happy with it. I would say that I could probably go with less. I'm not doing a lot of like running. I think if I want to run, I'd probably rather run outside on pavement. |
|Unknown|Yeah. Yeah. |
|James Stacy|But for like a fast walk, a fast uphill walk, uh, I'm starting to eyeball weight vests that could kind of bring the level up. I want to try and maintain, you know, 30 to 45 minutes of like zone two. So yeah, that's, that's what we've been up to. Other than that, I watched like a ton of movies.  I watched The Town, which is a film club, probably from two or three. That's a favorite one. The one I hadn't seen, and it'll probably end up on a future film club. I had never seen this before, and I'm a big John Carpenter fan. It had just always escaped me, was Escape from New York. |
|Unknown|Oh, sure. Yeah. |
|James Stacy|Yeah. |
|Unknown|Kurt Russell. |
|James Stacy|Hilarious premise. |
|Jason Heaton|Really wild movie, but just Snake Plissken. Yeah, that's right. Yeah. Yeah. |
|James Stacy|Great name. Yeah.  Um, yeah. Fantastic. I mean, I just, I absolutely loved it. Hilarious premise. Yeah. Yeah. Perfect action film. Yeah. Um, really, really fun. |
|Jason Heaton|Um, but yeah. I don't know if I told you, speaking of movies, I don't know if I told you, I finally watched the thing that was another film. Oh, what'd you think? I loved it. It was, it was awesome. I was just, I think the thing was gone or something. And I thought I was like, I was like, I got to see this cause you, you'd been talking it up and I kept, it kept coming up and things I was reading and whatever. I was like, all right, I got to see this.  Yeah, it was great. |
|James Stacy|Speaking of weird premises and, and John Carpenter and largely this is a very similar team that brought escape from New York together. Yeah. Yeah. Yeah. |
|Jason Heaton|Yeah. |
|James Stacy|It was good. I liked that. I love, yeah. The thing is killer. That's such a good movie. Yeah. Yeah. Yeah. Slow horses though. And it's fun. Like it's now that there's three seasons, I feel like it's getting every time they put another season out, everybody who like didn't watch it because it only had one season. |
|Unknown|Mm. |
|James Stacy| And the cool thing is, is it's nice because you can like the show is incredible. Easily one of the best things on TV right now, but the books are also really good. Yeah. Like you could watch the show and then go and watch the book. I don't think or read the book. I don't think that it would be totally spoiled. I think I still have a really good time. And I think lamb is even better on the page. Yeah. Then again, Gary Oldman is give him all the Emmys to give him whatever he needs to, to, to keep, keep their show on the air or whatever. He's amazing.  Um, but I think the characters even, I don't know, more like just a little bit more detailed, like you'd expect from a book. |
|Jason Heaton|Yeah. Well, in season four has already been made and they teased it at the end of season three. And then I just read, I think this morning that season five has been approved for production. So we've got a couple more seasons ahead of us. So it's just, which is awesome. And there's several books I've read quite a few of them. And so however, however, however much longer McHeron keeps writing the books, I'm sure they'll keep spooling out the series as long as people are interested, which we are. Yeah. |
|James Stacy|Yeah. He'd be a fun guest, which will bring us that. That does kind of bring us a little bit closer to a kind of our main topic, which is like our plans for 2024. And I guess we've already been talking a little bit about fitness and the rest of it. But, um, do you want to start with some risk check? And then we've got some like Eaton Crow watches that we forgot about for, from two 65. |
|Jason Heaton|Yeah, definitely. Um, so I'm, I'm starting the year kind of largely the way I finished the last with, uh, the Pelagos FXD. Um, you know, I mean I even toyed with the idea of like making this like a one watch year just as almost like a kind of a weird, you know, kind of masochistic new year's resolution. |
