
# The Grey NATO – 267 – The Deep Track With Blake Buettner
Published on Thu, 11 Jan 2024 06:00:00 -0500



## Synopsis
The episode features a conversation with Blake Bettner, a watch enthusiast and founder of the new project called The Deep Track. They discuss Blake's background in the watch industry, his experiences working at Hodinkee and Worn & Wound, and his motivations behind launching The Deep Track. Blake shares his passion for exploring different enthusiast communities, such as mechanical keyboards, diving, and cars, and how he aims to delve into these spaces through The Deep Track. The conversation touches on various topics, including the appeal of watches, finding new hobbies, and the importance of understanding different perspectives within enthusiast circles.

## Links
- [episode page](https://thegreynato.substack.com/p/267-blakebuettner-1)
- [episode MP3](https://www.buzzsprout.com/2049759/14278426-the-grey-nato-267-the-deep-track-with-blake-buettner.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 267, and it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show, please visit thegraynado.com for more details. My name is James Stacy, and I am joined as ever by my friend and co host Jason Heaton. Jason, how are we doing today? |
|Jason Heaton| I'm doing pretty well holding my own here in the midst of, uh, well, it's actually turned out to be a proper winter here today after, I think last time we were talking about how warm it's been. You got some snow? Yeah. It's actually snowing out my window, which is quite pretty, but I feel like the, uh, our brief, uh, sort of Cinderella long fall is now over. And I think we're in for, in for some proper winter here, but, uh, I would think so. |
|James Stacey|Yeah, I would think so. I'm, I'm fresh back off vacation. This is my first day back. So I'm feeling a little rusty if I'm honest. That's right.  I've been off for a couple of weeks, had a nice time being off, and I genuinely appreciate the TGN audience being okay with us taking that time. We had last week's episode, which I think went pretty well. It was a fun episode and a nice way to kick off the year. But we get to do this one with a guest, and we have already recorded that just a few minutes ago. It went really well, so I'm really pumped For everyone to have a nice sit down with Blake Bettner and you know his whole new arc with the deep track But before we get into that How's the last week been for you, man? |
|Jason Heaton|Yeah, it's been pretty quiet. You know, I've had one of those weird weeks Gashani Flew to to Florida last week to spend some time with a couple of friends down there and Kind of left me here in bachelor mode and it's you know, it's kind of weird like I always feel like okay this is my opportunity to get some things done and do the sort of stuff that I like to do that, you know, she might not be that keen on. And that always just goes away immediately. And I just ended up being terribly unproductive and like watching a lot of movies and just sort of, you know, I don't know. I kind of threw myself into some exercise and just, uh, man, I watched a ton of movies over the past few days. Um, it's kind of a fun feeling though, right? |
|James Stacey|To have that latitude. Cause you don't want it all the time. |
|Jason Heaton|Yeah, exactly. Yeah. Yeah. Yeah. I watched salt burn. I watched, uh, the killer. How was that?  Saltburn was great. Really kind of creepy and good and well acted. |
|James Stacey|I heard it compared to The Secret History, which is probably my favorite fiction book. Also one of my wife's favorites. So that's definitely on our list to watch. |
|Jason Heaton|Yeah. And I remember many years ago watching the series Brideshead Revisited and then I think they did a movie of it or maybe it was a newer series, but kind of reminds me of that. And then what else did I watch? Oppenheimer finally. So I've just been kind of ticking off all the all the ones I've been wanting to see. |
|James Stacey|So yeah, it's been good. And the Golden Globes were last night. It seems like Oppenheimer looks like a front runner for the Oscars if it matters. It really doesn't to me these days. Yeah, right. And I'm sure it doesn't to most people. You just watch movies that you know, you like you watch movies and you enjoy them or you don't. Yeah. I finished Oppenheimer. I liked it. I would say. I mean, like the performances were jaw dropping. Yeah. Yeah. Genuinely like just a lot. And also it must just be like a flex for Nolan.  to just have characters in his movies that are played by pretty famous people, and they don't even have a line. Yeah, right. Like Jack Quaid is in a good piece of that movie, Dennis Quaid's son, who's like one of the leads for the show, The Boys. Yeah. Unless I missed it, I might have left to grab a drink or something, but I don't believe he has a single line in the film, and he's like a famous person.  You know, like I think it's outside of my norm. I really have become a pretty big knucklehead for like 90s thrillers. Yeah. Yeah. I think that's kind of like 90s thrillers and weird paramilitary stuff. Yeah. Like yesterday, what did I, I had a weird two for yesterday. I've been going through pretty much all of Denzel Washington's career because I totally miscredited him. Obviously he's charming and he's talented and I, in my mind like his, his strength was mostly shown by playing Alonso in a training day. Yeah, yeah. But it's so much more than that. And like Crimson Tide really opened my eyes to like there's a... He can do a lot more. And I watched one last night called The Siege, which is Denzel Washington and Annette Bening. It's basically... It's 1998, so this exists in a world before 9-11, obviously, and it's about a series of terrorist attacks based in terrorism cells in Brooklyn. |
|Unknown|Huh. |
|James Stacey|And Bruce Willis plays a general who's basically given martial law over Brooklyn. Yeah, yeah. And it becomes this whole thing where the military is roaming the streets and they're putting people in cages. And if you look at what the world has become since 1998, you go like, this is weirdly prescient. |
|Unknown|Yeah, yeah. |
|James Stacey|Something could have gone this way, just didn't.  Yeah, but the movie itself kind of falls apart in the third act, if you ask me. But yeah, I've been doing a bunch of that, and then I finally got around to finishing. I saw it the year it came out, the movie Black Hat, which is a Michael Mann, and I'm trying to satiate the fact that I really wanna see Ferrari, but I really don't wanna go to the movie theater. I've talked about how little I hate that, or how much I hate that experience, going to movie theaters, and I wish we had a good one. In LA, they have the Alamo Draft House, and everybody's on the same page. But I find like every time I go to the theater, last time I went was for Dead Reckoning, one of the worst Mission Impossible films. You can't change my mind. And it was just like, I'm listening to people chew. People are laughing when something isn't funny. They're on their phones. It's still a better experience in my basement. Yeah, I agree. And I really, genuinely, I will break down and see Ferrari in the movie theater.  I just need to find the theater that's empty, the time of day, the earliest thing on a Tuesday or something like that and go see it. I'm really pumped to see it. But I watched Black Hat and it's a messy sort of film, but I did really like it. Chris Hemsworth plays an imprisoned coder who they break out to help with this very complicated sort of plot about technology and hacking in the Chinese government in Asia, kind of at a wider scope, it's something else. If you haven't seen Black Hat, it's a bit of a maze, but I do really, there's a few things that are happening in it that are done at such a high level. It's very Michael Mann. I'll have to check that out. |
|Jason Heaton|I haven't heard of that one at all. |
|James Stacey|Yeah, and then with Saltburn, I'm definitely interested in seeing that, and so is Sarah. She's brought it up a couple of times, and it looks like a, you know, kind of a standout, a little highlight for the start of the year for sure. |
|Jason Heaton|Yeah, yeah.  Yeah. Other than that, I mean, you know, I've, I've been, you know, as we talked about last week with the kind of our new year's episode, it is dry January for apparently millions of people observe this now, which is quite an interesting trend. Um, you know, not drinking for the month. I know you are as well. And I am, you know, every time I do this or something like this, go an extended period without drinking much. I, I just find that there's so many benefits to it that I'm like, I really need to like, think hard about like, you know, re reconfiguring kind of my, my sense of moderation going forward because I'm sleeping better. I don't have like weird joint pain anymore. Like exercise is more fulfilling. Like it's, it really does make a difference. And I'm not here to preach. I mean, look, I'll come February. I'm sure I'll be back to kind of enjoying my whiskey, but uh, yeah, so far it's going really well. And I don't, I don't really feel the urge to like have a drink at all these days. So yeah, so far so good. How's it going for you? |
|James Stacey|Uh, you know, it's, I would say it's more of a mixed bag.  I'm still in the phase. I don't mind not doing it. And after eight days, I don't even think about it that much. But when I do think about it, I have to find like a replacement. Oh yeah. Yeah. Like I'll be, I'll be, we have a drinks channel on TGN and somebody like last night, someone posted that the only dry January for me is a dry martini and that martini, I got to tell you, it made my mouth water. Oh yeah. But no, it's been, it's been fine. And it's also been pretty interesting to like see the numbers from the aura ring Also tied with the fact that I'm back to essentially doing some sort of exercise six days a week and have since about a month from now. And my heart rate's way down, like my resting heart rate is now back at like overnight is into the high 40s, low 50s is probably where it should be. And even things like my heart rate variability has almost tripled in eight or nine days. So you can definitely tell the cost of of that lifestyle, especially if like like I think I was in a similar mode to you, maybe even more so, especially when the winter months come in, like I would drink every day. Yeah, yeah, it was just an it was an easy thing to kind of do. And if you do that enough, you don't really start to consider like, what does it feel like when I don't? Right. And then it takes it's not one or two days. It probably took seven or eight days. Like it's probably today that I'm actually feeling like I'm actually kind of disconnected from it. So, yeah, I agree. Like it's like probably like I said on a previous episode, the solution is just I don't I wouldn't have anything at home. Right. So if I want to drink, I have to go out. I have to be social. It has to be part of something else. It can't just be like a habit. Yeah. Yeah. Yeah. You can't be like when I switched from, I'm done drinking coffee, so we'll move on to whiskey. Right. Right. I'm going on vacation next week and I think that'll be kind of a weird experience. Right. To do vacationing without any sort of alcohol. So we'll see. I mean, if I, if I don't observe the whole month, I'll be honest and talk about it on the show for sure.  Um, but yeah, that's kind of where I am with it. I think it's, I think it's been good and I do kind of like it. Like I, I think it makes sense as a sort of reestablishing of some controls, if you will. Um, you know, resetting the playing field or whatever. Uh, and, uh, definitely sleep is better. Workouts are a lot easier and, uh, and that sort of thing. |
|Jason Heaton|Um, there was someone on Slack who wrote me about dry January and he sent me a DM or maybe it was Instagram. I can't remember, but he said, you know, his strategy is, or one thing that he suggested was maybe going a week, dedicating a week, a month, every month to not drinking. And by the end of the year, that's, you know, what, uh, 12 weeks of the year that you have abstained. And then that's, uh, three, essentially like three months off, um, which is, it's kind of a better strategy. I'm, I'm a little dubious about like, like very strict sort of guidelines instead of just sort of paying more attention. But then again, these, these sort of strict months and things are, are to kind of more like a reboot or reset. So I'm, I'm quite welcoming it. |
|James Stacey| But yeah, so other than that, I've kind of gotten more into the, like I talked about on the previous episode, the woodworking sort of thing. So I was gonna build a workbench with my last week of vacation, but then I started looking around. I spoke to my brother who works professionally in this space, and I think what I needed more than, say, an out, something to catch pieces of wood from a table saw, which I don't own, or that sort of thing is more of like just an organizational footing for my garage. Oh, yeah. So I ended up going store bought Canadian Tire, which is a retailer, obviously, here in Canada. Had a nice sale on an all metal with a big butcher block top, 72 inch, build it yourself rolling workbench. So I bought that and put it together in a couple hours, only had like one or two small mental breakdowns when like things didn't line up and then I realized I was reading the instructions wrong. It was a little bit harder than Lego, but not much and now I have it and it's like it's transformed the garage. Suddenly all my stuff has a little home and it has a bunch of drawers and has a huge amount of storage inside. It has a nice workbench on top and once I had that built the next day, I went out and grabbed some wood and I did a project that I've wanted to do for a while, which was design, I can't even say design, I just built a very simple box for the back of the Jeep. Yeah. So for a long time, I've had this Dewalt tote, it's a plastic bin with a handle basically that carries my air compressor and my lithium jumper and a tow hitch and some ratchet straps and all the stuff you'd keep in the back of the car, OBD2 scanner and road flares and all that kind of stuff. Yeah. And it was just like it was never the right shape, you know, like where you have the wrong, it's the wrong Tetris piece for almost anything I put in the back of the jeep. And so instead of having something kind of cube ask in its shape, this is a lower, longer, thinner sort of box that goes right against the seat back. And then I mounted a little clip on it to hold my snow scraper. Cause there's, that's another thing where like the snow scraper that I have, which was given to me by my last landlord, who used mine and it broke and I couldn't have cared less, but he is a very nice guy and he bought me another one. But it's like if somebody 3D scanned the inside of a Jeep and then had a supercomputer create something that didn't fit anywhere. There's no good place for it, there's nowhere to tuck it away, there's nowhere to tie it up, it's always in the way, it's always a centimeter too long for where I wanna put it. So I finally, I mounted it, it's basically the length of this box and I mounted it into the box, and I'm pretty happy with it. It looks good. I think it's gonna work really well, and it comes in and out easily enough without too much stress. So it's nice to be able to see these problems and be able to just go, oh, I can just make something very easy. Yeah. And I had a good time doing it. It was very simple. I made it out of pine, and I did pocket holes for all but a few of the screws, so you can't see any screws, and then just kinda sanded it down and threw it in the back of the Jeep. So we'll see how it holds up. Yeah.  Nice. But as a V1, I'm pretty happy with it. And this is a fun little new hobby to explore. Yeah. And I've been getting some really good advice on the Slack as well. |
|Jason Heaton|As always. I mean, that's such a resource for pretty much anything. It's amazing. |
|James Stacey|Yeah, it really is great. But yeah, that's everything that I've been up to kind of since we recorded the last episode. I've got some travel coming up, a little bit of a vacation with some family. And then after that, I'll be in Florida for a little while.  for some watch news and announcements, and then I'll be in New York for like hours, I think. I don't have the total itinerary yet. One evening is probably the maximum to do some stuff with the Houdinki team and for a certain brand to do their forthcoming like watches and wonders announcements. They probably wouldn't appreciate if I said what brand, but you'll hear about those watches as soon as we're allowed to talk about them, I'm sure. Yeah, that's kind of how the rest of my January is looking. It's off to a slow start, which I like, but it's going to ramp up.  Yeah, pretty quickly in the next 10 days or so. |
|Jason Heaton|Well, it's not a bad month to be kind of busy. It is kind of a long dark month, traditionally this time of year. So it's it's nice to have something to get you out of the house flying around doing some interesting stuff. So that'll be great. |
|James Stacey|Yeah, I agree. Well, what do you say you want to jump right into this recording with Blake? Yeah, let's do it. |
|Jason Heaton|It was a it was a fun chat. |
|James Stacey| Yeah, we had a great chat with Blake, and we did a wrist check and final notes with Blake, so you get them for the rest of the episode. I kicked this one off with an intro because I know Blake really well, so why don't we just get to the tape and keep it easy?  Okay, today we are joined by an extra special guest who's been on the podcast before but is returning today in a brand new context. You'll recognize him and his likely absolutely correct pronunciation of one of our shared favorite watches from the likes of our live recordings from Wine Up Chicago, but that's far from all of it. He's a Hodinkee alum, the former managing editor of Worn and Wound, and the founder of a brand new project called The Deep Track. It's Blake Bettner. Welcome back to the show, Blake. How are you? |
|Blake Bettner|I'm excellent, James. Super excited to be here. Appreciate you and Jason. |
|James Stacey| Yeah, absolutely. No, it's a, it's a treat to have you on. It was, uh, you know, late last year we were chatting about, uh, the deep track and what your plans were. And we thought, well, Hey, Jason and I are always a little short on show ideas. Uh, in January, this is when we, we start to really kind of get philosophical or pull, pull it a few buddies to come on the show. So it was kind of perfect timing to have you on. Um, I guess probably the natural spot to start because we didn't do a risk check to open the show, which we normally do. It felt weird to do it without you.  Why don't we jump into a risk check and then we can learn all about the deep track and chat about probably about a thousand other things. What have you got on risk this morning? |
|Blake Bettner|I am wearing a Zinn U50 watch. I think it's called a grey NATO strap on there, fittingly.  which is construction type stuff down in Florida and managed it. So it is like grimy. It's like every time I see him, I take the strap off and all that and like clean it off for him. So it gets properly used. But honestly, I tell you when I do it, you know, a quick cleanup and it looks like brand new. These things are no joke. Whatever submarine steel that they use for this, it's pretty legit. |
|James Stacey|Yeah, they do. They do good work. That Tegiment, the hardening stuff is pretty solid for sure. Well, that's a great pick. And obviously, Jason, I appreciate the NATO. It's always good to be on brand Jason, how about you? What have you got on today? |
|Jason Heaton|Well, yes, I have my FXD, you know, it's still on the same Cincy strap company, Graynado, as I had last week. And yeah, this watch is tough to take off. Blake, I'm actually surprised you're not wearing yours. I thought it would be a Palagos Trio here today, but apparently you've taken it off your wrist for a little while, Blake. |
|Blake Bettner| Yeah, I normally do. That's normally a safe bet that I would have one of those on. Yeah, but it's nice to switch it up from time to time. |
|Jason Heaton|Yeah, yeah. And James, what are you wearing? |
|James Stacey|Oh, yeah. I mean, I also was a little bit concerned that it would be three Pelagoses. I'm going to attempt to go with the Bettner pronunciation, as it's known in the horological lexicon for the whole of the episode. We'll see if I slip back into my terrible ways. But Out of connection to our fine guest and a good friend, I actually wore the Citizen, the BN022725X. It's the loom beast, the big square. Oh, yeah.  I think Blake, you coined that term. |
|Jason Heaton|You don't share that nickname. |
|Blake Bettner|Well, it was a windup in Chicago a couple of years ago, a few years ago or whatever. I had one on and I was like, I don't know what to call this thing, you know? And so we each came up with a couple of names. I think you had Blue Brutus because the one I have is a blue camo dial. It's totally gnarly. I love that watch. And it wears better than like it has any right doing, I swear. |
|James Stacey|So much better than you'd assume. I mean, one, it's super titanium.  I mean, actually, as I load up the website, and this obviously could, it depends on how quickly you also load up the website. It's currently on sale, which is nice. Wow. But yeah, the thing is absolutely massive. They say it's 46 millimeters wide. It's gotta be every millimeter of that, but it wears kind of not unlike the Aqualand. It just wears really well because it's so square. Yeah. You can get away with quite a large watch. This is probably how some of the bigger Bell and Ross stuff wears, because you look at it on paper and you go, there's no way that's not going to look like I'm attempting to wear an iPhone on my wrist or whatever, like a big rectangle and you put it on and you're like, Oh wait, this kind of makes sense. And then you think like, Oh, if this was, if they originally sized this to go on top of a sleeve, it makes a lot of sense. Like it would actually be kind of perfect even on a normal wrist. But yeah, I figured I'd throw on the loom brute or the loom beast or whatever we've decided its nickname is, but it's in the show notes if you want to see it as our links to the U 50. And of course the, the FXD is a stalwart in our show notes these days.  But I guess the next place to go, Blake, is I don't know, I don't remember if in the couple of episodes we've done live from Chicago, we actually talked about how we first met. I think it's always kind of fun when we have on like pals, industry folk, that sort of thing, like to go back, like obviously the show started because Jason and I met through Mike Pearson, who was at Bremont at the time and is now actually with Christopher Ward starting this year. And it's kind of fun to go down memory lane. I believe And I'd love for you to correct me. I believe that you and I first kind of touch base face to face at an Armand Strom F1 trip in Austin in what must be 2015, 2014? I think it was even earlier than that. Yeah, it might have been. James, I think... I'm getting younger, so it's hard for me to remember. |
|Blake Bettner|It might have even been like 12 or 13. Yeah, it might have been 13. |
|James Stacey|13 might have been right. |
|Blake Bettner| This was Marusha. They sponsored the Marusha team. And this was, I think, a year or two after they had started the race there at Circuit of the Americas. I think it was only like its first or second year. And one of the drivers, of course, was the late Jules Bianchi for Marusha. I still have a hat signed by both of those drivers. I was going through my pictures the other day that I got there just because the cars look so different.  uh, from, from then to, to now, um, and then, and I, and I remember like distinctly thinking about chatting with you while I was, while I was there and, uh, and how you and I kind of just hit it off, like naturally right off the, right off the, right off the bat, talking about cars and. |
|James Stacey|Yeah, cars and watches. We were both, we'd been loaned, you know, it was one of those trips where you get there and we were, it was, it was a high low trip is how I would describe it. Cause we were staying at a red roof inn.  I don't think Austin had really understood how many people would come to the Formula One yet. And this is even F1 before Drive to Survive. So this is old audience F1 or pre-Netflix F1. And we were staying at a red roof inn, which is fine, except that if I remember correctly, my shower was not connected to the wall in any way. Like the surround that you stood in was essentially just hanging on the pipe that was the shower head.  And the whole room smelled like they just painted it. So it was all fine. Everything was fine. Those two memories stand out. But I remember we went for a genuinely on 6th Street, we went for a genuinely incredible meal. I don't remember what the place was called. I want to say the restaurant was bird themed or had like a bird name. |
|Blake Bettner|Yeah. And I do remember that it was a cloud and cloud grizzler, I think, who's still around and doing his thing. And shout out to Armand Strom. They're still doing awesome things these days, of course. |
|James Stacey| Yeah, I mean the smaller version of the watch they announced they showed earlier this year, and then they showed a few more versions of the Fiume dial at... I'll put it in the show notes, the exact names escaping me, but they showed it at Dubai as well. Really awesome in 38 millimeters, super fun watch, and obviously we had the collective special presentation all about the Armstrong they made in partnership with the collective. It's a really fascinating brand, but the one thing that sticks out in my memory was we went to order drinks from the bar And you or I had never heard. I didn't. You had to fully explain to me what a Sazerac was. It was entirely outside of my understanding of any drinks at all. |
|Blake Bettner|Yeah. |
|James Stacey|Yeah. |
|Blake Bettner|I went through a kick back then. Look, we all go through these like phases, right? And in that that was a that was that was my, you know, I was in that period of time, like I get a Sazerac and especially if I'm in different areas or kind of like foreign places, not foreign, but, you know, like out of my usual grind, you know, you had to try it. So Uh, did you try one? Did you have one? |
|James Stacey|Do you remember? I don't remember if I had one. I don't, I don't typically, my guess is if I, if I had to, you know, retcon history, I didn't simply because I have such a general like distaste for mixed drinks, uh, at a, at a high level. Um, but I, I think if I remember correctly, I probably had a sip of yours and it was probably great. But yeah, I think, I think that was kind of our, our, our Genesis as, as buddies. |
|Blake Bettner|Yeah, absolutely. No, I didn't feel like, yeah, we were pretty fast friends, um, uh, there down in, down in Texas. So That's a great memory. We'll have to confirm the year, though. I'll have to pull up those photos. |
|James Stacey|I don't know if it would still be in my email, maybe. Because I wasn't with Hodinkee at the time. That would have been in the blog to watch years, so I probably don't even have that email. |
|Blake Bettner|Was it even a blog to read back then? |
|James Stacey|It might have been just after the change. But yeah, for those of you who don't remember, say, what would that be, pre-2012?  Around 2012, a blog to watch started as a blog to read and became a blog to watch. |
|Blake Bettner|Oh, James, it was it was November of 2013. Okay, there you go. |
|James Stacey|13 felt right. So almost 11 years, definitely a full 10. Yeah. How about? How about you and Jason? Do you guys remember where you first cross paths was also like on a press trip or at a Basel world, something like that. Early Hodinkee days, we were the|
|Jason Heaton| first two, I think probably freelancers with Houdinki back. And we probably met in 09 or 2010, Blake, I think. Um, and I remember we were, Ben Clymer of course, uh, invited us to, to come to New York, which was kind of a big deal. I remember, I don't remember where you were living at the time, St. Louis maybe. Um, and, and we flew to New York and he put us up in a hotel and he had like this little brief itinerary of stuff we were going to do. And Houdinki didn't have an office back then. I think I remember, Do you remember that video we filmed on the roof of Ben's apartment building that never saw the light of day? |
|Blake Bettner|Yes, that's probably a good thing. I wonder if it's still somewhere. |
|Jason Heaton|I'd love to see that. I wonder if Ben has that hidden away somewhere. He had a studio apartment and we were filming on the roof of his building and it was scorching hot that day, I remember. But we went to a steak place with John Reardon and you and me and Ben and yeah, good times. That was way back. |
|Blake Bettner| Yeah, I remember feeling kind of totally out of my depth there. I was like, oh, these are like real watch guys, and I'm in New York. I think I was living in San Francisco at this time, Jason, so I came in. And because I wasn't married yet, it was just like this, like working my first like kind of like full legit job out of school. And then yeah, Ben got on my radar somehow. But yeah, and I didn't know like you or Or Eric Wynn was another one of those those early guys. I mean, it was just kind of like happenstance that we were all from Wisconsin. That's true. We figured out like after the fact. So, you know, it's a it's a running thing. And now it's like we're all over the place. Eric, Mark Kosler. |
|James Stacey|The Wisconsin contingent is powerful. Yeah. Yeah. Was your was your genuine start? I'd like I'd like to do a little bit more history. Like, was your genuine start in the watch game as far as a producer with with Hodinkee, with early very early days, Hodinkee? |
|Blake Bettner| It was actually with, I don't know if you remember this brand, Zetum, X-E-T-U-M. |
|James Stacey|Oh, sure. It was like this lugless watch. Like the automotive lugless watches, carbon fiber dials, stuff like that. |
|Blake Bettner|Yeah, there was a carbon fiber dial. He was based in San Francisco. His name was Jeff Kuo. And he and I got to know each other through some work that our companies were doing together. And I had always really been into watches, so I started helping with his Facebook stuff and social stuff. It was a very different world back then, you know. So and then he's the one that actually knew Ben and put us and put the two of us in touch. And he's like, oh, I know this guy who's got this thing that he's starting. And, you know, maybe you could write right for him as well. So, you know, I'd never really like written or anything. I went to school for design, multimedia design. And so, you know, creative stuff, but not like uh, but not full on like writing, you know? Um, so I, I tried my hand at that, uh, for Ben and apparently it was good enough to start helping him out every now and then. Uh, I think the very first thing I ever wrote about was a Panerai, an old Panerai that was coming up. So I'm sure it was over the top and overdone and all these kinds of things. So Ben kind of helped rein in my writing a little bit and how I thought about it, which was all super helpful. Um, and then that was kind of like what kicked me off. And then, I mean, it was right out of the gates that, that, you know, we were going to,|
|James Stacey| Basel and send me over to what year would this have been like 2009? |
|Blake Bettner|I think it was 2010, like early 2010. |
|James Stacey|So Panerai was still huge. |
|Blake Bettner|Yeah. I think like April of 2010, if I'm not mistaken, was the first was the first article that I had published. And then and then, yeah, like visiting manufacturers and all this kind of stuff, really just kind of like learning on the fly as we were going. And back then, you know, it's weird. I mean, you'd be at Basel and, you know, it was you were kind of like not cast offs or anything like that, but it certainly lacked the prestige of a lot of the other second class. |
|Jason Heaton|Yeah. |
|Blake Bettner|Yeah. Legacy media. |
|James Stacey|And I remember like watching Ben going, not only was it online, you were English only. Yeah. Right. It wasn't, it wasn't something where you were like producing something in Switzerland that was being translated. Also just an entirely different world. Yeah. Only, you know, a little over a decade ago, the internet, the internet really hadn't been accepted at all. I mean, Ben talks about this, you know, when he talks about early days of which you guys would have been around for just being like, you guys do what? You write on the internet. Okay. Yeah. |
|Blake Bettner|I remember being like a really big deal seeing him go into like a Rolex meeting. Oh yeah. Whoa. That's, you know, that's, that's really cool. And you know, kind of watching. And then of course me being like, I always felt like this gigantic guy that was obviously from a place like Wisconsin, you know, not being in like a, some really fancy suit. And you know, I always felt like a little bit of a fish out of water.  those first few years. But, um, you know, you eventually just kind of embrace like who you are and, uh, enroll with it, you know? |
|James Stacey|Yeah. I, I still feel almost identical to that. Like I know where I'm going now when I'm in Geneva. Like if somebody is like, Oh, it's near this, I go, Oh, I know where that is. But that's as far as I've come in a decade. |
|Unknown|Yeah. |
|Jason Heaton|Yeah. And Blake, you've had, you've had quite a, a kind of a meandering path. I mean, it's been fun to kind of, we cross paths, then we kind of drift apart, then we cross paths again. And I remember for a while you were with a StockX.  Um, and that took you to Detroit, I think, right? You moved there and then. |
|Blake Bettner|Yeah, it's, it's been a, it's, it's been a ride for sure. And I, I look back and I think, you know, my, my son is 11 now and, and I feel bad for putting him through, he's lived in four different States or whatever, whatever it is. So he's got these like little friend groups all over the place. Uh, you know, and I want him to like have some consistency so he can, you know, have, have like friends that he can grow with and get to know. So he starts middle school this year. Um, So hopefully we'll stick around New York for a little bit. But yeah, Detroit was was a really interesting experience with StockX. And, you know, I was one of the early employees there. So that was a whole interesting experience in and of itself. And being a part of a company that went through such a rapid growth phase and kind of being pulled in a lot of different directions. You know, at the end of the day, though, I'm not, you know, like marketplaces and salesmen, that's not really my jam. So I ended up just kind of spending most of my time kind of like writing descriptions and writing about the watches and doing the kind of stuff that I that I wanted to as well as kind of like helping, you know, fulfill orders for sneakers late at night or whatever needed to be done at StockX as they were growing. Like I would hop in and do. And of course, by the time I left, it was gigantic. So, you know, and it's kind of grown into a different thing now, which is great. But, you know, it's it's it's not really like where my the core of my interests lie, you know, lied. So I didn't I didn't want to Yeah. I knew that I wasn't going to be like super long for that role and in Detroit, but it was interesting getting to see Detroit and live there during that phase. So yeah. |
|Jason Heaton|Yeah. You know, you mentioned that, you know, in your initial kind of work at Hodinkee and kind of getting into that space you weren't a writer by training or by background. And I'm curious now, as you've been through some different career iterations and now you're onto something new now with the deep track, where are you at? Like in terms of you, what's your comfort zone? Are you, do you plan on doing more writing now? Or, I mean, I don't want to jump into the deep track discussion here too quickly, but I'm just curious, like what is your comfort zone and what, what's ahead for you? |
|Blake Bettner|So actually like, that's a good question. And honestly, even, even with my kind of hesitancy, but I knew I was like maybe a little out of my lane when I, when I started doing it, the more that I did it, the more that I really kind of fell in love with it. And, and now I, I really enjoy, I truly enjoy writing. And if I get something that I'm really curious about, like I really like jumping into it and getting my thoughts out, I feel like I can articulate myself much better through written word than I can, you know, talking to someone. So it's a process that I really enjoy now. And it kind of forces me to slow down. You know, when I'm talking, it's all just kind of there. When I'm writing, it forces me to kind of stop and think about it and formulate different things that I'm trying to say or want to say and why. So it's a process that I've really come to enjoy. And I don't know if I'm any better at it or anything like that. I think I've gotten better than I was back then. But it is something that I enjoy and kind of embrace now and kind of look forward to doing. So, yeah, I don't know how else we justify, you know, taking a sensibly, you know, relatively uninteresting three hand watch and writing six thousand words on it or something like that. Like that's not a normal thing, is it? Like what do we do here? What is this? So now I really embrace it. I also I've always really loved photography as well. And so that's something that I've always kind of worked on and enjoy myself. Again, I don't know if I'm any good at any of this stuff, but it's something that I really enjoy. And it's like something that I can use to help kind of tell the stories that are on my mind and explore the areas that I'm like really curious about, which is kind of what the D track is about, you know, in total. |
