
# The Grey NATO – 269 – Costa Rica And The Red Devil Breitling
Published on Thu, 25 Jan 2024 06:00:00 -0500



## Synopsis
The episode begins with Jason sharing details about his recent trip to Costa Rica for a family wedding. He talks about the travel experience, including renting a car, driving long distances on rough roads, and exploring different parts of the country like San Jose, Nosara, and Samara. Jason also mentions diving with his wife Sarah in Samara, despite some equipment issues with the dive shop. Overall, it was an enjoyable trip filled with adventure, good food, and beautiful scenery.

James discusses his preparation for an upcoming fan dance event in Wales, which involves running with a backpack and other endurance training. He also talks about trying out different gym equipment like the Stairmaster to prepare for the event.

## Links
- [episode page](https://thegreynato.substack.com/p/269-costa-rica)
- [episode MP3](https://www.buzzsprout.com/2049759/14372724-the-grey-nato-269-costa-rica-and-the-red-devil-breitling.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacy| Hello and welcome to another episode of The Gray Nado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 269 and it's proudly brought to you by our ever-growing TGN supporter crew. We thank you all so much for your continued support and if you'd like to support the show and aren't already, please visit thegraynado.com for more details. My name is Jason Heaton and I'm joined as ever by my friend and co-host North of the border, James Stacy. James, welcome back to further north than you were last week. |
|Jason Heaton|Yeah, I was down and away for the last six nights or so in as far south as I've ever gone. I was in Costa Rica for a family sort of wedding and a little mini vacation with my wife and my father. And it was good. We got back last night and technically I'm off for today, which gives us a little bit of time to record this.  get a few other things in order before jumping back into what is kind of the start of my 2024. You know, I took a good portion of this month off and came back to Watches and Wonders invites and a lot of, you know, booking meetings and that kind of stuff ahead, which is daunting, but I'm feeling pretty good, feeling pretty well kind of rested, got a little bit of a tan and I'll give a little bit of a report on that and some other stuff throughout the show. |
|James Stacy|How have you been?  Uh, it's been considerably quieter here than, than in your world. We are amazingly headed into, uh, a bit of a warmup here. In fact, quite an extended heat wave, uh, at least for this part of the world coming up and guessing it's going to swing your way as well. And it's, it's, it's been a weird winter anyway, but it's, I, and as much as I enjoy skiing in winter, it has been a particular boon to my, uh, fan dance training. You know, we talked about, I signed up for the, the, uh, that event over in Wales that's coming up in in mid June. And it involves a lot of, uh, a lot of kind of outdoor running around with a backpack on. And so this, this warmer weather and the lack of ice on the ground has been, been kind of helpful for me. And that's, that's what I've been doing. So just been, just been keeping at it. I'm running about three or four days a week and nice hitting the rowing machine and swimming at the gym and then trying to do a day a week on the, on the stair climber. But man, is that boring? Wow. Not your thing. You know, the scenery doesn't change and it's like, it's not the most, I don't want to say intuitive, but it doesn't remind me of actually hiking up a hill or even climbing a flight of stairs. There's something sort of strangely artificial about it, but I'm doing it because it works the muscles that need to be worked. And so I'll keep that up. |
|Jason Heaton| I find those machines are a little bit like ellipticals where you have to conform to the mechanics of the machine. Yeah. It's a... How would I describe it? It's like a geometry problem almost, where you're like, well, I know what you're simulating, you're hitting the same muscles I would use to do big steps. Yeah, yeah. But you're right, it doesn't feel like climbing a hill or walking uphill, and it doesn't really feel like stairs because the stair doesn't move as you walk. Right, right.  Yeah. Right. So it's a little bit of a weird thing to get into. I do know what you mean. And I'm mildly terrified of falling off. Oh, yeah. I always worry about missing a step, dropping a knee on one of those things, and then before I can get my leg out of the way, the next one comes down on it. |
|James Stacy|Yeah. Yeah. Not to mention the embarrassment of being that guy in the gym who falls off the Stairmaster and someone will catch it on video. Sure. |
|Jason Heaton|Especially if you've got a big backpack on and that sort of thing. But yeah, it's great. |
|James Stacy| Yep. That'll be on YouTube or something going viral at some point. Yeah. Yeah. |
|Jason Heaton|When you're on it, are you, are you watching anything? Like I find that's the key for me. I don't, I couldn't do two minutes on my treadmill without like a YouTube video or something like that. |
|James Stacy|Well, I've only done one session and I'm headed back there again tomorrow, but, um, I really should, I need to watch something because I did 45 minutes, uh, last week, this week, I'm going to, I'm going to up it to an hour and just, just staring at the little screen display.  No, I had music on, which, which was a mistake. It was my first time. I mean, I just don't use gym equipment often enough to like even understand how they work. So it took a while for me to kind of get used to like setting it up. And then once I got going, I was kind of conscious of the fact that I'm, I'm in a public gym. Well, it's not public, I guess, but it's, you know, members only kind of a gym facility and there are people waiting for machines and I don't want to be the guy who's like sitting there fiddling with the screen for 15 minutes.  And so I just popped my, my AirPods in and listened to some music for 45 minutes. And that was a bit dreary, but this machine has like this console on it that has links out to Netflix and prime video and whatever. So I guess I can log in and I could watch a show. Um, we'll see, I'll figure something out tomorrow, but yeah. And speaking of the fan dance, I hadn't actually officially signed up until a couple of days ago. They just ran the winter version of it, um, on Saturday, I think. And I've, I've caught a couple of, Instagram stories from, from people that, that did it. And, you know, for those in the UK, you're, you're familiar with there. There's a, there was a named storm. I think it was Isha, I believe, uh, that, that blew through the UK over the past week with, you know, almost hurricane force winds. You should have seen these guys up on the top of, of some of the mountains. They're like, just, just getting blown. You couldn't even hear them talking or whatever, but in watching a couple of those, those videos from the winter version, I learned that they were filling up in terms of the the signups for the summer version. So I quickly went on the website and put my name in the hat. So I'm, I'm officially signed up for that. And then I learned that our buddy Felix, uh, who, uh, has sent in a couple of Q and a questions for us. He's a, he's a Brit, but he's living in the French Alps and does a lot of, uh, kind of ultra marathons and running and whatnot. Uh, he signed up as well, and we've been communicating around that. And so it'd be fun to see him there. And if, look, if anybody else is up for it, uh, feel free to join. I think it'd be a fun little informal get together. I'm certainly not going to be chatting or, or doing anything terribly social during the event itself. But afterwards, if there are any folks over there, I'm happy to buy the first round of beers for, for anybody else that's doing the event. So, um, yeah, and I'm doing it through the SF experience, uh, which, uh, there are a couple of organizations that run these races. So I signed up through, through them and so did Felix. So, That'll be fun. And I booked, uh, booked the plane tickets and Kashani's coming along and we got a little rental cottage right in the Brecon beacons to kind of be a base camp, uh, before and a little bit after. It's kind of where I've been lately. I've also managed to sell four watches on, on the Slack group for anybody that's hesitating to, to sign up for TGN or even to join our, our subscriber Slack group. Uh, one of the big benefits of it is, is a really kind of a safe space and a group of trusted folks that, not only communicate about every possible subject under the sun, we have a pretty robust sales channel on there. And I managed to sell a few watches and thin the herd a little bit. So that felt pretty good. |
