
# The Grey Nato - Ep 27 - Future Classic Watches
Published on Tue, 07 Feb 2017 09:01:21 -0500



## Synopsis
The hosts discuss various modern watches that could potentially be viewed as future classics or icons in the same way that models like the Rolex Submariner or Omega Speedmaster are viewed today. They consider watches from brands like Bremont, Tudor, IWC, Zinn, and others that have distinctive, modern designs representative of the current era of watchmaking. They also contemplate whether any truly groundbreaking, genre-defining watches are being produced today given the contrast between purely mechanical timepieces and smartwatches/wearable tech. Ultimately, they conclude that while few modern watches may attain the iconic status of past legends, there are still many excellent contemporary designs that watch enthusiasts will look back on fondly in decades to come.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-27-future-classic-watches)
- [episode MP3](https://www.buzzsprout.com/2049759/11311094-the-grey-nato-ep-27-future-classic-watches.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello? |
|Jason Heaton|Hey James, how's it going? |
|James Stacey|Uh, hey man. Yeah, good, good. Just, uh, getting everything lined up for the show. You good? |
|Jason Heaton|Cool. Yeah, well, it's, uh, it's the beginning of February here, and I'm, uh, I decided to make February my dry month. So I've, uh... Oh, there you go. I've decided to abstain from alcohol this month to see how that goes. And, you know, we'll, we'll see. Usually I have a little scotch going while we do the recordings, but tonight it's just a bottle of water. |
|James Stacey| I'm enjoying a mediocre Canadian whiskey. So we'll go from there. Don't tell me about that. This is episode 27 of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. Thanks for listening. So what's new? Oh man. I mean, I think for me it's flashlights. Flashlights. Is where we'll start tonight.  You know, people listening, I haven't received any emails that are saying like, James, you got to stop talking about flashlights. So I'm going to assume that there's at least like a group of people that are kind of like certainly way ahead of my knowledge base when it comes to kind of the world of enthusiast flashlights. So back when I first spoke about this Phoenix light that I bought that I like, you know, it's kind of an entry level $30, $40 thing. And this crazy Chinese 1250 lumen Zan flare.  I got a handful of emails and they all said like, you got to check out Machant Flashlights. This guy in Texas is making these really amazing kind of craftsman style flashlights. And I looked at them and they were very expensive. And I thought like, I'm not really willing to shell out several hundred dollars for a flashlight.  And then as it turns out, the gentleman behind Michant, Enrique, he listens to the show and he pinged me kind of via DM and said, hey, if there's something you'd like to see and, you know, to kind of compare with these other lights you've been looking at or buying, then by all means. So, you know, he was kind enough to send me, at this point, I've got four lights from him. I'm going to talk about two tonight, two I got just today and are a little bit too fresh.  for me to really, like, summarize. I haven't taken them outside and that sort of thing and used them at all. But I did get a couple, and they're an unbelievably impressive product. I mean, there's only a few things that, like, are kind of one-to-one for me. If you've ever messed around with, like, Chris Reeve's pocket knives, these really kind of high-end, enthusiast, limited batch kind of creations. And then the other one is, like, Jason, have you ever had, like, a Schofield in person?  Like his watches or any of his stuff. So where the packaging is like Original artwork and like there's not a single detail of the whole thing that's been forgotten. |
|Jason Heaton|Yeah, it's incredible stuff and and he does Flashlights too if I'm not mistaken. |
|James Stacey|He did a light for the the moon moon watch the moon. Yeah, right moon glow, maybe yeah So yeah, I know he made a torch specifically designed to charge that light. Yeah, I don't know if he sold it separately I'm not sure but with with the Michant stuff The packaging is unbelievable, definitely in line with the sorts of prices they charge, but I would say even you would expect this level of packaging from like established luxury goods. Yeah. And you get beautiful paperwork, like any detail that could come with it. Oh, one little fun thing that Enrique pointed out to me, and I won't give it away entirely, but any of you who own a Machiant flashlight, Find your warranty card that came in the box and shine your light at the warranty card in a dark space. It's really crazy what he's done as far as the details in there. Really fun to unbox. I did an Instagram story a while back, although that would be all expired by now. You know, yeah, if you think along the lines of a Schofield or a Chris Reeves, so yeah, great details, really impressive packaging. And then you get into the actual hardware, if you will, and there are these very kind of you know, nice materials, and it's all milled, and very high-end sort of electronics that use for the emitter or the bulb, if you will. It's not a bulb, they're LED. So I'll break down the two lights that I've had the most time with, and we'll start with the smallest one. So this is the MAUS, M-A-U-S. And the one that Mushant sent me is the MK1 Titanium. |
|Unknown|Yeah. |
|James Stacey|So you're looking at, it's a hair over two inches long.  Yeah. 2.1 inches long. It's one ounce and it's a half, a little over a half inch in diameter. And it's this beautiful little tube of titanium that, I mean, roughly you could imagine like a, the handle of a lightsaber, but with none of like all the added bits on it. |
|Unknown|Yeah. |
|James Stacey|It's a very simple shape and it's a, it's a very clever design. So it's operated with, with like a turn cap. Sure. So not unlike that, you know, $40 Phoenix where as you tighten it, it gets brighter.  But with this one, there's actually some sort of a controller. So if you tighten it once, you get one lumen, tighten it a second time, you get 10 lumens, back it off and tighten it again and you get 60. It's a little tiny light to throw at 60 lumens. Like it's, it's great. It weighs nothing. It has this kind of really interesting design for the tail cap that allows the kind of key chain ring to actually sit flush inside the cap if you're not using it or if you don't use it. Yeah.  So it doesn't just kind of flop around on the light if you'd rather carry it in your pocket or something like that. It's a really neat design. It's a sapphire crystal. It doesn't weigh anything. And I see these quite a bit on Instagram and those sorts of EDC posts, you know, where you have a watch and a flashlight and maybe a wallet and a pocket knife. And I dig that kind of stuff. I love following those sorts of things because I think you can see someone's taste in multiple items. Yeah.  These flashlights are certainly expensive. And like I was saying to you, I think previously, I don't think this is going to be anybody's first flashlight. Like you're not going to be going to, you know, a Home Depot or your local hardware store and trying to decide between a $20 Maglite and a $300 Machon. But I do think that this is, you know, for guys that get into flashlights the way that you and I get into watches. |
|Unknown|Yeah. |
|James Stacey|This doesn't surprise me at all. |
|Jason Heaton| I think it's a good, I think it's a good parallel. I mean, I think, you know, it, it surprises me to see the pricing because I'm not a flashlight enthusiast, but I, it's certainly not a stretch for me to see, you know, when I hear you talking about the quality and the materials and the packaging and everything, you know, why it costs that. And certainly if you're after that level of craftsmanship with anything, whether it's a pair of sunglasses or, you know, handmade shoes or a flashlight, it's everything has its, you know, It's deep, sort of deep nerd territory. And this sounds like, like that's the case for flashlights. |
