
# The Grey NATO – 271 – Slack Crew & A 2024 // Part 1
Published on Thu, 08 Feb 2024 06:00:00 -0500



## Synopsis
Jason and James host another episode of their podcast The Graynado. They discuss Jason's upcoming trip to the FAT Ice Race event in Aspen where he will get to drive and photograph cars on ice and snow. James talks about the unusually warm winter weather he's been experiencing in Toronto that allows him to drive his convertible Land Rover. 

They go through a Q&A segment from questions submitted by listeners in their Slack community. Questions cover topics like worst travel experiences, choosing which watches to keep if you could only have three, shoe tying techniques, buying equipment for scuba diving as a new diver, secondary watch market pricing vs retail, and sharing little-known personal facts about themselves.

For Final Notes, Jason recommends the Prestige TV podcast from The Ringer that discusses the new season of True Detective, while James suggests the British spy thriller series The Ipcress File. Jason also highlights the Yeti espresso mugs he got as a gift.

## Links
- [episode page](https://thegreynato.substack.com/p/271-slack-crewanda2024-1)
- [episode MP3](https://www.buzzsprout.com/2049759/14459091-the-grey-nato-271-slack-crew-a-2024-part-1.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello, and welcome to another episode of the Graynado, a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 271, and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and you aren't supporting the show already, but would like to, please visit thegraynado.com for more details.  My name is Jason Heaton for those who are new to the show, and I'm joined as ever by my friend and co-host up in Toronto, James Stacey. James, good morning. How's it going? |
|Jason Heaton|Yeah, pretty good here. You know, back from AORUS last week was a couple of days, Wednesday through Friday, and then had a pretty, pretty low key weekend. So no real complaints.  We're going to double stack an episode today. So we're doing episode 271 and the January Q&A, which will come out mid February. Um, and we're going to record them all because I'm, I'm on a plane in 24 hours to head to Aspen for FAT ice race or fat ice race, which, uh, I'm very much looking forward to. Um, it, it should be fun. It better be fun. It looks like, uh, uh, it should be essentially the definition of my kind of fun. So, uh, yeah, pump for that. Hopefully the travel goes well. It can be a little bit stressful getting to Aspen.  Um, uh, you know, uh, if the weather's good, then we're solid. It looks like it's going to be pretty stable, just below zero, uh, just below freezing for most of the. The week. So hopefully the snow holds as well for all that they have planned. Uh, but I guess we'll see, I'll have a report from that sometime in the future. We have a pretty special guests for next week's episode. So I'm not sure we'll do a huge download from ice race, but, uh, I'm sure we'll get the details in one way or another. |
|James Stacey|Yeah. And I would expect you'll have some kind of a photo essay or post at some point about that. I can't wait to see it.  Seems like it'll be a very photogenic event. I would hope so. |
|Jason Heaton|I would hope so. I mean, Cole covered the Zelle outing a few years ago, and it was gorgeous. And then Top Gear did a video from Zelle this year, which I can throw in the show notes. Ollie Marriage was out there with a crew, and they did a cool video. And, you know, they were in mud. Oh, wow. It seemed like on the track they ran out of snow. So, I mean, that thing's going to happen. Yeah. We'll see what Aspen does, but it certainly should be a great setting. And I'm hoping for nice, bright days, clear, Uh, skies and, and lots of sunlight and that kind of thing. And I've, I've got a whole bag of gear, including some brand new gear, which we can get into, uh, if we want to, but, um, yeah, we should have plenty of social media on, on Hodinke's Instagram and on mine. And then, yeah, we'll do a full photo report probably for, you know, Monday or Tuesday of next week. |
|James Stacey|Yeah. I mean, it's, uh, it seems to be a reality these days that, that a lot of places are running out of snow. So I hope, uh, it seems like Colorado is getting a pretty good dump.  Uh, these days, so hopefully you'll, there'll be plenty of, uh, snow banks and good spray coming off of tires and stuff like that. |
|Jason Heaton|I'm hoping so. I'm hoping for all that kind of stuff. Uh, I've already heard from a few folks, uh, some that have been on TGN before, uh, that they're going to be in the area. And, and, you know, some of these people I haven't actually ever.  seen face to face, but I'm a fan of so hopefully that all works out and stay tuned for more on that. But it should be good. I mean, like, like I said, it should essentially define my style of fun. I'm out there with cameras and cars and people who like both. It should be a fun time, lots of watches and hopefully some good food and that sort of thing. So Uh, we'll see, we'll see how it goes. Need to remind myself that, uh, uh, you know, even in my newly mostly sober state, even a couple of drinks at altitude or is I'm going to feel it. |
|James Stacey|So, Oh, that's right. Yeah. That could be a bad recipe. |
|Jason Heaton|It's an easy thing to forget if you don't think about it. Um, that, that especially, especially I would call myself currently detrained when it comes to drinking. Uh, I'm not sure that's the term any actual athlete would use.  But, um, yeah, I, uh, I think, I think it should be a good time. I'm looking forward to it. I'm out there with Ben. Uh, so we should be able to kick around and have, have a good time. And, and certainly it's, uh, a nice way to kind of get back into shooting cars and that sort of thing. A fun event. |
|James Stacey|Yeah. Nice. Nice. Which, uh, which camera are you taking? |
