
# The Grey NATO – 272 – Dr. Rebecca Struthers and ‘Hands Of Time: A Watchmaker’s History'
Published on Thu, 15 Feb 2024 06:00:00 -0500



## Synopsis
This episode features an interview with Dr. Rebecca Struthers, an English watchmaker, historian, author, engineer, and gemologist. She discusses her background, her PhD in horology, her work with her husband Craig as a watchmaker, and her recently published book "Hands of Time." They explore topics such as the history of watchmaking, the challenges of restoring and working on modern watches, the importance of preserving watchmaking skills, and the personal connections people form with watches. Dr. Struthers also talks about her upcoming children's book on horology and the potential impact of watchmaking being recognized as an intangible cultural heritage in the UK.

## Links
- [episode page](https://thegreynato.substack.com/p/272-dr-rebecca-struthers)
- [episode MP3](https://www.buzzsprout.com/2049759/14505055-the-grey-nato-272-dr-rebecca-struthers-and-hands-of-time-a-watchmaker-s-history.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This episode 272 and it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and would like to support the show, please visit thegraynado.com for more details. My name is James Stacy and I'm joined as ever by my friend and co host Jason Heaton. Jason, how you doing? |
|Jason Heaton| I'm doing pretty well. Yeah. We, uh, we're recording this bit, uh, just after a really lovely chat with our special guest today, which we'll get to in a bit. |
|James Stacey|But, um, yeah, pretty excited to, uh, to have that one. It's a, you know, you've had it in the works for a little while and it just went so well. Great book. Obviously everybody listening has seen the title. We have Rebecca Struthers on, uh, and she's written an excellent book, uh, just recently. And we had a really nice chat about watchmaking and, and kind of the future and past of studying and learning about watchmaking and that sort of thing, a very unique perspective that she offers and a treat to have her on the show. So we'll get to that in just a few minutes. But what else is new? We had a little bit of a Slack launch of a watch. You want to dig into that first? |
|Jason Heaton|Yeah, sure. Those of you that are subscribers and belong to our Slack community know this already. We actually were able to fortunately uh, announced this earlier than it actually went to the rest of the world, which was a really fun privilege for us. Uh, the launch of the citizen Aqua land at JP 2007 loom dial watch that, you know, I mean, if you've listened to the show for, for any length of time, you know, over the past, Oh, I don't know, year and a half, uh, both you and I have been talking up this watch quite a bit. We both love it. It's the, the PVD kind of, I don't know if you'd have called black. It's more of like a dark charcoal gray gun metal sort of thing.  Yeah. With, uh, with the full loom dial in kind of the classic Aqualand form with the depth sensor. And, you know, for the longest time it wasn't available to purchase in North America. And so, you know, I got mine on, on eBay from, from Italy, I think. And, you know, it was just, it was kind of frustrating for those of us on this side of the pond to source these watches kind of from official channels. And, um, You know, our friends at citizen decided it's high time to open things up for sale here. And they did that, uh, in some collaboration with worn and wound and their windup shop. And so now that watch is indeed available for purchase on citizens website and through the windup watch shop. And we were able to kind of tell our crew early. And I think a bunch of people kind of jumped on that and it was just kind of an exciting thing to, to see happen. So, you know, go ahead and get one if you're, if you're keen for it. Yeah. Cool. Cool. Watch. |
|James Stacey| Yeah, yeah, exactly. If you've been waiting and wanted, you know, maybe a more recognizable outlet for somebody in the North American sense of the, you know, international internet buying kind of phase, then I think that gives you a good option for sure. So that was a fun one. You know, while we're on the topic of the Slack, I did want to throw something out there because we don't talk about it. And I'm now realizing that that's causing a bit of a communication issue when it comes to the Slack. I'm getting a lot of emails from people who have just recently signed up. So if you're on the Slack bear with me for like a minute here. But if you're signing up or you just recently signed up or you're planning to sign up, the invite link for the slack is not published online because it's a private platform in the email that you get for signing up for the supporter bundle, either $5 a month or $100 a year, which if you go to $100 a year, then that'll also include a link for you to order your strap and that kind of thing. But in that email is the link to get on the invite or to get But in that email, the main email you get from Substack for signing up to be a supporter, that includes the link for Slack. So that'll be the easiest way to get it. And if you sign up and you don't get that email in, let's call it an hour, but really it's email, it's probably minutes, then just check your junk mails, that kind of thing, and make sure that it's not just floating around in there. And of course, if you check that and you still can't find it, drop me an email, thegreatnadoatgmail.com. I can hand send you the link.  But as some of you who are listening will know, if I'm traveling constantly, it can be very difficult to stay on top of that sort of email. So sometimes there's a little bit of a delay. So I did want to throw that out there. Well, we had a quick chance right at the top of the show just for just because we have had kind of a sizable influx of of signups recently, which is fantastic. And we love it. But we also want to make sure that everybody who's doing it to get on the slack or whatever gets what they are paying for. |
|Jason Heaton| Yeah, that's a good point. I think, you know, we don't, we don't do a lot of housekeeping, uh, typically at the start of episodes, but it is a kind of a necessary evil for us to kind of make a few announcements here. And while you're on the subject of that welcome email that, that new subscribers get do check that email for the link, uh, James, as you mentioned, uh, for getting your, your free TGN sign NATO, if you are indeed an annual subscriber. Um, and just to clarify those, uh, NATO straps are available free to first time $100 a year subscribers. So it's not an annual gift, so to speak, as you re up, although you can purchase additional straps through the supporter shop. So, um, just, just a few things to keep in mind and thought we'd make a couple of announcements at the, at the top of the show. |
|James Stacey|Totally. And, uh, moving on from that, uh, if, if I seem a little low energy or maybe even a little spiky, uh, you have my apologies. I got back from Aspen a couple of days ago and I woke up this morning and feel pretty ill. Rough. Ooh.  Yeah. So not, uh, not necessarily at a hundred percent today. Uh, you know, I, I'm feeling a little on the kind of exhausted side. So after this, I think I'm going to go edit, um, the show, maybe the Q and a that we recorded last week. I'll do that first, but I'm going to do it in bed. So that's kind of the phase I'm in. I'm going to be sipping tea and, uh, and trying not to get too, trying not to be too surly or spaced out, uh, during this recording. Um, but ice race was an absolute blast, uh, in Aspen. I was out there from like Wednesday until Sunday. |
|Jason Heaton| Looked incredible. The story and the photos, um, just, just tremendous. I mean, I just, I just looking at the photos and kind of seeing your Instagram feed made me feel like you were totally in your element there and around some really cool people too. |
|James Stacey|Oh, totally. Yeah. The, the crew that they had assigned that they had kind of on site, both people who were, um, you know, buying tickets and coming to the event, people who were bringing cars and then also the other kind of press elements that, that had, you know, presumably gotten tickets.  We're all fantastic. I got to connect with some old buddies I hadn't seen in a long time. Corey Richards was there. I had a really, really nice time. For several days, we hung out with Henry Catchpole. So cool. And his guy, Glenn, who was there with him as well. Really nice guys. We had dinner. The first night I got in, finally got to kind of, I don't know, put a bow on that relationship. We've traded DMs and text messages and emails. And Henry's been on the show. We're going to have him on again.  soon. But Henry, I assume you're listening to this. You couldn't have been kinder and more generous. He was bringing me coffee in the morning, which was amazing. I was staying in sort of a different spot and he had a car. They let me use that car to hide my camera bag at times. It was really a nice thing and just a treat to meet someone who it feels like you kind of already knew and it's almost like you skip some of the first few steps in a friendship. So that was a real treat. I was out there with Ben.  which was Rad and a couple of buddies from sort of the Houdinki world. I would say that you can get 90%, maybe even 95% of my feedback about the show from the story on Houdinki. It was like over 120 images. It actually took... I think it might have actually taken longer to load the story into the system than it did to edit the images and write the text. But it was... Thankfully, we had really good weather and great light. So there were these windows of time, basically around the same time every day, late morning where the light was just incredible, and I just did as much shooting as I could. I took that little video camera with me, the Insta360 Go 3, so I had some helmet cam footage and some time lapse and hyperlapse stuff that's on the Hodinkee Instagram. I'm still kind of dipping my toe into short form video or video in general. I haven't done it in years, but it turns out that between this camera and then it turns out that the The thing I subscribe to, like the package I subscribe to with Adobe includes something called Rush, which is like a mobile video editor. |
|Unknown|Oh, okay. |
|James Stacey|And once I figured that out and I watched a little YouTube video in the middle of the night in my hotel room in Aspen, I kind of got up to speed pretty quickly and was having like some fun finding music and making little edits, stuff that you used to need a whole computer for, you know, back in my days of making like hands-on reviews with videos for a blog to watch.  So that was really great. I had a genuinely fantastic time. Had never been to Aspen before. Obviously, Jason, you and I have been to Vail together in the past. This is kind of like the same thing, but it's like they've taken it a step up. It's a little fancier. The one afternoon we left the show and went and hung out at the Lange Boutique for a little while. That gives you an idea of what's going on in Aspen. A really, really cool town, some great food, good company, and the event was incredible.  you know, if I had a note, if I had one note for them, it would be like try and make some way for people who don't have the budget for the big tickets to come to it next year. And it's my understanding, at least, and this is, you know, maybe, maybe a little bit inside baseball, but it's my understanding that they had other programming that was on the docket that would have been ticketless or like more in the public sense in Aspen, and it just didn't work out with the local authorities and regulations and that sort of thing. So I am interested to see how the how the whole thing sort of evolves, whether they do it again in Aspen next year. And if so, if it's in the same place and how the program will evolve, but, but if I get the chance, the opportunity or whatever to go back, I would, I would be thrilled. I had a great time. |
|Jason Heaton|Well, and I even got to drive. I was just going to say, I was just going to, I was just going to say, I don't want to cut you off, but you, you finally got to take a lap in a, in a Meyers-Manks. Yeah. |
|James Stacey|I mean, I did in like a, like a really nice one. So Phillip who owns Meyers-Manks among other jobs and, and his guy Haga, connected me with this beautiful, like, bass boat, Glastron 70s, teal, high flake. It was just, this thing was so cool. And I really have just a distinct fondness for a vehicle that's just for fun. And, like, I don't know if you could be more just for fun than this. It works on the street. It works off-road. This one has, like, king shocks, a brand-new motor. This isn't a VW buggy. This is a Meyers-Maxx. Like, it's that top spec. And, man, I had such a good time.  You know, rear engine, short wheelbase. There's a the kind of the first main corner segment is like a horseshoe with uphill and then downhill segment. So I spun that twice. It took me three. I had three laps. It took me three to figure out how to do that corner with any speed. But man, once once I kind of got a little bit of a feel for the speed of the steering rack and and some of the inputs, what a good time I would I would love to have something like that in my life. |
|Jason Heaton|Wow. Yeah. Yeah. It looked it looked amazing. I was I was smiling just just looking at it, especially given our Kind of Myers-Maggs just came up in a Q&A not long ago. And that was really fun to see. And you had a cool watch element that you're still holding on to. But let's hold off until Risk Check to chat about that in a little bit here. |
|James Stacey|Yeah, I can hang on to that for Risk Check for sure. But I do want to make sure I get a very concerted thank you out to Philip and to Hagup for letting me take the keys to that. And Ben was in the right seat with me. We had a good time spinning around on the snow.  I didn't feel too bad. Patrick Long got it in, got in it after me, the factory Porsche driver and, you know, very successful race car driver, the guy who founded Lufka Kalt. Really nice guy. I got to chat with him one evening, but he got in it after me and spun out on that first same corner. So I didn't have to feel too, too bad. He didn't, granted, he didn't do it twice. He, you know, learned from his mistakes, but, uh, you know, Pobody's nerfect, as I like to say.  And, uh, and yeah, so that it was, it was a great event. I had, I had an absolute blast. Uh, I'm tired as a dog as, as I'm recording this, but with, with good reason, I suppose. |
|Jason Heaton|Yeah. Yeah. Oh, that's great. Good times. Well, um, speaking of kind of winter fun, um, I had a visit yesterday from one of our listeners, uh, Eli, whose family is a, they just founded and own a company called Snow Trekker Tents, which is based over just across the border here in Wisconsin.  And, uh, they've been doing that for, for a number of years, I believe since the nineties. And, uh, I had dropped him a line a while back about, you know, the opportunity maybe to try out one of their tents and he was kind enough to actually stop over and hand deliver, uh, his own personal kind of loaner tent, uh, at, at the house here yesterday. And, uh, kind of showed me the rope, so to speak, pardon the pun, um, on setup and use. And I think Kashani and I are going to take it out this weekend and and give it a go. So if you're not familiar with snow tracker tents, we'll put a link in the show notes, but it is a, a brand of what they call a hot tent, which is, you know, kind of a larger, I guess you call it kind of an expedition style wall tent with a small wood stove that, that you can put inside and run a stove pipe through a hole in the, in the canvas and, uh, and heat the inside. And so, um, it's, it's just a neat setup. It's, it's something I've wanted to do for many years.  And I'm really excited and, and, you know, can't thank Eli enough for, uh, for lending that to me. And then he said, you know, keep it for a little while and he'll collect it at some point. But, uh, yeah, we're, we're probably going to take it out this weekend. Unfortunately, we've had such a wimpy winter here. Uh, and there's a little bit of snow predicted for tomorrow night. That'll probably melt by the weekend. So we'll see. But I, you know, just, just from, from kind of a photographic perspective, it would be really cool to have that, that tent set up with smoke, whispering out of the, out of the stack with a little bit of snow dusting on it, but we'll see.  regardless, it should be a good time. |
|James Stacey|Absolutely. It sounds like a great time. I can't wait to hear, hear what it's like. You know, I had access to, uh, I assume something largely similar. I actually don't know the brand. So it doesn't, I don't, I don't remember a friend was bringing up to the cottage actually, uh, in February 17, two years ago. So almost exactly two years ago to when this episode will go out.  and the wind at my cottage was so bad, we couldn't put... We just opted to use the cottage. Oh, sure. Rather than try and put this tent up, but they have what sounds like a very similar idea and get quite a bit of use out of it, especially in the early and very late seasons of the shoulder. So very late fall and early spring, suddenly you have this flexibility where you get to control the climate a little bit, at least inside the tent. So I think it's a great idea and I can't wait to see some pictures and and maybe, you know, hear about how it went with you and Gashanna using it. |
|Jason Heaton|Yeah, definitely. Full report next week if we do indeed go this weekend, or at least in the future. So, yeah, thanks again, Eli, and stay tuned. Fantastic. Let's jump into a quick risk check before we get in with this wonderful chat with Rebecca. As I mentioned, you have something on your wrist that you came home with from Aspen. Tell us about it. |
|James Stacey|Yeah, I borrowed Ben's Porsche Design Chronograph, the GP Ice Race 2023 edition.  But I bought it off his wrist for a few photographs, and then we had planned to meet at the airport in Aspen the next day, and it just didn't work out. So now I've got it for a little while. How convenient. That's great. Yeah, exactly. That worked out just fine for me. And I've talked about my love of the Porsche Design Chronograph in the past. And obviously, my connection with the brand and with Ferdi and that kind of thing feeds into that to a certain extent. But I do think, especially within the perspective of the original, the 1972, which they very faithfully recreated a few years ago and then have iterated upon since then. I just think it's a great sports watch. It's a premium sports watch. You're in a price point kind of just below a Daytona. Call it around ten to eleven thousand dollars, maybe a little bit more for a special version. But I think these are really fascinating. I think they have a really cool history. There's obviously a great story and background behind the original model, its connection to F.A. Porsche, to the 911, to the 904, stuff like that. And then moving forward with IWC and then Eterna and then Porsche, bringing Porsche design entirely back in to the Porsche, you know, overall group and then, you know, funding the development and connections that would require, you know, proprietary movement and more additions and, you know, product that's tied specifically to cars and collectibles and things like that. So I mean, I'm going to enjoy wearing it and hanging out with it, even if today it'll probably be sitting in bed. |
|Jason Heaton| Is it the one on the long white Velcro strap? |
