
# The Grey NATO – 273 – Designing Watches For The Future of Space Exploration With Karel Bachand of Barrelhand Watches
Published on Thu, 22 Feb 2024 06:00:00 -0500



## Synopsis
Jason and James interview Karel Bashan, the founder of Barrelhand Watch Company. Karel discusses his background in mechanical engineering and 3d printing, and how he got into watchmaking by reverse-engineering and 3d printing an Urwerk watch as a personal project. This led to the creation of his company Barrelhand.

They talk about Barrelhand's upcoming watch called Monolith, designed specifically for space exploration and extreme environments. The Monolith has unique features like a 3d printed insulated case, a special airlock crown system to operate in vacuum, and an engraved "memory disc" on the back containing curated data as a connection to Earth.

Karel provides details on the Monolith's design goals, materials, and the thought process behind including the memory disc. He also discusses plans to offer a civilian version at a relatively affordable $875 price point later in 2023. They touch on the upcoming private lunar lander mission that will carry prototypes of Barrelhand's technology.

## Links
- [episode page](https://thegreynato.substack.com/p/273-karel-bachand-barrelhand)
- [episode MP3](https://www.buzzsprout.com/2049759/14549235-the-grey-nato-273-designing-watches-for-the-future-of-space-exploration-with-karel-bachand-of-barrelhand-watches.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 273 and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support, and if you'd like to support the show, please visit thegreynado.com for more details. My name is Jason Heaton, and I'm joined as ever by my friend and co-host, James Stacy, James, how's that? How's that cold doing for you this week? |
|James Stacey|You know, between between the recording of the previous episode and this one, it's probably the sickest I've been in a couple of years. I've actually been super fortunate with my health. I haven't haven't been like the colds, the flus, that sort of thing have largely dodged me. Yeah, but the last couple go arounds, maybe I've had two or three colds in the last four or five years.  they've just hit a lot harder. I had a terrible one a couple of years ago at Watches and Wonders that ended up being a fairly major sinus infection, and this one wasn't nearly that bad. It also didn't really respond to medication, like the stuff you can take to help you sleep, the Nyquils, all that. It's also... You ever read the warnings on those things? It sounds like they're just gonna grind your liver into a little pulp and leave you dead on the street. The thing that ended up working was just the Neomed the like sinus rinse. Oh, sure. So stop taking the meds and it kind of carried out for a day or two. And then so far, you know, a little congested today, but doing better and thankfully sleeping a lot better than I was over over the weekend. So yeah, hadn't been sick in a while. I guess it happens. Everyone got got a good took a round out of me if I'm honest, but back and fighting and kind of riding the high of today's episode. We just just got off the call with today's guest Carol Bashand and It was awesome. I'm really looking forward to being able to share this with the audience, not like maybe the usual guests and like you point out in the talk, like in many ways, not the polar opposite, but the polar opposite perspective on watchmaking than our previous guest in Dr. Struthers, so a really fun one.  Other than that, I really didn't get up to much because of the cold, so I don't have a ton to kind of lean on. I watched a bunch of TV, got to the season finale of True Detective, season four, which is very much a topic of conversation in the Slack.  Right. Yeah, I've, you know, enjoyed the season. Not sure I fully understand the route they took to end it, but that's OK. And then other than that, I think the only other kind of news for me before we get it, because I really want to download on your winter camping. I lived vicariously through your Instagram posts and really enjoyed it. But the only other thing for me is, you know, now that I'm breathing correctly, I'm back on the treadmill and rewarding myself for nearly two months of using it now with a weight vest. So I've got a 40 pound vest showing up at some point from Amazon. I feel bad for the guy delivering it, but... Maybe he'll wear it to the front door. Yeah, exactly. It's been... We got a heavy box just before we recorded, and it turned out to just be a bunch of magazines. |
|Comments/Reactions|Oh. |
|James Stacey|It wasn't quite heavy enough to be the weight vest, but I'm looking forward to that. It's been years I used to really rely on a cheap Amazon weight vest for my workouts, like my home calisthenics.  And I think this will be kind of a fun thing to add into the treadmill and we'll see what kind of speed and weight comfort zone I find to kick it off. But I'll keep people posted on that as I know it can be kind of a point of interest for folks. |
|Jason Heaton|Yeah, I've debated going the weighted vest route, but in preparation for the fan dance, which I've talked about quite a bit now, you know, I really need to start putting some weight in a backpack and getting out kind of more functional that way. Some hill hiking and that sort of stuff. The idea of a weighted vest kind of distributing the weight kind of around your whole torso is, uh, definitely more appealing than, than sorting out a backpack and getting it to wear properly when you're out hiking around. Cause boy, it makes such a difference to, to add weight. Um, speaking of the winter camping, you know, one thing Gushani and I did was, was go for a bit of a nice day hike. Uh, I guess it was on Sunday. It was a lovely day and we went out for about a five mile hike with a fair bit of climbing and some stairs and that sort of stuff. And I, you know, Being the gentleman that I am, I offered to carry all the weight. Actually, it was a gentleman in true. |
|James Stacey|Well, you're a gentleman, but you're also in training. You're not a gentleman in training. |
|Jason Heaton|A couple of water bottles and various other things, some lunch and this and that. And, um, it makes such a difference. I mean, when you're just, you know, I've been running a lot lately and it's just like, once you add even 10 to 20 pounds, it's like, okay, you know, you start to feel it more in the hips and in the back and the shoulders and that sort of thing. So, That'll be good. I'll be curious about your, your impressions of that, that weight vest on the treadmill. |
|James Stacey|Yeah, I'm, I'm trying to decide if I can eventually get like the personal agility. Those of you who know me well enough would know that like I'm, I like to be active, but I'm not necessarily athletic in this. I would love to get to a point where I could be walking while like playing call of duty. |
|Comments/Reactions|Oh yeah. |
