
# The Grey NATO – 274 – Fitness 2024 (Rethinking Alcohol, the Oura Ring, & More)
Published on Thu, 29 Feb 2024 06:00:00 -0500



## Synopsis
Jason and James discuss their recent journeys towards better health and fitness. Jason shares how a health scare motivated him to make significant lifestyle changes, including improving his diet, exercising regularly, and training for an endurance event. James talks about his struggle to maintain an active lifestyle after moving to Toronto during the pandemic, and how he has recommitted to exercise and cutting back on alcohol. They highlight the value of having a supportive community, tracking tools like the Oura Ring, and setting specific goals. Both emphasize the different needs and challenges at various ages, and the importance of adapting routines accordingly.

## Links
- [episode page](https://thegreynato.substack.com/p/274-fitness-2024)
- [episode MP3](https://www.buzzsprout.com/2049759/14589355-the-grey-nato-274-fitness-2024-rethinking-alcohol-the-oura-ring-more.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches this episode 274. And it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and would like to support the show, please visit thegraynado.com for more details. My name is James Stacy, and I'm joined as ever by my friend and co host Jason Heaton. Jason, how are we doing today? |
|Jason Heaton| I'm doing pretty well. Yeah, it's another bright, sunny, perpetual March day here, even though it's still the end of February. We've had the most bizarre of winters, and I think we've talked plenty about that over the past couple of months, but yeah, it continues. |
|James Stacey|Yeah, it's been warm enough this week that if I can find a little hole in the work while it's still sunny outside, I've got some automotive work to do, like some light repairs on the Jeep. And for a while, I thought I would just keep putting those off.  It was well into double digits yesterday here, Celsius, which is quite warm. By the time you're listening to this, I'll actually be home or on a plane to come home nearly. But I am going to New York for two meetings. |
|Jason Heaton|Yeah. You've been spending a lot of time in New York, it seems. I feel like you've gone back and forth a few times. |
|James Stacey|Yeah, which is fine. I mean, you know, if we're slowly moving back towards sort of what the scenario was before the pandemic, I was there a lot. I don't think I want to go to that extent.  But it's definitely valuable to be down there, you know, once a month, once every six weeks, something like that. I prefer to go down for more than just meetings. Yeah. You know, I like to be able to go down when, you know, maybe Tony is in from Chicago, Danny's in from DC, we can get together, maybe shoot a video, that kind of stuff. But in this case, it was just kind of some last minute meetings that needed to come together. Otherwise, speaking of travel, I'm going to be in PA for a good piece of March break.  So PA being Pennsylvania and March break being, you know, something like the week of March 11th. Oh, yeah. That may be different depending on school district and the rest of it. I don't know. But for us, it's the week of March 11th. So I did want to throw it out there that we're putting together another hangout. So this would be like a proper hangout like we did last time in the PA area. Last time we did it in a little town called New Hope at Triumph Brewing. I think that's probably what we'll do this time. I still have to call them, but There is a thread in the TGN Slack. So if you go to the hashtag meetups channel in the Slack, you can find the thread and there's a little button to click just to add to the head count. If you think you'll make it, you know, the details are coming together on that. But if you're, if you're keen and you're listening to this by the time that this comes out, there'll be probably a more solidified plan. So swing by the Slack to take a peek at that. Yeah. I think that's all I've got kind of on the, on the run. How has the last week or so been for you, Jason? |
|Jason Heaton| Yeah. I mean, you know, I, I guess as you alluded to, I mean, every week can't be, uh, can't be fireworks, uh, for both of us, you know, sometimes it's just a normal, normal work week. And after our kind of blip, uh, camping out in the woods last weekend, we had a pretty quiet week here. Um, and you're kind of putting me to shame with the, uh, with the meetups I've I'm suddenly feeling like I should, I should host something here or, uh, put something together. I think it's a nice idea to do these informal ones. And I love to see in the, in the slack, uh, meetups channel, people just kind of doing these, these, uh, kind of impromptu meetups in the different, different cities around the world. It's really cool to see. Speaking of travel, there's a pretty good chance I'll be in England next week. It's something that came up on fairly short notice, um, to fly over to, to London and get over to Henley. Uh, some people might be able to guess where I might be going for that trip. And then I'd like to extend a few days and maybe hit the British watchmaking Alliance show in London.  next Saturday. So, um, I can't promise anything. I'm still waiting to kind of hear how plans are shaping up. And so I can't really put together any sort of a meetup or whether I'll even have time for that. But, uh, yeah, if, uh, if any folks are going to that watchmaking event next Saturday, it sounds like some cool brands will be there. And, uh, I'd love to at least bump into people at the show, but again, I'm not entirely a hundred percent sure that I'll be going, but, uh, there's a good chance of it. So yeah, fingers crossed. Other than that, it's been, It's been pretty quiet. I mean, the weather's been great, so I've just been getting out and exercising a lot, and that's kind of a good lead in for today's episode, which is a bit of a follow-up to one we did a while back, isn't it? |
|James Stacey|It is, yeah. It's been a while back. It also just kind of, you know, we touch on the whole idea of our health and our fitness, and obviously we've made some actual changes, both Jason and I. Jason, you've made some changes over the last couple of years that have kind of continually evolved, and mine are a little bit more short-term or more near-term.  And we figured it would just make sense, especially after the last couple episodes. You know, we had an incredible two episode pairing of Dr. Rebecca Struthers and Karel Bashan from a barrel hand. And we thought this might give a little bit of a change of pace to that.  It's not going to be an hour and a half long discussion of our, of our health and fitness and our plans and that sort of thing. But it is a popular topic. It comes up in the Slack. We have a fitness channel in the Slack. We figured it might make sense to kind of put it in one place, but we can get into all that in just a moment. Why don't we kick it off with a little bit of a wrist check. What have you got on today? |
|Jason Heaton|Sure. Yeah. I mean, I guess in anticipation of a possible trip to the UK, I've been wearing my Vertex M60 Aqualion.  Uh, for the past couple of days, actually, I've got it on the rubber strap, which is an excellent rubber strap. And, uh, it's just such a fun watch, such a great nighttime watch because of the loom. Yeah. I just, uh, just decided to pull this one out and give the, give the Pelagos a bit of a rest. Um, I think it kind of has the same general visual vibe as the, as the Pelagos, I guess. But, uh, yeah, it's a good piece and that's what I've got on. |
|James Stacey|Yeah. Those are great. A good pick for sure. What about you? Always a treat to see that. Yeah.  I've actually got on a little bit of carbon today. Thought I'd go with kind of a special one that I borrowed slash stole from the Hodinkee shop. And that's this Unimatic U1S Carbon GMT. Obvious bias here. This is an LE made by Hodinkee. I'm employed by Hodinkee, et cetera, et cetera. But those of you who've been listening to the show for a long time know that I am carbon curious.  always kind of interested in the idea of a carbon doxa. And that's still on the wings for me. I'm not going to turn that one down if the right opportunity comes along. But this was a good opportunity to kind of grab one of these as a loner from the office and spend some time with it. And I really like it. It's not that much money for a forged carbon watch, but it is a lot for a unimatic. So it's kind of that weird balancing zone of like maybe they're more, they're better known for things, maybe $1,500 and less.  And this is a little bit over two grand. That said, if you're looking for a GMT, you want the carbon, you like the all kind of blacked out stealthy vibe. This is a pretty fun piece. It's very much a GMT. It's a 24 hour bezel, in this case, unidirectional. So it's based on a dive bezel, date at six. Really, it is black and white. The loom is pretty solid. It's very comfortable. It's lighter than you would expect. It's certainly lighter than steel. And yeah, I've been wearing it a little bit when I travel and keeping a pretty casual sort of profile. This is a nice mix.  And I saw it on, uh, my, the table next to my desk this morning. And that's what I put on. |
