
# The Grey NATO – 275 – Catching Up With Wesley Smith of Standard H
Published on Thu, 07 Mar 2024 06:00:00 -0500



## Synopsis
This episode features an interview with Wesley Smith, founder of the lifestyle apparel brand and podcast Standard H. Wesley discusses the origins of Standard H, including how he got into fashion and entrepreneurship. He shares details on the design process behind the brand's signature t-shirts, incorporating automotive and California inspirations. Wesley also talks about his passion for watches, including his first luxury watch love (an IWC Portofino) and the watches in his current rotation. Additionally, he gives advice for aspiring entrepreneurs looking to start their own apparel brand. Towards the end, Wesley unveils some exciting news about a new product collaboration with the retailer Revolve.

## Links
- [episode page](https://thegreynato.substack.com/p/275-wesleysmith-standardh)
- [episode MP3](https://www.buzzsprout.com/2049759/14635149-the-grey-nato-275-catching-up-with-wesley-smith-of-standard-h.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 275 and it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support and if you're listening to the show and would like to support it, please visit thegraynado.com for more details. My name is James Stacy and I'm joined as ever by my friend and co-host Jason Heaton. Hey Jason, how are we doing? |
|Jason Heaton|I'm doing great. Yeah, I'm still kind of buzzing from the response to last week's episode actually. |
|James Stacey| It was kind of off the charts. It's been great. The conversations are still going on slide. No, I know. I really thought that wasn't wasn't going to work. Like I thought it would hit a few people and upset a few others, but mostly people just happy to chit chat and be part of the convo. And yeah, we had a good time. But like I said, we're still digging into some of the topics on on slack. So it's been a fun weekend for for the slack for sure. We're recording this on a Monday because you are headed to England tomorrow. |
|Jason Heaton|Yeah, the trip sort of came up on short notice, I guess I did hint at it last week, but it was still up in the air. And now, um, now it's for sure. I leave tomorrow, just flying over to, to England, uh, for a few days in Henley with Braymont, um, get kind of a sneak peek at what they're up to and kind of, uh, visit with, uh, Davide, the recently installed CEO there. Um, I'm going to be going flying with Nick English, which, uh, I'm super excited about. And, uh, and then, yeah, lo and behold, I will be in town for Uh, what is called the British watchmakers day show on Saturday. Uh, it looks to me like, uh, kind of public tickets are sold out for that. I'm, I'm going as kind of a member of the press, so to speak. Um, so if you happen to be at that show, look out for, for me, tall American guy with, uh, hopefully a familiar voice for, for those that listen to the podcast. Uh, I'll just be kind of wandering around. I don't have a specific agenda and I'm not planning a meetup or anything like that. I'll probably still be.  burning off a little bit of jet lag or whatever, but I'm really looking forward to it. So should be should be a great time. Yeah. You've got a week off next week. |
|James Stacey|Yeah, I'm taking next week off for March break with the fam. Don't worry. There will be an episode next week. We're still going to do an episode because I didn't want it. I felt bad taking March break off and the week for watches and wonders. So I kind of like there's no way for me to do an episode, especially with you in Geneva even harder to coordinate. Yeah, how that would work out. I mean, we'll get to see each other and that's going to be great and the rest of it.  But we are going to take off the week of April 8th, which is Watches and Wonders. There'll be at least one daily podcast from Hodinkee, so you won't be without watch content that week. I promise you'll be okay. We'll do, as we have, I mean, it was the first episode of TGN was essentially a recap from one of the big shows. We will do a big recap of everything we liked from Watches and Wonders, from Time to Watches, from everything going on that week.  But that's going to come out the week after the show. So whatever that would be, the 18th or 19th of April, something like that. I'm just guessing. |
|Jason Heaton|All luxed out part six or seven. |
|James Stacey|Exactly. Yeah, I guess that's what we should try. I should go back and count that out. We should. But yeah, something like all luxed out. So the other thing is, while we will have a standard episode next week, I don't mind recording one while I'm away. We won't have time with today's schedule to get to the Q&A. So the Q&A will come out the third week of March. So just keep in touch. I promise it won't be any later than that. I've been doing pretty well so far this year, keeping on top of the Q&A, so we'll keep that going. But that's basically all I've got going on. I'm just trying to get a few things done so that, you know, Friday afternoon I can pick my girls up from school and we can jump in the car and head down to Pennsylvania to hang out with some family. We're going to do a little hangout in New Hope at Triumph Brewery. We're still working out the details, so I believe it's about two o'clock.  If you need that information, feel free to either drop me an email, thegrenadoatgmail.com, as we're managing the sort of numbers and what Triumph Brewing's willing. And that way at least gives me also like if the plan changes, we'll be communicating that on Slack, but obviously not necessarily everybody listening is on the Slack. So send me an email if you're keen on being part of that. And that way I can at least keep the communications up to date as we sort out some of the details about numbers and that sort of thing.  That's about all I've got going on. You want to jump into wrist check? |
|Jason Heaton|Yeah, let's do it. I guess fittingly for my upcoming trip, I've strapped on my Bremont, the Supermarine 2000, which is a watch that kind of goes in phases for me. I'll go for long periods without wearing it because it's a chunk. I mean, it's a big heavy watch and I actually have it on the bracelet today, which I don't often, but it definitely has a presence to it. Totally.  I thought it'd be a fitting choice. It's kind of one, actually, actually one of my oldest, I shouldn't say oldest watches. I have a lot of old watches, but, um, the ones that I've had the longest, uh, I got it the, the year that they came out. In fact, this is actually prototype number three that, that Bramont sent to me. I had done, Ghoshani and I were in the Bahamas and they sent it to me and asked if I could put together some underwater video footage, which we weren't terribly experienced with, but managed to get a few minutes of clips and then sent it over to them and they used it for kind of a launch event. So, um, it has some meaning to it, a significant watch, and I still love the look of these first generation, uh, supermarines. So that's what I'm wearing and will be wearing most of the week. |
|James Stacey|That's a nice one. Yeah. Good pick for sure. A fitting option for that. And, uh, yeah, for me, I went basic James today. It's been about a year. I actually have to go back and double check the date. Cause it might be a year today as we're recording, but I've had the Pelagos 39.  And, uh, just love it. Still love it a lot. Still wear it all the time. Probably my, you know, kind of my number one these days as far as time on wrist, but that's what I've got on. And it's not, I can't say that that's a big surprise for anyone or that there's much more backstory than that. It's one I've been wearing a ton the last year. So. |
|Jason Heaton|Pelagos has kind of become, become a default choice for, for both of us. I think, uh, odds are, if you see me anywhere, I'm probably wearing my, my FXD unless, uh, I have a specific, uh, use case like I do this week. So yeah, good, good pick. |
|James Stacey| Well, look, let's get into the main topic. Today we have a very special guest on the show. We're continuing kind of our extended run of fun interviews with one today with Wesley Smith of Standard H. So quite some time ago for episode 203, we recorded at Windup a series of discussions and then kind of chopped them up into a couple episodes. So in episode 203, we had a few minutes with Wesley and we had a few minutes with our buddy Mike Pearson.  And this is kind of an extended version or a regrouping of that original conversation with Wesley back in August, or I guess we ran the episode in August. It would have been July 2022. So it's been about a year and a half. It's always a treat to have Wesley on. For those of you who don't know, Wesley is the founder of Standard H, which is a lifestyle apparel brand and podcast about sort of starting businesses, entrepreneurship, all the stuff that Wesley's into. That includes watches and cars and golf and surfing and all sorts of very TGN sort of topics. Wesley's a great guy. He's become a buddy of ours over the last couple of years. Jason and I are like massive fans of his clothing, the t-shirts, the sweatshirts, all of it, all really good, all stuff I really rely on like day in, day out as some of my favorite stuff. So when Wesley had a little bit of an announcement, which we'll get to later in the chat, but he, you know, said he was available to, to come on. And I figured it'd be nice to kind of, like I said, kind of close the loop with the shortened conversation we had.  uh, you know, back in 2022, uh, with kind of a refresher for 2024. So without any further delay, here's Wesley Smith of Standard H on TGN. All right, Wesley Smith, what a treat to have you back on the show. It's been quite a long time, uh, since we had you on and, and really the, the first time that you were on was, was some time ago. And also it was kind of an abbreviated sort of chat because it was during windup. So here's an official welcome to a full episode.  of TGN, Wesley Smith of Standard H. What a treat. |
|Wesley Smith|Yeah, thanks so much guys for having me. It really means a lot and certainly don't take it for granted. Really appreciate you guys support and friendship, you know, that's built over the years and it's been, it's awesome to be here. |
|Jason Heaton|Well, you're our favorite purveyor of cotton, wonderful cotton shirts. |
|Wesley Smith|We often do. Yeah. Well, big, big prayer hands. |
|James Stacey| I live in a lot of your clothing. We've been buddies for a while and sort of supported each other, but I think it's fun to get a chance to go a little bit deeper into Standard H. And there's no question that there's people listening now that weren't following TGN when you were on for Windup a couple of years ago. So I think that's probably the smart place to start is, why don't you give people a little bit of a background? Obviously, Standard H is a clothing brand and sort of a lifestyle consideration, a thoughtfulness consideration, and then on top of that, a pretty solid interview-based podcast.  So, I mean, I guess that's sort of the scope, but why don't you give people kind of how you got to it and that sort of thing, and then we can get into how it's going. |
|Wesley Smith|I went to boarding school my last two years of high school, and that really got me sort of the fashion bug because it wasn't a uniform-based school. It was a dress code-based school. So what that meant was coat and tie to class, but not everybody wore the same thing.  So, and I don't mean boarding school as like this, I grew up like this really rich kid, blah, blah, blah, blah, blah. It was a, it was an opportunity that my grandparents afforded me. Um, at first I was like, I thought my parents were trying to get rid of me and shipping you off to, but then I saw dead poet society and I was like, Oh man, I'm in like that camaraderie. And, and, you know, and it was something different. And I grew up in Raleigh, North Carolina. And, um, I just kind of wanted to experience something different and sort of got bit by the fashion bug by way of sort of the Brooks brothers catalog being sent to my dorm room, you know, cause it was kind of coat and ties and that, that sort of thing. Um, and where was the school? It was in Asheville, North Carolina, which I had cool. Like I think if I were to ever, yeah, exactly. If I were to ever move back to North Carolina, it'd probably be Ashley, honestly. |
|James Stacey| I only hear good things. And yeah, Jason, Jason Gashani went down there almost two years ago, Jason, maybe not quite, and had a great time. |
|Wesley Smith|Yeah. I loved hearing that episode, Jason. Like that was, I was, I was, I was there with you in spirit. I was so excited for you. Yeah. That's kind of what got me into fashion. And then when I went to college, I went to NC state. I worked, you know, mall stores, you know, Banana Republic, J.Crew, that kind of thing. |
|James Stacey|Yeah, sure. |
