
# The Grey NATO – 276 – Jason's Very English Adventure [Bremont, Flying Vintage Planes, Alex Bescoby, and THE Land Rover]
Published on Thu, 14 Mar 2024 06:00:00 -0400



## Synopsis
The hosts discuss new Seiko watches being released, including updates to the popular SPB143 diver model. Jason then recounts his recent trip to England where he visited the Bremont manufacture, went flying in a vintage Land Rover with the company's co-founder, and attended a British watchmaking event. A highlight was his interview with Alex Bescoby, filmmaker behind the documentary series "The Last Overland" which retraced a famous 1950s road journey from Singapore to London in an old Land Rover. Alex shares stories from the arduous four-month journey across Asia, the geopolitical challenges of planning the route, and his goal to potentially recreate another epic road trip along the Pan-American Highway.

## Links
- [episode page](https://thegreynato.substack.com/p/276-jasons-very-english-adventure)
- [episode MP3](https://www.buzzsprout.com/2049759/14683298-the-grey-nato-276-jason-s-very-english-adventure-bremont-flying-vintage-planes-alex-bescoby-and-the-land-rover.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacy| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 276. And it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and would like to support the show, please visit thegraynado.com for more details. My name is James Stacy, and I'm joined as ever by my friend and co host Jason Heaton. Hey, Jason, how you doing? |
|Jason Heaton| I'm doing pretty well. I'm a couple of days back from my trip and, uh, uh, slightly jet lagged. Although last night I got a proper eight hours of sleep. So feeling pretty perfect. Can't ask for much more than that. Yeah, exactly. Yeah. Yeah. Much better on the way back than on the way over. I don't know why, but I can never figure out the logic of jet lag, frankly. |
|James Stacy|You were more jet lagged when you went out there? |
|Jason Heaton|Well, yeah. And part of that problem is I don't sleep on flights at all, pretty much. And it was an overnight flight. So I landed at seven in the morning in England and then had to kind of hit the ground running. So I was up for, you know, like over 24 hours straight with no sleep, which always kind of, that's rough. That'll fry you. Oh yeah, sure. |
|James Stacy|But, uh, well look, we've got all of that coming up in the main part of the show, including the great chat that you recorded. Should be a pretty fun episode. Yeah. Uh, I'm glad that you made it back. Obviously, uh, you've been back for a couple of days at this point. Um, what, what's, uh, do you have a trip, another trip coming up or are you home for a bit? |
|Jason Heaton|I am home until, uh, Geneva. So gosh, I mean, geez, less than a month. Theoretically me too.  Yeah, theoretically, right? |
|James Stacy|Yeah, we'll be almost flying home in a month. By the time this episode comes out, it'll be within a month of it being over, which is very scary. It is very scary. If my audio sounds a little different today or very different, I'm recording from my in-law's home in Pennsylvania. So I brought down the DJI mic and I'm kind of holding it like a TikToker as I talk. And hopefully it's not too close to my mouth, but hopefully it's also not too far away. I did some test records. We'll see how it worked out.  Hopefully it's at least clear. I don't know that it's going to sound amazing. Uh, but speaking of, uh, Pennsylvania, we had an incredible hangout on Sunday afternoon in new hope at the triumph brewery. Nice. I don't really know. I didn't even make much of an effort to count this time, but we guessed around 30 folks showed up. Wow. It went for a few hours. Um, it was awesome. Uh, we had a bunch of people show up that were there at the previous one in November. We had a handful of brand new folks. We had people who came in from a pretty good distance.  We just had an absolute blast. It was great. And I wanted to make a concerted thank you to Jan for helping me set everything up and calling in. It wasn't as easy to set up this one as it was the first one, but it ended up being just as smooth once we were there and everything did it. So I appreciate the support in getting that put together. Fantastic. Yeah. Yeah. We had a great time. Something, you know, like always killer watches, really nice folks. Lots of lots of stuff to hang out with. Great band was playing the sort of like jazz fusion band that was doing like covers of stuff.  uh, you know, maybe not quite as funky as like a Wolfpack, but getting into that territory, it was pretty fun. You know, I drove down here on the weekend and kind of the only thing that's happened since we recorded the last one, aside from your trip, which we're going to get to is, uh, you know, right on the Wednesday night. So this, the last episode will of course come up Thursday morning. So that Wednesday night was the Seiko like digital press preview for a few of the new models for 2024. And that included the brand new kind of take on the SPB 143. So it's now the four, five, three, and there's, there's three versions, four, five, three, four, five, one, four, five, five. Did you get a chance to take a look at these? Cause this would have come out essentially what hours before you left for the UK or maybe while you were in the air or something like that? |
|Jason Heaton|Well, my first peek at them has been on your story, actually on Hodinkee and, uh, They look great. I'm just, and I read through your article and it sounds like it's, it's largely a tweak, I guess, or refinement of, of the watch that you, you've loved, known and loved for a couple of years now. |
|James Stacy|Yeah, for sure. I think, yeah, I would say definitely a refinement, very similar in some ways with some, some kind of subtle differences, somewhat smaller, half a millimeter in width, you know, two tenths of a millimeter in thickness, but now it's not, it's not 200 meters, it's 300.  And the, you know, the, the dial shows three days in text. I'm not sure necessarily why that's necessary to show on a dive watch, but Seiko went that route because the brand new version of this movement is 72 hours instead of 70. So we're talking like very incremental little updates and probably the biggest one is they've apparently made quite a refinement to the bracelet, which, you know, and this is according to them, what they told me.  So whether that's the case, we'll of course find out as we get a chance to see the watch in the next little while. Sorry, I'm moving across my bedroom here because I can hear the bed squeaking every time I touch my laptop and I'm worried that it's in the recording. I got to talk to the staff at this recording studio. It's not great.  But yeah, so the watch, I think the big things that people will stand out is they look almost identical, but now you have a little bit more of a conventional finish for like the black model has just kind of a standard black bezel. I actually don't know what the bezel insert is made out of. I believe it's still some sort of an anodized steel, but it doesn't have the same sort of brushed look. And then the dial, instead of that sort of grayish tone that the 143 had, you're now into like an actual black dial. So there's a black version, a blue version, which I think the blue is really calling me.  And then, uh, there's like a special edition with like a charcoal dial and gold accents, which of course isn't for me, but will definitely be popular. The two-tone sort of vibe, like the guilt effect. And then they've got the date at 4.30 now. Uh, I am, I have to say that whatever has happened in the last couple of years, maybe this is a, maybe this is my, my COVID vaccine got inside my brain and changed how I feel about 4.30 dates. But the, they've got a 4.30 date and, and I don't mind it. It's a very simple, small aperture, similar to what we saw.  on kind of those, the like pseudo Willards that came out a couple of years ago. |
