
# The Grey NATO – 278 – Rolex & Tudor Predictions (Also: To Catch A Slack Thief)
Published on Thu, 28 Mar 2024 06:00:00 -0400



## Synopsis
Jason Heaton and James Stacey discuss the recent scam incident on their Slack community's Buy, Sell, Trade channel, where a member took advantage of others by taking money without sending the watches they had agreed to sell. They outline the steps they took to address the issue, including contacting the scammer and eventually getting the affected members refunded. They also discuss plans to implement new protections for the Buy, Sell, Trade channel to prevent such incidents in the future.

The hosts then share their predictions and wishes for new releases from Rolex and Tudor at the upcoming Watches and Wonders event. They speculate on potential updates to existing models like the Explorer II, GMT-Master, and Black Bay lines, as well as new complications or materials like a potential Moon Phase or Annual Calendar model from Rolex, or a carbon case or ceramic model from Tudor to tie into their new Formula 1 partnership.

## Links
- [episode page](https://thegreynato.substack.com/p/278-rolex-and-tudor-2024)
- [episode MP3](https://www.buzzsprout.com/2049759/14775395-the-grey-nato-278-rolex-tudor-predictions-also-to-catch-a-slack-thief.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 278, and it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and you would like to support the show, please visit thegraynado.com for more details. My name is James Stacy, and I'm joined as ever by my friend and co-host Jason Heaton. Hey, Jason, how's it going there? |
|Jason Heaton| Uh, pretty snowy actually. Yeah, we're getting, uh, it's better, I guess I'd say better late than ever, but I think it's a little too, too little too late, uh, in my eyes for winter's arrival here at the very tail end of March. But I think it'll be gone by the end of the week if, uh, temperatures hold like they've been all winter. So, um, but other than that, yeah, doing, doing fine. |
|James Stacey|Yeah. I mean, same here. I mean, we were on the other side of some drama in the slack, which I guess is what we can get into. I figure most people on the slack, you know, it's, 1500 or so of you that are listening, definitely asked for us to talk about this. Yeah. Yeah. We, you know, after two and a half years of, of basically operating, not largely on good faith, but just being, making a nice kind, you know, sort of walled garden. We had someone come in and decide to try and take advantage of a few, of a few folks in the sales forum. And, and it's been a bit of a learning lesson for Jason and I, you know, we're, we're learning as we go and want to offer a big shout out to Chris Soule, our moderator.  Uh, you know, we, we should hear from crystal on the show pretty soon, but, um, yeah, it was kind of an interesting experience. Jason, I don't know if you, cause I, I caught up, um, a little late, like I was probably an hour behind when things were recognized, but, but basically the easy thing is, is I'm not, we're not going to say the guy's name. Uh, it's been handled. He won't be back on the slack. We'll get to the resolution in just a few minutes, but we had a problem with this person.  kind of just not operating in good faith or being kind, kind of being dodgy, that sort of thing in the BST. That's the Buy Sell Trade channel on our Slack. And also, just kind of in general, we had some reports. He kind of butted heads with a few people and that sort of thing. So he was kind of already on... It's not like we have a strike system or whatever, but he was on our radar, right? |
|Jason Heaton|Yeah, he'd kind of run afoul of a few of our guidelines or rules that we have. We have kind of a simple set of buy, sell trade rules in terms of how you post, um, watches or other items that you want to sell. And he was defying some of those rules and given a few warnings and he would correct them in some cases and others not. And, you know, in retrospect, I suppose we might've been a little too lenient on those cases, but then things sort of came to a head when, um, he actually did scam a few of our members and basically sold them on watches that he had no intention of, of delivering and kind Took the money and ran, as they say, which kicked us all into high gear and jumped on it. |
|James Stacey|Yeah. I get a message from you and I'm kind of like, wait, what is this about? And you're like, just check the Slack. Like, what are you doing? And so I go on the Slack and like, yeah. So we had a number of users basically say that they had active deals going on with this party and then suddenly his account was gone. Had deleted his account. We had very little like you know, information from slack. They give you nothing. Subsec gives you even less than nothing, presumably for privacy concerns and that sort of thing. So we started collecting data. I wanted to try and understand the problem as best as possible. It's not my first time. I've personally been scammed and messed with on what you seek and other sort of forms. Sometimes it kind of comes with the zone and you could just kind of deal with it and hopefully you didn't put money into the world. But sadly, we had you know, eight or nine people who would put some money into this space. Luckily, not giant sums, but nevertheless money, right? And obviously this is very stressful for Jason and I, because people pay for the slack and we've run essentially two and a half years with almost no problems. Everybody's on very much the same wavelength and then you have some sort of a bad operator, somebody coming in in bad faith.  And so we did what we could to kind of understand what the scope was, how much money we're talking about, how many people, that sort of thing, and what the methodology was. And in the process, the Slack itself, everybody on the Slack just started chiming in, wanting to help or support or offer data that they had from interaction with this fellow previously. He had had some positive or like some normal quality sales, buying and selling on the Slack previously.  I can't imagine that this dude signed up on the Slack with the express goal of scamming people, because if he did, he's just an idiot. |
|Unknown|Yeah. |
|James Stacey|We had his name. We had his address. We had his phone number. With those things, Google really lets you go nuts on people. So I had devoted some time to trying to understand what I could about this fella. There is always some risk, and that's fine. We're okay with there being some risk. We just don't want the Slack to be more risky than, say, using Watch You Seek or Reddit or or those sorts of stuff. So obviously, there are a few things that we need to change about the kind of rules, regulations, and reliability index, the way in which you can kind of have some confidence in who's actually buying or selling a watch. And those updates are coming. This episode comes out on Thursday, and by Friday, we're planning to relaunch BST with new protections in place. So it'll be a little bit more difficult to get going, and there'll be a few more hoops to jump through in the process.  That's definitely on our radar, and that was largely our main goal. We wanted to do what we could to make the affected parties whole, whether that be them being able to claim their money back or some other option. And then the other side was we wanted to make sure that we put whatever plans we could in place so that this couldn't happen again, or if it was actively happening again, people would have a set of rules and guidelines to help protect them from this sort of behavior.  So those are in process. If you're listening to this right away on Thursday, those are in process and will be implemented shortly. And if you're getting to this episode a few days later, they're already up and running. Please read the guide in BST if you're interested. I think it's still a great place to buy and sell watches. We've had a huge number of, I mean, these few sales don't even represent an aggregate of a percent in terms of the number of sales that have gone through there. But we're going through this whole process and I you know, I've got the fellows email address, I've got his phone number, we know his address, that sort of thing and I kind of like I calm down. I don't make great decisions when I'm angry and I was pretty angry and stressed about this whole scenario for a couple of days and then I don't know, maybe two days or two three days after it happened. We just figured we'd reach out yeah, just to see like like we wanted to be a hundred percent sure that that this wasn't like his account got hacked or you know he agreed to a few sales and then something terrible happened in his life and He went offline. I mean, deleting the Slack account is pretty clear, but you want to be sure. And let's be clear, I'm not a tough guy and I genuinely don't play one on the internet or even our Slack. Our Slack, the thread was several hundred messages. And when we get to the outcome, people really gave me a lot of credit for muscling my way into this guy's world. And I really didn't. The message was very benign. Arguably, I just, I genuinely believe that.  threats on the internet are valueless. They don't do anything. Your best chance in a scenario like this is to appeal to someone's reason or their self their sense of self protection, which was the goal with my message, and I simply said, you know, it looks like this has happened. Would love to get your side of the story, but also everyone who's affected who can no longer reach you anymore is speaking with the FBI via and like I shared the same link that we shared with everybody who was affected by the cyber crime thing that the FBI, where you can report a complaint and I sent the the Instagram, I sent a DM on Instagram because this guy followed me on Instagram, such a weird criminal and and he saw it and blocked me and I was like all right. Well, he saw it and I got a response and I figured out I'll just I'll spend the next couple of hours just kind of bothering him, not mean like not being mean or like threatening in any way, just like a nuisance.  did the same thing to his email, maybe with a little bit more detail about what was going on and kind of where I saw this going. If he didn't make some sort of option and the whole thing I was just asking for is like your best case here, because it's not enough money to change your life. The best case here is just to refund it yeah and try and make these folks whole to kind of lower the damage that could be done, you know in the future and and then sent the email, maybe a half hour later, sent a text message with the same sort of data directly to his phone, kind of left it at that, and then went on and a few minutes later, people started getting their refunds. So he ended up refunding all of the money that he took and such. There was no way he had a plan in all of this. I don't really get it, but it definitely wasn't something that felt super thoughtful.  But in the end, as it sorted out, everybody got their money back, which is I don't know that there's a better outcome. I mean, the better outcome would have been this didn't happen at all, but we can't always adjust for every single person being sweet and understanding and not a predator. And so with that kind of constraint in mind, I think that a refund is kind of your best possible outcome to this scenario and everybody got their money back.  And we'll tune up the rules for BST, but I thought folks might enjoy a little bit of the background. As much as I really love the memes on Slack about me being a tough guy, I was compared to several of my favorite characters from Heat, which is a very high moment for me in a very stressful week. I genuinely believe at times zero threat is somewhat more menacing than a threat when you're expecting one.  And in this one scenario, it worked out in our favor. So I'm very thankful. |
|Jason Heaton|Yeah, it was definitely a cautionary tale for everybody that buys and sells watches on the internet and especially in our... Or buys and sells anything on the internet. Yeah. And our Slack group is largely run on goodwill and a sense of community. And so this sent a bit of a reverberation through the community and everybody was understandably kind of shaken by it. But then I think on the other side of the coin, it really demonstrated the the strength of our community in how many people came forward to, you know, give information, give advice, um, countless people offering to help reimburse those affected. Yeah. And then, you know, we all kind of leaped into action. Um, those of us kind of behind the scenes to kind of reconfigure how we're going to relaunch buy, sell trade. We pulled it down. Of course, uh, it's, uh, as we mentioned, it'll be back up tomorrow as you're listening to this on a Thursday. Yeah. I mean, all things considered, I think it was, it was a good outcome.  And, and, you know, you mentioned the FBI and I think, um, you know, beyond, um, beyond the threat of contacting the FBI, um, as kind of a public service announcement, um, we can direct people that if you are affected, you know, hopefully not in the future on our TGN slack by cell trade, but anywhere, um, you can go to ic3.gov, which is the, the FBI's internet, uh, internet crime complaint center. And, allegedly they do take this stuff seriously and they do look into complaints. And so there's a button right on that page that says file a complaint. You can go through and fill that stuff out. So we do encourage people that, you know, if you are affected anywhere on the internet with things you're buying or selling to, to give that a look. And it certainly worked in our favor, at least as a, as a sort of a deterrent, I guess, or, or some sort of a mild threat if you want to call it that. Um,|
|James Stacey| Yeah, I mean, it was a it was a bummer that it happened in the first place, and I genuinely feel bad for like the stress that it brought on the folks that were financially affected by the outcome. And certainly it was a stressful couple of days for you and me and Chris. And, you know, we're actually expanding the moderator team. We'll have more news on that in the future just to, yeah, just to grow confidence in the platform. The one thing that I'm more sure of than ever, and I was already, I thought 100% sure, but it's just this is the best group of folks in the watch world.  Yeah, all together, all hanging out, all having a good time. And, you know, we had one fraction of a percent of the population decided that they would take take advantage of folks kind of goodwill and trusting nature. And it didn't work out in the end, which feels like a win for us and for, you know, rational, thoughtful human beings. But I guess I'm sure it's a shout out to say that if you're on the slack and were involved in this process, whether it was providing feedback, whether it was offering to do the GoFundMe thing, whatever layer, just a big thank you from Jason and I and Chris. The community is incredible. You guys are so much fun. And I don't care about a lot of things if I'm really honest in my life, but I care pretty fiercely about TGN and the core of TGN has in the last couple of years become this slack. And it was really interesting and kind of heartwarming in a non internet sort of way to see the way that folks kind of responded to this. You know, we, we said for a long time that this feels like being on a watch group 10 years ago online. And I feel like we, we got another real slice of that here where it luckily, you know, it worked out the way it worked out and I'm happy with that. I'm happy with how we handled things, but I'm just really impressed by this group. So I did want to give that a bit of a highlight and let people know that we took it really seriously, you know, BST was brought down almost immediately. We addressed from every angle the sort of scenario and in the end it worked out. I don't know if it will work out like that again in the future, but hopefully we should have more checks and balances in place to prevent the sort of predatory behavior that happened. So yeah, that's the outcome. I'm thrilled to say that it was positive and it was a really nice highlight of all the great things that this community has kind of brought to it, brought upon itself. You know, I can't, I don't think Jason and I can take much credit for it. It doesn't take much work to turn on a slack. It does take a lot of work for people to have for a whole community kind of hang out and be on the same wavelength. So we can take one, one small fraction of that credit, I suppose. And the rest for all of you. |
