
# The Grey NATO – 279 – Hot News From Doxa And A Chat With Chris Sohl, Avid Diver and Slack Mod Extraordinaire
Published on Thu, 04 Apr 2024 06:00:00 -0400



## Synopsis
The episode features a conversation with guest Chris Sol, a long-time member of The Grey NATO community and the moderator of their Slack group. Chris discusses his passion for scuba diving, including his favorite diving locations, approach to gear, and connection to the history of underwater exploration. He talks about how diving and his interest in watches developed around the same time after being inspired by collecting stories and experiences. The hosts also discuss new dive watch releases from Doxa and other brands being showcased at the upcoming Watches & Wonders event.

## Links
- [episode page](https://thegreynato.substack.com/p/279-chris-sohl-doxa-200t)
- [episode MP3](https://www.buzzsprout.com/2049759/14815585-the-grey-nato-279-hot-news-from-doxa-and-a-chat-with-chris-sohl-avid-diver-and-slack-mod-extraordinaire.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Intro Voice| Hello and welcome to another episode of The Grey Nato. |
|Jason Heaton|A loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 279 and is proudly brought to you by our ever-growing TGN supporter crew. We thank you all so much for your continued support and if you'd like to support the show and aren't already, please visit thegreynato.com. My name is Jason Heaton. I'm joined as ever by my friend and co-host in Toronto, James Stacy. Yo, yo.  And today we're excited to be joined by a long time TGN crew member, a good friend and our fearless slack moderator and everyone's scuba daddy, Chris Soul. Chris, welcome to TGN. |
|James Stacey|Hey Chris. |
|Chris Sol|Yeah, just look at the scuba daddy in here. Thanks guys. Uh, it's an incredible honor to be here. Um, yeah. Thank you so much for having me on. |
|Jason Heaton|By all means. We're really excited. It's been, it's been a long time coming and I think, um, after, You know, the last couple of weeks when we had some, you know, a minor crisis in our slack group and you played a, obviously a huge role in getting things back up and running and helping us kind of write the ship, so to speak. Uh, it seemed like such a great idea to just have you on, um, to talk about happier things anyway. And, um, here we are. |
|Chris Sol|Yeah, for sure. I mean, as we say, it's not an adventure until something goes wrong anyway. Right. So that was, that was a nice little adventure. |
|Jason Heaton|Yeah. Yeah. Yeah. Woke us up a bit. |
|James Stacey|Well, look, we got, Tons of stuff to get into this episode, including some brand new dive watches that have released only the day before this episode, which I'm pretty excited about. Before we get to that, a quick update. Obviously, one, the Slack buy-sell trade, largely thanks to Chris and to Jake TS, is back online and up and running. I couldn't believe the number of posts. It was almost immediate. I can find the Slack difficult to keep up in general, but it feels like the BST, we now have BST2, is its own whole environment. And I was really surprised by the speed at which people absorbed the majority of the new rules and regulations and just started posting stuff. So no love lost there, it seems among among the crew. And lastly, just a little bit of a heads up for anyone who has been paying a huge amount of attention over the past few episodes. We won't have a show next week. Jason and I are both in Geneva and tied up with other work. There will obviously be lots of other podcasts happening about the wash world at that time, but we'll be back the week after with an episode all about watches and wonders 2024. So we're recording this on a Tuesday. It comes out on Thursday, and Jason and I are both flying out Sunday, getting there Monday, that sort of thing. Jason, I'm looking forward to seeing you. |
|Jason Heaton|Yeah, I hope I do get to see you. You're going to be pretty buried with running around and doing podcasts. |
