
# The Grey Nato - EP 28 - Rolex
Published on Tue, 21 Feb 2017 09:03:49 -0500



## Synopsis
The podcast starts with James and Jason discussing their recent adventures, with Jason recounting his experience of ice diving in Minnesota. He describes the process of setting up for the dive, including shoveling snow, cutting a hole in the ice, and setting up tents. Despite the challenges, he found the experience novel and enjoyable. James then talks about watching the new John Wick movie and his interest in potentially buying a new camera for photography and videography. 

The main topic of the episode is a discussion about the luxury watch brand Rolex. Jason and James share their thoughts on the brand's history, its appeal to collectors, and the perceived baggage or drawbacks associated with wearing a Rolex in certain situations. They also explore the idea of finding a modern-day equivalent to the pre-baggage Rolex as a rugged, reliable tool watch.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-28-rolex)
- [episode MP3](https://www.buzzsprout.com/2049759/11311093-the-grey-nato-ep-28-rolex.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hey, James, how's it going? |
|James|Hey, man. Yeah, good. You? |
|Jason Heaton|Yeah, pretty good. It's Monday here, but it was a good one as Mondays go. |
|James|Yeah, we got blessed with a few days of nice weather here in Vancouver, so I think this is a good way to kind of round off what was actually a long holiday weekend for those of us in British Columbia. Oh, nice. Feel like doing a show? Yeah, let's go for it.  Welcome to episode 28 of the Graynado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. Thanks for listening. |
|Jason Heaton|So what have you been up to? Well, you know, the weather here has been really strange. It's been unseasonably warm for about the past three weeks and like above freezing, which is odd for Minnesota. But last weekend was, you know, fairly cold. It was, it was below freezing and I had a chance to go and do some ice diving.  which is something I haven't done. Yeah, I haven't done that in a couple of years. I got my ice diver certification about, I guess it was about three winters ago on a lake just outside of Minneapolis here. The shop that does the certification courses, uh, does these classes every year. They do like, you know, one weekend a winter cause it's a bit of a, a bit of a process to, to get everything set up and going. Um, but they offer past people that have been certified in the past to come and Get some dives in if, if we're willing to help out with the setup and, and, uh, be a dive buddy for some of the, the new guys that are getting their certifications. So that's a neat setup. Yeah, it's really cool. You know, so I got my tanks filled and, you know, went out there last Saturday morning. It was, uh, it was interesting ice diving. I've, I've said in the past, it's, it's kind of like a mix between, you know, almost like, like expedition style mountaineering and, and diving, because there's just these.  odd elements of both that you combine. I mean, you're, first of all, you have to, you have to shovel snow off the surface of the, of the ice to find a good spot to, to cut a hole. And then, um, in order to make the, the hole, the path to the hole visible, you shovel what they call spokes in the snow out from the hole that you cut. Um, with sort of shovel in arrowheads pointing back towards the hole so that if You know, you're diving tethered for obvious reasons. You have a rope and a carabiner clipped onto your buoyancy vest. Then you have a tender at the other end standing outside the hole who kind of pays out rope as you're underwater diving. But if for some strange reason that rope became disconnected from you and you had to find your way back to the hole, the easiest way to do that is to look up and these spokes that you've shoveled into the snow, let more sunlight through. So it looks like a bunch of arrowheads pointing back in the direction towards the hole. And, and then, uh, the guy who runs the course, he bought these surplus tents, like desert storm era, military tents that we set up over the hole. Um, and these things are big, monstrous, heavy, you know, canvas tents. You've got like this crew of guys. I think there were like 12 students and then a few of us that were just diving and then four instructors and everybody's kind of has a job to do, whether it's shoveling or setting up the tents or, you know, getting gear ready, um, use ice screws that you put into the ice to anchor the safety lines. And, you know, all of this takes, I don't know, I mean, I don't remember how long it took hour and a half to kind of get things set up and ready to go before you're even thinking about getting in your dry suit to get in the water. It was, it was kind of crazy. You know, this kind of goes to show how, Strange and kind of what different sorts of issues you have to face when you're when you're ice diving because we had the tent set up We had the hole cut they had kerosene heaters inside the tent and there were two divers sitting on the edge of the hole all geared up and ready to go and a big gust of wind came and picked up the The tent it's the first time it's ever happened Apparently picked up the tent blew it right up up off over the this dive site and tumbled into this guy's car and tore off the driver's side mirror and put a big gash in the side of the car. Wow. Yeah, it was crazy. You know, then everybody's scrambling. You've got to leave these poor divers sitting at the edge of the hole waiting to go in the water. And we had to somehow get the tent back upright, lift it, carry it back up over the hole and then re-anchor it with more ice screws. And then the day went fairly smoothly. We had a couple of guys that had free flow regulator issues, which is a common concern when you're diving in really cold water. Um, the regulators don't really like that. They kind of freeze up inside the, the first stage of the regulator and start just gushing, gushing the air out. So we had to deal with a couple of issues like that. But, uh, finally I managed to, to get in the water with, uh, with a couple of guys and you know, the visibility wasn't great that day. The, the, the, the theory went that because we've had so little snow here this winter, that more sunlight was penetrating through the ice and causing the algae to grow a little bit.  longer this season than it normally does, but you know, whatever the case, it was kind of murky and, and I think I was one of the last of the divers to go in the water. So guys before me had kind of kicked up a lot of stuff. And for me, it's, it's not even so much about what you see underwater. I mean, we saw some, some pike and some, some walleye and things like that kind of in the weeds, but it's more just kind of a novel experience, sort of a good, good adventure, um, uh, on a winter weekend here. Um, but you know, it's, for me, it's the kind of thing I'll do once every It probably wants to be three years or so. It's just, it's an awful lot of work for just not a lot of time underwater. |
|James|Yeah. It seems like a really, uh, kind of intense experience. |
|Jason Heaton|Yeah. And it's, it's, it's cool. I mean, it's, it's something like you'd never would experience any other kind of diving because you get this overhead clear, you know, ceiling above you that your bubbles, your exhale bubbles collect and sort of dance around on the underside of the ice. And you can, you know, if you feel inclined, you can walk upside down on the ice and The fish are kind of lethargic and it's novel. It's, it's interesting. The guy that actually, the guy that I was a dive buddy with, uh, came up from Louisiana, um, to just to do this and he actually had a rebreather, which was really strange because the dives we were doing were max 20 minutes long. Um, and you know, rebreather, the whole kind of point is aside from not producing bubbles, which is great for, photographers, but really the point is, you know, you can kind of last longer since you're recycling your own exhaled breath. But for a 20 minute dive, it kind of seemed like overkill. And then he was having some buoyancy issues and, and then he had to keep this rebreather warm before, you know, before he went in the water because they're very susceptible to freezing up. So he had it sitting in his car, parked out on the ice with the engine running for, I mean, hours you know while we were setting things up and it seemed a little bit kind of crazy to come all the way from Louisiana and bring your rebreather but I think he just kind of wanted to try it and uh that was last weekend oh and on the watch related front I kind of was debating which watch to take with me and and ultimately I ended up wearing my my Seiko SRP777 which is a watch you know we both have talked at great length about um but it hadn't gotten a whole lot of bottom time with me so I wanted to take that along plus the big long rubber strap that comes with that watch was just perfect over the, the thick gloves that I was wearing. So, and it, it, it worked fine. Watch the watch performed as advertised. So perfect. |
|James|Yeah. I guess that that's, that's that piece of gear that doesn't need to be babied at all. Like a rebreather. Yeah, exactly. |
|Jason Heaton|Right. Yeah. |
