
# The Grey NATO – 280 – All Lux'd Out Again (Watches And Wonders 2024 Megasode)
Published on Thu, 18 Apr 2024 06:00:00 -0400



## Synopsis
This was an episode discussing watches and other highlights from the recent Watches and Wonders trade show in Geneva. Jason and James went through their favorite new watch releases like the Doxa Sub 200T, Singer Reimagined dive watch, Zenith Defy Extreme diver, and Tudor Black Bay models. They also shared their thoughts on the controversial new direction for Bremont watches under new leadership. In addition to watches, they recapped fun experiences like attending events, meeting people like explorer Brian Jones, and getting to try on rare pieces.

The hosts provided recommendations for checking out the documentary film "After Antarctica" about polar explorer Will Steger, as well as a new video review of the 2024 Toyota Land Cruiser from the Throttle House YouTube channel. Overall, it was an in-depth recap of the major happenings from the important watch industry event.

## Links
- [episode page](https://thegreynato.substack.com/p/280-all-luxd-out-again)
- [episode MP3](https://www.buzzsprout.com/2049759/14903178-the-grey-nato-280-all-lux-d-out-again-watches-and-wonders-2024-megasode.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 280, and it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and would like to support the show, please visit thegraynado.com for more details. My name is of course, James Stacy, and I'm joined as ever by my friend and the recent birthday boy, my co-host Jason Heaton.  Jason, how are we doing? |
|Jason Heaton|I'm a little older. |
|James Stacey|Just ever so slightly. The percentages get slimmer the further you go. |
|Unknown|Yeah, exactly. |
|Jason Heaton|Yeah, and most certainly watches indeed. We're coming off a pretty watch-intensive week. You tired of them yet, or are you ready to talk for an hour about watches? |
|James Stacey|You know, the funny thing is, is I would say that the watches we get to talk about for TGN, I'm not tired of at all. Yeah. But I will admit, just between us buddies, I'm a little bit tired of talking about the wide world of watches. The older I get, the deeper I get into kind of the TGN thing, the less I kind of... I enjoy it and I love seeing it, but the minute that I leave another $400,000 watch, I probably won't think about it again. And it's difficult for me to like...  pick up that excitement off the floor and be like, oh, we should all be excited about this thing that costs as much as a house or whatever. But we've got a pretty solid list of watches, most of them in the four or even three figure sort of setting, mostly four being Watches and Wonders, a few a little bit higher than that, some kind of crazy stuff. But I'm interested and we can get into all of this. I don't want to spend a ton of time, but we didn't do an episode last week. So I'm curious, you got back from a Watches and Wonders a day ahead of me.  How's the last few days been? It's been all right. |
|Jason Heaton|It's been good. I got back to some, some lovely kind of warm, almost summery weather, um, which was perfect for getting over jet lag because you know, as they always say, get out in the sun as much as you can get some fresh air. And I did just that. So, um, I got home on Friday in the afternoon and managed to stay up till a decent hour. And then Saturday I got up and I went for, uh, Ghoshani was actually out of town for a couple of days when I got back. And then, so I just got up and I thought, you know, I got to start Uh, as I'm training for the fan dance in June, which is now just literally two months from today. Um, I got to start putting a pack on my back and go hike some Hills. And so I did that on Saturday. I went to probably the hilliest state park within an hour's radius of home and did 12 and a half miles, 2000 feet of elevation and just kind of slogged it out for three and a half hours. Yeah, it did feel good. It kind of, uh, uh, made some muscles I wasn't aware of, uh, newly sore, which is a good thing, I think, because I'll know what, what to work on more. And then, uh, and then Sunday, uh, Ghoshani was back. We went kayaking on the lake nearby and went biking yesterday. So it's been kind of a multi-sport few days and just a good way to kind of scrub the, scrub the travel away. Um, just felt really good to just not do anything, watch or writing or, or content related at all and just get out and do some physical stuff. How about you? How have you felt since you got back? |
|James Stacey| Yeah, I got back Saturday night. Travel was okay. Frankfurt did its best, but I won. Made it to the gate in time. And then, you know, despite, you know, hustling through the airport and the rest of it, of course, it ended up being delayed an hour anyways. So it was fine. Made it home in one piece. Actually, pretty overly, you know, as far as economy travel goes, it was fine, easy, comfortable, no issues there. Got home and just kind of rested like you, just decided to stay up as late as I could that first night and went to bed. And I haven't Maybe the jet lag's different this year, is how to describe it. I don't feel necessarily tired, but I am very slow to wake up in the morning. But things have genuinely been fine. I got home, like I said, Saturday and then no F1 this weekend, so I had a little bit of free time on Sunday. Decided to cross a few things off the list, one of which is I finally bought a grill. Haven't had a barbecue or a grill since before Vancouver, so before TGN even existed.  Um, and, uh, so went out and bought a, uh, a Traeger, which, uh, we've used for the last couple of meals and I'm super impressed with it. It's, it's an entirely different method than like a barbecue proper. Um, but lots of guys, I got some tips from, from some folks on, on the TG and Slack and that sort of thing. So, uh, just enjoying it, it works operate kind of like a smoky oven is the easier way to describe it. Um, but it's nice. And, you know, so far we've done chicken and sausages and a bunch of veggies and corn and all this kind of stuff. It's great. |
|Unknown|Huh?  Nice. |
|James Stacey|I got a, for those curious, I got a pro 22, which is sort of more of the entry level side of the brand, but I'm limited by the amount of space I have in my backyard. I like to actually put it somewhere. Yeah. Pretty comfortable with it. And for us to go from no grill to something like this is a pretty big jump. At the cottage, we've got a nice Weber, you know, propane Weber that I like quite a bit. And that's more handy because at the cottage you want to crank out, you know, quickly burgers, hot dogs, that sort of thing. This is a little bit more of a longer play on food, but it tastes great. Smells like a bonfire. It's awesome. |
|Jason Heaton| Looks like a little locomotive. That's a, that's a pretty cool. I've never seen one. It's got a little chimney. Yeah. |
|James Stacey|Yeah. So basically that like box on the side holds all these wood pellets and there's an auger that very slowly drops them into a, what's called like a fire pot in the center. So it plugs in. |
|Jason Heaton|There's a, there's a cord that you run. |
|James Stacey|Yeah. It needs power to run that auger. And then the fans, which essentially help it function like a, um, A convection oven? Yeah, yeah, yeah. That was kind of the main one. I got out on a nice little bike ride to see some family and pick up some tennis rackets. Sarah and I are gonna try our hand at some tennis. |
|Jason Heaton|Nice. |
|James Stacey|Sunday afternoon was quite lovely, so we went over to the nearby tennis courts. There's some just around the corner from me, and of course there was maybe a three-hour wait if you wanted to sit and wait to get a court, so we've got to figure out. Yeah, weekday afternoons or something, yeah. Maybe don't do it on a sunny Sunday afternoon. It's probably like a lunchtime during the week thing, but It's been on my list. I have a cousin who's very, very much into tennis and he had a spare rackets and wrapped them for us. So that'll be on. And we have a tennis court at the cottage. So I think that's where we'll probably do most of our playing, which would be really nice. So amazing. But yeah, that's about all I've got up to. I've got a couple other things cooking. You know, if you saw my buy, sell trade post, you might, you might have an idea of what I'm up to, but I'll talk about that in the future on a future episode. We've got plenty to talk about today. Obviously this is going to be about, our most watch-heavy episode of the year. So we kicked it off with some barbecue and hiking chat. That's how it goes. But let's jump into wrist check and then we'll jump into the main topic, which is really just a list of watches that we enjoyed from the show. |
|Jason Heaton|Yeah, you got a new watch too, didn't you? On this trip, right? |
|James Stacey|I did, yeah. So I was bopping around Geneva with Danny Milton, my colleague from Hodinkee, And we had two two guys at the show this year. It was their first year and they were doing like largely support roles. So Jonathan McBorder and Joe Wyatt both operate as producers. Jonathan has also shot like Lamont coverage for us and magazine stories. They're both crazy talented, but it's their first time doing a Watches and Wonders. And let's be clear, if you do a Watches and Wonders, especially if I'm in charge, I basically keep everybody working all the time. There's very little like rest and you ask people to do a lot of stuff. And like poor Joe is making daily video podcasts. And as someone with... I personally have experience making daily video from trade shows, you can go back and watch all those vlogs I did for a blog to watch. And look, I'm not saying that what I do is comparable... Or what I did is comparable to what Joe does. Joe's a professional, I was a ham-fisted guy with a GoPro, but I do know how much work it is and how late those nights are and how much it is to try and get that up. And to do it with a sponsored partner, we were there with Lucid Motors, it was a whole thing.  So we wanted to get them a gift and both of them were kind of keen on the moon swatch the new Snoopy moon phase one Yeah, and so we went to the swatch That's kind of closer to the to where the hotel is and they're like we don't have them But almost certainly the big swatch across the across the to the old old part of town does So Danny and I made it over there. We actually walked over there with Ken from Arkin and Tom from Clements. |
|Unknown|Yeah|
|James Stacey| made our way over to that part of town, had a really nice chat on the way. We had like an hour between meetings at the Beau Ravage on the Friday and connected with Tom and Kenneth. Always nice to see these guys. And we decided that we'd swing over that way and then probably take a car back, see if we could do it in an hour and not make our meetings late. Of course, we made the meetings late, but it was OK. Anyways, we ended up over there and we're waiting in line. And they said, basically, you can buy as many watches as you have people. So if you want four Moons watches, we'll sell them to you, but you need four people.  Luckily, we had Ken and Tom, so I said, can you guys stay here just long enough for them to count you guys as people who are going to end? So Danny, so we bought three of the moon swatches. Danny got one for a story that we're going to produce and then one for Jonathan and one for Joe. And while I'm there, I was just like, you guys got the black bonk bonk, the ocean of storms? And the lady's like, yeah, of course we got it. You want one? I was like, let me take a peek at it.  Yeah, she brought it out and like I had seen the blue one and I was pretty keen on the blue one when it first came out and then once I saw it in person, I kind of cooled on it. I kind of cooled on the idea and she brought it out and I was like, I'm not so sure and Danny's like, well, we need a story. You can't borrow these in the states, so we need a story anyway, so just buy it. Yeah, we'll figure it figure out the details later. Yeah, so I bought it and then the next day as I was like packing everything to go home, I like put it on. I threw it on a tan nato, which is the only nato I had It upset a few people in the Slack. You, of course, have my apologies that it wasn't a gray one. It's on a green one currently, so I'm really running the gamut. But I put it on and I've had it on for two or three days now, and man, I really like it. Oh, that's great. That is great. Like I just like the way, like I look down and it makes me kind of happy. And don't get me wrong, I think it's still a weird watch and I'll have a whole story. We can talk more about it.  Once I've had more time, the movement feels very rough. I mean, it's not my first system 51. It's all kind of plasticky, but like I, it also is kind of delightful. Like I'm, I'm enjoying it more, way more than I thought I would. I did end up kind of buying it thinking it would be like an asset for a story. Like, so we get photos and that sort of thing. Yeah. But, uh, I've had it on and the loom is good. I really liked the bezel. It fits really well. It wears like a bigger dive watch, but it's so light and easy. Um, and then only today did I go to, put it on a non-NATO. I wanted to put it on like a Tropic rubber because it's 22 lugs. And only today did I realize that it doesn't even have conventional spring bars. I need two 0.9 millimeter hex keys. |
|Jason Heaton|What? Oh, really? Oh, okay. So just like the big boy Blancpain's. Exactly. |
