
# The Grey NATO – 281 – Slack Crew & A 2024 // Part 3
Published on Thu, 25 Apr 2024 10:00:00 -0400



## Synopsis
The podcast covers a wide range of topics related to watches, travel, adventures, and gear. Jason and James discuss their recent trips, including James's upcoming diving expedition with Oceana to the Channel Islands off the coast of California. They share their wrist checks, with Jason highlighting the new Sport Strap from Serica Watches and James showcasing the Elliott Brown Beachmaster. They also answer questions from the TGN Slack community, covering topics such as book recommendations, hypothetical adventures, career paths in the watch industry, and watch features like countdown bezels.

## Links
- [episode page](https://thegreynato.substack.com/p/281-slack-crew-and-a-3)
- [episode MP3](https://www.buzzsprout.com/2049759/14951252-the-grey-nato-281-slack-crew-a-2024-part-3.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of The Graynado, a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 281 and it's proudly brought to you by our ever-growing TGN supporter crew. We thank you all so much for your continued support. And if you aren't supporting the show already and you'd like to, please visit thegraynado.com for more details. My name is Jason Heaton and I'm joined as ever by my friend and co-host, James Stacy.  James, you over the hangover and jet lag from our big week last week? |
|Jason Heaton|I am, yeah. I think the jet lag was weirdly chill this year, the easiest I've had in years. And I'm gonna be honest, I think it comes down to the change in alcohol. Oh, yeah. I think I just left Geneva much less rundown than I might have previously, and I drank when I was in Geneva for sure. And then coming home and just going back to not drinking very much, I just didn't find the jet lag to be a considerable element.  I was able to stay up until bedtime on the night I got back, which I think makes a big difference. I was staying up so late in Geneva to begin with that I was, you know, kind of padding the, the Delta between the two times zones anyways. Uh, we're recording this a little early cause I'm going to New York tomorrow for like 36 hours to shoot a project, uh, with Hodinkee and, uh, and connect with some colleagues. |
|James Stacey|Yeah. Yeah. And going back to the jet lag thing, you know, I found I did these two, not quite back to back trips, but I did the England trip, uh, less than a month ago. And then And then the Geneva trip and both times the jet lag was far worse going the other direction. And I'm sure there's a lot of science behind this, but coming home both times, like you, I was able to stay awake until bedtime the first day and then kind of sleep solid nights, uh, ever since then. So there must be something to, you know, gaining time on the way back and arriving in the mid afternoon versus, you know, the, the overnight stuff flying that direction. |
|Jason Heaton|So, um, I also find it a little bit easier to, to do the, the jet lag like figure it, figure the jet lag out when the days are longer. Yeah. When, when you're going to the airport in the dark, getting home in the dark, all that kind of stuff, I find it a little bit more difficult on my system, but now with it, you know, it's light by 20 after six in the morning and it's, it's, you know, it's light until fairly, fairly late in the evening. And we're not even, you know, we're not even all the way towards the longer, longer days of the year. But I find that helps too. It's probably just that, you know, circadian rhythm or the sunlight cycle, that sort of thing. |
|James Stacey|Yeah. And as for my weekend, I, uh, had a real kind of blitz trip down to Milwaukee, um, and back within a couple of days, um, for kind of a function with a friend of mine and his wife down there, uh, on Sunday. And yeah, it was, it was, it was a good trip. I, I kind of knocked out an audio book on the round trip. It's, you know, a good five and a half hours each way. And would you listen to took the Volvo? Um, you know, it's actually relates to one of our, our crew and a questions today about, about books. Um, I read, a book called Moscow X. It's a kind of a thriller novel by David McCloskey who has come highly recommended from several people, including our buddy, uh, over at watches of espionage who knows a little something about, uh, ex CIA guys writing books. And, um, so it was kind of a good espionage thriller, very kind of gritty and realistic. And so that was good, but it was a long one. And so I needed, you know, just that solid drive time to just, just plow through it on an audio book. Cause it was a borrowed, borrowed audio book. So good to get that out of the way. And then, yeah, I'm, I'm headed, uh, out of town. I will not be on air here next week. Um, you'll be having a special guest cohost as I'm headed out to California for a kind of an exciting project. I've, I've hooked up with Oceana, which is a conservation organization, uh, for a four day diving expedition in the channel islands. Not, not the UK channel islands, the California channel islands, uh, in which I'll be living on board. Um, what's called the peace boat. It's a, it's a charter dive boat out of Ventura. And for four days and nights, we will be diving around the various Northern channel islands. Uh, there'll be doing some science. I'll be doing some kind of social media stuff, uh, filming and shooting photos and, and, you know, hopefully writing a story at some point about this, but, um, it's pretty exciting. I've, I've dived Catalina Island a couple of times and I imagine the conditions are similar in the rest of the Channel Islands, but they're a little wilder. They're kind of undeveloped and, uh, we'll get, you know, sea lions and giant sea bass and, and all sorts of critters and kelp forest. And apparently it's a white shark nursery. |
|Jason Heaton|So I was just going to say in there with the baby white sharks. Yeah, exactly. |
|James Stacey|So, yeah. And, and as for the kind of the social media side of things, I'm, I'm connected with oceanographic magazine. And if you're not a follower of theirs or a subscriber, I highly recommend it. There's kind of a dearth of good underwater focused publications these days. And I think Oceanographics is kind of the best in the business. And so, uh, I've been in talks with them and I'll be doing some stuff on their social media, mainly Instagram stories, uh, around kind of daily activities on the boat, you know, interviews with scientists and gear checks and dive footage and that sort of stuff. So tune into Oceanographic underscore mag on Instagram and also, uh, Oceana will be putting some stuff on their feet as well. And they're just at Oceana on Instagram. So.  Check that out and I will definitely try to tune in to TGN from afar while I'm on the boat. |
|Jason Heaton|So... Yeah, we've got a couple of ringers I can... Second strings we can pull in for an episode. But man, I'm pumped for you. I just love the live aboard experience. Obviously, did a good stint several... No, several, several years ago for the Clipperton Project. And it's a unique experience because you're your whole world shrinks to the size of the boat, basically. Yeah. And it's a nice chance to really focus on a certain set of tasks. I'm excited to see the content that comes out of it and to follow along on those accounts. So if you're driving or whatever, I'll put all of that in the show notes, of course, but be sure to follow along with that. Yeah. Yeah. I don't have a ton more since we recorded the last one, which was a long episode. It sure was. It took me quite some time to edit it and all that kind of stuff. The response has been great. People seem pretty good on it.  But yeah, other than that, I don't have a ton. Like I said, I'm heading down to the city tomorrow. So by the time this comes out, I will be all the way home. It really is just a quick there and back to get a video done. I want to make sure that I'm home enough to get the Q&A up. So if you're listening and you're like, where's March's Q&A? It was due a week ago or whatever, which it was. It should be up within a week of this coming out, so pretty soon.  Um, we just have to record it before Jason leaves. So I'm going to make sure I'm still home for that. And then I'm hoping this will be the first weekend up at the cottage. |
|James Stacey|I guess we'll see. Nice. Has it been closed up all winter? Oh yeah, yeah, yeah, yeah. Rodents don't take over. |
