
# The Grey NATO – 282 – Thomas Holland Returns To Talk Throttle House, Land Cruisers, Costa Rica Diving, Overlanding, and More
Published on Thu, 02 May 2024 06:00:00 -0400



## Synopsis
Thomas Holland from Throttle House joins James to discuss his recent adventures and cars. They talk about Thomas's experience driving the new Ineos Grenadier, his growing obsession with vintage Land Cruisers after a trip to Costa Rica, and his plans to import a classic Toyota SUV from Japan. They also discuss the different types of camping setups like roof tents versus ground tents. Thomas shares his new watch purchase, the Notice Trail Trekker, and they compare it to the Rolex Explorer II. They reminisce about diving in Costa Rica and the challenges of the roads there. Other topics include Throttle House's micro-adventures for video production, YouTube analytics, sim racing, and upcoming car projects.

## Links
- [episode page](https://thegreynato.substack.com/p/282-thomas-holland-2)
- [episode MP3](https://www.buzzsprout.com/2049759/14992851-the-grey-nato-282-thomas-holland-returns-to-talk-throttle-house-land-cruisers-costa-rica-diving-overlanding-and-more.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 282, and it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show, please visit thegraynado.com for more details. My name is of course, James Stacy, and I'm joined by a special co-host today as Jason is on a boat and I'm not jealous about it. It's fine.  Uh, but I am joined by my good buddy and one half of the hosting team of Throttle House, Thomas Holland. How we doing? |
|Thomas Holland|I am very excited to be back. Very excited indeed. |
|James Stacey|It's been a weirdly because we didn't really plan this. I think I bothered you about coming on. This is a Tuesday. I think I bothered you about this on Sunday. It's a couple of days ago. That's it. Yeah. I was like, all right, let's go. And then in preparing for the show today, cause you know me, I do a lot of preparation. Yes. I realized that it was almost exactly a year.  since you're on last time. Was it really? Different house, same couch. Yes. Is this the same couch? That's the same couch you recorded. Familiarly comfortable. It's pretty comfy. Yes. That's why I can't get rid of it. But we are now, if the audio sounds a little different to those of you, uh, eagle-eared in the audience, it's probably not a thing. |
|Thomas Holland|It's a thing that eagles, it's probably amazing. They have to hear mice and stuff. So that makes sense to me. |
|James Stacey| Yeah, so the eagle eared among you may notice a little bit more of an echo or room tone. That's because I'm actually we're recording face to face in my home in the north side of Toronto. And we're in the basement, no clue really how this will sound, but I'm sure it'll be fine. It's nice and cozy and comfy. |
|Thomas Holland|And I've got a coffee that you made for me, which is absolutely yeah, we were just discussing the virtues of spending excessive amounts of money on espresso machines. And after trying your I'm|
|James Stacey| He's going to drive over 20 minutes. It takes him 45 minutes to get the thing running. |
|Thomas Holland|Yes. Yeah. It's, it's, it's a process that you enjoy. And that's what I enjoy about coffee. Um, and it is, it's a, it's a whole, it's a whole, it's a whole that you can fall into. And I have fallen very deeply into the, I got the stirry sticks and like the tamper thingy with the, got the rake. You got to tickle it. I've got like a special like box where I can like knock the thing out and in said box is a spot for all the accoutrement to go along with the whole espresso. And yeah, And as a result, you know what it tastes like in the end? It's coffee. It tastes like coffee. |
|James Stacey|I mean, you did make me a cup when it was delicious. |
