
# The Grey NATO – The Ineos Grenadier Minisode With Thomas Holland
Published on Mon, 06 May 2024 15:00:00 -0400



## Synopsis
Thomas Holland from Throttle House joins the podcast to discuss the new Ineos Grenadier, an overbuilt off-road vehicle designed to be a modern replacement for the classic Land Rover Defender. They discuss the Grenadier's unique features like the safari windows, rugged construction, and surprising on-road refinement despite its utilitarian design focus. Thomas shares his experience driving the Grenadier and compares it to vehicles like the G-Wagen, Jeep Wrangler, and new Defender. They also touch on the potential appeal of the upcoming pickup version and the challenges of creating a highly specialized vehicle that still performs well as an everyday driver.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-the-ineos-grenadier)
- [episode MP3](https://www.buzzsprout.com/2049759/15017890-the-grey-nato-the-ineos-grenadier-minisode-with-thomas-holland.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Unknown| Hello and welcome to a special kind of strange side bottle episode of the Graynado. I highly recommend that you listen to episode 282 before this, as I'm joined again by Thomas Holland, who's here to talk a little bit about the Ineos Grenadier. We just did a whole episode, which again is 282.  Check it out that have that's that's got watches and cars and it's got everything a dissertation on mental health when it comes to driving all sorts of things very much. Yeah, this more specifically you rocked up to my house today for our recording driving a vehicle I'm genuinely interested in. Yes, which is this Ineos Grenadier. It's been a fascination point for the TGN slack basically since it was announced. We've got a couple buddies who own them. I got I you know, what did I drive five three kilometers, four kilometers in it. So I'm like, the thing is awesome. |
|Thomas Holland|It is extremely awesome. And I totally see why it's been a huge talking point with your crew, because it is like, probably one of the most adventury adventure vehicles that's come out in a very, very long time. |
|Unknown|Also, at least from from the few minutes I had in it, it feels like a bit of a salve or in the antithesis of this, like the gimmicky side of kind of hardcore off-roaders right now, whether it's, you know, little Easter eggs that they hide all over Jeeps or Broncos that have to, you know, have to be a certain way or a certain color. Like this feels a little bit more in line with, I mean, to be fair, the vehicle that it's meant to replace, which is the previous Defender. Super boxy Defender. |
|Thomas Holland|Yeah. So it, the INEOS doesn't care about your feelings about the way that it looks. It doesn't care about anything except being really good at what it does. And I've never, I don't think I've ever like felt an attitude from a vehicle as much as I've built it from the INEOS. It is just designed to do that one thing. And as a result of being so well designed at doing that one thing, it's actually quite good at doing a lot of things. Just because it's so well built. But yeah, for those that don't know, it's a weird vehicle. It's designed by INEOS, which is, you know, it's designed in Britain.  by Ineos, which is a chemical manufacturer. And they make like industrial chemicals for industry. Yeah, the Ineos group. The Ineos group. You might've seen their logo on the back of Mercedes AMG F1 cars. And they designed this vehicle and they put a German engine in it and then they built it in France. So it's kind of all over the map and it came out of nowhere. And well, it didn't come out of nowhere. |
|Unknown|It's been like- The gestation period has been fast for what it is, but not fast. |
|Thomas Holland|But the thing is, is that it was one of those vehicles. And I talked about this in our episode that we released.  It just felt like it came out of nowhere because it was one of those vehicles where you assumed that it would just never come to fruition. |
|Unknown|Also car guys are so used to seeing a cool idea.  could be a concept. Sometimes you see a rolling chassis, sometimes it's a crazy angular steel pickup truck. |
|Thomas Holland|And we push it from our minds lest we be disappointed. |
|Unknown|And you think, well, that's never gonna happen. |
|Thomas Holland|Exactly, right? And that's what I thought this was gonna be. I've been burned before. I've been hurt before. And then this one appeared, and not only did it appear, it's appearing in numbers. Like I went to the dealership where I picked it up from, and there was like 36 of them on the dealership lot. And I asked him, I said, if I wanted to buy one of these right now, when would I get one? I was expecting three years. He said, probably the last quarter of this year. |
|Unknown|I mean, that's not terrible for the way cars are these days. |
|Thomas Holland|That's, that's honestly very impressive. And it's just kind of spending some time with the vehicle. It is the most insanely overbuilt thing I've driven in a long time. Like, um, I had to watch another YouTube video of a guy that has been designing parts for one. I wish I can remember the name of his channel right now. We'll put it in the show notes. Yeah, sure. And he, he went through the entire underside of this thing.  And he was so blown away by how overbuilt everything is. Yeah. He said, this isn't even like half ton truck stuff. This is one ton truck level parts. Wow. Right. Everything is. So there's a cooler for the transfer case, a cooler for the transmission, a cooler for the differentials, all independent of one another. Yeah. Right. Obviously in crazy cooling for the engine, which is a B58 BMW engine and is at F8 speed from not by BMW, but usually connected to the B58.  But it's just so incredibly overbuilt because they just wanted to build a vehicle that you could drive across Africa. And the fellows over at Overland Journal, another podcast, they just finished driving one across Africa, all the way across. And he said, didn't even have one check engine light. Right. Not one thing. |
|Unknown|So no problem.  By the time this little mini episode about the Grenadier comes out, oh, another thing I really want to make clear, this is not an ad in any way. Not at all. This is a product I'm genuinely really kind of interested in and something I would love to talk about. I got to drive it briefly. It is not an ad. I have no comms with Indios. |
