
# The Grey NATO – 283 – Diving The Channel Islands With Oceana and Blancpain
Published on Thu, 09 May 2024 06:00:00 -0400



## Synopsis
Jason Heaton and James Stacey discuss Jason's recent trip with Oceana and Blancpain, where he joined an expedition to survey marine habitats in the Channel Islands off the coast of California. James describes the diving routine, equipment used, safety precautions taken, and the experience of living on a liveaboard boat for several days. They also touch on Jason's new camera gear, wristwatches worn during the trip, and recommendations for calipers and watch straps.

## Links
- [episode page](https://thegreynato.substack.com/p/283-channel-islands-oceana-blancpain)
- [episode MP3](https://www.buzzsprout.com/2049759/15035500-the-grey-nato-283-diving-the-channel-islands-with-oceana-and-blancpain.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of The Graynado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 283 and it's proudly brought to you by our always growing TGN supporter crew. We thank you all so much for your continued support and if you'd like to support the show, please visit thegraynado.com for more details. My name is Jason Heaton and I'm joined as ever by my friend and co-host, James Stacy. James, it's uh, It's good to be back, hearing your voice for the first time in a couple of weeks. And then I got to throw a quick shout out to Thomas for covering for me last week. That was great. |
|Jason Heaton|Yeah, Thomas, it was a real treat to have Thomas on. As always, that would be Thomas Holland 2. And now kind of like 2.5, because we did this like little mini episode just about the Ineos Grenadier. It actually worked out kind of nicely because we recorded on a Tuesday. The episode was going to come out on a Thursday. Thomas and James' video for Throttle House was coming out on a Friday.  Oh, and we didn't want to step on the video. Yeah. So I said, well, let's record something and I'll just publish it later. I actually thought maybe we tack it on to this episode. Yeah. But then I realized this episode has a defined main topic, your awesome trip with Oceana and Blancpain. Yeah. And so I was kind of like, you know, the other thing that's nice is don't get me wrong, like our audience and you see it a ton in the slack, like people, our audience loves cars and driving and off roading and all this kind of stuff, but it doesn't, it's not like the actual product, like the Ineos Grenadier or Defender or Jeep or whatever, that's gonna be divisive for some people. So this at least gives folks an option to be like, all right, I listened to the chat with you and Thomas, I don't need another half hour about the Ineos. But if somebody's like, oh, I desperately want it, it's there, it's in the feed. But a huge thank you to Thomas for coming on, but I did miss you.  It is nice to have you back on the zoom and to hear your voice. We're gonna get into the trip, so I'll try to avoid that. Yeah. But maybe we talk a little bit about how's it been since you got back from the trip. It is like adjusting back to the real size of the world after a live aboard can be a bit of a mind bender. Yeah. Because you're more tired than you think, but also you've been able to pick and choose how involved you are with the world around you. Right. Just because a boat isolates you from so much of that. So how has it been to get home? |
|James Stacey|Yeah, it's good. I had a bit of a soft landing because I had a night in between when I was back in Ventura, California at a hotel. And it was definitely a soft landing, you know, soft bed, nice meal, easy travel home. And then since I've been here, you know, I had the weekend. I got back late Friday night and just kind of enjoyed myself. I relaxed a bit, but then went to a birthday party one of the days and, um, got out on the bike and went running and the weather's been great. So it's, it's been, it's been tremendous. Um, you know, one thing I was concerned about, I've been training so much this past few months that when I was on the boat, I had these, this idea that I would keep up my, you know, pushups and planks and some stretching and whatever. And it's like, as I'll get into, it's like, no, not really possible. You know? I mean, it's, it's, there's no room, it's wet, it's pitching around, there's gear everywhere. So it was, It was something that I was a little bit concerned about. You know, anyone who exercises fairly religiously knows that, you know, you get away for a few days and you start to get this anxiety of like, Oh man, my fitness is going to slip and all this. And totally. |
|Jason Heaton|Yeah. |
|James Stacey|Yeah. You know what? It was probably the best thing for my body to take a week. Well, I mean, diving has its own strenuous aspects, but like it was, it was, of course, it's not like you were laying on the couch. It felt good. Like that first run I did on Saturday, my legs were like fully recovered. Everything felt really strong and good. So Um, yeah, I, I recommend taking a few days off to people that are kind of burned out or, or been kind of cranking it in the gym or running or whatever. Totally felt really good. And, um, yeah, here we are a new week, blue sky kind of came back to the garden popping and trees leafing out and, uh, warm weather. So it's been great. Yeah. And you, you speaking of gardening, you, uh, you did a little sort of garden adjacent work this past weekend I saw. |
|Jason Heaton| I did, yeah. We've had it on the list of things to do is to build a raised planter for the backyard, probably two, but we wanted to get the experience of building one first. Yeah. And so Sarah had worked out a design. My wife, Sarah, is very much into gardening. It's a big part of this part of her year. And she's been interior planting and seeding a variety of plants in the corner of her kitchen with a bunch of little grow lights and that sort of thing.  And those are all ready to finally go out. So this past weekend she said, you know, let's, let's figure out how to make that planter. And she built a, or designed like a really efficient design out of cedar. Um, so no pressure treating, none of the weird chemicals, that kind of stuff. Yeah. And we were able to make, it took a couple of hours. I put some photos up in the Slack so you can find it if, uh, if you're in there and, um, I think it came together really nicely. So some of my best work for sure. Looked amazing. I'm starting to get a little bit more proficient with like cut shaping and some of that kind of stuff and like knowing what the results will be. Yeah. Cedar's really nice to work with. Smells incredible the whole time that you're doing it. And we've got a ton of plants in it. And now I was just talking to Sarah before we started recording and she was saying that, you know, probably good to do at least a second one. So I'll probably build another one. I don't know. Could be today. It's so nice outside. Like I'm looking for excuses.  But you were talking about being very much trained and then taking a little break. I'm still in a position of being largely de-trained in most things, unless you talk about putting weight on your back and walking on a treadmill. I've got that locked in. But the other day we went out and played maybe like, I don't know, a half hour, 45 minutes of tennis. And I don't play tennis, so this is a new thing for me. It felt really good. It's difficult. You're kind of sprinting.  The next day I felt fine, and I was kind of surprised. Sarah was a little sore, and I was like, oh, you know, I could tell that I was swinging my arm around, like my arm was a little sore, some of the motions I'm not used to. I have a bad rotator cuff on my right shoulder, so that you'll notice that with like serving, if I serve too hard. And then, of course, if I serve too hard, the ball also goes like into the next zip code, because I just have no clue what I'm doing. But I like starting a sport right at the bottom. Sarah played some tennis in high school and in college, just some experience to play around with. And I actually have a cousin who's a pro and I might get some lessons from them. Oh, nice. Over the course of the summer. But we have a cement court, like a concrete court at the cottage. Oh, cool. Like it's a mixed use place, but the main setup that it's designed for is either basketball or tennis. Yeah. So we figured it'd be fun to get a couple rackets and do that. But man, the day after, so two days later, like 36 hours later, My calves were useless, like full on useless. Oh yeah. I sat there with like the Theragun. Yeah, yeah. Like until they would go numb. Oh yeah, yeah. And then I'd be like, well, that must be better. And then I would go to like stretch, you know, like where you bring your ankles back to a 90 or even deeper. Right, right. And just like you could see the little muscle at the bottom of my calf. Yeah. I don't know the muscles, but you could see it like freaking out.  So we're going to ease our way into that. The walking is still going well. I've been really enjoying that. I've started to transition more that outside. I'm trying to decide, in your mind, would it be weird for me to walk around outside with the white vest on? It looks too much like a flak jacket. |
|James Stacey|Oh, right. Well, I don't think so. I think there are enough people. |
|Jason Heaton|It's just a black thing. And the front weights, the front two-pound weights look long, like a 556 mag. Oh, hmm.  It looks it looks very tactical. Yeah. So I can't decide if I if or or the other like it. Do I just go extra? Do I get like extra weird and just buy like take an extra large TGN T shirt or like a 2XL that we've got a spare and wear it over? That might look even weirder. Yeah, I think so. Yeah. |
|James Stacey|Okay. I can't decide, you know, just wear like some really colored cap, you know, something floral or bright and sunny and cheerful looking and, you know, a pair of like long shorts and you know, like|
|Jason Heaton| The rest of you should, should, you know, if you, if you go full like camo and you know, whatever, or your shemagh or something, the move, the move would be like a, would be like a black, would be like a black to no shirt and just red shorts, like full, full Cousteau, but with a 50 pound vest on. |
|Unknown|Yeah. Yeah. |
|James Stacey|How about those shorts you got that you wore in Florida? Those Speedos or whatever. |
|Jason Heaton|Those ones. Yeah. Ocean Pacific or whatever. Yeah. Yeah. Adidas. Oh, Adidas. Sorry. Adidas. Oh yeah. Yeah. Yeah.  But yeah, no, those, those are fun. Um, but yeah, I've been, I've been enjoying that. It's great to have the, the warm weather back. We were at the cottage. I think I talked about that. Oh, I didn't know you went to the cottage. |
|James Stacey|Oh, that's cool. Nice. |
