
# The Grey NATO – 284 – A Last Minute Mountain Adventure In Switzerland
Published on Thu, 16 May 2024 06:00:00 -0400



## Synopsis
This episode covers James' solo adventure day in Switzerland while on a press trip for Victorinox. Since his original plans fell through, he took trains and boats to explore the Bernese Alps region. He started in Grindelwald, taking a gondola up to hike among the towering peaks like the Eiger and Fiescherhorn. He then took a scenic boat tour across Lake Brienz, getting views of the famous Giessbach Falls hotel used in filming Band of Brothers.

The episode also provides updates on the upcoming Windup Watch Fair in Chicago. James and Jason reveal that their Graynado meetup will be a Sunday morning brunch before the show floor opens, rather than the evening event of previous years. This allows attendees to get exclusive previews and behind-the-scenes access while avoiding conflicts with other activities that weekend.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-285-swiss-adventure)
- [episode MP3](https://www.buzzsprout.com/2049759/15070157-the-grey-nato-284-a-last-minute-mountain-adventure-in-switzerland.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of the Graynado, a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 284 and it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support and if you're listening and would like to support the show, please visit thegraynado.com for more details. My name is James Stacy and I'm joined as ever by my friend and co-host Jason Heaton, Although the distance between us is a little more than it normally is. And we normally operate about 16 hours apart. So that's by, by, uh, by car, I suppose. And right now we're about what, 10 hours by plane, something like that. |
|Jason Heaton|Yeah. Yeah, definitely. Yeah. I kind of like these field recordings. We haven't done one in a long time. I think, uh, might've been like a bone air trip or Sri Lanka or something, but, uh, yeah, it's kind of fun. It's fun to, fun to, uh, check in with you while you're abroad. Um, and, and that's kind of the topic of the episode. You're, you're in Switzerland right now. |
|James Stacey| Yep. I'm recording live. That's if the audio sounds a little iffy, I'm doing my best, but I'm recording live from my hotel room in downtown Zurich. I had a busy day yesterday, which is going to inform kind of the main topic for the show. We'd originally planned to do a guest episode with a certain buddy of ours who's been on many episodes and now lives in Switzerland. He sadly was busy. And, uh, and so we're pivoting and I had sort of a solo adventure day yesterday and we'll get into that certainly. But, uh, I don't know, Jason, where do you want to kick it off? We had a, we had an early meeting for wind up Chicago and have some kind of preliminary plans we can share, I guess. |
|Jason Heaton|Yeah. People have been asking about that on Slack. You know, we have the meetups group and then there's even a, a wind up watch fair channel on Slack and people are getting excited because I heard San Francisco is a great show and we've got Chicago coming in almost exactly two months. So yeah, we've, we've got a little bit of preliminary news. We talked it over with our, our friends at citizen.  and are, and from worn and wound and we're, we're getting close to firming up some details. And I think we have a little bit of a wrinkle this year in that, um, you know, last year we had done like a Saturday evening get together at a, like a brew pub nearby. And due to some timing constraints revolving around some, some diving that's happening on Saturday afternoon, we're actually moving our TGN meetup with citizen to Sunday morning. Um, it'll be roughly around, uh, kind of a preview event of the windup fair, uh, before the show officially opens that day. Uh, and we'll be doing some sort of like a TGN brunch. Again, these are all very preliminary kind of facts or details, um, as we're still working it out. But in terms of kind of saving the date, uh, if you're interested in getting together in Chicago with us and, and fellow TGNers, uh, just put that on your calendar, pencil it in for kind of that Sunday morning of, of the windup show. |
|James Stacey| Yeah. I think, I think if you're, if you're coming to do TGN sort of stuff, along with all the other great things that they do, maybe consider a plane flight that doesn't leave before like two or three. |
|Unknown|Yeah. |
|James Stacey|That way you could probably still do this. You'll get a chance to get some inside access to the show. That's what we're kind of working on still. And then like with a lesser crowd or essentially no crowd. And then you'd be able to, cause like Jason and I will leave that afternoon, that evening as well to get back to our respective homes.  Yeah. Um, but yeah, whereas last year was a Saturday night thing. Now it's going to be like a fun brunch breakfast sort of thing. So probably less beer, but, uh, I'm sure we'll survive. It'll be good. |
|Jason Heaton|Yeah. And, and we promise we'll have some interesting swag, uh, as usual, but yeah, so that's, that's kind of where we're at with that. Stay tuned. Of course, we will continue to talk this up in, in future episodes as we lead into July and wind up Chicago. |
|James Stacey|Yeah. And other than that, I haven't, I haven't like necessarily been up to a ton since we recorded the last episode. A lot of it was prep for, this week in Switzerland, uh, including episode plans and some camera plans and the rest of it. Uh, so some of that worked out, some of it didn't, I am in Switzerland, as I mentioned. So most, mostly it did work out. I tried to get my hands on a new camera bag. Um, and, and you know, it just, it just didn't, it just didn't work out. And I, I really don't, I, years ago I told myself I had to stop like going on Instagram and complaining about UPS. |
|Unknown| Oh, yeah. |
|James Stacey|And the fact that they just they tell you, you can let go to UPS and have a label made where they're like, it'll absolutely be there at this certain time. That's the time we guarantee it. And then they just do whatever they want. I bought a camera bag from a guy on the slack named Adam. So I put a Adam, I don't know if you want your last name on so I'm going to omit it. But the whole idea was I wanted to check out a sling style bag that could hold the new camera and the new lens, which is quite a bit bigger. And I didn't really have a bag that could do that nicely for a day of touring around in the hills in Switzerland. Yeah. So I ended up dropping a note asking about this bag by a company called WANDRD. I don't have any relationship with WANDRD. I don't, um, I've never like borrowed any product. I don't know them at all, but I've been served their Instagram ad many times. And I really kind of like the midsize sling. It looks like it will fit the camera and a bunch of other stuff. And it has some, some kind of thoughtful, interesting ways of putting all that together into a useful bag.  And, uh, I dropped it into the chat just saying, you know, anybody have or experienced one of these, what are your thoughts? And Adam, a few people replied, but Adam replied like, Oh, I got one in like a deal and haven't really used it, uh, yours if you want it. So made an offer, sorted out the details. The main part of that detail, kind of the crux of the detail, not even remotely Adam's fault was that I would have the bag by Thursday. And I, you know, I was leaving Sunday, so I thought I was beating the UPS system by saying Thursday instead of Friday.  Turns out UPS now Thursday means Monday as in 48 hours after I left. Wow. Right. Or 24 hours after I left, maybe a little bit more than that. So, uh, the bag is sitting at home. Sarah just sent me a photo of it. Um, yeah, hopefully she's got a big heavy camera to lug around or something or gardening tools, but, uh, Yeah, the camera bag didn't work out, but that's the WANDRD 6 liter. I'll throw it in the show notes. I can't tell you if it's good or bad. It reviews very well, but most of those reviews are sponsored by WANDRD, which isn't that rare of a thing for people to do in this space. I think WANDRD sort of started with like the Kickstarter thing and went from there. Yeah. But I wanted to get my hands on it. It looks pretty good. So that's waiting at home and a huge shout out to Adam for hooking me up with the bag and a huge anti shout out to UPS for making sure I didn't get it in time.  always go with any other option. I don't care what the other option is, just as long as it's not UPS. |
|Unknown|Yeah. |
|James Stacey|Yeah. But other than that, man, I haven't, I haven't like gotten up to a ton. I, you know, a lot, a lot of just kind of like prep work for this and getting things together and then already looking forward to getting back. I get back just in time for the Canadian long weekend, the Victoria day long weekend, AKA 924.  Um, so I'll probably land in shortly thereafter, head up to the cottage with, uh, with the girls and, and spend a weekend, you know, not thinking about watches or, or much else other than, you know, splashing around in the lake. |
|Jason Heaton|Yeah. You can, you can carry your snorkeling gear in your new sling bag. |
|James Stacey|I suppose so. Yeah. Carry something. I'll need a camera. I'll take my camera. Yeah. Right. Right. Yeah. So how about you? Have you been up too much? |
