
# The Grey NATO – 285 – A Chat With Richie Kohler: Diving Legend, Shipwreck Explorer, Historian, and Author
Published on Thu, 23 May 2024 06:00:00 -0400



## Synopsis
The hosts James and Jason discuss their plans for the upcoming Wind Up Chicago event, as well as Jason's recent experience driving a vintage Citroen 2CV. They then interview legendary wreck diver Richie Kohler, who recounts his early days of diving and the pivotal experience that sparked his fascination with shipwrecks. Kohler shares stories about his famous explorations of wrecks like the Andrea Doria, U-869 submarine (covered in his book Shadow Divers), and the HMAS Britannic. He discusses the ethics of recovering artifacts, developing new diving techniques, and the watches he has worn over his decades of wreck diving. The interview provides a captivating look into Kohler's obsession with unlocking the mysteries of historic wrecks.

## Links
- [episode page](https://thegreynato.substack.com/p/285-richie-kohler)
- [episode MP3](https://www.buzzsprout.com/2049759/15120167-the-grey-nato-285-a-chat-with-richie-kohler-diving-legend-shipwreck-explorer-historian-and-author.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacy| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 285, and it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show, please visit thegraynado.com for more details.  My name is James Stacy. I'm joined as ever by my friend and co-host Jason Heaton. Jason, we got quite an episode today. Anyone who's listening has seen the title, so it's not going to be a surprise. We've got a real OG on. |
|Jason Heaton|Seriously. I mean, this, this feels like we've, I don't know about come full circle. I'm not sure if that's the right terminology, but it does feel like we've, we've reached a certain peak in our kind of long TGN history now. And I'm super excited about it. I just feel like, I don't know. It's like, uh, you know, summer's coming, gardens blooming. We've got, you went to the cottage. We've just got like, it feels like things are bubbling up now. I feel like we've, we've kind of come out of, we're like blooming as well. And this episode is, is definitely a sign of that. Really exciting. |
|James Stacy|Man, Richie Kohler, crazy, super excited about this, have been pumped for it since you kind of set this up with Richie. And normally we record what we call the bumpers, the front and end of, of the episode that you chat in the final notes. Normally you record that after we chat with a guest. Yeah.  but this morning we're chatting, we're doing that first. So this is actually just like legitimate excitement. I've not spoken to, like we've not done the phone call. Right. I'm so, I'm so excited. It's going to be one of those ones where like I had to go over your notes for the talk several times because it would just be super easy for me to ramble and ask really dumb questions and just get too excited. Like a, you know, a kid meeting, meeting a, you know, like a celebrity or something. Right. It's great. So I'm, I'm super pumped for that. Stay tuned, obviously. |
|Unknown|Yeah. |
|James Stacy| I guess the other thing that we've been talking about starting with last week's episode is there's a slight change to the wind up plan for wind up Chicago. So we will certainly still be there, but the dive trip is happening Saturday afternoon evening, so we won't be doing the beer hangout we did last year. We're actually gonna do a breakfast hangout on Sunday morning that is also going to include a private preview of the show.  So you'll actually get to walk around with just other TGN folks and not the whole crowd on a busy day in Chicago. Yeah. So that's the current plan. We're gonna shore up times and RSVPs and the Saturday plan and the rest of it. We'll get all the details together, but just to keep in mind, if you were planning to coming just for Saturday or if you're planning to leave fairly early on Sunday, maybe if you can, shift that back a bit, because we'll be doing something morning. I think the show starts at 11, 11 or 12. And we'll probably start a couple hours before that and get a chance to do a little bit of a hangout with Citizen, have some breakfast, see the show. And then if you're parting ways midday, early afternoon, you'll be okay. |
|Jason Heaton|Yeah, we'll probably be... You'll be tired of us talking about this for the next couple of months before the show. But we just do want to make sure that everybody's aware of our slightly tweaked plans here. And yeah, exciting. It'll be here before we know it. I mean, it's less than two months now. |
|James Stacy| Exactly. Yeah. We're getting later, later into May here, which is a, which is great. It's starting to get nice and warm. I had a lovely weekend up at the cottage, uh, just hanging out. |
|Jason Heaton|Yeah. It looked like a calm day. The lake looked like glass. |
|James Stacy|Yeah, no, it was, it was really beautiful. It was warm and, uh, and sunny. The mornings were kind of cool with some smoke, like some fog on the water, which I always really like, but it was burning off early and, and, you know, got up there and cut a bunch of grass. It was great. Good weekend. |
|Jason Heaton|How about you?  Yeah, we, uh, we took advantage of, of good weather here as well. Uh, we, we, uh, went in with a neighbor and borrowed a small trailer and hauled several cubic yards of soil for raised garden beds and a lot of mulch. And we, we kind of, kind of banged out all the, all the garden chores for the year. You know, we feel like we're ahead of the game. I think usually we're kind of just getting started planting stuff, but now everything's pretty well in the ground.  some flowers on the strawberry plants and the tomato plants and the flowers are coming up and whatever. So yeah, it's, uh, it's always satisfying. And now we can, now we can actually enjoy summer evenings sitting out on the patio and not having to look and cringe at the undone tasks that, that, that await. So that's always fun. |
|James Stacy|Yeah. Sarah surprised me with, uh, with a pair of Serrano pepper plants. |
|Unknown|Oh wow. I'm very excited. |
|James Stacy|Oh yeah. Oh nice. I love a Serrano. Yeah. And, uh, and so we're growing our own. They're already in, they're in the planters. They're looking good.  It rained here yesterday. So I, of course I watered it and it rained an hour later, but, uh, yeah, it was good. Um, and you, you, you had some other fun this weekend too, that I saw on your, on your Instagram, right? |
