
# The Grey NATO – 286 – How We'd Cast The Next James Bond Film
Published on Thu, 30 May 2024 06:00:00 -0400



## Synopsis
Jason and James spend the episode casting the various roles for a hypothetical new James Bond film. Jason's concept has it set as a period piece in the late 1950s, while James envisions a very modern take meant to appeal to younger audiences. They discuss their choices for who should play Bond, M, Moneypenny, Q, the Bond girl, the villains and henchmen. They also debate things like the director, cinematographer, theme song, cars, gadgets and watches that would be featured. It's an entertaining discussion imagining what their ideal Bond films would look like.

## Links
- [episode page](https://thegreynato.substack.com/p/286-casting-the-next-james-bond)
- [episode MP3](https://www.buzzsprout.com/2049759/15153939-the-grey-nato-286-how-we-d-cast-the-next-james-bond-film.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Gray Nado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 286 and it's proudly brought to you by our always growing TGN supporter crew. We thank you all so much for your continued support and if you'd like to support the show, please visit thegraynado.com for more details. My name is Jason Heaton and I'm joined as ever by my friend and co-host, James Stacy. James, long weekend. We're back in the saddle. |
|James Stacey|We sure are, my man. We sure are. We're back. And it's a Tuesday morning. I can't say that I'm feeling especially sharp after a long weekend, but I did sleep all right. And I'm pretty excited about this episode. This is a kind of a random idea that I had while we were recording the previous episode. We're talking about bond topics. So in this, in today's episode, we're each going to be designing kind of the cast and some of the other Bond accoutrement for the next Bond film as a hypothetical. I don't know what you've picked, you don't know what I've picked, and we're going to get to it in really just a moment. But I guess we are kind of kicking off every episode with a little bit of an update about Wind-Up Chicago. So for anybody who's interested in being at Wind-Up Chicago with us, this will be year three for us. It's one of our favorite events of the year.  A few things have changed if you remember how it worked from last year. So Jason and I will be there Saturday and Sunday of the weekend for Wind Up Chicago. You can find all the details for this in the show notes or by visiting the Wind Up website. But for the TGN side of it, we'll be there for Friday, Saturday. The group dive, the wind up in the lake is going to be Saturday afternoon. So Jason will be busy with that. I will go to the show to make sure that we have some representation there and then Sunday morning, we're going to do a little brunch wind up preview with the folks from citizen. So not only will you get a bite to eat, but we'll also be able to sit down and chit chat about a variety of topics and also get a chance to do a lap of the show without the huge crowds. So this is kind of a nice offering from the folks that wind up and from citizen. Uh, that's how that's going to work. We're going to have like exact timing and details and that sort of thing, but that'll be Sunday morning. Um, we'll probably do some sort of programming Sunday afternoon and then everybody can go back to their uh, normal lives and, you know, look forward to next year's windup. But, uh, I think that pretty much covers, covers the plan. Well, you know, we'll have more news as it develops, but that's the, uh, that's the kind of loose layout at the moment. |
|Jason Heaton|Yeah. I'm excited. We've, uh, every year seems to be a little bit different at windup. Uh, first year we, uh, we were selling merch at our table and just running around like chickens with our heads cut off. And then last year was a little more subdued. We spent more time at the citizen booth and did a, another, uh, podcast record. And this year is going to be, uh, even more different. |
|James Stacey|Yeah.  But yeah, other than that, man, I haven't been up too much, if I'm honest. I've been a little lazy. Got some work done last week, then went to the cottage, put the new Starlink in. The one I got last year broke. It just wouldn't come online. And they were super cool about it and just sent another. It was not necessarily the customer service experience I was expecting. I think I expect the worst these days. Yeah, right. And I answered a few of their questions, like on text message on my phone. And they're like, yeah, something's wrong. We can't fix it, really. So just We'll send you another one and we'll send you a label and you can send this one back. So that's what I've done. And I mean, I plugged the thing and it was online in, I don't know, four or five minutes. So watched the Monaco F1 from the cabin, which is a, you know, it's a high low scenario. Yeah. Yeah. |
|Jason Heaton|Yeah. |
|James Stacey|That's yeah. That's a good weekend. A nice jump off the dock and, you know, got to pull a bunch of stuff around the property with the Jeep and that sort of thing. |
|Jason Heaton|No real complaints. How about you? Good.  Yeah, mine was quiet as well. Uh, Ghoshani was actually out of town. And, uh, so I was, I was just, uh, being a bachelor here at home. I did a little gardening. Um, I had visited my folks and, and got some plants from their garden and brought them here and planted them here. And then had a friend over for, uh, for a meal one night and, uh, kind of got caught up on a few things I had to get done when it was good and quiet here. And, um, I did have an interesting development though. Um, if you'll recall, friend of a friend back several months ago, sourced or found that Breitling Navitimer at a thrift shop in this small town down in Iowa. And he, this guy's a magician. He wrote me, um, a couple of days ago and he said, I found another interesting watch that you might be keen on. And he sent me some pictures and it is a far as I can tell from, from some research, um, it's a watch from the late 1700s, which is incredibly old.  uh it says rose and sun uh london so presumably a old british pocket watch um in in a very dented kind of beat up i think it's a brass case you know took the back off kind of did some looking around there's the it's one of these kind of double cases where you hinge open the case and then the watch actually comes out of the case and then you can open that up both sides to set the hands or to look at the movement Um, there's a few watchmaker marks scratched on the inside of the case. Um, and then inside the outer case, there were these folded round cut pieces of paper that were like stuffed in there as padding. And it had like this image of a paddle wheel boat. And then as I was peeling away these different sheets of paper, it was like cut out circles of what looked like a German newspaper. It was in this old German script font.  uh you know German language um kind of stuffed in the case and you know who better to ask about um this watch than our TGN alum Dr. Rebecca Struthers over in the UK who happens to be the foremost authority on antique watch restoration over there. So I sent her a couple of pictures and she gave me a little bit of feedback and asked me to look for a few things and we've been kind of going back and forth on it so you know it's just a fascinating find. I'm I've Got a fondness for pocket watches. I don't collect them. I have both of my grandfather's old Hamilton's, but, uh, this just seemed like such a fascinating, very old piece. I mean, something from the 1700s. I mean, there's almost, you almost find nothing from that era of any sort. And so it's a key winding watch. So it doesn't actually wind with the stem. It was before those days. And so I've sourced a set of pocket watch winding keys on Amazon, and those will be coming in the next day or two. So I can actually.  See if this thing's actually holds a wind or if the mainspring just explodes and, you know, takes out my eye or something. Sure. So Gushani brought it back with her from, from her visit down to Iowa, uh, over the weekend. And I've been kind of looking at it through a loop and gingerly taking it apart here at my desk. And it's really, really cool. |
|James Stacey|That's awesome, man. |
|Jason Heaton|Yeah. |
|James Stacey|Congratulations. Yeah. Thanks.  Very cool. Can't wait to hear how that develops as you learn a little bit more about it. I love that you can get vintage pocket watch winding keys on Amazon. |
|Jason Heaton|Yep. There's no end. What a world. What a world. Very cool. |
|James Stacey|That's great. And do you have any photos of that on the Instagram? I took the weekend off from social media. |
|Jason Heaton|I just put some up this morning. Yeah. And it's gotten some interesting comments and Dr. Struthers commented on it. And yeah, we've been kind of going back and forth. So yeah, it's a lot of fun. |
|James Stacey| Well, I'll be sure to put that in the show notes if people would like to check it out or swing by Jason's Instagram for the direct link. But you want to jump into some wrist check? |
|Jason Heaton|Yeah, let's do it. I've actually got that Breitling Navitimer on my wrist. I pulled it out over the weekend when the pocket watch arrived just as kind of an homage to that, wearing something old and interesting. And yeah, I've got that. It's been a very rainy couple of days here, so I'm not stepping out of the house with it on my wrist, because it even knew that watch had no water resistance at all. So that will stay safely either under my cuff or in a box here in my office. But yeah, that's what I've got at the moment. How about you? |
|James Stacey|Nice. Yeah, I'm actually wearing my Aqualand. I put it on on Friday to take it up to the cottage. You know, it's going to be jumping in the dark and cutting grass. It's just like it's It's just such a tool-ish thing. So that's the JP 2007 17W. It's the lume dial. We're quickly becoming, I think, my favorite Citizen of all time, or at least in my top three. It's on the Mount Rushmore, the Citizen Mount Rushmore for sure, with its glowing face and its weird dark dial or dark case. I've got it on like a $12 strap from Amazon. I think I gave you one of the same strap, this sort of sandy two-piece NATO style. It's so good. It's really, really good. Yeah.  way better than the strap should be for the $12, even including a black plated buckle. But I wore this all weekend. It's easily the biggest watch that I can sleep with. It's just so comfortable. I don't take it off. The loom is strong enough in contrast that you can read it in the middle of the night without toasting your eyes. I really like having the anti-digi functions.  for timing stuff and that sort of thing. Because, you know, you're always doing three or four things at the cottage and one of them is usually in the oven and about to burn if you're me. So it's helpful to have the chronograph and that kind of thing. I just absolutely love this watch. It's great. |
|Jason Heaton|Yeah. And speaking of that strap, I, before I put the Breitling on, I was wearing my, I've got this vintage Aqualan from the mid eighties with the steel case. And I put that on that strap and that's how I've been wearing it. And I've got it on my desk next to me here. And it just looks so good. I need to, it always bothers me when the, the buckle material or color is different than the case of the watch. And that is a slight niggle for me because it's a black buckle with a steel case watch, but you know, I'll get over it. But I was wondering, I was going to ask you actually, if that strap came in other sizes and other buckle materials. |
|James Stacey|Do you remember? I don't know offhand, but what I will do is I'll go back through my Amazon. It may be an amazon.ca thing. I'll double check. If I can find the .com, I'll put it in the show notes as well.  but I'll find the link to this, to a version of this. My guess is it's also the kind of thing that like a little bit of hunting on Timu or Alibaba, it's probably more like two or three dollars, but you have to buy 50 of them or something like that. It's definitely not a high quality product, but it suits the watch really well and it's good enough, if that makes sense. It's soft, it's pliable, it's very simple. I think... Well, I bought two of the same, so you had the same, It even came with quick release spring bars. Yeah, yeah. I didn't trust those. I didn't like the feel of them and they kind of clicked around inside the lug. Yeah. So I tore those out and put in more burly bars, but nice little strap for the money. I'll dig up some reference of it and put it in the show notes for people to check out if you have a watch that needs a 24 millimeter strap that doesn't add any bulk. I don't know that this is necessarily the sort of watch I would put on on a NATO just because it wears in such a specific way on your wrist that lifting it up would change that. Yeah. And I think this gives you the gray tan sort of NATO vibe, but with zero bulk. Right. It's nice. Yeah. And inexpensive. Yeah. I have no complaints about this watch. Great product. Fun stuff. Good stuff. Yeah. |
|Jason Heaton|And it's, I believe it's an anniversary of Promaster. So we'll see what they come up with that, probably a windup. That'll be fun.  Fun to see. |
|James Stacey|Yeah, wind up or in towards the gift-giving season, as they call it. But hey, how about we jump into some Bond? |
|Jason Heaton|Yeah, I think so. Cue the music, right? I mean, this is... Yeah, exactly. |
|James Stacey|We legally can't use the music. I was going to write like a whole intro based on lyrics from Bond songs. But admittedly, I got bored after about three sentences. So this is not the end. You need not hold your breath nor count to 10.  If you missed the last episode, which to be fair, was a very long episode. So some of you might have to do it in multiple chunks, that sort of thing. With Richie Kohler, we were talking about the possibility of coming up with our own Bond, kind of the layout of the structure of a Bond film. So we're gonna leave plot out of this. If you have plot ideas, Jason, by all means, share them. I have ideas, but I don't have a full storyline. Yeah, yeah. But we're talking about who would we want to play Bond, the Bond girl, the villain, the henchman, Q, M, who may be directed, cinematography, theme song, cars, gadgets, that sort of stuff. We're going to fill in those blanks as we go and each kind of design our idea of what could kind of be the next Bond film. This is Bond 26 that's coming up. They haven't officially announced who will be playing Bond, so I did want to get in before that. To be fair, they could announce Aaron Taylor-Johnson or whoever before this episode comes out, it could happen tomorrow. Yeah. I don't know that there was a huge lead up to, you know, the big Thames boat ride with Daniel Craig back. I don't even know how many years ago. Do you remember that when that would have been 20 years ago when they announced Greg? Yeah. So I guess the easiest place to start would be who's going to play bond. Sure. But it may be to do that. You might want to explain and I'll let you go first if you'd like. Sure. Um, I think if we're gonna start with who's playing Bond, we also have to kind of explain what sort of Bond film this will be. Yeah. Because obviously there's been, what, six or seven Bonds, and they all bring a certain thing of their own to the world. Yeah. Maybe Craig was considered the Dark Bond, because that was the era of films that it was made as well. I don't know that it was like he was intentionally set to be the Dark Bond, and you had kind of... There was goofy elements to some of them, and there were some that were more serious, and that sort of thing. So I'm keen to hear who you've got. If you want to kick it off, please feel free. |
