
# The Grey NATO – 287 – Collection Inspection Vol. 12 // Blancpain vs. Blancpain (Sort of)
Published on Thu, 06 Jun 2024 06:00:00 -0400



## Synopsis
Jason Heaton and James Stacey discuss and compare two watches - Jason's expensive titanium Blancpain Fifty Fathoms dive watch, and James' affordable Swatch bioceramic version called the Scuba 50. They analyze the different characteristics and experiences of owning an ultra-luxury diver versus a fun, affordable homage to that iconic watch design. They also discuss Blancpain's history and dedication to diving, as well as recommendations for learning about the D-Day invasion on its 80th anniversary and a useful portable workbench from DeWalt.

## Links
- [episode page](https://thegreynato.substack.com/p/287-collection-inspection-12)
- [episode MP3](https://www.buzzsprout.com/2049759/15200840-the-grey-nato-287-collection-inspection-vol-12-blancpain-vs-blancpain-sort-of.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of the Graynado, a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 287, approaching 300 here soon. And it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show, please visit thegraynado.com for more details.  I'm Jason Heaton and I'm joined as ever by my friend and co-host James Stacy. James, uh, happy Tuesday. I guess it'll be Thursday by the time people hear this, but it's Tuesday for us now. |
|James Stacey|Man, the weather's nice and I'm sitting in the basement and just itching to go for a nice long walk after you record this. So I'm, I'm, uh, I'm in a pretty good mood at the moment. How about you? |
|Jason Heaton|Yeah, it's very summery here. I've stepped outside this morning to take my coffee in the garden and it's, uh, it was downright muggy and kind of felt like proper summer, which is weird because we had such a warm, weird winter and early spring. And then it got kind of cool and rainy and now it's like full on, like straight up summer feeling, which I love. It's, it feels really good. |
|James Stacey|Yeah. We've been, we've been getting good use out of that Traeger. If you're listening and you've got one of these wood, wood fire pellet girls, don't sleep on smoking your own Pico de Gallo. Incredible, crazy easy. Wow. We did nachos last night. Ridiculous. |
|Unknown|Wow. |
|James Stacey|Ridiculous. And then man, I know it's not everybody's thing, but it's definitely my thing. Chicken wings, it's crazy. |
|Jason Heaton|So you can smoke stuff. Do you like smoked salmon in there? Oh, absolutely. Oh, that'd be cool. |
|James Stacey|That would be cool. Man, corn on the cob. Best I've ever had. |
|Jason Heaton|I'll be there in September for the Toronto Watch event.  Sign me up, hone your smoked salmon skills. I think that would be a, that'd be fun to try. |
