
# The Grey NATO – 289 – Catching Up With Zach Pina (Photographer, Watch Writer, And More)
Published on Thu, 20 Jun 2024 06:00:00 -0400



## Synopsis
In this episode, James Stacey is joined by special guest Zach Pina, a photographer, creative director, and founder of We Are the Pip. They discuss Zach's work in the watch industry, including his photography for brands like Hodinkee and his creative process. Zach shares insights on his journey into photography, finding inspiration, and advice for aspiring photographers. They also delve into Zach's experience shooting in remote locations like Alaska for a Chopard story and the challenges and rewards of capturing unique moments.

## Links
- [episode page](https://thegreynato.substack.com/p/289-zach-pina)
- [episode MP3](https://www.buzzsprout.com/2049759/15279091-the-grey-nato-289-catching-up-with-zach-pina-photographer-watch-writer-and-more.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches this episode 289. And it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and would like to support the show, please visit thegraynado.com for more details My name is James Stacy and I'm joined not by Jason Heaton this week because he is in the UK taking a little holiday and running over a giant mountain. He will be back next week to talk about his experience at the Fan Dance and carry on his normal co-hosting duties. But today I'm going to be joined by a special guest who I will get to in just a moment, but of course you've seen in the title. Just before we get to that, very quickly, a little bit of news. We've got Wind Up Chicago coming up mid-July.  For any of you who are interested in a hangout that we've got going on with Citizen on Sunday morning, a little breakfast, a little preview of the show. We've been talking about it for the last few weeks. We should have an RSVP to send out and to put in the show notes as early as next week. But just stay tuned for complete details and also the RSVP. But we will have an event Sunday morning at the show with Citizen, a chance to have some breakfast, chit chat with some friends, hear a little presentation from Citizen, and then actually get a chance to do a lap of the show without the full crowd.  I think it's a pretty good offering, and I'm looking forward to seeing a bunch of you there. OK, with the preamble out of the way, let's minimize me talking all alone, and I will intro today's special guest. His name is Zach Pina. He's the founder of We Are the Pip, a photographer and a creative director. If you're into watches, you already know his images, including in great stories like Where the Eagle Soar for Hodinkee. He's a multi-hyphenate, an avid cyclist and simply a guy with an eye and a proclivity for adventure. We've been talking about having him on for what feels like forever. So here he is. Welcome to the show, Zach Pina. |
|Zach Pina| James, thank you so much for having me. This feels, I feel like I've probably listened to every episode of TGN, maybe every episode. I just have to say, no one has set the bar for quality and consistency higher than you and Jason have. And I also have to say, I don't recommend watch content to any of my non-watch friends, except for GreyNado. It's the only podcast that I've comfortable saying like, hey, you need to listen to this interview with Richie Kohler. I mean, this is like all time adventure stuff. You guys had quite a journey and it's been really fun to follow. So it's success is very well deserved. |
|James Stacey|Well, all of you can tell why I had Zach in my music placing. I'm having a tough week, a little gassing up here. So I appreciate that very much, Zach. That's sweet of you. You've long been one of my most favorite watch photographers. One of the few where I will see a photo and go, wait, how did you do that in that room? How'd you get that photo?  You do such a great job. You've shot some stuff for Hodinkee that I'm a huge fan of, but really in any of your work, I really enjoy, even when it's not just watches, you know, obviously the bird stuff is great. The cycling content on Instagram, also fantastic. I've got kind of like a million things to talk about with you. There's a pretty solid list. I don't know that we'll get to all of it. I say that pretty much anytime we have somebody on the show, but I would like to start with Where the Eagle Soars, which was a dispatch you wrote for Hodinkee.  And we recently had a question on a Q&A about this story and how it came to be. And I thought it might be fun for... We'll get into everything else because you've got a lot going on, but maybe that's a nice way to start because we already have the footnote from a couple episodes ago. Why don't you give me a little bit of the BTS on how that story came together and then what it was like to actually head out legitimately almost into the middle of nowhere, which Alaska still is, and capture some incredible photos and then try and connect them with something as...  a sort of not wildernessy as a fairly luxurious sport watch from Schilpau. |
|Zach Pina|Well, thank you. I mean, all that's amazing to hear. And I, you know, it's such a, it's such a weird thing to kind of connect, uh, to connect nature with, with, with watches, with luxury objects. And you see that in the comments, there's always sort of like the cynical guy who's like, you know, watches and nature don't, you know, matter or conservation is a lost cause and all of these things.  I feel super strongly about all of these things. Anyone who loves nature understands that this stuff matters at every level. And whether you can convince one person to pay attention or you can convince 10 people to pay attention or kind of change their habits, I feel like all of those things matter over time. And the bald eagle story is amazing because when I was a kid, when you were a kid, we're about the same age I think, I'm there wouldn't be bald eagles really now. Um, and I'll kind of leave those details to the story cause there's quite a lot in there. It was small changes over a long, a long period of time and going person by person and town by town for change to happen. And now I was able to go to this place in, in Alaska. Um, you know, it was a flight and a flight and a seaplane and a, you know, a drive, it was a hop, a hop and a hop to get there where there were literally, you know, bald eagles stacks on stacks of bald eagles in trees.  They kind of congregate there every year for reasons that are also outlined in the story. And I just thought it would be amazing to connect that to the Chopard story. I'm a big fan of Chopard, you know, kind of an independent family owned brand making cool stuff. I mean, there's sort of Eric, Eric Wind called, you know, Chopard sort of like the Patek Philippe of like the nineties, like what Chopard has been doing for the last 20 or so years is kind of what Patek was doing in the eighties and nineties. And I think that holds, holds a fair, amount of truth still, if you've, if you've kind of handled a lot of their stuff. Yeah. The, the LUC stuff, especially. LUC stuff. Especially. A hundred percent. Yeah. I think that's really kind of moral. Very high end watchmaking for sure. Couldn't agree more. |
|James Stacey|So I'm, I'm curious, you, you get this story together, you've got an idea you, you did, and you don't, I mean, it doesn't matter to me cause I got the story, but did you pitch it around or did you bring this to me first at Hodinkee? |
|Zach Pina|No, you were, you were the first and only person that I, that I brought it to. I mean, quite honestly, like Hodinkee is the, is the platform, you know, it's, There are much respect to our colleagues and friends that work for other outlets, but you know, I've known the numbers. I've seen all the numbers and you know, you kind of want to go to the top. I feel like if you have a cool story that you go through the work and time expense of putting together, like why, why wouldn't you try to make sure that most people see it? And again, I think, I think kind of with conservation, with, with regards to conservation yeah, as many people as possible should see it.  You know, the Alpine Eagle story is interesting because the elder, you know, third generation, it is a sports watch. They've done sports watches before. The original Saint-Maurice was kind of inspired by like the hedonistic playground of Switzerland, which maybe hasn't aged super well just in terms of like the positioning. But the conservation angle, you know, there's kind of a cool little birding story in the family that you'll read about in there. And that's kind of how this watch became attached to to birds and they set up a conservation for alpine eagle, by the way, is not a bird. Uh, it is a, it is sort of a, a general like category of birds that the alpine eagle that inspires a lot of what, um, what people are sort of talking about is actually a golden eagle. And there are quite a few of those in, in Europe. Um, we have them in California and other parts in North America, but the bald eagle was kind of, it's kind of, that's our bird. So I thought it would be amazing to go to this, this place in, in, uh, in Alaska. And, um, and kind of juxtapose the watch with the birds and sort of tell a conservation story and a birding story and a watch nerd story. And at the end of the day, the Alpine Eagle is kind of a tool watch and it looks awesome in the ice and stuff. So that was super fun. |
|James Stacey|It does. Yeah, yeah. I mean, the photo's incredible. And like I said, when we talked about the story previously, I thought the pitch was strange. I mean, it was a strange, I've not received such a pitch and I receive a not small number of like what I would call half bake pitches, which is not what I would say this was. This was kind of nebulous and I had and like if this came from somebody else, I probably would have said like, yeah, it's probably not for us. But with you, I at least knew very worst case, you wouldn't miss the avian element and the conservation element and you definitely wouldn't miss on the photography.  And I highly recommend anybody swing by the site and check it out. If you don't know the story, it's in the show notes. It's really great stuff. But I am curious, like how did you. What was the planning like outside of of the watch or the story consideration, but like getting there, bringing gear, all that kind of stuff, was it that can have been a small task? |
|Zach Pina|No, I have a I have a longish and it grows by sort of the weak list of places where interesting birds or animals live. And I think more The older I get, the more time I sort of spend playing with cameras, like the more I'm interested in just doing nature stuff. It's kind of what I really enjoy at this point. Great excuse to go out. Exactly, exactly. Any way I can kind of tie the two together is sort of a win-win. So I've known about this little town, Haines, Alaska, for quite some time. And I've known that there's quite a good number of bald eagles there, and there have been for a while. There's a bald eagle preserve there.  Getting there was kind of tricky, and the time of year when the eagles converge there is late October, early November, and that's right around the time when the weather starts to go to hell. And so I knew that with the weather potentially being bad, that I'd have to have a pretty lightweight kit. Anytime you're shooting watches and you're shooting animals, you're bringing two completely separate pieces of kit. And so everything had to pull double duty.  you know, whether it was, so I, you know, I did bring several strobes. I brought diffusers. I brought a few very small, very portable pieces of kit. But like, as you know, these are elements that we already travel with. I already have like a very portable lighting setup that I take to trade shows and stuff that packs down pretty easily. So that went with me. And then, you know, the Sony's 600 millimeter F4 lens is the size of a, it's enormous. It's absolutely enormous. It takes up its own, you know, it comes, uh it takes up almost an entire pelican case pretty much it was like that and then i could put carry on pretty much so for this for this project i knew i had a carry-on in a backpack that was all i could carry so everything you know everything i and i ended up getting stuck there for as you'll read the story for a good number of days as they got their first very big storm of the year uh while i was there but what's amazing about that is like it dumps in all this snow and then the bird behavior completely changes so it was amazing because i was able to shoot the watch on the first day that I got there when it was sunny and beautiful and like absolute bitter cold and then literally the next day it snowed 18 inches and then the next day it snowed another 20 inches or something like that and it was amazing to see yeah just kind of how the birds maneuver around the storm and they sort of let other animals pack down the edges of the river so they don't have to like do a ton of work to pluck the fish out and You know, I think the many years of doing the trade show circuit, Watches and Wonders in Basel, to get my watch photography kit as small and mobile as possible, and then being able to combine that with, you know, the much larger wildlife setup. But I didn't bring a gimbal or a tripod or any of that other stuff that maybe a lot of the more traditional wildlife guys might run and gun with, because it just slows you down. And then invariably when flights get canceled and you have to move stuff around, you can't really be checking bags.  I'm in the never check a bag club.  backpacking, you know, other lenses for, for outdoor stuff afterwards. |
|James Stacey|So, yeah, I mean, when, when I moved from Vancouver to Toronto, I, I, I checked a bag that broke my rule. But other than that, I've, I've been pretty, pretty, pretty solid on, on not, not wanting to check anything. So I understand that for sure. Well, you know, you mentioned the, the background with Basel and, and watches and wonders and the rest of it. I, you know, I'm curious, cause this is a question I genuinely don't know the answer to.  Did you kind of start in watches and then get into photography or start in photography and then kind of get into watches? |
