
# The Grey NATO – 290 – The Fan Dance
Published on Thu, 27 Jun 2024 06:00:00 -0400



## Synopsis
This episode covered Jason's recent trip to Wales, where he participated in a grueling hiking event called the Fan Dance, which involved climbing two mountain peaks while carrying a heavy pack. He describes the challenges of the event, the training leading up to it, and running into fellow listeners and other acquaintances during the hike. After the Fan Dance, Jason and his wife explored other areas of Wales and spent time in England before returning home. The episode also featured a discussion of classic rock music, including recommending live performances on YouTube and the YouTube channel "Rick Beato" which analyzes songs and musical recordings.

## Links
- [episode page](https://thegreynato.substack.com/p/290-the-fan-dance)
- [episode MP3](https://www.buzzsprout.com/2049759/15311585-the-grey-nato-290-the-fan-dance.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Graynado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 290 and it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support and if you'd like to support the show, please visit thegraynado.com for more details. My name is Jason Heaton and I'm joined as ever by my friend and co-host, James Stacy. Welcome back.  Good to be back in the seat here with you. Yeah. Thanks. |
|James Stacy|Great to have you back. Great to hear your voice. I'm really excited to hear all about your, uh, exciting trip up and over a mountain in, uh, in, uh, in the UK and, uh, and everything else that I'm sure you got up to, but, uh, maybe we should probably kick it off with a little bit of an update from wind up Chicago, right? Which, uh, we're now like three weeks away. |
|Jason Heaton| Yeah, it's, it's, uh, it's coming up. I think last year it was the weekend following this, if I'm not mistaken, it feels like it's earlier in July than it was last time around. But, uh, yeah, we're, we're, we're excited. We're doing something a little bit different this year with, um, rather than like an evening beer meetup on the Saturday night of the show, we're doing kind of a brunch meet and greet in the morning on the Sunday of the show. Um, from 10 until 11 with, with a little bit of kind of light breakfasty sort of food and some coffee.  Um, and a very short presentation, let's call it more of a meet and greet and just sort of a hangout than anything else. Um, there'll be some swag and, and as citizen is kindly, uh, sponsoring this little event for with us. Um, they're also offering some swag and a nice giveaway, a watch to give away. So you won't want to miss that. And then that will go from 10 until 11. And then from 11 until 12, the doors will be open for early access to all of the.  the watch brand booths and things that are, that are part of a windup. So you'll get a kind of a preview of the show. I mean, many people will have gone on Saturday, but if you've been there, you know how packed it gets. So it is kind of a nice luxury to be able to get an hour just among the vendors themselves before the throngs come in. So that should be great. And we have an RSVP link that we're going to put in the show notes. They do need people to sign up for that because there will be a limited of headcount that'll fit in that space. So we'll throw that link in the show notes. We'll also put it in Slack for those who, uh, who are on our Slack and, uh, get people signed up for that. It should be fun. |
|James Stacy|Yeah, I'm really looking forward to this. It's it's, I think we've sorted out kind of a, a sweet offering here. I know it just sounds like a breakfast and some time of the show, but if you've been the past years, Saturday is packed. Like Jason mentioned, Sunday is very busy, but has more, more of a relaxed vibe.  Yeah. It seems like the Sundays when you're kind of catching up with some of the other people you saw at the show yesterday, that sort of thing. And I think this gives us a good opportunity to both connect with the folks from Citizen, who of course have gotten us there in the past. It's been a really good partnership for the show and they're very easy to work with. But on top of that, it gives you an hour at the show where you could do a lap and maybe have a closer conversation with somebody from the brand than you might if you were waiting in line, got to the front and knew people were waiting behind you.  So that could be kind of valuable. I think it's going to be a really fun event. We got a little bit of food, some coffee, that sort of thing. And then we'll have the whole day to hang out at the show as well. |
|Jason Heaton|Yeah. Yeah. I'm looking forward to it. Always fun to see, you know, some familiar faces and some brands. I know, you know, Giant Mouse will be there and our friends from, from Zodiac and of course Citizen. I think we'll be seeing Ward. I think we'll be seeing, yeah, Mike Pearson with Christopher Ward this year, which would be kind of fun. |
|James Stacy|Yeah. Oris will be there, obviously, Oak and Oscar. Yeah.  I mean, you make new friends every time, but you also see people that you haven't seen in a little bit, maybe since last year, that sort of thing. It's a, it's a rare treat for us. So definitely pumped for that. Check it out in the show notes for the RSVP link. And like Jason said, it'll also be in the Slack for the crew and certainly we'll do our best with that. But I would say maybe don't, don't wait until the day before to hit that RSVP link. |
|Jason Heaton|And we did have our meeting late last week with Citizen to kind of firm up some details and the folks from Windup and And you had just come in from cutting the grass. You were at the cottage, I believe. I could almost smell the freshly mown grass when you joined our Zoom call then. How was your weekend? |
|James Stacy|I dipped away to the cottage for the weekend. We needed to do some work on the last remaining unrenovated bedroom just because the Canada Day weekend is coming up. So we're recording this on the 25th on the Tuesday. And then, of course, this coming weekend includes a holiday Monday here in Canada. So most of my family will go to the cottage.  for that. It's one of my favorite kind of weekends of the year. These ones where we get the majority of my family in one spot and we're at the lake. And it's been a pretty stressful season at the day job. You know, one of my colleagues, Danny, moved over to Teddy. And so that's made a real change on kind of how my summer looks as far as free time and workload and that sort of thing. So hoping Monday works out and can be offline. But yeah, that's about all I've got going on. Literally, since we recorded the last episode with Zach, you have flown back and all I've done is worked. But yeah, I don't really have a ton to share. I haven't been, I haven't been doing much beyond, um, you know, just the day job and, and kind of keeping life going. |
|Jason Heaton|Yeah. And as I mentioned, I think the last time we recorded the episode 288, it's just, for some reason it seems like summer, which is the season when you feel like things should slow down a bit, um, tend to kind of ramp up and get kind of crazy, um, in terms of plans, everybody wants to fit something in or have an event or do something. So.  Some, some good, some, you know, it does, but it does add some extra work of course. |
