
# The Grey NATO – 291 – Film Club Vol. 11
Published on Thu, 04 Jul 2024 06:00:00 -0400



## Synopsis
This podcast episode covers a wide range of topics, including upcoming merchandise and events, film recommendations, and discussion on various products. The hosts, James and Jason, start by announcing that they will be launching merchandise soon and mentioning an upcoming breakfast meetup at a watch fair in Chicago. They then move on to their "Film Club" segment, where each host recommends five films they consider good summer movies or films worth watching. Jason's picks include "Against All Odds," "The Natural," "The Russia House," "The Hurt Locker," and "Drive My Car." James recommends "Phone Booth," "Gattaca," "I Don't Feel at Home in This World Anymore," "The Creator," and "The Killer." In the final notes section, they discuss a waterproof zipper pouch product and glow-in-the-dark zipper pulls.

## Links
- [episode page](https://thegreynato.substack.com/p/291-film-club-vol-11)
- [episode MP3](https://www.buzzsprout.com/2049759/15357348-the-grey-nato-291-film-club-vol-11.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello, and welcome to another episode of the Great NATO, a loose discussion of travel, adventure, diving, driving gear, and most certainly watches this episode 291. And it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and would like to support the show, please visit thegreatnado.com for more details.  My name is James Stacy, and I'm joined as ever by my pal and co-host Jason Heaton. Jason, you're just back from the West Coast. How are you feeling? |
|Jason Heaton|Good. Yeah, it was a really fun trip. I'm feeling a little fatigued about air travel. It seems like I'm on a two-week flying cycle, and then in another two weeks, it's off to Chicago. But then I'm looking forward to being home kind of for most of the month of August. I think that would be nice. But no, I mean, all things considered, it was a great trip.  The folks at Topper were great. It was a wonderful dive watch night event. Nice. It looked great. Really, really well attended. I think they said there were about 120 people that came and some old friends showed up. Jeff, the expedition leader from my Oceania expedition was there. And Kev, my old Alcatraz swim coach, who I ended up going diving with on Sunday, was there. And Asha and a lot of orange caps. I mean, it was really quite funny to kind of look around the room and spot a lot of orange TGN caps. A few people had t-shirts on.  Um, straps of course. And it was just really fun to say hi to everybody. And, uh, you know, I think my talk was well received. It was, it was a lot of fun. We did a little Q and a and some trivia afterwards and nice. And then before that I sat down with Russ, Rob and Zach and recorded an episode of the, uh, Berlin game and park podcast. That's the topper jewelers in the house.  podcast that they run. And that episode, I believe goes up this Friday. So the day after this episode, so we can, we can throw a link in the show notes to kind of their main page. Um, and it was a fun discussion. Those guys are just, they're just a blast there. They love their watches. They love their dive watches. They had some good stories to tell. And, uh, yeah, it was a, it was a great time and then went, went diving on Sunday. So it was, it was like a whirlwind weekend. I got there Saturday at about midday and got home last night. |
|James Stacey|So nice. Okay. That's great. |
|Jason Heaton|Yeah. How was the diving?  Diving was perfect. Um, I got up really early on Sunday, left my hotel at around 6 AM. And, uh, Kevin, uh, my friend, he, he lives in Oakland and he drove down and we met in Monterey, right, like right in the heart of downtown. And, and, you know, the cool thing about diving there is it's, you know, like literally it's street parking next to like a Mexican restaurant and the beach was right there. We dove a place called McAbee beach and you know, I pull up, Kev's Jeep is, is parked there and I pull up behind him and feed the meter for four hours. And we suited up right there on a, on a bench with the Mexican restaurant, you know, music blaring in the background and walked right down kind of in this between a couple of buildings, right onto the beach and out into the ocean. And it was, it was great, really accessible, easy entry. And we surfaced, swam out to a kelp bed and went down and had a good long good long dive. It was about, you know, 45 feet max. And so we got, uh, close to an hour, uh, underwater and it was, uh, it was a little chilly by the end, but it was, uh, it was great. Visibility was, was tremendous for, for Monterey and must've had 25, 30 feet of viz. And, um, you know, just a lot of, a lot of color, a lot of, I love swimming in kelp. And then we had a, uh, towards the end, we had this fat Harbor seal that was kind of following us around and nipping at fins and that sort of stuff. So that was, That was good. Yeah, it was great. That's great, man. Yeah. And I took, I took a bunch of a bunch of photos and I, you know, for a trip like this, it was, it was kind of easier to take that oceanic housing along. And I know you've got one too and mean to get to using that at the cottage and whatever. And it's kind of perfect for like where you don't want to lug a big camera around or you're not really concerned about getting specific shots. It's just sort of a way to, you know, record a dive or some, some noodling around underwater.  And it worked really well. I really am enjoying using that for kind of the easier sort of dive excursions. So that was another positive as well. |
|James Stacey|Yeah, that's great. I had mine at the cottage this weekend. Weather didn't work out as well as we'd hoped for the cottage. Oh, no. It was pretty rainy and cool for almost the entire weekend. And then yesterday, July 1st, which is Canada Day, it was actually quite sunny and warm.  We did a bunch of snorkeling, I was in the water for some time, but the viz wasn't such that a camera would have captured anything. So I didn't bother going through the whole process of setting up the phone and getting it all set and ready to go. But I definitely will sometime this summer. I had a great snorkel, tons of fish, came across a pretty good size muskie, which is a first for me in the lake, maybe not quite two feet. He was just prowling One of the neighbors at the cottage must have had a failure with one of their boats and it sunk. Oh no. And then they used another boat to drag it back to their dock. So now there's like a road cut into the bottom of the lake, like through all the weeds and the fish seemed to really like the road. Yeah. I went back and forth along this path, you know, it's maybe a foot wide and goes for several hundred yards where I assumed the back, you know, the heaviest, the motor from the small John boat or whatever was dragged for a few hundred yards. Yeah.  Um, and the fish seemed to really like it. So that's where I found the muskie. He was just kind of patrolling. He didn't, he wouldn't turn towards me, which I think is kind of common. Yeah. Um, he kind of stayed just at the edge of my vision and then would move if I moved towards him, but it was pretty cool to see one. They have those very distinctive kind of circular fin. Yeah. Yeah. A cool fish. I'd love to see someday see a big one. Cause some huge ones have been pulled out of that lake in the past, but my guess is they don't get big swimming up to people. So yeah. |
|Jason Heaton|Freshwater Barracuda, right. They're, they're just, uh, So menacing looking. |
|James Stacey|Yeah. Yeah. They definitely look mean. I don't think they are, but they definitely look it for sure. Yeah. But yeah, I didn't, I didn't get up to a ton this weekend. Like I said, I went up to the cottage. I hung out with my family. It was a pretty good time. I kept a pretty low profile, you know, with it being Canada Day and then now I'm back and, you know, we've got another holiday in a couple of days. This will come out on July 4th, actually. So happy Independence Day to all the Yanks in the audience and certainly to you, Jason. Yeah. Thank you. Yeah. Yeah. Kept a low profile and now I'm kind of making up for it on a You know how it is when it's a short week, let alone a week with technically two holidays for me. Yeah. Yeah. It can stack up for sure. |
|Jason Heaton|Yeah. Yeah. Right. Right. Well, we got a fun episode today. Why don't we jump into wrist check before we can get into the film club? Oh, we have one, a bit of news though. We have, well, we have a couple of bits of news. All right. I'm, I'm premature and leaping ahead here. Um, for those who've been asking, um, we, we aren't dragging our feet. It's just that we've both been busy. Um, we do have merchandise coming. So I know that people have been asking for, T-shirts and caps and that sort of stuff. Well, we're about to kind of kick off kind of our summer launch, albeit a little bit late into the summer, but stay tuned for the next week or two. We'll be announcing some fun stuff that should be easy to order and easy to fulfill and get out to folks before summer's over. So yeah, stay tuned for that. |
|James Stacey|Yeah, we think we found a solution that's going to work for us. One where we're not taking care of the fulfillment, but we've seen the product and we're pretty happy with it.  We've made a few changes and we're just waiting for the kind of finals on that. So I'd say, you know, yeah, episode 292, 293, somewhere in there. If what you're really waiting for is a hat, that's going to be a early fall sort of scenario. I've got my eyes on at least one, probably two more hat designs. I'm not sure which one will come first or specifically when. I don't want to necessarily bog down the rest of Jason's summer shipping 500 hats.  So we might delay that to the start of the school season when we get back into a certain gear. So that should be good. I am pretty pumped to see that finally come together. |
|Jason Heaton|And then, as I mentioned earlier, off to Chicago on, gosh, next weekend. So not this coming weekend, but the following for window. And we have been talking a lot about our kind of collaborative breakfast meetup with Citizen on the Sunday morning of the show, and we put out the RSVP last week, and it filled up pretty fast. And, you know, our apologies to those who missed out. It's significantly faster than I expected. Faster than we expected. More people than I kind of thought would leap on board so quickly, which is a good thing, but also... Yeah, it's a bit of a bummer, though. |
|James Stacey|It's like a mixed bag. Yeah.  Um, so I would say apologies to anyone who couldn't make it. Like we genuinely, we tried to pick a room in a scenario at the space that reflected the same number of people we, you know, kind of had, uh, in, in the circle last year, or at least close to. And, uh, I think this year is just a little bit more busy or maybe being a Sunday morning, there's less going on. So there was more interest in an activity. It just filled up faster than we thought we are working with, um, the folks from wind up to establish like a proper wait list.  Uh, so if that should become available or when it's available, please just check the show notes for this. Or if you're in the slack, it'll be pretty easy to find. There's a channel for wind up watch fair. Uh, and we'll go from there. And obviously if we don't get to see you for the breakfast, I'm still going to be there all day. Saturday. Uh, we'll be there Sunday afternoon after the breakfast. Uh, so those will be chances to, uh, to get together. And certainly if you're on the slack, there's a couple other little hangouts being organized, not officially through.  a brand or Jason or I, but just in general. So I think we'll still have a chance to touch base and, and connect and say hi, but I, I genuinely, these things can be, we're a little out of our depth planning events. Like we, we never really know how many people are going to come. We, we tried to add a good enough buffer this year and it, it doesn't look like it was enough for everybody. So we're, we're trying to work on some solutions. Obviously we only have 10 or 12 days, but if you can't make the breakfast, please at least say hi. We'd be more than happy to, to hang out at the show.  Uh, on, uh, for me on Saturday and certainly for Jason on Sunday. So, uh, looking forward to catching up with a lot of you there. |
|Jason Heaton|Yeah. And I'm going to, I probably will be there some hours on Saturday cause, uh, the diving is until the afternoon. So, um, I'll, I'll try to get over there in the morning. So you'll, you'll see us around wearing some sort of a TGN logo, whether on our heads or on our shirts or whatever else. Uh, yeah, look, look for us and, uh, please do say hi. Should be a fun time. |
|James Stacey| Alright, with the kind of news out of the way and some chit chat up top, why don't we jump into a quick risk check. It can be very fast for me because I'm fully in the broken record phase of my summer, still wearing the Pelagos 39 on an Erica strap. I wore it all weekend. I just I didn't know that I could necessarily love this watch more, but the more I wear it, the more I just really don't want to take it off or swap it for anything else. I'm super happy with it. |
