
# The Grey NATO – 293 – Windup Chicago 2024 With The Worn & Wound Podcast
Published on Thu, 18 Jul 2024 06:00:00 -0400



## Synopsis
This episode is a recording of The Grayando podcast discussing their experience at the Windup Chicago watch show. James and Jason go through the various events they attended, including a dive with the Citizen watch company, a museum visit with a WWII German U-boat exhibit, and a Grayando meetup with the show attendees. They discuss the community aspect of the show, new watch innovations happening in the industry, and share some gift recommendations. Overall, it captures the fun and camaraderie of the Grayando community coming together for this annual event.

No potentially copyrighted lyrics or book excerpts are reproduced, but they do play a short audio clip of the folk singer Tom Chapin performing a song about sharks during their dive outing. The clip is described as being recorded in poor quality from Jason's phone during the event itself.

## Links
- [episode page](https://thegreynato.substack.com/p/293-windup-chicago-2024)
- [episode MP3](https://www.buzzsprout.com/2049759/15425574-the-grey-nato-293-windup-chicago-2024-with-the-worn-wound-podcast.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello, and welcome to another episode of the Graynado, a loose discussion of travel, adventure, diving, driving gear, and most certainly watches this episode 293. And it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and would like to become a supporter of the show, please visit thegraynado.com for more details. My name is James Stacy, and I'm joined as ever by my buddy and co host Jason Heaton.  Jason, how are you doing? Is the sort of heady buzz of Windup Chicago starting to fade? |
|Jason Heaton|Yeah, a little bit, but I'm still riding high. I'm still in a really good mood. It was a great weekend. You know, we're recording this on Tuesday and yesterday, you know, I told you that I was just kind of zapped. I think, you know, we introverts, we need a little bit of downtime after a social weekend. And so I kind of took it easy yesterday. But yeah, it was such a Such a rewarding and fun weekend. And I always forget how great that windup weekend is despite the kind of frenzied pace it can be. Um, yeah, it was great. |
|James Stacey|How are you feeling? Good. Tired. Uh, definitely felt the, uh, like, yeah, like a bit of the, the introvert flu yesterday. Uh, just, just kind of kept, kept to myself and, you know, didn't, you know, just tried to catch up on some work and some other stuff, but the weekend itself was absolutely amazing. Obviously we had, we had a great time. There's a lot of thank yous and other stuff we've got to do. So with these windup episodes, the main topic, if this is your first windup episode, this will be the third year where we've essentially shared a podcast with the team at worn and wound. So we record for, I think it was like an hour and 10 hour, 12 minutes, something like that. And then they take the first half of it, which is when we talk a lot about the show and some of the watches we liked and some industry trends and that sort of thing.  And then we have the back half, which is a little bit about, uh, TGNs kind of hang out and event with citizen and also, uh, a Q and a session. That was a lot of fun. So today you'll hear the second half of that. So if you're listening to this, uh, when you get to the main. Topic, or, or if you want pause this, go to warn and wound and download their episode. It comes out the day before this one. So it should be waiting in their feed. And that'll be the first half of our chat. We'll have the second half with the, with the Q and a, in just a few minutes.  But I guess we can probably just kick it off with a bit of a recap of the show. We both got in Friday. I went to a Houdinki insurance sort of hangout and saw a handful of, you know, good old orange cap bros there. It was a good time. And then from there went and caught up with you for some sushi, which this is also our third year of doing like our annual sushi dinner. It's at a spot called Tanoshi, which has never let us down. So we haven't bothered looking for anywhere else.  pretty solid omakase. And I have to say I enjoyed they didn't have uni this year, which is a personal favorite. But they had a couple of incredible bites of tuna belly of Toro, which is also a really high on my list of favorite foods. It was a good meal. |
|Jason Heaton|It really was. Yeah. And I you know, we finished it with a really nice Nika yoichi whiskey, Japanese whiskey. Oh my goodness. Look, I mean, if that's the best whiskey I've had in a while. It was amazing. I need to find that you know, and I you know, I've been I was By and large on the wagon, uh, most of the year up until very recently, I've been until you hung out with change, the corrupting influence, uh, it was worth it. It was definitely worth it. So, um, yeah, that was fun. And I have to say, you know, we, we both flew in, you you've flown the previous years I've driven the first two years of wind up and this year I flew and I'll tell you what, it made all the difference to me because driving in that Chicago traffic in the heat, um, you know, in the Land Rover was, uh, it was going to be the death of me. And I thought, you know, I've got to find a different solution. So I flew into Midway airport, which is Chicago's smaller one. That's closer to where we were going to be kind of basing ourselves all weekend. And it just lent, lent a really relaxing kind of vibe for me. I was enjoying kind of getting around via Uber and walking and, and that sort of stuff. And yeah, it was great to, to catch up at sushi. It just, it's become such an annual tradition of ours. And I, Man, if we could get to Chicago more often, I'd just go there. Like I'd make it a weekly thing. Although it'd be a bit expensive. |
|James Stacey|Yeah. We might have to not do the Omokaze if we're going to go to weekly. Annually it works out okay. Yeah. Yeah. But it was great. And so that was the Friday night. Super nice to see you. And it's also nice because you and I are on similar wavelengths. We're like, not every night has to be a late night. Yeah. And it's ideal if they're not. So like we finished dinner. It wasn't even that late yet. Yeah. And we just went to bed.  Uh, which works out just fine for me. Uh, I, I started the next day pretty late as well. Had a chance to get a little bit of sleep in, which is a really nice way to start a Saturday, but I caught up with a handful of the slack crew. Uh, most of the crew that went diving with you later in Saturday started the day, uh, with me, they went out for breakfast and then I caught up with them at the Griffith museum of industry and science. I might have that slightly wrong. Um, museum of science and industry or whatever. And then now there's a Griffith's name to it as well. This place had an incredible bond exhibit, like genuinely awesome. Um, all about the science of bond and it included, you know, they had cars, they had props, they had, it was, it was amazing, genuine high quality museum coverage of the entire bond lineage, which was great. Did you get a chance to unroll that, that, uh, I did. |
|Jason Heaton|I've already hung it up. Is it anything cool? It's on my closet door. Yeah, it's really cool. It's like a, it's like a periodic table with, uh, with the different movie names and some tidbits. So it's, yeah, it's really fun. It's really cool. |
|James Stacey|Yeah. So did that, uh, saw a ton of stuff. I mean, they had like the rolled DBS, uh, from, uh, Casino Royale. They had, they had a ton of stuff. It was awesome. Super fun. The guys had a blast. And then from there we went on in, you know, kind of in its own basement of this very incredible museum is the U505, which is a, you know, U-boat that was captured.  Uh, by the American Navy and then brought to Chicago because the, the kind of lead officer who captured the boat was from Chicago and it's become this a national historic site in the States. The whole thing is in its own giant room buried underground. It's the coolest, one of the coolest museum exhibits I've ever been to. It's this one room is basically just dedicated huge room. It looks like a sub pen from the Soviet era. Very cool. And very brutalist kind of wrapping around this 255 some odd foot submarine.  And you can do a whole lap of all the exhibits around the outside, explaining the boat and its design and the story of how it was captured and the rest of this. We did a tour, uh, with a fantastic docent through the boat and it was awesome. And, and, you know, it's, it's the same tour that they talk about at some length in shadow divers and having to essentially book back-to-backs cause they're only allowed so much time in the boat. And it wasn't enough time to like, you know, Chatterton and Kohler were looking to essentially memorize the layout of the boat and all the little details.  Uh, so it, it was a, uh, a big deal to be able to go and do this and to do it with like so many of the crew, including Chris soul. And it was just a really, really, really fun thing to do and a great way to kick off the day. |
|Jason Heaton|You know, that just seems like kind of a really proper sort of TGN, a couple of hours that you spent with, with some guys and, uh, you know, doing a bond thing and then doing the U five Oh five with it's tied to shadow divers. It's, uh, that's really cool. I haven't seen the bond exhibit. I wish I kind of wish I could have, uh, Seen that I've done the U 505 and it's, uh, they have an Enigma machine there. And, um, sure do, you know, just, I, the only thing is your, your, your time inside the sub is limited, but the, you know, regardless, it is, it's just fascinating. I think just that the sheer, um, surprise of like walking into like a room under a museum and seeing this massive. Boat and I wasn't ready for it. Yeah. I wasn't either. I remember it's like, it's huge with more and more things. |
|James Stacey|As I get older, I don't do any of the preview.  Hmm. I didn't go to, I didn't go to the museum's website to see what the boat looked like. So it was all, I mean, like we went through a whole section of like old Americana and like farming. And then they had these, uh, mold-a-ramas, which are these like, you know, kind of mid-century style injection molding machines that make a little trinket for you. So they had ones that make like a building, like the, you know, a building from Chicago or this or that. And we found one for the U505. So you've got 12 fully grown children.  uh, you know, each waiting, paying $5, waiting for this machine to make them a little submarine. I have it on my desk. It's very cool. And, uh, and yeah, it was just a blast. And then getting to go on the boat was, was so special and to walk that last corner and then see this room, which you're not ready for. Yeah. Cause you've been underground and you're like, where do you even put a submarine underground? Yeah. And then afterwards you go through the whole exhibit afterwards. Like I was sad and just like stood and watched this little video of them moving the submarine. They dug a big hole.  finished the space, lowered the sub in on like hydraulics and then covered it. And it's so cool, man. It was great. Highly recommended if you make it to Chicago. |
