
# The Grey NATO – 295 – Photographer And Director Gajan Balan
Published on Thu, 01 Aug 2024 06:00:00 -0400



## Synopsis
In this episode of The Grey NATO podcast, hosts James Stacy and Jason Heaton discuss recent activities, including Jason's new cold plunge tub and James' cottage trips. They interview photographer and filmmaker Gajan Balan about his career journey from wedding photography to travel and adventure photography. Gajan shares insights on his recent Arctic expedition, his approach to photography, and his new community project Church and Street. The hosts also provide product recommendations, including a useful online running route planner and a versatile carabiner-style hook for gear organization.

## Links
- [episode page](https://thegreynato.substack.com/p/295-gajan-balan)
- [episode MP3](https://www.buzzsprout.com/2049759/15510571-the-grey-nato-295-photographer-and-director-gajan-balan.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacy| Hello, and welcome to another episode of the Great NATO. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This episode 295 and it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and would like to support the show, please visit thegreatnado.com for more details. My name is James Stacy and I'm joined as ever by my pal and co host Jason Heaton. Jason, how you doing? |
|Jason Heaton| I'm doing pretty well trying to keep cool. We're having a steamy week here. It's summer. You know, that's what you that's what we sign up for. That's what we miss when it's February. |
|James Stacy|You know, yesterday was yesterday was a real warm one. We were at the cottage. We obviously we'd like to record these on Tuesdays. And I just got back from the cottage a few hours ago. Oh, nice. I prefer to drive in the in the morning. It's just a nicer experience. And it was too nice and too hot yesterday to be like, Oh, yeah, I definitely want to load the car up in 100 degree heat and then drive home. And I've got AC, but it's still, it was a much nicer drive this morning, uh, when it was, you know, like 18 Celsius. So I'm going to be home for a couple of days and then right back up to the cottage, just trying to be up there essentially as long, as much as I can. Um, you know, playing in maybe a little bit of hiking on Saturday. I'm pretty excited about we're considering seeing if we can get a bid to, or get our pass for Algonquin, which is a big, uh, you know, national park nearby and you can get day passes, but you kind of have to do it. It's five days out at a certain time every day on their website. Uh, you can't just like rock up. So, uh, that's only about two hours away from the cottage. So we might do that on Saturday, might do something else, but I'm, I'm excited to kind of have like that in my mind, like, Oh, I'll need a bag with, cause there's some real hiking and that kind of thing. So, yeah.  That'll be kind of fun. Nice, nice distraction for an otherwise kind of a busy week. And then, I mean, look, while we're here and we're talking about being busy to everybody who's listening and waiting for, uh, the Q and a that, that you are owed, uh, this will come out on Thursday. And my, my current goal is before the next episode, before two 96, we'll also drop a Q and a. So hoping to record that early next week. Uh, I do know that we're behind, but these things happen in the summer. And, uh, I just, yeah, I lost pace with, uh, Chicago.  Uh, it kind of threw me off on, on, on a few fronts. So my apologies there, but we'll get it. We'll make sure everybody gets the, uh, the extra episodes they deserve. |
|Jason Heaton|Yeah. And, um, I guess, uh, in terms of a little housekeeping or news here, um, we're still offering t-shirts for sale. You know, we, we talked about this last week, kind of launched it within the past two weeks and, uh, boy, sales have been gang going gangbusters. I think, you know, people, um, it's interesting to see which of the shirt designs are the most popular. It seems like the punched out, which is the white on blue.  is popular um by and large over almost everything else and and also the the stealth one the black on black or the gray on black um surprisingly but if you're not familiar yet you can go to thegranado.com slash shop and you can see the four different designs we've got on offer a lot of people have been ordering shirts and then tacking on like a strap or a kerchief set and if you do that um just please note that you will Get the straps and the kerchief stuff comes from me here in Minneapolis. The t-shirts are actually being fulfilled by our fulfillment partner, Printful, um, done largely, um, kind of regionally. So that's kind of nice, uh, gets to people a little faster, but please note that if you, you know, get your package from me without a t-shirt included, that's why. So, um, we had a few people ask about that. So that's kind of the way it's going. |
|James Stacy| A couple people sending emails going, hey, what happened to my shirt? Yeah. Don't worry, we got you. |
|Jason Heaton|Oh, man. And I do not regret having boxes of t-shirts of different sizes in the basement. And I'm really thrilled that we can, like, offer such a big size range, too. I've seen a few, like, 2XLs and 3XLs come through, which is great. You know, we weren't able to really offer those, that spectrum of sizes the last go-round when we offered t-shirts. So I'm happy to be able to offer that. |
|James Stacy|Yeah. And we have just kind of finalized what will be kind of the next drop So I think September, uh, we're, we have a cool design from somebody within the TGN world, uh, that I think especially almost exclusively, but especially the folks on the Slack, uh, we'll dig it. Uh, it's a reference to a sort of an inside joke on the Slack and I've been enjoying them. Uh, I think they're nice to have, and I've, I've got the, uh, the full black one on now. I'd like to be in costume for recording. But look, other than t-shirts and that sort of thing, what else have you been up to? |
|Jason Heaton| Yeah. I mean, as I mentioned at the top here, it's, uh, it's been pretty steamy, pretty hot. And, uh, I got something to help with that this past week. Um, actually just over the weekend, uh, a friend of mine with whom I do, you know, fair bit of running and cycling and stuff with, uh, gave me, uh, an Arctic pod cold plunge tub. So this is, um, you know, ice baths are kind of trending these days in the past few years. Uh, people are, you know, touting the health benefits and kind of recovery benefits and things like that.  for me it's been, it's certainly been that, but also I'm just a way to kind of bring the body core temperature down after exercise. And after trying out one of these tubs, uh, this friend gave me a spare one and um, these, these aren't, you know, sophisticated, really expensive. Like this isn't like the top end stuff with the built in chiller and that sort of thing. It's basically a, you know, fold up rubber, uh, silo, if you will. |
|James Stacy|Um, like a, like a smaller version of a, of a above ground pool. |
