
# The Grey Nato - Episode 03 - In Too Deep
Published on Tue, 01 Mar 2016 08:49:21 -0500



## Synopsis
This episode begins with a discussion about dive watches - their history, evolution, and enduring popularity among enthusiasts. Jason and James share their experiences and favorite dive watches to use in various situations. They talk about criteria for a good dive watch, like legibility, water resistance, and features like a rotating bezel. James mentions some of the new watches announced by Bremont for Baselworld. As the episode progresses, they discuss their recommendations for travel watches at different price points, both for vintage and modern watches. James also shares his thoughts on books like "Cold" by Bill Strever and "Solo Faces" by James Salter, as well as recommending the Military Watch Resource forum for enthusiasts interested in military watches.

The conversation covers topics such as the continued appeal of dive watches, their practical use even today, features that make a good dive watch, and factors to consider when choosing a watch for travel or adventure. The hosts share their personal experiences and preferences, providing an engaging discussion for watch enthusiasts.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-03-in-too-deep)
- [episode MP3](https://www.buzzsprout.com/2049759/11311121-the-grey-nato-episode-03-in-too-deep.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Welcome to Episode 3 of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. I'm Jason Heaton, a Minneapolis-based freelance writer for a number of gear, travel, and timepiece publications, including Gear Patrol, Hodinkee, Revolution, and Men's Journal. |
|James Stacy| And I'm James Stacy. Based in Vancouver, I call myself a professional enthusiast, and I write about watches, cars, and almost anything else that catches my eye for a blog to watch.com, nouveau magazine, and more. Right off the top, we want to thank everyone who is listening, commenting, and sending us questions. We really appreciate all the love, and we'll actually be answering some of your questions later in the show.  If you're enjoying the show, please take a minute to leave us a review in your podcast app of choice, as this will help us get the word out and grow our audience. Speaking of growth, Jason and I would like to extend a huge thank you to Hodinkee for the early and all too kind coverage. Huge respect for what you guys are doing, and we really appreciate the love and all the new listeners you brought to the show. Finally, for all of those who asked, we now have proper show notes.  Uh, starting with episode two, there's no need to carry a pen and paper while listening. Just swing by soundcloud.com slash the Grenado and expand the show description for the episode to view the complete notes and links for everything we spoke about. With that covered onto our main topic, dive watches. |
|Jason Heaton|All right. Well, today's main topic is one that is near and dear to both of our hearts. Both of us being divers, um, our favorite dive watches. We'll talk a little bit about our criteria for what is a good dive watch.  Maybe a few pet peeves and some memorable experiences that we've had diving with watches. Uh, James, you know, we, we both know as probably a lot of the listeners do that, that dive watches probably aren't used. Well, we, we know they're not used as, as serious instruments anymore by the great majority of, of people that wear them. Uh, but it certainly hasn't diminished their popularity. And so it kind of seems like a good jumping off point to ask why dive watches still attract people. Why, why, why do you think James or what attracted you about dive watches? |
|James Stacy| For me, I mean, the dive watch functionality was kind of specifically tuned. They took a watch and they tuned it for diving. And that's like a 50 or 60 year old idea that's kind of more or less been locked in place from the basics. And as it turns out, I think the longevity of the dive watch doesn't have that much necessarily to do with diving. Certainly, the creation and popularity of dive computers should have kind of killed the dive watch if that's all it was.  But I think the concept of a dive watch simply makes for a better overall sport watch. So it's very tough, legible, you get a screw-down crown, water resistance, the elapsed time bezel is just as capable as timing a pizza as it is, say, a dive. Yeah, I agree. |
|Jason Heaton|I mean, I think, to me, the word that kind of jumps out when I think about a dive watch is honest. I just feel like nowadays and even going back in history, so many watches have been created to sort of either make a statement or to impress you with a complication or a series of complications. But a dive watch is just such a brutally simple creature and it has such a simple job to do. And I think the fact that they were designed with this singular purpose has kind of led to this popularity of the entire genre of watch that we now know as the tool watch, which kind of followed from there. You know, you get watches that were designed for, you know, caving. You get watches that are designed for, you know, sailing and other very specific purpose built watches. And I think, you know, when the dive watch came on the scene back in the 1950s, it was kind of the dawn of that era. And Rolex, of course, was a big part in that development. But I think the other brands sort of caught on. And I think that that popularity just sort of continued to grow. And even today, when a watch is arguably more of a fashion accessory, people still seek out that sort of purpose built aspect of a watch.  What have you dived with? What do you enjoy diving with? What would you like to dive with? What are kind of your favorite watches that are out there these days? |
|James Stacy|Yeah, I've got kind of a stack of dive watches that I like. Some I've actually not dove with, some that I have. As far as ones that I have dove with, what stands out is the Tudor Pelagos I took out recently. I think that's about as pure an expression of like as modern a sport watch as anyone could need.  Hugely capable, obviously the titanium is going to get beat up if you actually use it for frequent diving, but I don't think that's going to slow the watch or its functionality down and you're not going to scratch that bezel. Huge respect for the Sea-Dweller. I love the Submariner, it's never been something that really spoke directly to me, but the Sea-Dweller on the other hand, because of its history, I really like. And I like that they still basically make the same watch today and there's no shortage of the last two generations in the pre-owned market and they're a great value. |
|Unknown| in the|
|James Stacy| Despite that, you know, great legibility, it's very thin. It's kind of a great everyday watch and maybe a little bit of a flawed watch from the dive standpoint. It's something that they addressed with the Planet Ocean, I think, beautifully, which has a great bezel that stands up off the case and gives you a lot of room to grab it. And it turns really nicely. It's just, you know, one of the better bezels out there on the dive watches. And certainly the Planet Oceans are serious dive watches from really any measure. |
|Jason Heaton| Yeah, I would agree with you on the Pelagos. I think it's a really superior, modern dive watch. I know you're also a big fan of a couple of the smaller brands. One of your Vancouver mates up there runs Helios, and I think you've got one of his watches. |
|James Stacy| Yeah, I've dove Haleos a couple of times, and I have a Tropic that I've had a couple times in the cold water around here, and that's a great watch for a dive. It works really well in a rubber strap. The bezel offers enough grip to be used with a glove or, you know, bare hands. The other one that I would suggest, if somebody wants, like, an actual watch to wear every day and dive with and spend under $1,000, obviously look at the Haleos, but also consider Squala.  Their 50 Atmos case, you know, it's a legacy design by any other brand. This would be a watch that would cost way more money, but Squala has a history as rich as any dive watch company, any Swiss dive watch company. And the, uh, the 50 Atmos is such a fantastic case design, you know, it's profiled so that the widest point of the case is the bezel.  and beautiful legibility, great luminosity, and a fantastic bezel. And I dove a couple times with the 50 Atmos, and it's a great dive watch by any measure, let alone if you want to start throwing in price points where I think it's about $800. |
|Jason Heaton|Yeah, I've got a squalor as well. I've got the 101 Atmos watch, which is that much more sort of 70s lugless design. And I agree. I mean, I would say it's probably not my favorite in terms of usability, but it's The fit and finish for the price of it is pretty outstanding, and Squala does have a great history. I profiled them for a piece on Hodinkee a year or two ago, and it kind of really allowed me to dig into what the company was all about. They've kind of stayed pure to their roots, and yeah, it's a really cool company. |
|James Stacy|And beyond that, you know, Squala, Halios, obviously my big love for the Pelagos. What's on your list? What have you really liked diving with? |
|Jason Heaton| Yeah, I've actually, uh, I've dived with quite a few. I've probably taken over a couple of dozen different watches diving, and I've sort of come to the conclusion that there are sort of two schools of, of dive watches. And I used to be a bit more of a sort of a purist or a snob about dive watches and think, Oh, if you can't take it underwater, it's not perfect for diving. Um, it's not worthy, but as you mentioned with your 2254 Seamaster, um, there can be a certain appeal or allure to dive watches that maybe maybe work a little bit better topside than they do underwater. And so I've sort of softened my stance on that. And so I've sort of got two schools of thought, or I've got two sort of families of watches that I like. And on the one side, I have the real tool watches. And in that realm is where I put my obvious love for Seiko, which if anyone checks out my Instagram feed, you'll definitely see that come through. And I've dived with several Seikos from the big emperor tuna, tuna can piece, which I think is just probably the most uncompromising tool watch ever built. I mean, it's, it's, you know, sits tall on the wrist. It wears like, like a dive compass or a depth gauge, you know, just strapped on your wrist with the ceramic shroud and the one piece titanium case, super long strap. Um, so, you know, Seiko's are great. Um, I, I think Rolex is still our great, uh, tool diving watches. They just have sort of a, They have so much baggage attached to them now that I always think twice about wearing them on a trip. But in terms of just fit and finish and pure quality and just knowing that something's going to work when you put it on, I still reach for a Rolex occasionally. |
|James Stacy|Oh yeah, you don't get that reputation that Rolex has, especially with things like the Submariner and the Sea-Dweller. You don't get that from nothing. You can't just create that with marketing. Otherwise, every brand would be going for that. |
|Jason Heaton|Yeah. Oh, exactly.  You know, Omega, you mentioned your Seamaster and the Planet Ocean. My first sort of high-end dive watch, and the one that I actually wore when I got certified diving, and I happened to scratch it up on the side of the pool doing my pool sessions, was the Planet Ocean. And I still have a love for that watch. I sold it years ago, but I still point people in that direction. But in terms of other Omegas, a couple summers ago, I took the new Seamaster 300 Master Coaxial diving around the wrecks around Isle Royale up in Lake Superior. And it's just a fantastic watch. It has that mix of vintage allure with the modern capabilities. It's really legible. It's got a great bezel, a nice bracelet. And I don't know, it was a fun watch to dive with. And then last summer I had the new Sea-Dweller up in Lake Michigan doing some diving. And again, you know, the Sea-Dweller, I would tend to, if I were spending my own money, reach for a Submariner, just because I don't need that extra thickness. And I certainly don't need a helium release valve, but there's just something that when you put on a Sea-Dweller, you're sort of, I feel like you're putting on all this, this great, cool history that, that comes with it, you know? |
|James Stacy|Yeah. It's kind of the Speedmaster of dive watches in some ways. |
