
# The Grey Nato - Ep 30 - Pre Basel + Q&A
Published on Tue, 21 Mar 2017 09:34:51 -0400



## Synopsis
The hosts discuss their excitement and expectations for the upcoming Baselworld watch fair, including potential new releases from Rolex, Omega, Seiko, and other brands celebrating anniversaries this year. They also share their plans for covering the event through social media posts, vlogs, and a future podcast episode. Additionally, they cover topics like their preferred travel gear, music recommendations, and a movie documentary suggestion.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-30-pre-basel-q-and)
- [episode MP3](https://www.buzzsprout.com/2049759/11311091-the-grey-nato-ep-30-pre-basel-q-a.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello? |
|James|Hey James, how are you doing? Good, man. I think I hung up on you on the first call there. You'd think I know how to use Skype by now. |
|Jason Heaton|Yeah, well, you're probably out of practice since we were in person last time we recorded. It's been a while. |
|James|Yeah, for sure. You want to get episode 30 underway? |
|Jason Heaton|Yeah, let's go for it. |
|James| So our last show was from London, you know, it was at the Bramont event, episode 29. How have things been since then, since you got back? I found for whatever reason, like that was only like essentially 48 hours I spent in London. You were there a little longer, but not a lot. And yeah, I was really jet lagged for whatever reason. I don't know. |
|Jason Heaton|It didn't hit me that hard this time. I mean, I was getting up at about 4.30 when I got back home, which is acceptable to me. It seems like, I don't know if it's that one less time zone that I get hit with when I go to like Basel or Geneva. But 4.30 I can deal with. 3.30 is rough. So I used the time well. I finished my Randall Fiennes book that I talked about in the last show. So, you know, big thick book. I had a couple hours to get through that every day. |
|James|Nice. Yeah, I just found I went to bed early every day for about like a week. Maybe it wasn't even jet lag. Maybe it's a combination of things. But yeah, it was a fun trip. And obviously, if you didn't listen to The last episode, go back and check it out. You know, it's one of the rare ones that we got to record in person. This episode is going to be a little bit of a different thing because we want to get back on the Q&A train and we're not entirely sure how to do it, whether we do it with Q&A episodes or this is going to be more of a blended episode. So we're going to give it a try and see what people think. But this episode will kind of go live on the first day of Baselworld. So it's a bit of a wash as far as There's no way for us to time an episode to come up really close to Baselworld. Like, I actually think it works fine for episode 31, which will come out, you know, two weeks after the start of Baselworld or after about three or four days after the show ends. You know, I would say that I think this is kind of the best way we can do it as opposed to taking some sort of a weird break just to time it out correctly. You know, we were able to change just a week to match up with SIHH, but it didn't really work out for Baselworld.  So we thought we'd break up the format a little bit. So we're going to have some loose chat and then some Q and A's at the end. Don't worry. Like I said, we will have a full recap of Baselworld for episode 31, which I believe comes out on April 4th. So that'll be after we've had a chance to get home, sleep a bit and collect our thoughts. So it should be a pretty coherent show. Yeah. Personally speaking, I don't think anybody wants to hear me talk for an hour and a half, like right after Baselworld. Right. |
|Jason Heaton|And we're not going to have a chance to, uh, to probably record at Basel. I mean, you know, we've, we've talked about our schedule there and, uh, you know, I'm just booked solid from the time I land to the time I fly home. And I'm sure you are as well. |
|James|Yeah, it's bonkers. I mean, you, you know, you'll have a certain amount of meetings that you do at the show during the day. And, and because with the blog to watch crew, this will be my fifth Basel. I think we always stay up really late to get work done. So we don't start super early in the morning, usually just kind of just before lunch.  But we go as late as we can. And that includes, you know, additional meetings into the evening. And then sometimes there's an event or whatever. And then you get back to your, you know, Airbnb and start actually working. And this year I'm going to be editing the vlog. So the few of you that followed the vlog for SIHH, I think you saw that, you know, it's not like it's hard work, but it's fairly time consuming, especially because you want to put something up every day, which is, you know, the goal. So, yeah, I mean, unfortunately, I would love to be able to do a face to face you know, a field report. But I think our best chance to actually see each other will be the day before Basel. Right. And then I'm sure we'll walk into each other a couple of times in the various halls. But other than that, I think it's going to be either in very noisy kind of dinner environments or not at all. |
|Jason Heaton|Yeah, definitely not a chance to to get together and record. I mean, you know, you guys keep some crazy hours and my schedule is kind of tipped the other way. I tend to start early. I've got a couple of breakfasts with You know, some folks, Risty from Instagram and Bill Yao from Mark II watches. And those are like at eight in the morning. So I'm kind of weighing things at the early end of the day. And then, of course, that's about the time you're going to bed. So I don't think we're going to be able to record, but at least we have a couple of, we've got a couple of events that we're going to overlap on. We won't be able to record, but at least we'll see each other at Oris and at Nomos and the Tudor event that's going to be the night before the show opens. So, you know, we'll have some fun together. |
|James| Yeah, for certain. Now, where do you think we start? You want to just kind of start with what we're kind of looking forward to at Basel? |
|Jason Heaton|Yeah, I mean, it's kind of, you know, the brands tend to really like anniversary years, and it's kind of a big one for the two behemoth brands, or two of the behemoth brands. One, of course, Rolex has the 50th anniversary of the Sea-Dweller, and then Omega's got their 60th anniversary of the Seamaster, the Speedmaster and the Railmaster, which all debuted in 1957. So I'm sure we're going to see some really cool, some really cool stuff from those two brands. |
|James|Wouldn't it be exciting to see like a new 38 to 40 millimeter Railmaster? |
|Jason Heaton|Oh, yeah. Yeah, it'd be great. I mean, they did a Railmaster a few years back that was kind of before they got into the sort of coaxial thing. I mean, it might have been at the very dawn of that kind of the 2500 movement. |
|James|But yeah, they had a 2500 Railmaster, a really big one, and I think a smaller one. |
|Jason Heaton|Yeah, the big one was massive 49 millimeters or something. And then the small one was like 38 or 39. Look really good looking watches. I hope they do something with with that this year. And, you know, rumors fly. I mean, I think, you know, we've probably both heard rumors about what these brands are going to do. But, you know, we'll certainly find out probably on the first day.  first day of the show next week. |
|James|Yeah, I mean, that's typically you definitely find out about Rolex. I'll try and capture this in the vlog. But Jason, you and I often end up seeing each other that first day because Rolex has this giant booth, and all of the windows into the little cases, they're all covered. And then at a certain time, that first day, all the covers lift up. And basically, that's basically when everybody knows what's happening. So last year, everybody's running from one window to another to try and collect their thoughts on, oh, this is new, this is new, that we saw last year, that we saw this year, you know, we've got this, we got that. And, uh, and, and so, you know, last year you had a lot of people looking at the, uh, Explorer one and trying to figure out, is that a different one or is that the same one? And then, uh, you know, obviously the Air King was easy to pick out with, uh, you know, a big change to the overall aesthetic. Yeah. Uh, so that, that's always kind of a buzz and you see pretty much everybody who's pretty interested in, in quick coverage.  Right. We'll be right there. So you always see the guys from Hodinkee and you see the guys from Frivtello and usually the dudes from Monochrome and it's always kind of a good little kickoff to the overall pace of the week because that's on press day. Right. So it's a little slower. It's not as busy. Trying to get from one part of the hall to another in Baselworld once the public days are open, which it's all but the first day, is crazy. I mean, you're just dodging Billion people some of them have strollers. They're all carrying, you know bags from various booths and Nobody's moving quickly. Like nobody comes there to be in a rush aside from us Right, and I find from the minute I land in Switzerland. I'm 30 minutes late for everything. Yeah Yeah, I mean like it's almost impossible to keep hard to a schedule, right? |
|Jason Heaton|Well, we've got our we've got our new our new gear that we've talked about for about the past 11 or 12 months to test out here at Basel. I mean, we had that episode a long time ago about Basel bags, and I think you found just the right tool to take in the Tenba. And I've got, you know, I've always complained about the heat in the hall and I've got that great Uniqlo sort of comfort. I think they called it the comfort sport coat that we've talked about before. So I think we've, we've learned our lessons in the past. I think we'll, we'll hit the ground running and at least be comfortable and well-suited with our bags this year. |
|James| Yeah, I'm not at all worried about the bag. I tried a couple of times to buy one of those comfort jackets, and they're just sold out. So we clearly, I think the site wasn't prepared for the Granado bump. Yeah, right. So we definitely sold a whole lot of Blazers maybe. |
|Jason Heaton|Yeah, right. So, you know, going back to Rolex, you know, I think I saw a couple, everybody likes to do these sort of mock-ups of what they think is coming, you know, in terms of new watches and, you know, there's everything from GMT Pelagos, which is, you know, we talked about that in our wishlist episode. But the one, you know, the big one, of course, is going to be the Sea-Dweller. And I do wonder if they'll do something that everybody kind of hopes they'll do, which is like a double red text Sea-Dweller that kind of harkens back to the original. You know, who knows? Rolex always kind of keeps you guessing right up until the last minute and then typically kind of disappoints you. They'll do some sort of a platinum Sea-Dweller with a light blue dial or something like that. |
