
# The Grey Nato - Ep 32 - Great Watches Under $250
Published on Tue, 18 Apr 2017 09:02:28 -0400



## Synopsis
The podcast discussed various topics related to affordable watches, upcoming travel plans, and general updates. Key points included:

- Discussing options for watches under $250, including Seiko, Casio, and Vostok models.
- Sharing details about an upcoming dive trip to Clipperton Islands organized by Oris.
- Mentioning plans for a birthday celebration and crewing on a sailboat during a race in St. Bart's.
- Talking about recent purchases like a new Sony camera and a bottle of whiskey.
- Providing recommendations for affordable yet capable dive watches from brands like Citizen, Marathon, and Aqualand.
- Sharing details about the Timex Expedition Scout watch and a basic Casio digital watch as inexpensive options.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-32-great-watches-under)
- [episode MP3](https://www.buzzsprout.com/2049759/11311089-the-grey-nato-ep-32-great-watches-under-250.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hey, how's it going? |
|James|Good. Good. How are you? |
|Jason Heaton|Yeah, not too bad. Not too bad. Nice. Nice to know that we've got Basel kind of done and out of the way. Thanks everybody for listening to the show. It's one of our most popular shows on record. Jason, what do you say we go in kind of the opposite direction with this show? Sure. Let's do it.  So this week we're thinking cheap watches. So cheap of course is relative, but I think within the scope of either like decent quartz watches or entry-level automatics, sub $250 is a pretty good target to shoot for, wouldn't you say? Like that's, that I think would be within the range. I'm trying to remember like my earning potential when I was in say, late high school, university. I think if I really wanted to, if it was a goal of mine, I could have scraped together, you know, 250 bucks. |
|James| Yeah, I think that's a good level. I think it's also kind of a good challenge for us. I think, especially coming off of, you know, SIHH in Basel, I think 250 kind of gives us a little bit of a, I don't know, a bit of an interesting sort of a challenge to shoot for watches in that range, because it's not the range that we, you know, are typically looking in, and yet there are some kind of cool pieces in that area. |
|Jason Heaton|Yeah, for certain. So I think before we dig into that, we'll just do our normal kind of new business. We've both got some trips coming up that I think need some kind of preamble before we end up reporting on it later. Uh, so what have you got coming up in the next little while? |
|James|Yeah. So actually next week, uh, I leave for the Caribbean. Uh, it's a dive trip that, um, I'm going on to, uh, an Island called St. Bart's like St. Bartholomew, I think is the full name. Yeah. It's, uh, it's French for playground of the rich and famous, I think is what it means in French. I think most people kind of know it because it's, it's kind of one of the swankier zip codes in the Caribbean. And, uh, anyway, Richard meal does a trip there every, every April, I guess, for, uh, like a sailboat regatta that I think they sponsor one of the teams and they might be like a timekeeper or something for the race. Cool. And so they usually bring some, some folks down to kind of, you know, sip champagne and, and watch a really expensive boats, uh, narrowly miss each other. But I, I'm actually going to be diving there for three days. Um, my wife, Kishani, who does, Most of the photography for the dive reviews that I do is also coming. And so we're going to be doing about 10 dives down there, which I'm really excited about because I dove there a couple of years ago, just across the way on the nearby island of St. Martin. And it was surprisingly really good diving. And so I'm curious to see how St. Bart's is. But the other reason is I get to wear a Richard Mille dive watch. Oh, wow. To dive there. Yeah, it's the RM 32.  And it's the titanium version. It's a flyback chronograph. It's pretty special to be able to dive with that watch. I mean, I'll be the first to admit that Richard Mille is not really in my wheelhouse in terms of the kinds of watches I usually, you know, I'm interested in or remotely can't afford. I think it costs probably half of what my house costs. But, you know, cool watch, great, neat opportunity to be able to take a watch like that, that's just so incredibly engineered and just stratospherically priced. And it's, it's the kind of piece that, you know, when you see it at SIHH, you, you know, you just think, does anybody ever take this diving? And, and I guess, uh, I guess I'll get to find out how it does. So just, you know, I hope the, the spring bars hold and, and the, you know, I screw the crown down properly before I go, but, uh, should be, should be fun. |
|Jason Heaton|Yeah. I mean, restart mill is one of those ones where they make these, you know, balls to the wall, really crazy designs, lots of technology, and then I mean, they have a history of kind of strapping them to some dangerous wrists. Yeah, right. Johan Blake and Rafa Nadal. Yeah. Rafa Nadal. |
|James|Bubba Watson, the golfer. Yeah. |
|Jason Heaton|Exactly. Yeah. So I think you're in good company and I feel like they're going to have a Richard Mill sort of spring bar set up. It'll probably made out of like some sort of particulate nanotube and, you know, Yeah, essentially indestructible, which is going to be just about perfect. I'm excited just to see the photos, let alone to hear how the trip is, because, you know, that's that's a nice ritzy location. But yeah, like you said, sipping champagne, you know, dockside while you watch the boats isn't really your jam, maybe for an afternoon. Yeah, yeah. Or an hour or two. But I think it's awesome that you and Gishani get to head down there and shoot some photos and dive with with a watch that I mean, otherwise probably The closest it gets to water is like if the guy stays inside his Ferrari when it's at the car wash or something like that. Yeah. They're just very, you know, they're very, you know, nouveau riche sort of watches and they have that kind of ethos. So it'll be a really fun story to see one, uh, underwater. |
|James|Yeah. And then, um, actually it'll be my birthday when we're down there next week. And, uh, um, actually on my birthday, which is Saturday the 15th, I'll be, um, crewing on, on the Richard Mille sailboat during, during the race. So. Oh, very cool. |
|Jason Heaton| That's a nice little birthday present. |
|James|It is. I mean, it'll be a really great memory to kind of have, um, something I, you know, won't do again, obviously. And, you know, I, I, I'm a little wary about wearing the watch while crewing on a sailboat. I had a mishap or a near mishap with my Rolex a couple of years ago where the bezel flew off and, you know, certainly could have been a lot worse, but a borrowed hundred thousand dollar watch is, it feels a little risky, but they said, you know, go ahead and wear it if you want. So, you know, clearly they've got, they've got more confidence in it than maybe I do, but.  Certainly if a spring bar breaks, I probably won't be around for episode 33. |
