
# The Grey Nato - Ep 34 - Q&A Awayisode
Published on Tue, 16 May 2017 09:28:27 -0400



## Synopsis
This episode is a Q&A session where Jason and James answer various questions from listeners on topics such as affordable GMT watches, dive watches for small wrists, field watches, whether to wear a special edition watch during deployments, and more. They provide recommendations and insights based on their personal experiences and knowledge of the watch industry.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-34-q-and-a-awayisode)
- [episode MP3](https://www.buzzsprout.com/2049759/11311087-the-grey-nato-ep-34-q-a-awayisode.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason| Hello and welcome to episode 34 of the Graynado. A little bit of a different episode today as we're just going to kind of run through a bunch of the backlog of our Q&A questions. We actually had these really great questions just kind of sitting around. And because as you're listening to this, I'll be just returning home from more than two weeks at sea with the Oris-Clipperton trip.  We didn't really have the ability to do a normal episode, but instead of dropping a whole week, we figured we would tackle a bunch of these questions, help us get through some of the backlog. So thanks so much for everybody who sent in a question that ended up on this episode. We still have a few after this, so if you sent in a question and we said that we would hold on to it for your Q&A, we will get to them, and we're getting to questions certainly much more quickly than we did in our first year. So yeah, we appreciate all the questions, so let's get right to it. Jason, you want to kick it off with the first question? |
|James| Yeah, our first question comes from Justin. Justin is interested in good grab-and-go quartz watches. He says, I only own automatics, but I would love to get a good grab-and-go quartz that is affordable, up to $200 or so, he's thinking. Interesting enough to hold its own with better watches, i.e. a good diver or a GMT that would work as a beater or a nice backup travel watch.  Justin's taste in watches seems to be very similar to ours, and he'd love to hear our thoughts. James, what do you think on grab-and-go quartz watches? |
|Jason|At $200, that pretty much crosses out my current favorite at the Aerospace, my far-too-often-talked-about Aerospace. But at $200, I would go with the G-Shock for grab-and-go quartz. I mean, it's possible he really didn't want a digital, but he didn't specifically say that it couldn't. And I actually think that a G-Shock sits really well on the same table with much more expensive watches. They have this sort of established enthusiast credibility. And at $200, I would buy a Protrek, the 3000 series. Sure. Or if you wanted something a little bit different with, I would say, kind of a more qualified sense of design, see if you could find something like a Suunto Core.  Oh yeah. For under $200. That's a really good looking digital watch. |
|James|Yeah. |
|Jason|Very wearable. And then lastly, if you're a runner, do the two birds, one stone and grab one of the less colorful. This is to my taste of the four runners from Garmin. |
|James|Oh yeah. |
|Jason|So that's a nice digital watch. It also does your GPS tracking and will put all of your stats into a website that you can look at later on if you're really into running or other sports. A lot of them do multiple sports and such but I think for me at $200 it would either be something like an Atomic 5600 G-Shock or the I think it's a PRW 3000 Protrek or the Core. If you can get a Core for $200 that's a killer piece. |
|James|Yeah those are great watches and they're good looking too. I mean they kind of hold their own. |
|Jason|Well you have a cool Vector. Those are worth more than $200 but I think it's the same sort of aesthetic. |
|James| Yeah, and it's a bright yellow. It might not be quite as versatile, but yeah, great watch. Very cheap. Yeah. I would say, you know, up to 200 bucks. The timing of this question comes at a good moment, actually. And I would recommend to Justin that he go back and listen or re-listen to episode 32, which was our sub $250 watch episode. I think we've got some great choices there. A little bit higher up. I, you know, from personal experience, I've had really good luck with Watches from Scurfa, the British brand. He made the watch called the Diver I, which I believe was, you know, it's like a sub $500 watch. And I'm sure you can pick them up used on Watch Recon for quite a bit less. Swiss Army, of course, makes some nice grab-and-go quartz. I think actually Swiss Army, Victorinox Swiss Army, really has, for a while there, I think they kind of had the corner of that market in terms of versatile grab-and-go quartz watches. I think, you know, when you look to like the Casios, the Citizens, and the Seikos, there are a lot of watches to choose from. But I think for a while there, Swiss Army was making, I think they made a watch called like the original Swiss Army watch, and it was just the most basic analog kind of military style dial with like a nylon strap, and you could swap it out for a NATO or something leather. And, you know, I just used to see so many of those. I don't know that they still sell them, but I'm sure you can pick them up on online all day long because they were just ubiquitous for years. But again, you know, Citizen, we mentioned a Citizen dive watch, like one of the BNE series dive watches. I think it was an Eco Drive back in our episode 32. Seiko, of course, makes a number of good quartz dive watches. |
|Jason|Yeah, you could go Solar or Eco Drive at that price pretty easily. |
|James|Solar, Kinetic maybe, I don't know, Eco Drive.  There's some really good choices in that area and I think this is the real sweet spot for both Seiko and Citizen. You just get so much watch for that money. Thanks Justin for the question. He actually had a second part to the question which was a bit more of a personal one. He's curious on how you and I, James, got into the positions we're in now of freelance writing and photography slash exploration.  Justin's had a passion for all of these things and he really wants to explore it as a profession and has already done a few bits of writing for some smaller watch blogs and he's looking for any wisdom or insight or precautions from us. So what have you got? Any tips from a pro? |
