
# The Grey Nato - Ep 35 - From Clipperton With Love
Published on Tue, 30 May 2017 09:01:47 -0400



## Synopsis
The podcast covers two recent dive trips - one by James to the remote Clipperton Island and Socorro Island in the Pacific Ocean, and another by Jason to the shipwreck of Prince Willem V in Lake Michigan and to the Florida Keys. James shares his experience of being part of the Clipperton Expedition, including details about the remote island, diving conditions, marine life encountered, and the Oris watches he wore during the trip. Jason discusses diving the Prince Willem V shipwreck in Milwaukee while wearing a Zinn U1 Professional watch, and diving in the Florida Keys while testing the new Bell & Ross BR03-92 dive watch.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-35-from-clipperton)
- [episode MP3](https://www.buzzsprout.com/2049759/11311086-the-grey-nato-ep-35-from-clipperton-with-love.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Welcome to episode 35 of the Grey Nado, a loose discussion of travel, adventure, diving gear, and most certainly watches. Thanks so much for listening. We're back at our respective home bases after quite a bit of travel, right, Jason? Yeah, it sure seems that way. We haven't talked in a long time. And yeah, it feels like it's been a while because the last, actually we preloaded two episodes, so it does actually feel like it's been Well, it's definitely been over a month since we actually did a recording. Yeah. And, uh, and yeah, I'm not going to apologize, but obviously the, the Q and a episode is one that we use to kind of fill in a blank in our schedule. It was not in any way possible for us to record another full episode. Um, I thought the Q and a episode turned out really well and it seems to be super popular. So that's, uh, that's super, but we're back with a full episode and it's all about some recent dive trips, like I mentioned Jason's been to a couple very different spots within the US, and I absconded to not quite the South Pacific, but we made it to 10 degrees, which is pretty far south for a Canadian. And yeah, so I'm back from San Jose del Cabo, where I'd been out of there off the base of the peninsula there to Clipperton and Socorro for a big trip. And Jason, where have you been? |
|Jason Heaton| Well, uh, two weeks ago I was in Milwaukee doing some diving in Lake Michigan and then, uh, I just got back. Gosh, what's today? Tuesday. I got back, uh, yesterday. Yeah. Just last night from a trip to the Florida Keys where I was diving for a couple of days there as well. So. It feels good to be home. Yeah, it really does. It feels good. I mean, you did a fair amount of diving in your trip as well. I kind of came home feeling a little waterlogged. I need a little, little topside time, I think. |
|James| Yeah, my ears needed the break. I've never done that much kind of back-to-back diving and it seems like my ears were very fine doing three dives a day. Yeah. But the few times I did the fourth dive, by then your level of comfort's very high so you're pushing it. Yeah, yeah. In terms of how quickly you descend, or at least I do, and you already know the site typically. So my My right ear doesn't seem to appreciate four dives a day, so that's something I'll have to note if I ever do another big sort of liveaboard. You had a couple of really cool watches. I had a couple of really cool watches. We can get into that, but first we have some mail we wanted to get to. |
|Jason Heaton|Yeah, just before we jump in, we kind of want to mention, you know, we get a lot of emails come through. James, you know, admirably mans the mailbox, the TGN mailbox, and we get some really inspiring emails from listeners and certainly a lot of questions.  Uh, but there was one recently that came in from a listener named Sam, who's from Salt Lake City, Utah. And, uh, it was, I guess it really struck a chord with, with James and myself. And, and so maybe we thought we'd, uh, we'd read out a little bit of it. Uh, he, he starts off by saying, I wanted to email and explain how much my life has changed over the past couple of years. I'm sure when you guys started the gray NATO, your main goal wasn't to help change the lives of the people listening, but this email is to explain how you changed mine. I was homeless just five years ago. It feels like an eternity.  Drugs and a pack of cigarettes every day doesn't exactly make for a good body or mind. I've always loved watches, but that was the extent of my love. Strictly horology. Fast forward to a few years, and there I am. I've clawed my way out of my hole, totally sober from drugs and alcohol, stopped smoking cigarettes, and my life is all but sorted. But I had this massive void, and all this idle-handed time. Regular life is boring compared to being on the edge. I was lost. Then, boom, the great NATO comes out.  And I saw how adventure could tie in with my love of watches. Since your show came out, I've backpacked more miles than I can count. I'm now open water certified and I joined a rock climbing gym here in Salt Lake called The Front. I've been hitting the Stairmaster with a weight vest on because I want to try Mount Baker next year. I'm a fan guys, but more than that, I have some direction with what I want to do with all the years of my life I've gained from becoming a better person. And then he attached some photos and says, keep up the great work and thank you.  I guess people don't understand the change they're making when they're just being themselves, affecting someone all the way over here in Utah. Thanks guys. Wow. Uh, you know, Sam, um, yeah, great. I mean, really kind of, uh, you know, James forwarded that to me and I think we both had the same kind of awestruck reaction. Um, you know, we certainly can't take much credit for, for your accomplishments, but, uh, um, it's flattering. |
|James|It's flattering that you connect some of that.  You know, that spirit of adventure and newfound spirit of adventure with the gray NATO. And by all means, this is the sort of a little community that we'd like to foster, but we obviously, yeah, like, like Jason said, can't take any real credit for that. Just I thought it was an interesting story. And I got the email, I was on the plane, I was in Calgary this weekend, and I was on the plane with my family coming home. And I just kind of like stared at the screen for a while and thought like, Oh, you Turn on a mic and talk about watches and you just have no idea where it's going to go. And, uh, like I said, not so much that I feel like this isn't any way from what we've done or anything, but just that we got to be part of it in some way. And, and, and that Sam was kind enough to reach out and let us know how things are for him. And he attached a handful of fantastic emails from some great adventures. And, uh, and then he replied to, uh, my email and he recently picked up a camera.  So he's going to have more photos and such. And if I can, with Sam's permission, I'll try and put those in the show notes or maybe in the show notes of a later show, or we'll find if he's on Instagram or Flickr or something, and I'll include that so people can kind of tag along. But, you know, it's a, it's a, it's a, it's kind of a strange world. And I think that in that, that little niche pocket that we find with something like a podcast about watches, which is at the surface, kind of a silly thing.  It seems like, you know, we've had, we've been so blessed to meet some really interesting, fun and inspiring people and Sam nonetheless. |
|Jason Heaton|Sam's email just, it's so representative of, I think, you know, to a certain degree, how I guess those listening and you and I feel about the stuff we're doing. I mean, I think it's, it's just, it's real life. It's, it's exciting. You should kind of grab it and live it to its fullest. And that's kind of the way we go about things and glad to hear other people are doing the same. |
|James| Yeah, I was totally inspired to get out and do something big and exciting and kind of feel how big the world is. It was a good email. You know, I wasn't 100% sure that I necessarily wanted to talk about it, but Sam was game. So, you know, Sam, all the best and thanks so much for listening and please keep in touch. We're pulling for you. |
|Jason Heaton|Yeah, cool. And speaking of living big, you were back from, I mean, we were out of touch for, well, actually we weren't out of touch.  connecting over this strange ether for like two and a half, three weeks where, um, you were off on your, on your very long trip or what seemed like a very long trip. And fortunately we were able to keep in touch over, um, what was it? WhatsApp, I guess it was. |
|James|WhatsApp. Yeah. Slack didn't like, I was getting about four or 5k a second on the boat, you know, most of the day. And then occasionally if I picked a really off hour, it would get a little faster, which is, this is a fantastic connection for how far out we were. |
|Jason Heaton| Yeah, it seemed like it. |
