
# The Grey Nato - Ep 36 - Quartz Crisis?
Published on Tue, 13 Jun 2017 09:05:32 -0400



## Synopsis
This episode of The Greynado podcast discusses quartz watches. The hosts Jason and James talk about their experiences with and appreciation for quartz watches, highlighting specific models like the Breitling Emergency, Citizen Aqualand, CWC dive watch, Marathon TSAR, and Omega X-33 Regatta Timer. They explore the advantages of quartz like accuracy, durability, and grab-and-go convenience while acknowledging the allure of mechanical watches. The discussion covers quartz watches across different styles and price points, from affordable field watches to high-end Grand Seiko quartz pieces.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-35-quartz-crisis)
- [episode MP3](https://www.buzzsprout.com/2049759/11311085-the-grey-nato-ep-36-quartz-crisis.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Welcome to episode 36 of the Graynado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. Thanks so much for listening. Right off the top of the show, we have a pretty exciting announcement, something we've been working on for a little while was kind of amping up the giveaways. And I'm going to pass it directly to Jason. So we don't kind of tease it any further. We've got a great giveaway. |
|Jason|Yeah, well, I think it's a it's a It's arguably the best one we've had and we're really excited about it. Uh, I'm sitting here looking at, uh, at a really cool dive watch. It is the Oris Diver 65, a 42 millimeter version. Uh, this one, it has the, uh, the silver dial, which, uh, is probably my favorite of the bunch. I don't know. Some people like the blue or the green, but I think the silver has a really cool vintagey vibe and, and everybody just seems to love the Diver 65. So Oris was kind enough to, send one of these over for us to give away. And I think it's a good follow-up to our episode last time, episode 35, which was about James's trip to the Clipperton Atoll with Oris and a good diving episode. Hopefully we've got people's diving juices kind of amped up and ready to maybe take home this cool Diver 65. |
|James|Yeah, for sure. |
|Jason|Why don't you spell out the details for how people can get this watch? |
|James| Yeah, so I think a lot of you have heard the way that we do giveaways before. So they're through Instagram. We haven't really found a better way to do it. If you don't have Instagram, this is a pretty good way to kind of kick it off. But basically we'll need everyone to follow the GreyNado. So that's at the GreyNado and at OrisWatch on Instagram. You'll need to find the giveaway post. This will be a specific post within the GreyNado feed. It will have a picture of the watch and it's the only post where you can enter.  So if you go to the specific post for episode 36 and put your answer in there, I'm not picking from it. We're only picking from the ones that are placed under the Auris 65 with the silver dial. It'll be very obvious. In the description will be another kind of layout of these conditions or rules or whatever you want to call them. So find that post. It'll have a photo of the watch and the rules in the description. There will only be one place to enter. If you pick the wrong one, you'll miss it.  Then we just need you to make a comment that includes hashtag ORIS65TGN. So that's ORIS, O-R-I-S, the number 65 and the letters T-G-N. And then, like always, we want you to tag your dive buddy, tag a friend that you think might enjoy the show, tag a friend who you think doesn't know anything about ORIS watches, like just try and get the word out about what we're doing with the giveaway. And that's pretty much it. We're actually going to run this for a month, so it's going to stretch for two episodes. So we will end this giveaway when we get to the release date of episode 38. I will remind you and give you specific dates and such in episode 37, but we're going to offer a full month of availability for this. So the post will of course remain on Instagram. You can find it that way and enter. We're really excited about this giveaway because it's a legit watch. It's the sort of watch that Jason and I would definitely spend our own money on. And Auris was really proactive. They were interested in giving a watch away. So it was just kind of a natural thing that came together. It was actually parallel to my Clipperton trip. They both came through kind of different avenues. The watch giveaway came through Granado and the Clipperton trip sort of came through a blog to watch. So it just kind of worked out luckily, but we've been setting this up kind of since Baselworld and I'm excited that it's kicked off. So you have a month from when this episode comes out to, uh, to, uh, essentially throw your hat in the ring for a free Oris dive watch, which is just, just awesome. Thanks very much Oris. And, uh, I'm thrilled that we can, uh, we can kind of do this sort of thing for the listeners. You know, we don't have a huge audience. You guys are really engaged and I think this is awesome that we can bring some, uh, some kind of perks to listening. |
|Jason|We're not allowed to enter for this. Are we, James? |
|James|I love this watch. It's so cool. I don't think so. It might be tough if you've got like a distant relative. |
|Unknown|Yeah, right. |
|James|Maybe, maybe we can proxy it through them. I'll cut this out of the recording. Yeah, no problem. Yeah. One more quick note up top. Uh, We'll move on from the giveaway, but please enter. Keep an eye on Instagram for when that post arrives and enter when it shows up. It'll be a few days after this episode goes live. |
