
# The Grey Nato - Ep 37 - Collection Inspection Vol 4
Published on Tue, 27 Jun 2017 09:01:58 -0400



## Synopsis
This episode of The Grey NATO podcast covers two main topics:

1. Jason and James discuss their chosen watches for a "collection inspection" segment. Jason highlights his Citizen Aqualand dive watches, which feature an integrated depth gauge and other dive-related functions. James talks about his beloved Seiko SKX007 dive watch, which he has owned for 10 years and recently had serviced.

2. They also share some interesting articles and podcasts in the "final notes" section. These include an in-depth Hodinkee article about the Bulova Accutron Astronaut watch worn by pilots of the Lockheed A-12 spy plane, a profile of late mountaineer Ulli Steck by fellow climber Conrad Anker, and a new car-focused podcast hosted by Spike Feresten.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-37-collection-inspection)
- [episode MP3](https://www.buzzsprout.com/2049759/11311084-the-grey-nato-ep-37-collection-inspection-vol-4.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Welcome to episode 37 of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. Thanks for listening. |
|James Stacey|And we're kicking off tonight's show kind of just running right into it. So first up, we have a quick mention of our ongoing giveaway. If you listen to this on the Tuesday, it comes out. You have two more weeks to enter for an Oris Diver 65. It's an awesome giveaway. And that's obviously thanks to Oris who provided the watch. So if you go to the GrayNado Instagram account, you'll see a picture of the Oris, only one picture of the watch. And in the description for that post is the instructions for how to enter the giveaway.  only put your comments on that one post nowhere else, and you're set. Jason, you got any other new business? You're back from the GoPro Games kind of recently, right? |
|Jason Heaton|Yeah, last episode I mentioned that I was headed out to Vail, Colorado with Tudor Watch to check out the GoPro Mountain Games, and I'm back. It seems like it was ages ago, but it was just last weekend. It was a real blast. The GoPro Mountain Games, I didn't really know what to expect, but if you've ever been to Vail, it's kind of the It's like a ski town that was built to be a ski town. Like in the late 60s this town was constructed just to be a ski resort. And it kind of has this faux Swiss mountain town feel to it. Lots of kind of old looking wooden buildings and balconies on hotels and things and these quaint little streets and shops and things. And it kind of sprawls below I guess Vail Mountain where all the ski runs are located.  the GoPro games just sort of spread out throughout the town and into the surrounding hills and on the creek that runs through town. It was a really cool experience because, you know, I was thinking it was kind of more of a, you know, along the lines of more like a, you know, music festival mixed with like a fun run and, you know, kind of like, you know, wandering guys on skateboards and kayaks and things. It definitely had much more of a a sporting event feel to it mixed with mixed with like a festival. You know, there was music, live music and there were vendors and tents and the, the sports that were going on was this real interesting mishmash of freestyle kayaking that was done in this rapids right under a bridge. It was a perfect place to watch it. Um, slack lining, uh, there were dogs jumping off of this kind of fake dock into a big pool of water competing for kind of the longest jump. Um, It was trail running and mountain biking. Uh, there was a world cup, a bouldering competition. It was really cool. I mean, it was neat to watch all of these really high level athletes compete in these very niche sports. None of which I do, you know, these are, these are pro athletes. These are pro freestyle kayakers. There was this guy, I'm not into whitewater kayaking at all, but I've even read about this guy, Eric Jackson. He's kind of this old, old time. He's been in the sport for,|
|James Stacey| Decades and he's got his own kayak brand and he was there and his kids compete now and sounds awesome Yeah, top top men's and women's rock climbers were doing the bouldering and I saw some instagram stories for the bouldering that looked great That's a that's a really fun and it's cool because the bouldering of course doesn't require A huge field in which to do it so you can actually it does actually become a spectator sport at that level Yeah, which is uh, which is pretty neat. It looked like a lot of fun|
|Unknown| Yeah. |
|James Stacey|And, and, uh, your, your, certainly your stories and photos and stuff from there. People can certainly check out the photos at least on your Instagram, but there was a, it looked like a, a real kind of Mecca for, yeah, mountain sports and, uh, and that sort of kind of the original idea behind the GoPro product. |
|Jason Heaton|Yeah. And, and I was there with Tudor, which is kind of at first blush, it's, there's sort of an unlikely sponsor of the GoPro mountain games, um, just because, luxury watch brand, part of the Rolex group, but you know, tutors, especially in the U S has made this effort to kind of brand themselves as a, you know, like a watch for adventurers based on their history. Um, but also kind of this new image that they're trying to project with, you know, a PVD dive watch and, and, um, you know, the North flag and, and watches like that. And, um, so while I was there, you know, they had a, they had a tent set up right next to, you know, LL Bean and, and, uh, a lot of other sort of outdoor brands that were there exhibiting. Uh, but they also use the occasion to introduce their newest, they aren't really calling him an ambassador, but kind of a brand partner. And that's a guy that we've talked about on the show and Jimmy Chin, uh, whom I mentioned on the last show. And, and it's a great choice. He is a great choice. It's, it's slightly, it was slightly awkward timing for Tudor. I think, um, you know, they were really enthused about introducing him at the GoPro mountain games, but I think it was, timed rather close to their unveiling of David Beckham as a brand ambassador. And I think they didn't quite know how to mesh the two together. But I had a great opportunity to interview Jimmy for about an hour in my hotel on the second day of the event. And it was a real, I guess, writing career highlight for me to sit down with a guy like that whom I've admired and looked at his stuff for many years, um, in various magazines. And of course the, the Meru movie that, that we've raved about so many times here. Yep. And yeah, so my, you know, my interview rather than kind of summarize it here, you can, we'll put a link in the show notes. I interviewed him for outside magazine and that's up on their website currently. So you can go check that out. But, uh, we got to do, you know, he, he sort of hosted or did a Q and a after a private screening of Meru that we did at a local cinema there, which was, You know, I've seen that film like four or five times now, but, uh, never, you know, it never disappoints. I could watch that thing every night, I think. |
|James Stacey|Must be good on a big screen too. |
|Jason Heaton|Yeah. In fact, you're right. I guess I had never seen it on a big screen and that was fun. And it was in one of these cinemas where you can like bring food in and the chairs are like big lazy boys. So it was pretty, pretty cool. Yeah. So, um, yeah, that was, that was, uh, kind of the highlight of, of last week. And then just quickly, I'm, I'm off on Friday to go to, uh, to Bermuda, um, with Ulysse Nardin.  for the finals of the America's Cup. Hey, nice. Which, you know, different change of direction here. I was in Bermuda last year with Bremont and I'm excited to go back. It's a cool place. And even though Ulysse's team, Artemis, isn't in the finals, I'll be curious to see how they, you know, kind of handle the viewing. But I'm told we'll get to see the finals from a spectator boat. And I've lined up a morning of diving on Sunday to kind of get out and you know, with some free time and maybe check out some of the shipwrecks there. So pretty excited about that. And, uh, yeah, I'll be there Friday through Monday. So that'll be my new business next time, I guess. |
|James Stacey|Hey, very cool. You could do a lot worse. Uh, Bermuda, I'm sure is lovely pretty much all year round. Yeah. And, uh, to get there and check out a really kind of awesome boat race is as good a reason as any to get down to that part of the world. |
|Jason Heaton|Yeah, definitely. I'll, I'll be bringing a long lens and, and shooting and, uh, Hopefully come back with some decent photos. I agree. And speaking of lenses, you finally did pick up the lens you were after for quite a while. |
