
# The Grey Nato - Ep 38 - Does In-House Matter?
Published on Tue, 11 Jul 2017 09:01:25 -0400



## Synopsis
This episode of The Grey Nato podcast covers several topics related to watches and diving. They announce the winner of their Oris Diver 65 giveaway. Jason recounts his recent trip to Bermuda where he attended the America's Cup sailing races and went diving on a shipwreck. They discuss the release of the Halios Seaforth and IWC Mark XVIII watches. The main discussion focuses on whether having an "in-house" movement matters when buying a watch, examining the pros and cons from different perspectives. Final topics include Jason's upcoming dive trip to the shipwreck HMS Hermes and recommendations for a key suspension clip, a Titanic video game, and a National Geographic article on diving in Antarctica.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-38-does-in-house-matter)
- [episode MP3](https://www.buzzsprout.com/2049759/11311083-the-grey-nato-ep-38-does-in-house-matter.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Welcome to episode 38 of the Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. Thanks so much for listening. So we've got some news. I guess this is the end. This episode would mark the end of the Oris Diver 65 giveaway, which means With the end, we also need a winner. And, uh, Jason, who do we get, uh, from our big list of entries? |
|Jason Heaton|Yeah. I mean, we got, we got over a thousand entries, which was just a really super cool, super cool, really nice. Uh, I wouldn't call it a surprise. I mean, we knew there'd be a lot of, uh, a lot of feedback, a lot of interest in this giveaway, but, uh, it was a great, you know, great to get that many people entering and we really thank everybody for giving it a shot. Um, certainly thanks to, to Oris for supplying such a great piece. For sure.  And, uh, our kind of methodology of choosing a winner was we, we selected all of the entries with the, you know, the correct criteria from our Instagram feed and, uh, pasted them into a spreadsheet and then used a random number generator to find our winner. And that person is Anastasio Giannakis, who goes by the handle Giassuko, G I A S U K O on Instagram.  Yeah, so Anastasios, we will be in touch this week to get all of your shipping information so we can send that watch over to you and then by all means wear it, wear it well and post a lot of photos of it, tag us when you get it and just enjoy it. Yeah, please. Yeah, so congratulations and thanks to everybody for entering. |
|James|Yeah, and you know, stay on the Instagram and certainly stay tuned to the show for future giveaways. We have some really cool ones in the works and I think there's other interested brands that will see the number of entries that we got on this one, and we should be able to do more. And certainly, Jason and I are well aware that we don't necessarily need more watches at this point. So I think giveaways is a pretty good way to kind of tackle brands that want to connect some way. So we'll do what we can. And congratulations, Anastasios. That's awesome. What a cool watch. And thanks again to AORUS for supplying. Definitely.  And what are you feeling for new business? Anything new? You were on a trip. I mean, it was a little while ago now due to our recording schedule, but how was Bermuda? |
|Jason Heaton|Bermuda was great. I was there, as I mentioned, last episode I went with as a guest of Ulysse Nardin. And even though the team that they were supporting didn't make it into the finals of the America's Cup, they were gracious enough to host a few journalists and retailers and some of their customers to Bermuda to watch the final weekend of the racing.  You know, it was great. I was in Bermuda two, two summers ago with, with Bremont to watch some preliminary racing and, and Bermuda is just, it's one of these really contagious places that when you visit, you want to go back. It's a little bit like the Caribbean, but not quite. It almost feels like, like a small island from Scotland got plunked down in the Caribbean or something. You get all these little windy, windy roads and stone fences and cottages with fireplaces and chimneys and, um, you know, these kind of quaint, street names and things and narrow roads and yet, you know, it's hot and humid and there are, you know, tropical birds and coral reefs around it. So it's just a fascinating place. And of course, you know, the racing was stupendous. You know, seeing those boats fly around was really cool. We got a chance to try our hand at sailing on kind of a smaller version of the America's Cup boats, those hydrofoil high-tech sailboats. We were out on those. |
|James|The whole trip looked really cool, but sailing on those boats, those foil style boats, I don't know the exact name for it. That looked so super cool. |
|Unknown|Yeah. |
|James|Yeah. They look so fast. And there were a couple of videos on Instagram of them. Do you know what one of those boats costs if you were wanting to have one, you know, for your lake or something like that? |
|Jason Heaton|Well, I don't know, but I was talking to, um, kind of a fellow watch journalist who was on the trip, James Malcolmson, who does some writing for Rob Report and a few other places. And he's an experienced sailor. He owns a boat, lives out in San Francisco, and he's kind of dialed into the sailing scene. And he was saying that, you know, foiling catamarans are pretty, pretty cutting edge, and only within the past year or two have they become kind of trickled down to consumer. Ah, OK. The consumer realm. So it's only very recently that you could actually buy a foiling boat you know, kind of to take to your lake or whatever. And, uh, you know, the lake that I've got down the street from the house here, I think, you know, if you were up on foils, you'd be across it in about 30 seconds. It's, uh, we were taking turns. Uh, just sort of clinging, clinging on for dear life as these two UK Olympians were, were, you know, actually doing the sailing, uh, there in Bermuda. And, um, the rest of us were, were following along in like a little rigid inflatable boat. And, you know, we were tracking their speed.  And, you know, this is just purely for, for kicks taking us along and they were hitting 45 knots. I mean, that's, that's insanely fast for just, you know, recreational sailing on the sound and Bermuda. Yeah. That's ripping. When I was getting my ride, you almost don't get a sense of the speed because it's so quiet. You know, I think that, that always strikes me about sailing on some of these, these racing boats is because it's purely wind powered. There's no.  cacophony of engines. There's not a lot of, um, you know, you just sort of get the sound of a little bit of the creaking of the mast and maybe some whistling in the, in the, in the lines and, and, uh, a bit of the wake behind the boat. But, um, you know, to kind of rise up on those foils and just cruise along, it was just, it was a real thrill. The actual America's cup racing was, was fun to watch. And then I managed to sneak in a morning of diving. Uh, I guess it was last Sunday. Um, which was, I didn't know what to expect. I'd heard good things about Bermuda diving.  Um, given all the shipwrecks that are around the island there. It was, it was awesome. I mean, I'd, I'd, I'd make a trip to Bermuda just for the diving because. |
|Unknown|Oh, really? |
