
# The Grey Nato - Ep 39 - Seaforth
Published on Tue, 25 Jul 2017 09:01:41 -0400



## Synopsis
This episode covers the hosts' initial impressions of the new Halios Seaforth watch after receiving and wearing it for about a week. They discuss the pastel blue dial color, specifications like the 41mm case size and Miyota movement, the included accessories like the Nanuk case, and how it wears on different strap options like NATOs and leather. They also mention the affordability and great value for the price point compared to luxury brands. Overall, they are very impressed with the build quality and details of this watch from the independent brand Halios.

Additionally, they discuss some other topics like wallet recommendations, an upcoming documentary the one host is covering at Pebble Beach, and provide a couple links/recommendations for interesting articles and videos.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-39-seaforth)
- [episode MP3](https://www.buzzsprout.com/2049759/11311082-the-grey-nato-ep-39-seaforth.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Welcome to episode 39 of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. Thanks so much for listening. So tonight, Jason and I are back, episode 39, excited for the episode. Jason, I think it's going to be a good one. Right up top, we do want to say a quick thank you to listener Sam, who runs an apparel business called Kill Hubris. He sent both Jason and I a really kind care package with a bunch of various bits from his brand, killhubris.com is the website, but it's like t-shirts and stickers and some mugs and bracelets and things like that. And it was really sweet of him to send it our way. It's a, it's always nice. The t-shirts are remarkably nice. So this is not in any way a paid endorsement. Sam wrote us and asked if he could send something our way, and this is what showed up. But I, you know, the t-shirt I got is, was kind of, well, one of them was kind of this really nice kind of worn in, um, Pastel teal color with like a chest pocket and pretty limited branding down on the hem, which I really Really appreciate and really comfortable great for the summer So Sam, thank you so much is very sweet of you to send that. |
|Jason|Yeah much appreciated Love the t-shirt love the the Latin phrasing on the coffee mug. Good stuff. |
|James|Thanks a lot, Sam Yeah, good laptop stickers, too. Yeah. Hey everyone. So James here from the edit booth with a note that Didn't make it into the original recording of the show because we weren't sure if it was going to be ready or not. So we wanted to reach out to those of you who are interested in directly supporting the Graynado. Jason and I have been working on a way to fund the show without the monthly payments of a Patreon campaign or the need of a donation button, neither of which we thought made sense for what's ostensibly just a free podcast about watches and hiking and diving and such.  So we reached out to a few of our favorite people, we made some swag, and then we put that swag into a bundle and we sell it to you. And the proceeds from that will go to supporting the show. So you get to support TGN while also getting your choice of a TGN signed gray Toxic NATO in either 20 or 22 millimeter. That's with TGN on the buckle, you know, pretty rare kit at this point. TGN logo iron-on patch from Pastiche Patches, which is kind of cool for a backpack or what have you and a TGN logo sticker good for a laptop or a guitar case or whatever. So TGN is and will remain free. We're not going to charge for the show. We don't expect most of the listeners to pony up for something like these supporter bundles, but as a test, we thought it would be fun to put this out there, see how it did. And if it was a good method for supporting the show, maybe we would continue offering various sorts of supporter bundles. So if you're interested, Please go to thegraynado.com slash support. All of the information is there. We have extremely limited stock, so it's strictly first come first serve, and if we get too many orders, we will simply refund any that exceed what we can fulfill. We aren't sure how popular this will be, so hit the page if you're interested, and we'll do our best. Either way, thank you so much for listening, and if you have any questions, please send them to thegraynado at gmail.com. As always, Jason and I are at your disposal for all things TGN. Okay, back to the show. Hey, Jason.  How about we dig into some new business? |
|Jason|Yeah. I don't have a lot personally this week, but, um, I want to put out yet another request to, for, uh, listener input. And this is, you know, in the past we've, we've talked about bags and camera straps and various things that we're always kind of on the hunt for. And, um, I, I've been looking for a very long time for a really good wallet, several over the years. I just, uh, I just got one in last week from, uh, SF bags out in, in San Francisco.  Waterfield Designs, I think it's called, and it was a very promising one. It was sort of this ballistic woven nylon with a zipper. You know, it looked slim, it looked small, it looked like it would hold just what I wanted it to, but when it came, it was just still too bulky for my taste. You know, I've tried some of, you know, the small leather ones. I had one that we got from SIHH as a giveaway. It was from like Mont Blanc. That one I find a little bit too small.  So maybe I'm just overly picky about this, but but really I just want something that'll carry Kind of a wad of you know, a folded over wad of a few bills whether it's international or US currency you know driver's license certification card for diving some insurance stuff and a couple of credit cards and I'm just finding that You know the fold over one that I've got is it's it's worked for me fairly well for the past couple of years, but It's just sits too high in the back pocket And then a lot of the little kind of small card slot ones are just, they're just too small. So, uh, you know, I'd love to, I'd love to get people's recommendations, whether you tag me or tag us on, on Instagram, um, or write into thegranadoatgmail.com. I'd love to hear about your suggestions. Oh, we're going to get so many emails.  We might. We might. Yeah. And I apologize in advance, everybody for that. |
|James|But, uh, you know, did you ever order one of the Bellroy? We were, I know we looked at the, like, uh, I've had a couple of Bellroys in the past and they make a ton. And I know that we had bandied about their website one day on Slack. I wasn't sure if you ended up buying it or not. |
|Jason|I, um, I looked at them. There's a local shop that carries them and there were, I don't know, it almost feels like with a wallet, you almost have to live with it for a little while. And I I'm so, gun-shy about just pulling the trigger on one off of a website, because I guess I did that last week and I've returned it promptly. But that seems to be the most promising brand. So in the end, I might end up just heading downtown here and just trying one out again. But I'd love to hear about other options. |
|James|Yeah, I know for me, I carry, I kind of have two current wallets in rotation, just depending on how much I want to carry. So the first option for me is I actually just made my own. I got tired of not being able to find kind of exactly what I wanted. And so what I ended up doing was just sewing two pieces of like quarter van hide together. Oh yeah. So it's a small square. It'll hold like six or seven cards and some cash if you really cram it in there. |
|Unknown|Yeah. |
|James|But you don't notice it in a pocket and it's like a really simple craftsman stitch. It's been in a few of my Instagram photos. Mega basic. At the time I bought like a shoulder of leather and made like 20 or 30 of them in the learning process.  So that was fun. I don't have enough leather to make you one. So if I could source one, I would, but I just flat out don't have enough leather to make any more. I've given away so many as gifts at this point. And then the other one I have is the Fat Herbie wallet from Michant. So Enrique, who runs Michant Flashlights or Michant Electric Torches, when he sent up a handful of torches for me to check out, some of which will be in a giveaway very soon. So those of you interested in a Michant pay attention to probably the next episode. The wallet itself is, this one's the larger one. I think I showed it to you back at SIHH this year. So it's a little bit bigger than a passport. |
