
# The Grey Nato - Episode 04 - "No Sleep Till Basel"
Published on Sun, 13 Mar 2016 11:39:27 -0400



## Synopsis
This is episode 4 of The Grey NATO podcast discussing Baselworld 2016, the biggest watch trade show of the year. Hosts James Stacey and Jason Heaton share their thoughts on what to expect from brands like Rolex, Omega, Blancpain, Tudor and others at the show. They detail the massive scale of Baselworld and offer tips for navigating the event. In addition to new watch releases, they look forward to networking, meeting with brands, and enjoying the whole Baselworld experience in Basel, Switzerland.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-04-no-sleep-till-basel)
- [episode MP3](https://www.buzzsprout.com/2049759/11311120-the-grey-nato-episode-04-no-sleep-till-basel.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Welcome to episode 4 of The Great NATO, a loose discussion of travel, adventure, diving, gear, and most certainly watches. I'm James Stacy, based in Vancouver. I call myself a professional enthusiast and I write about watches, cars, and almost anything else that catches my eye for a blog to watch.com, nouveau magazine, and more. |
|Jason Heaton| And I'm Jason Heaton, a Minneapolis-based freelance writer for a number of gear, travel, and timepiece publications, including Gear Patrol, Hodinkee, Revolution, and Men's Journal. |
|James Stacey|Thanks so much for listening, commenting, emailing, and reviewing the show. We appreciate all of the feedback, whether it's via email or on Instagram, you can always hashtag TheGrenado. Before we get going in today's show, don't forget that we now have full show notes at TheGrenado.com. Just expand the show description and you can see all those sweet, sweet links. And with that housekeeping out of the way, Let's move on to the main topic. |
|Jason Heaton|You know, James, the elephant in the room is Baselworld. And actually, as this podcast goes live on Tuesday, you and I will be winging our way to Switzerland for a week or more of meetings and events with a lot of watch brands. I did a final tally just yesterday of all the appointments I've got, and I have exactly 50 appointments booked over the five days that I'm at the show. What does your schedule look like? I bet you've got even more than I do. |
|James Stacey| Yeah, I try not to look at the schedule because it is it is an absolute assault. You know, I'm there for seven days, and it's just seven days of show coverage, obviously, including some travel. But yeah, I would imagine you know, we do 1010 or 12 meetings a day. Wow.  until one of us kind of just falls flat or uh or you know sleeps through a meeting or something but yeah the you know i'm going with the blog to watch.com we have a big team of guys and we you know we hustle it's a real grind but uh you want to get to as many meetings as possible and see as much as possible because there's a certain section of watches that you want to talk about immediately that you know are very much in the core of what readers want to see and hear about and and see the news and then there's watches that take their time to kind of either actually be released. We'll see some things, of course, that are under embargo until a little later in the year. But this way we have the good photos and we have some hands-on impressions. And that's what Baselworld's about. It's about being able to see and touch some of these pieces that, I mean, some are sold out before they ever actually make it to a store. So I wouldn't even have a chance of seeing them in Vancouver. Right, right. |
|Jason Heaton|You know, I think before we kind of dive in more deeply into, you know, what we're looking forward to or any predictions we might have, I think it might be helpful to kind of get a little bit of an overview of of what Baselworld's all about in case some listeners aren't familiar with the show. And, um, you know, to kind of contrast it with what we experienced earlier that this year in January at SIHH, which is the other big watch trade show that happens in Geneva, uh, which we talked about in episode one, um, you know, Baselworld, whereas SIHH is, is I think between 16 and 25 brands. I can't remember what they're up to now, but, uh, it's a smaller show. Baselworld is huge. I mean, it's, um, You know, we're talking thousands of watch brands. There's jewelry involved, which you and I don't really touch. But it's just a massive show. I mean, I would say it's really hard to almost express exactly how big this show is to somebody that hasn't been there. |
|James Stacey|Yeah, I always try and struggle with the idea of how do you paint this for somebody who hasn't had a chance to go. It spreads over, I believe, five halls.  in kind of one large building. And then there's an annex called the palace, which you'll hear referred to. And the palace houses a bunch of the independent brands and then a bunch of brands that that want to be in the palace because it's a little bit more of a chill atmosphere. It's a little bit more luxurious. It's a little bit like a tiny S.I.H.H. Yeah. The palace on its own. But the main hall, I mean, it's bigger than an airplane hangar. I don't know how to describe its size. It's huge. It's a giant convention center. And then every imagine it like roads.  built into each each floor of these halls, and certainly hall one and hall two, every block is is huge buildings that are built by the brand. So if you've ever been to say, like a big car show, like an industry car show, and at the back behind the cars, there's an actual area where you know, they have trinkets and and and where they actually sell cars and where they deal with big buyers and things like that. Imagine those two story kind of places where BMW entertains buyers and then turn that into a small hotel. And that's basically what you have. Like, you know, you come right in and they pay a huge amount of money, millions of dollars for each of these positions, especially the ones that are closest to the entrance. So when you walk in the last few years, right on your right hand side is TAG. And I would say the TAG building is five stories. |
|Jason Heaton|Yeah, I think you're right. |
|James Stacey|It's got to be 40 or 50 feet tall. It'll have a race car right out front. And then when you go in, it's just a main hospitality space that looks vaguely like a four or five star hotel. And there's people with food and drink and then every floor has different areas to deal with press. So different rooms for different parts of the world and things like that. But you go in these things and it's one, it's easy to get lost. That's how big they are. And you're often going up and down three or four flights of stairs depending on where they take your specific meeting.  And they all have, you know, presentation spaces and photography rooms. Breitling's has a huge aquarium. |
