
# The Grey Nato - Ep 40 - TGN EDC
Published on Tue, 08 Aug 2017 09:02:06 -0400



## Synopsis
The podcast covers a variety of topics related to travel, adventure, diving, gear, and watches. The hosts start by discussing some show business, including the success of their supporter bundles and addressing potential shipping issues. They also mention plans for conducting in-person interviews and upgrading their recording equipment. The main topic of the episode is everyday carry (EDC) items, where they discuss their preferences for wallets, phones, earphones, knives, sunglasses, bags, hats, flashlights, coffee makers, water bottles, and watch cases. Additionally, they share final notes and recommendations, including links to videos and photography collections related to diving, aviation, and travel.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-40-tgn-edc)
- [episode MP3](https://www.buzzsprout.com/2049759/11311081-the-grey-nato-ep-40-tgn-edc.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Welcome to episode 40 of the Graynado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. Thanks for listening. |
|James|Tonight, we're going to kick off the show with some show business. So first off, all of our supporter bundles sold out and they sold out very quickly. So a huge thank you to everyone from Jason and I for how that went.  If you are having any issues with the delivery or think that yours should have arrived by now, just send us an email to thegreatnadoatgmail.com. If there's a problem with the shipping and it looks like you're not going to get yours, we will be more than happy to refund what you paid and it's not like you're going to be hit with any fees or anything. So that's easy enough. We might do a second run in the future. We're dilettante podcasters and and writers, not really businessmen. So a lot of this is kind of like a first swing for us. And we want to make sure we've learned all the lessons we need to learn from round one, especially concerned with like shipping and fulfilling. |
|Jason Heaton|Yeah. And I'd like to just kind of throw in an apology in advance if anybody did have any shipping or receiving issues on those supporter bundles. I did the, uh, the packaging and shipping here and out of my office here in Minneapolis. And, you know, no doubt, uh, I've probably made a few, fat fingered mistakes loading up the kits, as well as we encountered some challenges with the US Postal Service getting both international and domestic kind of shipping dialed in. So if, as James said, if you have any issues, please do drop an email to the Grenado at gmail.com. |
|James|Yeah, no stress, we'll be sure to sort that out as quickly as possible. |
|Jason Heaton|But thanks, everyone who supported the show. We really do appreciate it. And, you know, as we as we mentioned on the little thank you note in the packaging, Please do tag your posts with a hashtag TGN supporter so that we can see where all those straps and stickers and patches ended up. We were pleasantly surprised at kind of the international reach of our humble little podcast here. We got orders from Dubai and Australia, the UK, Germany, Switzerland, Hong Kong, Canada, all over the US. So, you know, big thanks to everybody for your support.  It was really gratifying and humbling for us to see what kind of a loyal following we have. So many thanks. |
|James|For sure. And next up, I have a quick note from a listener named Steven who wrote in after having a negative experience with Creation Watches, which is a watch retailer, kind of a gray market retailer, selling a lot of Seikos, a really handful of brands. So I had supported or mentioned this retailer a number of times, especially on our kind of cheaper watch episodes, you know, the $250 episode, things like that. And Steven had bought an SKX and it came with a very stiff bezel. And he inquired as to whether or not it was possible to get an exchange. And it turned out they were going to offer exactly zero support for the purchase. So no exchange, no support. And they actually just asked him to send it to a local Seiko repair facility. But because of course the watch was gray market, it's not going to be fully supported. So you're going to have the repair out of pocket. And, and, you know, This basically goes against the guarantees that they mentioned quite boldly on their site. And while something like a stiff bezel should be really easy for any watchmaker or kind of DIY enthusiasts to sort out, it does kind of not suggest great things for when you have a bigger problem, like a watch that's flat out not working. I'm not exactly sure how they would handle that. And, and it's just, I want something I wanted to bring to light because we had talked about creation watches and I've probably bought the better part of a dozen watches from them over the years.  But because none of those watches had any mechanical or any issues at all, I've not had the opportunity to test their after sales support. So this feedback is anecdotal, both from my side and from Steven's side, but it is good information nonetheless, because it's a real case scenario where he wasn't given the support that the site kind of clearly outlines it would offer. So keep that in mind if you're deciding to order a watch from Creation.  So thanks very much, Stephen, for letting me know. And I'm glad that we were able to kind of add that to the lineage of the podcast after we had talked about Creation Watches in the past. So obviously your results may vary when you buy from any retailer. So it's good to get that kind of feedback. And Jason, I think that's it for show business. So, you know, what's kind of new with you? What's going on? |
|Jason Heaton|Well, you know, on my end, it's my own fault, but, you know, last episode I put out kind of a call for help for recommendations on wallets. I mentioned in our episode 39 that I was on the hunt for kind of a new, slimmer wallet that could still carry a fair amount of stuff. Boy, you guys all responded. We got so many responses through email. I got responses through Instagram, direct messages. Really appreciate all the choices. It was both a huge help and a bit of a stressful week for me. I had so many links and so many wallets to research, but, uh, I do thank everybody, uh, you know, from the bottom of my, my heart for all of the, uh, the recommendations. And I'm certainly going to pay close attention to kind of all of those links and suggestions that people sent in. And, and when I do finally narrow it down and find a wallet, that's going to work for me, I'll be sure to mention it on a future show. I did want to throw out kind of a special thanks initially here to, to one listener from, um, just down the road here, actually in Kenosha, Wisconsin.  Who actually offered to send me a wallet and I'm not I'm not suggesting that everybody do that, please But he he sent over a wallet From a small shop in Kenosha called Andrea's gifts and it's a wallet that was made by a company called winter check And it's called the Kansali wallet Really cool. It actually just arrived today and I'm gonna be kind of test driving that for the next week and kind of just see how it works for me It's like nothing else I've ever seen it. It's a it's two pieces of, uh, I guess it's like powder coated, uh, aluminum, just two sheets of aluminum that are sandwiched together with, you know, two holes drilled through, through each of them. And then it's held together with some shock cording. So you, you basically kind of pry apart those two plates of aluminum and slide your, your cards in credit cards or driver's license. And then, and then under the, you slip your, your bills, your, your money under the, shotcourting on the outside, kind of like a money clip. And you know, it's kind of hard to describe. I've put a photo up on Instagram and we'll, we'll link to that in the show notes so people can see what that looks like. But it's a really ingenious solution. I'm not, I'm not sure how I'm going to like it over the longterm, but initially I just really admire the design. It's really, it's really clever. And these two plates of aluminum, while you'd think that they'd be hard to kind of pry apart, each of them has like a little notch cut out of the corner. So you can just, kind of pull it apart with two thumbs to kind of reach in and grab a card out of it. It's slightly, I guess, heavier than, you know, kind of a traditional slim leather wallet, but it doesn't sit very high. And I've got about four or five cards in the middle of it and, you know, small wad of bills on the outside. And, you know, I'm not sure if it's going to work in a back pocket cause it's certainly very rigid, but it is slim. And so, you know, definitely something for people to kind of check out if you're into sort of this, very modernist sort of avant-garde industrial design. I think it's really clever and I'll see how it goes. But in any case, thanks everybody for the suggestions. And like I said, on a future episode, I'll be sure to post up what I finish up with. |
|James|Nice. Well, on my side, I was able to preempt some of the cash coming in from the supporter bundles, and we've now invested in a field interview kit. That's great. So I'm using that microphone now, but Basically, we have two mics and a proper digital recorder. And the goal being that in situations where we could do an interesting face-to-face interview, we're going to make it high enough quality that it could be a normal episode of the show. So I have two or three that I will be conducting and then putting together throughout the summer with some very interesting people in Vancouver. We're excited about interviews, and we think that's kind of the missing piece for the Grenado.  is, you know, more input from people in the lifestyle that aren't, say, Jason and I, basically. |
|Jason Heaton|That'll be really fun. It would really come in handy for, you know, in the past that we did that recording in the Bremont townhouse, the two of us, that would be a nice way to do that. And certainly looking ahead, you know, things like SIHH or Basel or, you know, places that you and I end up together or individually to interview people. That's great. |
