
# The Grey NATO - Ep 41 - Diving 101
Published on Tue, 22 Aug 2017 09:40:15 -0400



## Synopsis
The podcast discusses getting started with scuba diving. The hosts cover topics like the costs involved, certification requirements, different instruction agencies, necessary gear for beginners, and advice for choosing a dive shop and instructor. They also touch on potential specialty courses one can take after getting open water certified, and emphasize that diving should be an enjoyable experience with proper guidance. Overall, it serves as an informative introduction for those interested in taking up the sport.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-41-diving-101)
- [episode MP3](https://www.buzzsprout.com/2049759/11311080-the-grey-nato-ep-41-diving-101.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Unknown| Welcome to episode 41 of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. Thanks for listening. So before we get into kind of what's new for Jason and I, we have a little bit of show business. So first up, if you haven't noticed on our Instagram, the Michant Flieger giveaway is currently active, obviously depending on when you eventually get to this episode.  But until episode 42, we will be running that giveaway. And so you have at most another two weeks to get in on it. The post is on the TGN Instagram. Follow both accounts and tag a friend in the comments. Go nuts. Awesome flashlight and a really generous giveaway from Michant. And Jason, we've also got another small announcement. You want to take care of that one? |
|Unknown| Yeah, well, we had some good success with our supporter bundles. Thanks to everybody who signed up for that. And we'll be running that campaign again, maybe a bit later in the fall. But in the meantime, we wanted to mention that we're officially at the point with the Graynado that we are interested in finding advertising partners or a partner. Any brand that isn't a watch brand, that's one thing we were trying to kind of steer away from.  If that's you and you'd like to chat with us, please send us an email at thegrenadoatgmail.com. Thanks a lot and get in touch. |
|Unknown|Perfect. Okay. So moving on to quote unquote new business. What's new with you, Jason? What do you got going on? I know this is a pretty busy time. We're recording right before both you and I get on some flights, but your flights last a lot longer. |
|Unknown|Yeah, I'm about to leave in a couple of days. In fact, by the time this episode airs, I will be on the ground in Sri Lanka.  I know I've talked about this on past episodes. I'm going away for about three weeks. My in-laws live there and we try to go every couple of years to kind of have some face time with the in-laws. And then it's just, it's a great excuse to explore what's really a cool country. So yeah, it should be another great adventure. Every time I go, there's always something new that I see, you know, there's elephants and beaches and Buddhist ruins.  nightlife and all sorts of stuff. And, uh, we'll, we'll see what we've got going on this time. We've got a couple of, um, sort of dive excursions planned. Um, one thing I talked about on, on a past episode is, uh, I have a plan kind of to, to dive this, uh, Holy Grail shipwreck that I've been kind of reading about and, and watching videos and studying for the past, you know, several years. It's the, the HMS Hermes, which was the, the world's first purpose-built aircraft carrier, which was sunk by the Japanese in World War II. And that's off the East coast of the country. So I'm, I'm signed up to, to go out with, uh, with, uh, a guy named Felician Fernando, who happens to be, he's kind of Mr. Hermes. He, he's been diving it since like the eighties or the nineties, and he's got hundreds of dives on this wreck. And, and so I feel pretty good about going out with him. Um, but it's a pretty deep wreck. So I'm, I'll be taking a tech diving course.  Uh, in the days preceding that dive, and then it'll sort of culminate with, with the dive on the Hermes. So, you know, stay tuned, uh, Instagram and certainly I'll do kind of a download on, on a show in the future when I get back. But, uh, between now and then I've got 22 hours in an airplane, so downloading podcasts and a nice long audio book and I've got a couple of movies on my laptop. So yeah, before I get there, it's going to be kind of enduring some, some cramped seats and bad, bad food. First class of course.  Oh, no way. Way too expensive. Yeah. So, yeah. What about you? You've got, you're, you're not only going away, but you've got some, uh, you've got some pretty big news. |
|Unknown|Yeah. So, uh, my, in a couple of days I'm leaving for Pebble Beach, which we've spoke about for, so there's not really that much to add to. I guess my most recent big news is, uh, I'm now officially without a job. I, uh, I quit my day job a little while ago. It ended last week and I'm now professionally full-time freelancing. Something I've, I guess I've inadvertently or maybe intentionally, subconsciously been working towards for the better part of 10 years now. So I'm, uh, I'm pretty excited for the move and, and, uh, all that it kind of brings with it, uh, hopefully a little bit more freedom than I had previously. And, uh, theoretically a bit more time for some new projects and to expand, uh, the kind of scope of things like gray NATO and the stuff that I write about. |
|Unknown|So. Yeah. Congratulations. Um, you know, it's, uh, I remember when I, when I went, uh, kind of quit my day job and went freelance a few years back. Uh, uh, we were at a friend's house for dinner and, and, uh, uh, our friend's spouse, uh, at the table, she said, no, Jason, you're, so you're retired now, huh? So just be prepared for people not to quite understand exactly what it is you do all day. But, uh, no, it's great. It'll be, I think there are big things in store and, uh, You know, we saw recently you had your first article up on Hodinkee, the C4th review, which was really cool. |
|Unknown|Yeah, I enjoyed, we got a lot of love in the comments for Grenado and thank you very much. Everybody who read that and who commented, it means a lot. And I'm currently working on a piece for the Omega X-33 Regatta, which I spoke about on the last episode. And then just a couple of days ago, I took delivery of the Oris Chronoris, the new three-hander with the kind of 60 minute rotating internal bezel. |
|Unknown|Oh, how are you liking that? Just to give a sneak preview. Are you enjoying it? |
|Unknown|In short, I really like it. It feels like a, it feels so similar to appeal of like my Seiko World Timer. Oh yeah. Like it feels like an old watch. And this is not unlike what they did with the 65. Like I don't really know why I'm surprised because they've done this before. Where it is a brand new watch. So there's no patina, there's no dots on the crystal, there's no, or on the dial, there's no anything. It's a brand new watch.  But it really feels like something old. And the way it catches the light feels old. It's a 39 millimeter cushion case with cutout lugs and two crowns. It wears really well on a NATO. It's great on a leather strap. And it kind of has that feeling of some of the older, obviously it's referential to an older Oris, but also kind of older Omegas.  you know, the nice use of gray and black and white and orange. It's very legible. So far, I'm really liking it. I'm going to, I'm going to wear it a little bit more. And I learn a lot about watches when I take pictures of them. Oh yeah. And then I go to edit the pictures and then I'm like, oh man, I didn't notice this so much or that and that sort of thing. But that's in right now and it's on, I've been wearing it on a Grenado and really, really loving it. So that's been fun. |
