
# The Grey Nato - Ep 42 - Jason Lim of Halios Watches
Published on Tue, 05 Sep 2017 03:49:03 -0400



## Synopsis
This is a transcript of a podcast interview with Jason Lim, the founder of Hallios Watches. The conversation covers Jason's background and how he started Hallios as a passion project after being deeply involved in the watch enthusiast community. They discuss the design philosophies behind Hallios watches, the challenges of being a one-person micro-brand operation, the importance of receiving feedback from customers, and Jason's future plans for expanding Hallios.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-42-jason-lim-of-halios)
- [episode MP3](https://www.buzzsprout.com/2049759/11311079-the-grey-nato-ep-42-jason-lim-of-halios-watches.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Interviewer| Hello and welcome to episode 41 of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. As mentioned, we want to bring you more interviews, so as Jason is away in Sri Lanka and has been for the last couple weeks, I thought we'd kick off the interviews to cover for his travel and, you know, to ease you into all of this, we figured it would be best to start off the interview format with another Jason. I'm sitting across the table from Jason Lim in the top secret HQ for Hallios Watches here in Vancouver. Jason, welcome to the show, man. |
|Jason Lim|Hello, nice to be here. |
|Interviewer|How have things been? I think I'm catching you at roughly the busiest point in Hallios' tenure, maybe? Or maybe it would match your normal busy shipping times? |
|Jason Lim| Yeah, pretty much. It's been pretty hectic, but, you know, it's all good. |
|Interviewer|So, I mean, let's start where most people are probably sending you emails. What's the status of the C4? So this will come out early September. So by now they're sold out the first wave. Yes. Okay. Nobody should be writing you asking if they can get this or that right now. |
|Jason Lim| No, hold on. Let me back up one second. I just wanted to say thank you for having me on I'm a big fan of what you and Jason are doing What you guys have built and what you're currently building. So it's it's an honor to be here. Oh, thank you. We appreciate that To answer your question The first batch is sold out. Okay, so Working on a second batch. It's that that's gonna be available in probably late fall. Okay Which, you know, according to my timelines is like late fall. Before Christmas. 2019. 2019. |
|Interviewer|There you go. These things are tough though. Like it's really hard to predict when things are going to be, when things are going to be in place. I think people who have bought watches from you before realize that you are quite literally a one man machine. And the way that I know that you work is you're limited by, you're limited by the number of hours in the day. Right.  There's only so many hours for you to work. And I know that you've pulled a lot of all day, all nights to get the C4th ready and then to get it shipped. |
|Jason Lim|Yeah. It's, it's an unfortunate sort of confinement to be subject to, but not just that, not just the hours in the day, but also just the production process. So it's not as if, you know, let's say you produce a hundred pieces, a hundred pieces are ready to go, ready to sell. So I go through quite a number of iterations, prototyping as well as production runs. It's just all part of the quality control process. |
|Interviewer|So with the sort of see-forth out of the way as far as news, I think it's probably helpful for some people to look back because it's not common that we would get a chance to sit and chat with someone who runs one of these successful... I don't even know what the term is for it anymore. It used to be indie, like I think on Watch You Seek we would call it, call Hallios and York contemporaries indies but then if you look at the wider scope people that's what people call Sarpaneva and MB&F and Laurent Ferrier and you know some places that make 10 watches a year in a big year and well I don't know what do you prefer as far as a term do you care does it make any difference? |
|Jason Lim|You know I'm really really happy to be mentioned in the same breath as those companies thank you very much. For sure. About the same level right? |
|Interviewer|Yeah yeah yeah. |
|Jason Lim| I think the prevalent term these days is micro-brand. |
|Interviewer|And do you think that's fair? I mean, I think it makes sense because it is one dude, whereas some brands have an army. |
|Jason Lim|Yeah, absolutely. I'm totally comfortable with micro-brand for sure. |
|Interviewer|So, I mean, I'm not really sure where necessarily you spoke a little bit about, you know, production timelines. What is it like to be in one place, Vancouver, and have the watch being sourced from all over the world. I mean, your watches are predominantly Asian sourced. |
|Jason Lim|That's right. |
|Interviewer|And is that, I assume that's not, you know, I made, we had patches sampled for Grenado via, you know, Alibaba. So I've literally scratched a fingernail into the edge of getting something made in Asia. And it was not difficult, but it was a lot of strange communications back and forth.  And I can't imagine what it's like to try and make something as perfect as what you dream of for a watch. |
|Jason Lim|Yeah, that's a great point. I think ideally that, you know, as close to production as possible would be fantastic, but that's typically not, um, right now it's not feasible. So, um, one of the things that I do for, for large production runs is actually travel there and QC the watches before they ship them back here. |
|Interviewer| So you've already finalized a design, you've seen some samples, and you go there to see what would essentially be what they're going to make and start shipping to assembly groups and getting other things together? |
|Jason Lim|Yeah, exactly. Well, I guess I should again back up a bit and sort of comment on the sort of box that is, you know, like a value brand. Right. So I think if If you're Richard Mille or MB&F, the idea is working outside of the box and destroying the box. And I love speaking to architects because the way they approach design, it's all like, you know, how can we kind of optimize this confinement, this space that we're given? And that's sort of what kind of faces the value brand. So you've got a price point that you have to hit. You've got, you know, you're working with Asian suppliers I don't want to say limited capability, but definitely not up to the caliber that, you know, like a higher end brand would be capable of. Right. And as a watch guy, you want to pack as much value into that box as possible. So there are challenges as far as prototyping. You have to do the multiple times, multiple iterations. And even then, if you get a perfect prototype, when the production run comes, there's still going to be a lot of tweaking to be done. So with the C4th batch they shipped to me, there's, you know, with every batch, even the Puck and the Laguna, it comes to my office here in Vancouver, and there are certain tweaks and adjustments that I have to do here in Vancouver as well. So if you're selling a watch for under a certain price point, there, you know, there has to be that value add, that sort of hands-on sort of after production finishing, if you will. |
|Interviewer| With all of those, with any sort of those steps, so that's even when you're talking about essentially the last stage of what they would send you still requires hands-on for anything that goes out the door. |
|Jason Lim|Absolutely. At the very least, a very thorough QC. |
|Interviewer|Right. |
|Jason Lim|And it doesn't really make much sense from a business and time perspective based on the price point, but I mean, this is my baby. |
|Interviewer| Unlike some brands in the quote-unquote micro-brand space, you're receiving all the watches into Vancouver, QCing them yourself, putting them in boxes and sending them. |
|Jason Lim|Yes, that's right. QCing, testing them, putting them in boxes. But I don't want to say that unlike most of micro-brands. I know a lot of micro-brand owners who do a lot of the same things. They go through a lot of the same processes. |
|Interviewer|But there are some micro-brands that the watch would ship and if you had a problem would return to Shenzhen or... I don't know.  Not sure. Okay. Fair enough. I've, I've returned a few that I, you know, were on loan for review and they were returned to, uh, mainland China. The factory. Correct. Okay. Sure. That's another way of doing it. Yeah, for certain. And, and it's not to say that that's of a lesser quality, but you're able to ensure that the watch that leaves is up to your standard. Yeah, absolutely. I probably should have done a little bit of consideration before I got to this question, but you're now into seven or eight watches.  Or more like 9 or 10? |
|Jason Lim|No, I think 7 or 8 models. |
|Interviewer|And what would you say has changed, not necessarily in your process, but in what's available? Because you don't use off-the-shelf cases. |
|Jason Lim|That's right. |
|Interviewer|Which you can see commonly in Kickstarter brands or other things. These are cases, and there's nothing wrong with this. Again, it's a way of keeping the costs reasonable, paying the people who make the watches, all those sorts of things. But you don't use off-the-shelf cases. There is a high component of customization to your designs, they have to meet, you're not working necessarily to fit something into a case or a dial or a hand that already exists, you're going to have that made. Yeah, that's right. So in that situation, since the holotype, what's changed in what's available to be made? Is the quality better? Is the what you can perceivably receive of a higher quality? Or is the manufacturing getting better? Or do you have to just learn to kind of trick your way into the highest quality of manufacturing? |
|Jason Lim|You know what? I think in general, the quality and the availability and the access to these manufacturers has improved. And I like to think that, you know, we, the micro brand owners that started around, you know, 2006 to 2010, have a bit of a part to play in that. |
|Interviewer|Well, you're a catalyst of some sort in there.  Yeah, exactly. Learning more about maybe CAD or tolerances or movement fitaments, things like all sorts of various things. Like as more and more demand came up, they would conceivably get better at producing the constituent parts. |
|Jason Lim|Definitely. And the thing is with Kickstarter and, you know, the proliferation of watch forums, social media, a lot more people want to make watches. So when that happens, the suppliers, they kind of sense an opportunity.  And, you know, they make themselves much more available to whoever wants to make a watch. So I would say in general, as far as Asian production goes, I would like to think that the mid-range has improved, I think. |
|Interviewer|And if you still want to make a watch for $12 and sell it for a couple hundred bucks at Macy's or whatever, that's still going to be your main way to get it done. Well, yeah, for sure. |
|Jason Lim|Definitely. That's our second line coming in.  fall of 2000. |
