
# The Grey NATO - Ep 48 - Collection Inspection Vol 5
Published on Tue, 28 Nov 2017 09:44:45 -0500



## Synopsis
The hosts discuss an upcoming giveaway of NATO watch straps from Kill Hubris and Crown & Buckle. They share their experiences from recent trips, with Jason describing his dive trip to Bonaire and watches he wore like the Citizen Promaster EcoDrive 1000m, 1985 Aqualand, and Rado Captain Cook. James talks about driving the Maserati Ghibli in Monaco. They inspect a vintage 1969 Doxa Sub 200 T-Graph from Jason's collection and a Silvana skin diver from James' collection, discussing the appeal and value of vintage dive watches like these. For final notes, they recommend camera bags, backpacks, a product design email newsletter, and a project to create a new off-road vehicle brand inspired by classic Land Rovers.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-48-collection-inspection)
- [episode MP3](https://www.buzzsprout.com/2049759/11311073-the-grey-nato-ep-48-collection-inspection-vol-5.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. This is episode 48 and we thank you for listening. James, why don't you kick things off by giving a quick rundown of our latest giveaway? |
|James Stacey| Yeah, it's been a little while since we've done a giveaway. And I'm excited about this one because we're going to have several winners. We're going to give away 10 sets of these new kind of custom Kill Hubris crown and buckle straps. So they teamed up to do kind of collaboration on two NATO straps, one that's kind of a deep, really saturated, vivid red, and the other that is a camo NATO, but not really like one I've ever seen before. So you know, they've basically taken the World War II British brushstroke pattern and then applied some influence of like a lizard camo from Vietnam. And the colors I think are really cool. And if you pick the right watch, I think the NATO strap works really, really well. I think this, it's a very bold strap. Both are bold, even just the normal red. It's a, like I said, it's very much, it has like a maroon tone to it. And then of course it's a crown and buckle strap. So stitched and welded construction, color match thread.  You can get them in 20 or 22 millimeter widths, and you can have brushed, polished, or black PVD hardware. And then you have, uh, Killhubris's logo is on the buckle, which is super cool. So Killhubris has offered up, uh, 10 sets. So you're able to pick either 20 or 22 millimeter, but you'll get both the camo and the red strap. And so basically to pick winners, we're going to post a photo on the Graynado account.  of the straps, probably on a watch. You'll see it in the next few days after this episode airs. And all we need you to do is follow Kill Hubris and Crown & Buckle, and then comment on that photo with what watch you would match with either one of the straps. And like I said, we're going to give away 10 sets. We're going to pick just from people who comment, and then we'll get the straps sent out via Kill Hubris. So thank you very much to Kill Hubris and to Crown & Buckle for setting all this up. We think it's great. Obviously, we love to give away NATO straps.  And assuming most people listening have a big gray NATO strap collection, this gives you a nice kind of pop of color. I've really been enjoying the camo one on my Explorer II, which with the white dial and the red accents, it really just kind of catches off just perfectly. |
|Jason Heaton|Yeah, I haven't tried that one on a watch yet. I'm still trying to figure out just which watch to try it on, but the quality of the crown and buckle straps is just so good anyway. They're really good choices. I've had a couple of their straps in the past, I think it'll be a great giveaway. So, um, I look forward to seeing what people come back with and, uh, and who, who's going to walk away with 10 of these. So cool. |
|James Stacey|Yeah, for sure. So, uh, just pay attention to the Greynado's Instagram account and we will post a photo to kick off the giveaway, uh, probably before the weekend after this comes out. So just, uh, stay tuned there and, uh, get in line for your chance at winning a couple of great straps. So Jason, you're quite freshly back from Bonaire, no? |
|Jason Heaton| I am, yeah. I'm still itching bug bites. I just got back, uh, we're recording on a Monday. I got back late Saturday night and, uh, yeah, it was good. You know, it's, I think our sixth trip to, to Bonaire, we, we kind of make an annual trip there and, uh, just, it never fails to, uh, to, uh, satisfy, you know, it's just, it's a great place to basically just go to dive. It's a, it's a week of diving. It's about three or four dives a day. Um, after you're done, you've rinsed your gear, drink some beer, um, you know, sleep a little bit and get up and do it all over again. It's, uh, you know, I've talked about Bonaire in the past and, and we had a listener who kind of wrote in for some travel tips there and I sent, sent those onto him and he went and had a great honeymoon with his, with his wife and, and did some diving there as well. So, you know, I, I can't, I can't recommend it enough. And I managed to, to do, like I said, about three dives a day on average over six days of diving.  Took a handful of watches. Both my wife and I were kind of trading watches back and forth. I brought a couple of Citizens. I was doing a kind of a review of the new Promaster EcoDrive 1000 meter that Citizen brought out at Basel this year and I've been wearing for probably a month. I picked it up from Citizen when I was out in New York and finally got to take it diving.  And, uh, it's just such a fun watch. It's, it's like, I kind of, I took a photo of it, um, on the same wrist next to my wrist compass. And it's, it's like the same size, you know, it's, it's like another, it's another gauge. Um, it is the Kraken. Yeah. Um, and then I also brought my, uh, I've got a 1985 Aqualand, which I think I've talked about in the past. And it's, uh, uh, it was from the first month of production and I had it fully serviced recently, so it's good to go.  Uh, that was just fun. You know, that watch has, has the, uh, the depth sensor with the little digital readout. And it's so accurate. I mean, it's in meters and my, um, my dive computer's in feet. I have it set in feet. So there's a little bit of getting used to, but, um, it's just great. Um, and, and just fun to wear. It's a cool function. Great, great watch. And then we actually took the Rado Captain Cook. We actually took that diving, which I think will surprise a lot of people. I still mean to post a photo up on.  on Instagram of that. You know, it's a, it's a hundred meter watch without a screw down crown that, that Rado was pretty insistent on saying it isn't a dive watch. And I think it'll, you know, debunk some, some long held myths about water resistance and diving. And, and it, you know, did just fine for five or six dives with, uh, on both my wrist and my wife's. And then, um, and then Mark too sent over, um, for, for, uh, TGN review, actually, which we'll get to after I pass it on to you to wear for a bit. The new Paradive, I guess they're calling it the Ready-to-Wear Paradive. So it's very similar to ones they had in the past, but this one that I got in particular has what they call the Type 1 or the 12-hour bezel with an acrylic insert. And it was the one variant that, of the current batch, Bill Yao from Mark II was not comfortable saying was dive ready because he hadn't tested or wasn't sure how the acrylic insert would would do you know with some water pressure and uh did just fine you know wore it for i don't know i guess three or four dives and you know no ill effects i'm not sure what what would have happened if he was concerned about it cracking or some adhesive giving way or something but uh great watch just a really great watch i've had a paradive in the past and and it's just such a clean sterile, legible watch. So I'll be passing that one on to you in a couple of weeks when we see each other in Colorado. |
|James Stacey|Yeah, for sure. I'm looking forward to seeing the Mark II. You know, I saw an early version at Basel. Yeah. Which is the last time I saw a Bill. And, you know, I don't think either of us are, I think we're quite openly not that big of fans of homages. Yeah. Certainly once they stray into the clone territory. Yeah. But, you know, you really Benris isn't operating today. That aesthetic is essentially dead without something like a Mark II. And your other option would be like a Marathon Navigator uses a similar sort of asymmetrical case and overall design and functionality. But I think that what they're doing there with the Paradive is really cool. I really enjoyed the 10 minutes or so that I spent with one at Basel. And I'm looking forward to checking this one out. We'll make a little trade of some sort in the next couple of weeks. |
|Jason Heaton|Yeah, nice. What's your first kind of bit of new business this week? |
|James Stacey|I'm just back from, I guess I've been back for a few days from Monaco. I was there for a press drive with Maserati for the, you know, refreshed Ghibli four-door. It's their kind of mid-sized four-door between the two-door GT and the larger Quattroporte. And, you know, it's for Nouveau magazine, so it'll be in the spring issue and I would recommend anybody check that out. And when it eventually makes it to the website, I'll be sure to link that as well. But in short, I really expected to not care so much for this car. I was excited to go to Monaco, obviously, and just to have the experience of driving some great roads and that sort of thing. But really, it's a middle tier luxury car. There is a fast version, and that's the one that I had, the SQ4.  as a 430 horse V6. And I just didn't know really what to expect from it. So, and you know, with Maserati, they've gone through a lot of growing pains over the years and trying to figure out where they stand within the FCA auto group and all that kind of thing. And it turns out the car was an absolute blast. I mean, it's a missile, plenty fast, best sounding V6 I've driven in a long time, which is tough to do. And you know, nice interior.  loads of grip, really, really strong balance and plenty of performance. It was a nice way to kind of see a little bit of France I haven't seen before between Monaco and then we went kind of into the hills inland and just some amazing roads that way and then back into Monaco. And driving in Monaco is not something that maybe my Canadian experience had prepared me for.  It's a lot of tunnels. So we were lost all the time because the GPS would keep disconnecting. Oh, yeah. So you're just constantly in a tunnel and you're like, well, this is cool. It's a tunnel and the city's very vertical, right? Like it's very much stacked. Yeah. And you're in a tunnel and then suddenly you hit like a traffic circle, a roundabout that has like eight exits. Oh, no. And you don't know which one to take because the GPS hasn't hooked up again. Yeah. And there's scooters everywhere. It's very exciting.  Yeah. You have to be very decisive, which I love. So that was a really fun trip and I was very much pleasantly surprised by all the aspects of the car. I expected it to be fast and it was just very accessible and the stereo was great. It was a really comfy seat, a nice place to sit, it's easy to drive. You know, a couple of times we ended up in these kind of, I would call it like a castle town, where as soon as you leave a main roadway, you're essentially on a road that wouldn't even qualify as an alleyway. In Vancouver, I mean, you could just barely get the car in the road and then there'd be other cars trying to come the other way. It's exciting. It was fun. I had a really good time and I met some nice other people from the automotive world, which is always a nice treat with these sorts of trips. And then it looks like I'm off to another one. So when this comes out, I'll actually already be home from it.  Uh, such as the timing. So we're, we never record, uh, we often record one week ahead of delivery for these. And, uh, and I apologize if I'm a little fuzzy, this is probably the earliest we've ever recorded a Grenado. We normally do these at night when I'm quite a bit sharper. And, uh, and yeah, this is, you know, it's not even 10 AM now and, uh, I'm just on my second cup of coffee. So we're, we're working through that, but I'm off to Belgium with Portia to experience the company that produces their hi-fi audio systems for their cars, which is a Bohrmeister. Maybe door to door from my home in Vancouver is like, it might be 50 hours. Wow. You know, including, you know, a connecting flight to make it all the way to Brussels. And so that should be great. I'm It's not a car focused thing so much, but I am very much interested in how they design these stereos. And it's always a topic of conversation because some of these stereos, the Porsche one included, are hugely expensive. Yeah. You know, $7,000, $8,000, $9,000 more than the Bose or the bass system or whatever they're offering in the various cars. And Bohrmeister has made systems for Mercedes as well, which is undoubtedly a lovely stereo.  But sometimes you get in these cars with a really fancy stereo and you're kind of like, well, it sounds good, but like eight grand good. |
|Unknown|Yeah. |
