
# The Grey NATO - Ep 49 - The Rocky Mountain Way
Published on Tue, 12 Dec 2017 09:41:58 -0500



## Synopsis
The episode begins with an announcement about the podcast taking a break for the holidays. Jason and James are in Colorado for an event hosted by Oris, where they got to preview new watches, go skiing with Oris CEO Rolf Studer, and learn about Oris's new Clipperton limited edition watch. They discuss various aspects of the event, including the world timer watch they got to try and the outstanding audio system in the Porsche they drove. Finally, they share updates on Ben Saunders' Antarctic expedition and provide a few other adventure-related recommendations.

James mentions that though they saw many new watches, they can only discuss the Clipperton limited edition due to embargo dates. The watch ties into an expedition to Clipperton Island that raised awareness about ocean pollution. Rolf Studer joins them to discuss the motivation behind the watch and Oris's support for the expedition.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-49-the-rocky-mountain)
- [episode MP3](https://www.buzzsprout.com/2049759/11311072-the-grey-nato-ep-49-the-rocky-mountain-way.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hey guys and gals, James here with a quick note at the top of the show to let you know that we're going to be taking a holiday break just like last year, so there'll be no new episode on the 26th. Episode 50 will go live on January 9th, 2018, and will help us to better align with SIHH and with other travel concerns over the holidays. So happy holidays from Jason and I, please be well, and we'll chat to you soon in 2018. On with the show. |
|Jason Heaton| Hello, and welcome to another episode of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. This is episode 49, and we thank you for listening. |
|James|How's it going? Nice to see your, uh, your face. You look, uh, younger, I guess. |
|Jason Heaton|Yeah, face to face. It's the mountain sunburn. It's, uh, makes me look a little younger. Yeah. |
|James|Yeah. Uh, yeah. So we're in Colorado and, uh, we're here for the 2018 Basel World Preview with Oris, which is an event they're doing in, uh, An area just adjacent to Vail, there's Beaver Creek. Bachelor Gulch. |
|Jason Heaton|We're actually at the Ritz-Carlton in an eighth floor, really nice suite. It's actually, we're doing a fireside chat. |
|James|It's the fanciest space we've ever recorded in, certainly. That's for sure. And yeah, we've got a nice fireplace and we've had a really, like a really full day. It's a, you know, it's a tight schedule to come out. It's a short event. You know, it was, Sunday to a Tuesday and, you know, today was Monday and we spent the morning skiing. Yeah. And then we spent the afternoon having some lunch and then looking at watches. |
|Jason Heaton|Yeah. It's, uh, it's, it's been a pretty ideal trip. Um, and if we're, if we both sound a little breathless, it's because the altitude here in, uh, Beaver Creek is at, uh, uh, 8,100 feet according to the maps. I'm not sure what that is in meters, but it's, uh, it's, uh, you know, it's, it makes you a little breathless, uh, climbing a flight of stairs or, um, You know, when we first arrived yesterday, it was, uh, took a bit of adjustment. I had kind of a headache until about the wee hours of this morning, but now I'm, I'm doing okay. How about you? |
|James|Yeah, I'm a C level boy. That's where I, that's where I run around. That's where I do things. So yeah, you, you notice it a couple of times. I think I just, maybe I'm not as good at breathing as I thought I was. Cause I'll just.  sit down and realize I'm a little bit behind on breathing. Yeah. And you have to catch up for a moment. But other than that, I mean, skiing, I didn't notice it at all, which is where I thought it would be hardest. Yeah. I noticed that too. Yeah. I didn't notice it skiing, but you notice it just occasionally you go to catch your breath and you don't have quite as much in your lungs as you thought you would. |
|Jason Heaton|Yeah. Yeah. So it was interesting because we arrived on, uh, on Sunday and it was, uh, it was breezy when we flew into the, um, Eagle County airport here, just up the road from Vail. And, and, uh, it was unseasonably warm for these parts for this time of year. It was, You know, Fahrenheit, it was 50, I think, or thereabouts. And, um, it, uh, it kind of gave us, you know, some concerns about skiing. Cause he looked up at the mountains and most of them were pretty Brown. There were a couple, a couple of couple of runs that were just starting to get some snow cover. Um, but we woke up this morning, which was our ski day and, uh, a very brisk, uh, 15 Fahrenheit this morning with a nice dusting of snow and, and, uh, turned out to be just a, just a spectacular day in the mountains. |
|James|Yeah. It was kind of mixed cloud, but not warm, not cold. |
|Unknown|Yeah. |
|James| And there weren't that, there weren't a ton of people out, so we never waited for a lift. |
|Unknown|Yeah. |
|James|And there, they had essentially two runs open, but I would, you basically won meandering overall route. Yeah. And we just lapped it until we ran out of time. It was great. The weather was awesome. And, uh, we had, uh, we had a really good time. |
|Jason Heaton|Yeah. So I had done, I don't, it was probably on a gray NATO about a year ago. Um, I probably talked about my visit to Zermatt with, with Oris for the similar event last year. And, uh, at that time I was, uh, very much a novice skier, hadn't skied since high school years, and was kind of just getting back into it. And the bug bit me right after that trip, and I did a lot of skiing last winter. So it was fun to come out here and actually do some legitimate mountain skiing. But it was challenging. It was a challenging run for me. I'm still, I would say, pretty much a beginner skier. But we both held our own, I would say it was kind of a A hard blue run, I guess. |
|James|We had some good tutelage. Yeah. Some kind instruction. |
|Jason Heaton|Yeah. Yeah, we were skiing with Rolf Studer, who's the co-CEO at Oris. And so it was pretty much the three of us running up and down the lift all day. And we'd go down the runs. James and I feeling pretty good about ourselves, weaving in and out. And then there'd be this bright streak go past. It's like getting passed by a Ferrari. And it would be Rolf zipping down the hill. And he'd go down and wait for us little ways down.  So it was, um, it was great. And, and, and Rolf was a pleasure to ski with, and he's actually in the room with us here. We, we thought we'd bring him in for a couple of questions in a bit here. |
